,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1152,0.0491,0.000,0.025,0.037,1000
2,0.3,0.03,0.0629,0.1143,0.0496,0.000,0.025,0.036,1000
3,0.5,0.05,0.1233,0.1131,0.0501,0.000,0.025,0.036,1000
4,0.8,0.08,0.1811,0.1116,0.0506,0.000,0.026,0.036,1000
5,1.0,0.11,0.2361,0.1100,0.0509,0.000,0.026,0.035,1000
6,1.3,0.14,0.2884,0.1080,0.0512,0.000,0.026,0.034,1000
7,1.6,0.16,0.3380,0.1059,0.0514,0.000,0.026,0.034,1000
8,1.8,0.19,0.3846,0.1035,0.0515,0.000,0.026,0.033,1000
9,2.1,0.22,0.4284,0.1009,0.0515,0.000,0.026,0.032,1000
10,2.3,0.25,0.4693,0.0980,0.0514,0.000,0.026,0.031,1000
11,2.6,0.27,0.5071,0.0949,0.0512,0.000,0.026,0.030,1000
12,2.8,0.30,0.5418,0.0915,0.0508,0.000,0.026,0.029,1000
13,3.1,0.33,0.5734,0.0879,0.0503,0.000,0.025,0.028,1000
14,3.4,0.36,0.6020,0.0840,0.0496,0.000,0.025,0.027,1000
15,3.6,0.38,0.6274,0.0798,0.0487,0.000,0.025,0.025,1000
16,3.9,0.41,0.6499,0.0754,0.0476,0.000,0.024,0.024,1000
17,4.1,0.44,0.6693,0.0707,0.0462,0.000,0.023,0.023,1000
18,4.4,0.46,0.6859,0.0659,0.0447,0.000,0.023,0.021,1000
19,4.7,0.49,0.6998,0.0610,0.0429,0.000,0.022,0.019,1000
20,4.9,0.52,0.7117,0.0561,0.0409,0.000,0.021,0.018,1000
21,5.2,0.55,0.7213,0.0509,0.0386,0.000,0.020,0.016,1000
22,5.4,0.57,0.7285,0.0457,0.0360,0.000,0.018,0.015,1000
23,5.7,0.60,0.7328,0.0403,0.0331,0.000,0.017,0.013,1000
24,6.0,0.63,0.7343,0.0349,0.0299,0.000,0.015,0.011,1000
25,6.2,0.66,0.7305,0.0293,0.0263,0.000,0.013,0.009,1000
26,6.5,0.68,0.7167,0.0235,0.0225,0.000,0.011,0.008,1000
27,6.7,0.71,0.6860,0.0178,0.0184,0.000,0.009,0.006,1000
28,7.0,0.74,0.6239,0.0119,0.0141,0.000,0.007,0.004,1000
29,7.2,0.77,0.4794,0.0060,0.0096,0.000,0.005,0.002,1000
30,7.5,0.79,-0.0009,0.0000,0.0051,0.000,0.003,0.000,1000
31,0.0,0.00,0.0000,0.1153,0.0491,0.003,0.100,0.147,2000
32,0.5,0.03,0.0629,0.1143,0.0497,0.003,0.101,0.146,2000
33,1.0,0.05,0.1232,0.1132,0.0502,0.003,0.102,0.144,2000
34,1.6,0.08,0.1809,0.1117,0.0506,0.003,0.103,0.142,2000
35,2.1,0.11,0.2359,0.1100,0.0510,0.003,0.103,0.140,2000
36,2.6,0.14,0.2882,0.1081,0.0513,0.003,0.104,0.138,2000
37,3.1,0.16,0.3376,0.1060,0.0515,0.003,0.104,0.135,2000
38,3.6,0.19,0.3843,0.1036,0.0516,0.003,0.105,0.132,2000
39,4.1,0.22,0.4281,0.1010,0.0516,0.003,0.105,0.129,2000
40,4.7,0.25,0.4689,0.0981,0.0514,0.003,0.104,0.125,2000
41,5.2,0.27,0.5067,0.0950,0.0512,0.003,0.104,0.121,2000
42,5.7,0.30,0.5414,0.0916,0.0509,0.003,0.103,0.117,2000
43,6.2,0.33,0.5731,0.0880,0.0503,0.003,0.102,0.112,2000
44,6.7,0.36,0.6017,0.0841,0.0496,0.003,0.101,0.107,2000
45,7.2,0.38,0.6272,0.0799,0.0488,0.003,0.099,0.102,2000
46,7.8,0.41,0.6497,0.0755,0.0476,0.003,0.097,0.096,2000
47,8.3,0.44,0.6692,0.0708,0.0463,0.003,0.094,0.090,2000
48,8.8,0.46,0.6858,0.0660,0.0447,0.003,0.091,0.084,2000
49,9.3,0.49,0.6997,0.0612,0.0430,0.003,0.087,0.078,2000
50,9.8,0.52,0.7115,0.0562,0.0410,0.003,0.083,0.072,2000
51,10.3,0.55,0.7212,0.0511,0.0387,0.002,0.078,0.065,2000
52,10.9,0.57,0.7285,0.0458,0.0361,0.002,0.073,0.058,2000
53,11.4,0.60,0.7328,0.0405,0.0332,0.002,0.067,0.052,2000
54,11.9,0.63,0.7343,0.0350,0.0299,0.002,0.061,0.045,2000
55,12.4,0.66,0.7307,0.0294,0.0264,0.002,0.053,0.037,2000
56,12.9,0.68,0.7171,0.0237,0.0225,0.001,0.046,0.030,2000
57,13.5,0.71,0.6869,0.0179,0.0185,0.001,0.038,0.023,2000
58,14.0,0.74,0.6251,0.0120,0.0142,0.001,0.029,0.015,2000
59,14.5,0.77,0.4814,0.0060,0.0096,0.001,0.019,0.008,2000
60,15.0,0.79,-0.0008,0.0000,0.0051,0.000,0.010,0.000,2000
61,0.0,0.00,0.0000,0.1152,0.0491,0.011,0.224,0.330,3000
62,0.8,0.03,0.0629,0.1142,0.0496,0.011,0.227,0.328,3000
63,1.6,0.05,0.1232,0.1130,0.0501,0.011,0.229,0.324,3000
64,2.3,0.08,0.1809,0.1116,0.0506,0.011,0.231,0.320,3000
65,3.1,0.11,0.2359,0.1099,0.0509,0.011,0.232,0.315,3000
66,3.9,0.14,0.2882,0.1080,0.0512,0.011,0.234,0.310,3000
67,4.7,0.16,0.3376,0.1059,0.0514,0.011,0.235,0.303,3000
68,5.4,0.19,0.3842,0.1035,0.0515,0.011,0.235,0.297,3000
69,6.2,0.22,0.4280,0.1009,0.0515,0.011,0.235,0.289,3000
70,7.0,0.25,0.4688,0.0980,0.0514,0.011,0.235,0.281,3000
71,7.8,0.27,0.5066,0.0949,0.0512,0.011,0.233,0.272,3000
72,8.5,0.30,0.5413,0.0915,0.0508,0.011,0.232,0.262,3000
73,9.3,0.33,0.5729,0.0879,0.0503,0.011,0.230,0.252,3000
74,10.1,0.36,0.6015,0.0840,0.0496,0.011,0.226,0.241,3000
75,10.9,0.38,0.6270,0.0799,0.0487,0.011,0.222,0.229,3000
76,11.6,0.41,0.6494,0.0755,0.0476,0.010,0.217,0.216,3000
77,12.4,0.44,0.6689,0.0708,0.0463,0.010,0.211,0.203,3000
78,13.2,0.46,0.6855,0.0661,0.0448,0.010,0.204,0.189,3000
79,14.0,0.49,0.6995,0.0612,0.0430,0.009,0.196,0.176,3000
80,14.7,0.52,0.7115,0.0563,0.0411,0.009,0.187,0.161,3000
81,15.5,0.55,0.7212,0.0512,0.0388,0.008,0.177,0.147,3000
82,16.3,0.57,0.7285,0.0460,0.0362,0.008,0.165,0.132,3000
83,17.1,0.60,0.7329,0.0406,0.0333,0.007,0.152,0.116,3000
84,17.9,0.63,0.7344,0.0351,0.0300,0.007,0.137,0.101,3000
85,18.6,0.66,0.7309,0.0295,0.0264,0.006,0.121,0.085,3000
86,19.4,0.68,0.7174,0.0237,0.0226,0.005,0.103,0.068,3000
87,20.2,0.71,0.6870,0.0179,0.0185,0.004,0.085,0.051,3000
88,21.0,0.74,0.6255,0.0120,0.0142,0.003,0.065,0.034,3000
89,21.7,0.77,0.4814,0.0060,0.0096,0.002,0.044,0.017,3000
90,22.5,0.79,0.0014,0.0000,0.0051,0.001,0.023,0.000,3000
91,0.0,0.00,0.0000,0.1153,0.0492,0.025,0.399,0.588,4000
92,1.0,0.03,0.0628,0.1144,0.0497,0.026,0.404,0.583,4000
93,2.1,0.05,0.1231,0.1132,0.0503,0.026,0.408,0.577,4000
94,3.1,0.08,0.1808,0.1118,0.0507,0.026,0.411,0.570,4000
95,4.1,0.11,0.2357,0.1101,0.0510,0.026,0.414,0.561,4000
96,5.2,0.14,0.2880,0.1082,0.0513,0.026,0.416,0.551,4000
97,6.2,0.16,0.3374,0.1060,0.0515,0.027,0.418,0.540,4000
98,7.2,0.19,0.3841,0.1037,0.0516,0.027,0.419,0.528,4000
99,8.3,0.22,0.4278,0.1010,0.0516,0.027,0.419,0.515,4000
100,9.3,0.25,0.4687,0.0982,0.0515,0.027,0.418,0.500,4000
101,10.3,0.27,0.5064,0.0950,0.0513,0.026,0.416,0.484,4000
102,11.4,0.30,0.5412,0.0917,0.0509,0.026,0.413,0.467,4000
103,12.4,0.33,0.5728,0.0881,0.0504,0.026,0.409,0.449,4000
104,13.5,0.36,0.6014,0.0842,0.0497,0.026,0.403,0.429,4000
105,14.5,0.38,0.6269,0.0800,0.0488,0.025,0.396,0.408,4000
106,15.5,0.41,0.6494,0.0756,0.0477,0.025,0.387,0.385,4000
107,16.6,0.44,0.6690,0.0710,0.0464,0.024,0.376,0.362,4000
108,17.6,0.46,0.6856,0.0662,0.0449,0.023,0.364,0.337,4000
109,18.6,0.49,0.6996,0.0614,0.0431,0.022,0.350,0.313,4000
110,19.7,0.52,0.7115,0.0564,0.0411,0.021,0.334,0.287,4000
111,20.7,0.55,0.7213,0.0513,0.0389,0.020,0.315,0.262,4000
112,21.7,0.57,0.7286,0.0461,0.0363,0.019,0.294,0.235,4000
113,22.8,0.60,0.7331,0.0407,0.0334,0.017,0.271,0.207,4000
114,23.8,0.63,0.7346,0.0352,0.0301,0.016,0.244,0.179,4000
115,24.8,0.66,0.7311,0.0296,0.0265,0.014,0.215,0.151,4000
116,25.9,0.68,0.7177,0.0238,0.0227,0.012,0.184,0.121,4000
117,26.9,0.71,0.6875,0.0180,0.0186,0.010,0.151,0.092,4000
118,27.9,0.74,0.6261,0.0121,0.0142,0.007,0.115,0.061,4000
119,29.0,0.76,0.4822,0.0061,0.0096,0.005,0.078,0.031,4000
120,30.0,0.79,0.0019,0.0000,0.0051,0.003,0.042,0.000,4000
121,0.0,0.00,0.0000,0.1155,0.0493,0.050,0.625,0.920,5000
122,1.3,0.03,0.0627,0.1146,0.0499,0.050,0.633,0.913,5000
123,2.6,0.05,0.1229,0.1134,0.0504,0.051,0.639,0.903,5000
124,3.9,0.08,0.1806,0.1120,0.0508,0.051,0.644,0.892,5000
125,5.2,0.11,0.2355,0.1103,0.0512,0.051,0.649,0.879,5000
126,6.5,0.14,0.2877,0.1084,0.0515,0.052,0.652,0.863,5000
127,7.8,0.16,0.3372,0.1063,0.0517,0.052,0.655,0.846,5000
128,9.1,0.19,0.3838,0.1039,0.0518,0.052,0.656,0.827,5000
129,10.3,0.22,0.4276,0.1013,0.0518,0.052,0.656,0.807,5000
130,11.6,0.25,0.4684,0.0984,0.0516,0.052,0.655,0.784,5000
131,12.9,0.27,0.5063,0.0953,0.0514,0.052,0.652,0.759,5000
132,14.2,0.30,0.5410,0.0919,0.0511,0.051,0.647,0.732,5000
133,15.5,0.33,0.5727,0.0883,0.0505,0.051,0.641,0.703,5000
134,16.8,0.36,0.6013,0.0844,0.0498,0.050,0.632,0.672,5000
135,18.1,0.38,0.6269,0.0802,0.0490,0.049,0.620,0.639,5000
136,19.4,0.41,0.6494,0.0758,0.0478,0.048,0.606,0.604,5000
137,20.7,0.44,0.6690,0.0711,0.0465,0.047,0.589,0.567,5000
138,22.0,0.46,0.6857,0.0664,0.0450,0.045,0.570,0.529,5000
139,23.3,0.49,0.6996,0.0615,0.0432,0.043,0.548,0.490,5000
140,24.6,0.52,0.7116,0.0565,0.0412,0.041,0.523,0.450,5000
141,25.9,0.55,0.7214,0.0514,0.0389,0.039,0.494,0.410,5000
142,27.2,0.57,0.7287,0.0462,0.0364,0.037,0.461,0.368,5000
143,28.5,0.60,0.7332,0.0408,0.0334,0.034,0.424,0.325,5000
144,29.8,0.63,0.7347,0.0353,0.0302,0.030,0.383,0.281,5000
145,31.0,0.66,0.7314,0.0297,0.0266,0.027,0.337,0.236,5000
146,32.3,0.68,0.7181,0.0239,0.0227,0.023,0.288,0.190,5000
147,33.6,0.71,0.6881,0.0180,0.0186,0.019,0.236,0.144,5000
148,34.9,0.74,0.6270,0.0121,0.0142,0.014,0.180,0.096,5000
149,36.2,0.76,0.4836,0.0061,0.0096,0.010,0.122,0.048,5000
