,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1229,0.0514,0.005,0.168,0.229,2000
2,0.5,0.02,0.0547,0.1206,0.0516,0.005,0.169,0.225,2000
3,1.0,0.05,0.1068,0.1182,0.0518,0.005,0.169,0.221,2000
4,1.5,0.07,0.1564,0.1157,0.0519,0.005,0.170,0.216,2000
5,2.0,0.09,0.2034,0.1131,0.0520,0.005,0.170,0.211,2000
6,2.4,0.12,0.2478,0.1103,0.0521,0.005,0.170,0.206,2000
7,2.9,0.14,0.2896,0.1074,0.0521,0.005,0.170,0.200,2000
8,3.4,0.16,0.3288,0.1043,0.0520,0.005,0.170,0.195,2000
9,3.9,0.19,0.3654,0.1010,0.0518,0.005,0.169,0.188,2000
10,4.4,0.21,0.3994,0.0976,0.0515,0.005,0.168,0.182,2000
11,4.9,0.23,0.4308,0.0941,0.0511,0.005,0.167,0.176,2000
12,5.4,0.26,0.4599,0.0907,0.0508,0.005,0.166,0.169,2000
13,5.9,0.28,0.4866,0.0872,0.0503,0.005,0.164,0.163,2000
14,6.3,0.30,0.5109,0.0836,0.0498,0.005,0.163,0.156,2000
15,6.8,0.33,0.5332,0.0800,0.0492,0.005,0.161,0.149,2000
16,7.3,0.35,0.5529,0.0758,0.0482,0.005,0.157,0.141,2000
17,7.8,0.37,0.5709,0.0714,0.0469,0.005,0.153,0.133,2000
18,8.3,0.40,0.5870,0.0669,0.0454,0.005,0.148,0.125,2000
19,8.8,0.42,0.6008,0.0622,0.0436,0.005,0.143,0.116,2000
20,9.3,0.44,0.6124,0.0575,0.0417,0.004,0.136,0.107,2000
21,9.8,0.47,0.6204,0.0525,0.0396,0.004,0.129,0.098,2000
22,10.2,0.49,0.6238,0.0474,0.0373,0.004,0.122,0.088,2000
23,10.7,0.51,0.6217,0.0420,0.0348,0.004,0.114,0.078,2000
24,11.2,0.54,0.6122,0.0366,0.0322,0.003,0.105,0.068,2000
25,11.7,0.56,0.5923,0.0309,0.0293,0.003,0.096,0.058,2000
26,12.2,0.59,0.5564,0.0250,0.0262,0.003,0.086,0.047,2000
27,12.7,0.61,0.4970,0.0189,0.0231,0.002,0.075,0.035,2000
28,13.2,0.63,0.4016,0.0126,0.0199,0.002,0.065,0.024,2000
29,13.7,0.66,0.2479,0.0063,0.0165,0.002,0.054,0.012,2000
30,14.1,0.68,-0.0113,-0.0002,0.0132,0.001,0.043,0.000,2000
31,0.0,0.00,0.0000,0.1223,0.0507,0.018,0.373,0.513,3000
32,0.7,0.02,0.0528,0.1200,0.0509,0.018,0.374,0.504,3000
33,1.4,0.04,0.1032,0.1176,0.0509,0.018,0.374,0.493,3000
34,2.1,0.07,0.1513,0.1150,0.0510,0.018,0.375,0.483,3000
35,2.8,0.09,0.1971,0.1123,0.0510,0.018,0.374,0.471,3000
36,3.5,0.11,0.2404,0.1094,0.0509,0.018,0.374,0.459,3000
37,4.2,0.13,0.2814,0.1065,0.0508,0.018,0.373,0.447,3000
38,4.9,0.16,0.3199,0.1034,0.0506,0.018,0.372,0.434,3000
39,5.6,0.18,0.3560,0.1001,0.0503,0.018,0.370,0.420,3000
40,6.3,0.20,0.3897,0.0968,0.0500,0.017,0.367,0.406,3000
41,7.0,0.22,0.4210,0.0933,0.0496,0.017,0.364,0.392,3000
42,7.7,0.25,0.4500,0.0898,0.0491,0.017,0.361,0.377,3000
43,8.4,0.27,0.4766,0.0860,0.0484,0.017,0.356,0.361,3000
44,9.1,0.29,0.5010,0.0820,0.0476,0.017,0.350,0.344,3000
45,9.8,0.31,0.5231,0.0779,0.0466,0.016,0.343,0.327,3000
46,10.5,0.34,0.5434,0.0738,0.0455,0.016,0.335,0.310,3000
47,11.2,0.36,0.5619,0.0694,0.0442,0.015,0.325,0.291,3000
48,11.9,0.38,0.5782,0.0650,0.0427,0.015,0.314,0.273,3000
49,12.6,0.40,0.5925,0.0603,0.0410,0.014,0.301,0.253,3000
50,13.3,0.42,0.6043,0.0554,0.0390,0.014,0.286,0.233,3000
51,14.0,0.45,0.6132,0.0504,0.0368,0.013,0.270,0.212,3000
52,14.7,0.47,0.6182,0.0452,0.0343,0.012,0.252,0.190,3000
53,15.4,0.49,0.6181,0.0399,0.0318,0.011,0.233,0.168,3000
54,16.1,0.51,0.6111,0.0345,0.0291,0.010,0.214,0.145,3000
55,16.8,0.54,0.5932,0.0291,0.0263,0.009,0.193,0.122,3000
56,17.5,0.56,0.5591,0.0234,0.0234,0.008,0.172,0.098,3000
57,18.2,0.58,0.5018,0.0177,0.0205,0.007,0.151,0.074,3000
58,18.9,0.60,0.4083,0.0119,0.0176,0.006,0.129,0.050,3000
59,19.6,0.63,0.2545,0.0059,0.0146,0.005,0.107,0.025,3000
60,20.3,0.65,-0.0042,-0.0001,0.0116,0.004,0.085,0.000,3000
61,0.0,0.00,0.0000,0.1212,0.0490,0.041,0.640,0.904,4000
62,0.9,0.02,0.0522,0.1189,0.0490,0.041,0.640,0.887,4000
63,1.8,0.04,0.1023,0.1164,0.0490,0.041,0.640,0.869,4000
64,2.7,0.06,0.1502,0.1139,0.0489,0.041,0.639,0.850,4000
65,3.6,0.09,0.1960,0.1112,0.0488,0.040,0.638,0.830,4000
66,4.5,0.11,0.2397,0.1084,0.0486,0.040,0.635,0.809,4000
67,5.4,0.13,0.2813,0.1054,0.0484,0.040,0.632,0.787,4000
68,6.3,0.15,0.3208,0.1023,0.0481,0.040,0.628,0.764,4000
69,7.2,0.17,0.3581,0.0991,0.0477,0.040,0.623,0.740,4000
70,8.1,0.19,0.3932,0.0958,0.0472,0.039,0.617,0.715,4000
71,9.0,0.22,0.4261,0.0924,0.0467,0.039,0.610,0.689,4000
72,9.9,0.24,0.4567,0.0889,0.0461,0.038,0.602,0.663,4000
73,10.8,0.26,0.4853,0.0852,0.0454,0.038,0.593,0.636,4000
74,11.7,0.28,0.5120,0.0813,0.0444,0.037,0.580,0.607,4000
75,12.6,0.30,0.5368,0.0773,0.0434,0.036,0.566,0.577,4000
76,13.5,0.32,0.5596,0.0731,0.0422,0.035,0.551,0.545,4000
77,14.3,0.34,0.5804,0.0688,0.0408,0.034,0.533,0.514,4000
78,15.2,0.37,0.5987,0.0645,0.0394,0.033,0.515,0.481,4000
79,16.1,0.39,0.6142,0.0600,0.0378,0.031,0.494,0.447,4000
80,17.0,0.41,0.6271,0.0552,0.0360,0.030,0.470,0.412,4000
81,17.9,0.43,0.6376,0.0502,0.0339,0.028,0.443,0.374,4000
82,18.8,0.45,0.6445,0.0450,0.0316,0.026,0.413,0.336,4000
83,19.7,0.47,0.6461,0.0398,0.0291,0.024,0.381,0.297,4000
84,20.6,0.49,0.6402,0.0344,0.0266,0.022,0.347,0.257,4000
85,21.5,0.52,0.6230,0.0289,0.0240,0.020,0.313,0.216,4000
86,22.4,0.54,0.5899,0.0234,0.0213,0.018,0.279,0.174,4000
87,23.3,0.56,0.5328,0.0177,0.0186,0.015,0.243,0.132,4000
88,24.2,0.58,0.4360,0.0119,0.0158,0.013,0.207,0.089,4000
89,25.1,0.60,0.2750,0.0060,0.0131,0.011,0.172,0.045,4000
90,26.0,0.62,0.0000,0.0000,0.0106,0.009,0.138,0.000,4000
91,0.0,0.00,0.0000,0.1204,0.0478,0.077,0.976,1.404,5000
92,1.1,0.02,0.0538,0.1180,0.0478,0.077,0.976,1.376,5000
93,2.3,0.04,0.1056,0.1155,0.0477,0.077,0.974,1.347,5000
94,3.4,0.07,0.1552,0.1129,0.0476,0.077,0.971,1.316,5000
95,4.5,0.09,0.2027,0.1101,0.0474,0.077,0.967,1.283,5000
96,5.7,0.11,0.2482,0.1071,0.0471,0.076,0.961,1.249,5000
97,6.8,0.13,0.2915,0.1040,0.0467,0.076,0.953,1.213,5000
98,8.0,0.15,0.3328,0.1008,0.0462,0.075,0.944,1.175,5000
99,9.1,0.17,0.3719,0.0974,0.0457,0.074,0.933,1.136,5000
100,10.2,0.20,0.4088,0.0940,0.0451,0.073,0.921,1.096,5000
101,11.4,0.22,0.4435,0.0904,0.0444,0.072,0.907,1.054,5000
102,12.5,0.24,0.4761,0.0867,0.0437,0.071,0.892,1.011,5000
103,13.6,0.26,0.5067,0.0829,0.0428,0.069,0.874,0.967,5000
104,14.8,0.28,0.5355,0.0788,0.0417,0.068,0.851,0.918,5000
105,15.9,0.31,0.5624,0.0745,0.0404,0.065,0.825,0.868,5000
106,17.0,0.33,0.5873,0.0701,0.0390,0.063,0.797,0.817,5000
107,18.2,0.35,0.6087,0.0656,0.0376,0.061,0.768,0.765,5000
