,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1895,0.1093,0.001,0.089,0.088,1000
2,0.4,0.04,0.0631,0.1891,0.1111,0.001,0.091,0.088,1000
3,0.8,0.07,0.1238,0.1885,0.1129,0.001,0.092,0.088,1000
4,1.2,0.11,0.1820,0.1877,0.1148,0.001,0.094,0.088,1000
5,1.5,0.15,0.2377,0.1868,0.1166,0.002,0.095,0.087,1000
6,1.9,0.19,0.2908,0.1856,0.1184,0.002,0.097,0.087,1000
7,2.3,0.22,0.3414,0.1841,0.1200,0.002,0.098,0.086,1000
8,2.7,0.26,0.3894,0.1823,0.1215,0.002,0.099,0.085,1000
9,3.1,0.30,0.4349,0.1799,0.1228,0.002,0.100,0.084,1000
10,3.5,0.33,0.4779,0.1771,0.1237,0.002,0.101,0.083,1000
11,3.9,0.37,0.5183,0.1737,0.1244,0.002,0.102,0.081,1000
12,4.3,0.41,0.5560,0.1698,0.1246,0.002,0.102,0.079,1000
13,4.6,0.45,0.5910,0.1651,0.1244,0.002,0.102,0.077,1000
14,5.0,0.48,0.6234,0.1598,0.1236,0.002,0.101,0.075,1000
15,5.4,0.52,0.6530,0.1537,0.1223,0.002,0.100,0.072,1000
16,5.8,0.56,0.6798,0.1465,0.1199,0.002,0.098,0.068,1000
17,6.2,0.59,0.7038,0.1375,0.1159,0.002,0.095,0.064,1000
18,6.6,0.63,0.7246,0.1281,0.1115,0.001,0.091,0.060,1000
19,7.0,0.67,0.7424,0.1186,0.1066,0.001,0.087,0.055,1000
20,7.3,0.70,0.7573,0.1089,0.1013,0.001,0.083,0.051,1000
21,7.7,0.74,0.7695,0.0989,0.0954,0.001,0.078,0.046,1000
22,8.1,0.78,0.7793,0.0888,0.0887,0.001,0.072,0.041,1000
23,8.5,0.82,0.7865,0.0783,0.0813,0.001,0.066,0.037,1000
24,8.9,0.85,0.7909,0.0677,0.0730,0.001,0.060,0.032,1000
25,9.3,0.89,0.7912,0.0567,0.0638,0.001,0.052,0.026,1000
26,9.7,0.93,0.7833,0.0455,0.0538,0.001,0.044,0.021,1000
27,10.0,0.96,0.7577,0.0341,0.0434,0.001,0.035,0.016,1000
28,10.4,1.00,0.6935,0.0229,0.0330,0.000,0.027,0.011,1000
29,10.8,1.04,0.5299,0.0115,0.0226,0.000,0.018,0.005,1000
30,11.2,1.08,0.0395,0.0005,0.0130,0.000,0.011,0.000,1000
31,0.0,0.00,0.0000,0.1896,0.1094,0.011,0.357,0.354,2000
32,0.8,0.04,0.0630,0.1891,0.1112,0.012,0.363,0.353,2000
33,1.5,0.07,0.1236,0.1886,0.1131,0.012,0.369,0.352,2000
34,2.3,0.11,0.1817,0.1878,0.1149,0.012,0.375,0.350,2000
35,3.1,0.15,0.2373,0.1869,0.1167,0.012,0.381,0.349,2000
36,3.9,0.19,0.2904,0.1857,0.1185,0.012,0.387,0.346,2000
37,4.6,0.22,0.3409,0.1842,0.1201,0.012,0.392,0.344,2000
38,5.4,0.26,0.3889,0.1824,0.1216,0.013,0.397,0.340,2000
39,6.2,0.30,0.4343,0.1801,0.1229,0.013,0.401,0.336,2000
40,6.9,0.33,0.4773,0.1773,0.1239,0.013,0.405,0.331,2000
41,7.7,0.37,0.5176,0.1739,0.1245,0.013,0.407,0.325,2000
42,8.5,0.41,0.5553,0.1700,0.1247,0.013,0.407,0.317,2000
43,9.3,0.44,0.5903,0.1654,0.1246,0.013,0.407,0.309,2000
44,10.0,0.48,0.6227,0.1601,0.1238,0.013,0.404,0.299,2000
45,10.8,0.52,0.6524,0.1540,0.1225,0.013,0.400,0.287,2000
46,11.6,0.56,0.6792,0.1468,0.1201,0.012,0.392,0.274,2000
47,12.3,0.59,0.7033,0.1379,0.1162,0.012,0.379,0.257,2000
48,13.1,0.63,0.7241,0.1285,0.1117,0.012,0.365,0.240,2000
49,13.9,0.67,0.7420,0.1190,0.1069,0.011,0.349,0.222,2000
50,14.7,0.70,0.7570,0.1092,0.1016,0.011,0.332,0.204,2000
51,15.4,0.74,0.7693,0.0993,0.0956,0.010,0.312,0.185,2000
52,16.2,0.78,0.7791,0.0891,0.0890,0.009,0.291,0.166,2000
53,17.0,0.82,0.7864,0.0788,0.0816,0.008,0.267,0.147,2000
54,17.8,0.85,0.7909,0.0681,0.0733,0.008,0.240,0.127,2000
55,18.5,0.89,0.7913,0.0571,0.0642,0.007,0.210,0.107,2000
56,19.3,0.93,0.7837,0.0459,0.0542,0.006,0.177,0.086,2000
57,20.1,0.96,0.7585,0.0344,0.0437,0.005,0.143,0.064,2000
58,20.8,1.00,0.6948,0.0231,0.0332,0.003,0.108,0.043,2000
