,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1152,0.0612,0.001,0.050,0.054,1000
2,0.4,0.04,0.0676,0.1153,0.0625,0.001,0.051,0.054,1000
3,0.8,0.07,0.1324,0.1153,0.0638,0.001,0.052,0.054,1000
4,1.1,0.11,0.1943,0.1153,0.0652,0.001,0.053,0.054,1000
5,1.5,0.15,0.2533,0.1153,0.0666,0.001,0.054,0.054,1000
6,1.9,0.18,0.3095,0.1152,0.0681,0.001,0.056,0.054,1000
7,2.3,0.22,0.3626,0.1151,0.0697,0.001,0.057,0.054,1000
8,2.7,0.26,0.4129,0.1149,0.0713,0.001,0.058,0.054,1000
9,3.1,0.29,0.4603,0.1145,0.0729,0.001,0.059,0.053,1000
10,3.4,0.33,0.5050,0.1139,0.0743,0.001,0.061,0.053,1000
11,3.8,0.37,0.5471,0.1128,0.0755,0.001,0.062,0.053,1000
12,4.2,0.40,0.5864,0.1111,0.0763,0.001,0.062,0.052,1000
13,4.6,0.44,0.6230,0.1087,0.0767,0.001,0.063,0.051,1000
14,5.0,0.48,0.6567,0.1057,0.0766,0.001,0.063,0.049,1000
15,5.3,0.51,0.6874,0.1021,0.0761,0.001,0.062,0.048,1000
16,5.7,0.55,0.7149,0.0976,0.0750,0.001,0.061,0.046,1000
17,6.1,0.59,0.7389,0.0921,0.0730,0.001,0.060,0.043,1000
18,6.5,0.62,0.7592,0.0858,0.0703,0.001,0.057,0.040,1000
19,6.9,0.66,0.7757,0.0794,0.0674,0.001,0.055,0.037,1000
20,7.2,0.70,0.7888,0.0728,0.0642,0.001,0.052,0.034,1000
21,7.6,0.73,0.7986,0.0662,0.0607,0.001,0.050,0.031,1000
22,8.0,0.77,0.8055,0.0594,0.0567,0.001,0.046,0.028,1000
23,8.4,0.81,0.8101,0.0524,0.0521,0.001,0.043,0.024,1000
24,8.8,0.84,0.8124,0.0453,0.0470,0.001,0.038,0.021,1000
25,9.2,0.88,0.8111,0.0381,0.0412,0.001,0.034,0.018,1000
26,9.5,0.92,0.8028,0.0307,0.0350,0.000,0.029,0.014,1000
27,9.9,0.95,0.7783,0.0231,0.0283,0.000,0.023,0.011,1000
28,10.3,0.99,0.7158,0.0155,0.0215,0.000,0.018,0.007,1000
29,10.7,1.03,0.5565,0.0079,0.0145,0.000,0.012,0.004,1000
30,11.1,1.06,0.0003,0.0000,0.0076,0.000,0.006,0.000,1000
31,0.0,0.00,0.0000,0.1152,0.0612,0.006,0.200,0.215,2000
32,0.8,0.04,0.0675,0.1153,0.0625,0.006,0.204,0.215,2000
33,1.5,0.07,0.1323,0.1153,0.0638,0.007,0.208,0.215,2000
34,2.3,0.11,0.1942,0.1153,0.0652,0.007,0.213,0.215,2000
35,3.1,0.15,0.2532,0.1153,0.0667,0.007,0.218,0.215,2000
36,3.8,0.18,0.3093,0.1152,0.0682,0.007,0.223,0.215,2000
37,4.6,0.22,0.3624,0.1151,0.0698,0.007,0.228,0.215,2000
38,5.3,0.26,0.4127,0.1149,0.0713,0.007,0.233,0.214,2000
39,6.1,0.29,0.4602,0.1146,0.0729,0.008,0.238,0.214,2000
40,6.9,0.33,0.5048,0.1139,0.0744,0.008,0.243,0.213,2000
41,7.6,0.37,0.5470,0.1128,0.0755,0.008,0.247,0.211,2000
42,8.4,0.40,0.5863,0.1112,0.0764,0.008,0.249,0.207,2000
43,9.2,0.44,0.6229,0.1088,0.0768,0.008,0.251,0.203,2000
44,9.9,0.48,0.6566,0.1058,0.0767,0.008,0.251,0.197,2000
45,10.7,0.51,0.6873,0.1022,0.0762,0.008,0.249,0.191,2000
46,11.4,0.55,0.7148,0.0977,0.0751,0.008,0.245,0.182,2000
47,12.2,0.59,0.7388,0.0922,0.0731,0.008,0.239,0.172,2000
48,13.0,0.62,0.7592,0.0859,0.0704,0.007,0.230,0.160,2000
49,13.7,0.66,0.7757,0.0794,0.0675,0.007,0.220,0.148,2000
50,14.5,0.70,0.7888,0.0729,0.0643,0.007,0.210,0.136,2000
51,15.3,0.73,0.7987,0.0662,0.0607,0.006,0.198,0.124,2000
52,16.0,0.77,0.8056,0.0594,0.0567,0.006,0.185,0.111,2000
53,16.8,0.81,0.8101,0.0525,0.0522,0.005,0.170,0.098,2000
54,17.5,0.84,0.8124,0.0453,0.0470,0.005,0.154,0.085,2000
55,18.3,0.88,0.8110,0.0380,0.0412,0.004,0.135,0.071,2000
56,19.1,0.92,0.8024,0.0306,0.0349,0.004,0.114,0.057,2000
57,19.8,0.95,0.7776,0.0231,0.0282,0.003,0.092,0.043,2000
58,20.6,0.99,0.7148,0.0155,0.0214,0.002,0.070,0.029,2000
59,21.4,1.03,0.5546,0.0078,0.0145,0.001,0.047,0.015,2000
60,22.1,1.06,-0.0011,0.0000,0.0076,0.001,0.025,0.000,2000
61,0.0,0.00,0.0000,0.1152,0.0612,0.021,0.450,0.484,3000
62,1.1,0.04,0.0675,0.1153,0.0625,0.022,0.459,0.484,3000
63,2.3,0.07,0.1322,0.1153,0.0638,0.022,0.469,0.484,3000
64,3.4,0.11,0.1940,0.1153,0.0652,0.023,0.479,0.484,3000
65,4.6,0.15,0.2530,0.1153,0.0667,0.023,0.490,0.484,3000
66,5.7,0.18,0.3090,0.1152,0.0682,0.024,0.501,0.484,3000
67,6.9,0.22,0.3622,0.1151,0.0698,0.024,0.513,0.483,3000
68,8.0,0.26,0.4124,0.1149,0.0713,0.025,0.524,0.482,3000
69,9.1,0.29,0.4598,0.1146,0.0729,0.026,0.536,0.481,3000
70,10.3,0.33,0.5044,0.1140,0.0744,0.026,0.547,0.478,3000
71,11.4,0.37,0.5464,0.1129,0.0756,0.026,0.555,0.474,3000
72,12.6,0.40,0.5858,0.1112,0.0764,0.027,0.561,0.467,3000
73,13.7,0.44,0.6224,0.1088,0.0768,0.027,0.564,0.457,3000
74,14.9,0.48,0.6560,0.1058,0.0767,0.027,0.564,0.444,3000
75,16.0,0.51,0.6867,0.1022,0.0762,0.027,0.560,0.429,3000
76,17.1,0.55,0.7142,0.0977,0.0751,0.026,0.552,0.410,3000
77,18.3,0.59,0.7382,0.0923,0.0732,0.026,0.538,0.388,3000
78,19.4,0.62,0.7586,0.0860,0.0705,0.025,0.518,0.361,3000
79,20.6,0.66,0.7752,0.0796,0.0676,0.024,0.497,0.334,3000
80,21.7,0.70,0.7884,0.0731,0.0645,0.023,0.474,0.307,3000
81,22.9,0.73,0.7984,0.0665,0.0609,0.021,0.448,0.279,3000
82,24.0,0.77,0.8054,0.0597,0.0570,0.020,0.419,0.251,3000
83,25.1,0.80,0.8100,0.0528,0.0524,0.018,0.385,0.222,3000
84,26.3,0.84,0.8125,0.0457,0.0473,0.017,0.347,0.192,3000
85,27.4,0.88,0.8112,0.0383,0.0415,0.015,0.305,0.161,3000
86,28.6,0.91,0.8028,0.0309,0.0352,0.012,0.258,0.130,3000
87,29.7,0.95,0.7781,0.0232,0.0284,0.010,0.209,0.098,3000
88,30.9,0.99,0.7144,0.0155,0.0215,0.008,0.158,0.065,3000
89,32.0,1.02,0.5515,0.0078,0.0145,0.005,0.106,0.033,3000
90,33.2,1.06,-0.0002,0.0000,0.0077,0.003,0.057,0.000,3000
91,0.0,0.00,0.0000,0.1152,0.0612,0.051,0.799,0.860,4000
92,1.5,0.04,0.0675,0.1153,0.0625,0.052,0.816,0.860,4000
93,3.0,0.07,0.1322,0.1153,0.0638,0.053,0.833,0.861,4000
94,4.6,0.11,0.1941,0.1153,0.0652,0.054,0.852,0.861,4000
95,6.1,0.15,0.2531,0.1153,0.0667,0.055,0.871,0.860,4000
96,7.6,0.18,0.3092,0.1152,0.0682,0.057,0.891,0.860,4000
97,9.1,0.22,0.3623,0.1151,0.0697,0.058,0.911,0.859,4000
98,10.7,0.26,0.4126,0.1149,0.0713,0.059,0.932,0.858,4000
99,12.2,0.29,0.4601,0.1146,0.0729,0.060,0.952,0.855,4000
100,13.7,0.33,0.5047,0.1140,0.0744,0.062,0.972,0.851,4000
101,15.2,0.37,0.5467,0.1130,0.0756,0.063,0.988,0.843,4000
102,16.8,0.40,0.5862,0.1114,0.0764,0.063,0.999,0.831,4000
103,18.3,0.44,0.6228,0.1090,0.0768,0.064,1.004,0.814,4000
104,19.8,0.48,0.6565,0.1061,0.0768,0.064,1.004,0.792,4000
105,21.3,0.51,0.6873,0.1024,0.0763,0.063,0.997,0.764,4000
106,22.9,0.55,0.7149,0.0980,0.0752,0.062,0.982,0.731,4000
107,24.4,0.59,0.7392,0.0926,0.0733,0.061,0.958,0.691,4000
108,25.9,0.62,0.7600,0.0863,0.0706,0.059,0.922,0.644,4000
109,27.4,0.66,0.7771,0.0799,0.0677,0.056,0.884,0.596,4000
110,29.0,0.69,0.7909,0.0733,0.0644,0.053,0.842,0.547,4000
111,30.5,0.73,0.8018,0.0667,0.0609,0.050,0.795,0.498,4000
112,32.0,0.77,0.8094,0.0599,0.0568,0.047,0.742,0.447,4000
113,33.5,0.80,0.8149,0.0529,0.0522,0.043,0.682,0.395,4000
114,35.1,0.84,0.8180,0.0458,0.0471,0.039,0.615,0.341,4000
115,36.6,0.88,0.8172,0.0384,0.0413,0.034,0.539,0.287,4000
116,38.1,0.91,0.8093,0.0309,0.0349,0.029,0.456,0.231,4000
117,39.6,0.95,0.7845,0.0233,0.0282,0.023,0.369,0.174,4000
118,41.1,0.99,0.7210,0.0156,0.0213,0.018,0.279,0.116,4000
119,42.7,1.02,0.5576,0.0078,0.0144,0.012,0.188,0.058,4000
120,44.2,1.06,0.0013,0.0000,0.0077,0.006,0.100,0.000,4000
121,0.0,0.00,0.0000,0.1149,0.0573,0.093,1.169,1.340,5000
122,1.9,0.04,0.0716,0.1149,0.0587,0.095,1.199,1.340,5000
123,3.8,0.07,0.1395,0.1150,0.0603,0.098,1.231,1.340,5000
124,5.7,0.11,0.2038,0.1150,0.0619,0.100,1.264,1.341,5000
125,7.6,0.15,0.2645,0.1150,0.0636,0.103,1.298,1.340,5000
126,9.5,0.18,0.3216,0.1149,0.0654,0.106,1.334,1.340,5000
127,11.4,0.22,0.3752,0.1148,0.0672,0.109,1.371,1.339,5000
128,13.3,0.26,0.4255,0.1146,0.0690,0.112,1.409,1.337,5000
129,15.2,0.29,0.4724,0.1144,0.0709,0.115,1.447,1.333,5000
130,17.2,0.33,0.5162,0.1138,0.0726,0.118,1.482,1.327,5000
131,19.1,0.37,0.5573,0.1129,0.0741,0.120,1.513,1.316,5000
132,21.0,0.40,0.5956,0.1113,0.0752,0.122,1.535,1.298,5000
133,22.9,0.44,0.6313,0.1090,0.0758,0.123,1.548,1.271,5000
134,24.8,0.48,0.6642,0.1061,0.0760,0.123,1.551,1.237,5000
135,26.7,0.51,0.6943,0.1025,0.0756,0.122,1.544,1.195,5000
136,28.6,0.55,0.7217,0.0981,0.0746,0.121,1.522,1.143,5000
137,30.5,0.59,0.7463,0.0927,0.0727,0.118,1.484,1.081,5000
138,32.4,0.62,0.7679,0.0864,0.0700,0.113,1.428,1.007,5000
139,34.3,0.66,0.7865,0.0799,0.0669,0.108,1.366,0.932,5000
140,36.2,0.70,0.8021,0.0733,0.0636,0.103,1.298,0.855,5000
141,38.1,0.73,0.8147,0.0666,0.0599,0.097,1.222,0.777,5000
142,40.0,0.77,0.8246,0.0598,0.0557,0.090,1.138,0.697,5000
143,41.9,0.80,0.8320,0.0528,0.0511,0.083,1.043,0.616,5000
144,43.8,0.84,0.8362,0.0456,0.0459,0.074,0.937,0.532,5000
145,45.7,0.88,0.8358,0.0383,0.0402,0.065,0.821,0.446,5000
146,47.6,0.91,0.8281,0.0308,0.0340,0.055,0.694,0.359,5000
147,49.5,0.95,0.8027,0.0232,0.0275,0.044,0.560,0.270,5000
148,51.5,0.99,0.7375,0.0155,0.0208,0.034,0.425,0.181,5000
149,53.4,1.02,0.5700,0.0078,0.0140,0.023,0.286,0.091,5000
150,55.3,1.06,-0.0044,0.0000,0.0074,0.012,0.152,0.000,5000
151,0.0,0.00,0.0000,0.1146,0.0541,0.151,1.589,1.925,6000
152,2.3,0.04,0.0753,0.1147,0.0557,0.156,1.637,1.925,6000
153,4.6,0.07,0.1461,0.1147,0.0574,0.161,1.688,1.926,6000
154,6.9,0.11,0.2125,0.1147,0.0592,0.166,1.741,1.926,6000
155,9.1,0.15,0.2746,0.1147,0.0611,0.171,1.796,1.926,6000
156,11.4,0.18,0.3325,0.1147,0.0631,0.176,1.854,1.925,6000
