,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.0974,0.0369,0.001,0.047,0.064,1000
2,0.3,0.02,0.0625,0.0961,0.0372,0.001,0.047,0.063,1000
3,0.5,0.05,0.1223,0.0947,0.0374,0.001,0.047,0.063,1000
4,0.8,0.07,0.1793,0.0931,0.0377,0.001,0.048,0.062,1000
5,1.1,0.10,0.2335,0.0914,0.0378,0.001,0.048,0.060,1000
6,1.4,0.12,0.2848,0.0895,0.0380,0.001,0.048,0.059,1000
7,1.6,0.15,0.3333,0.0875,0.0381,0.001,0.048,0.058,1000
8,1.9,0.17,0.3788,0.0853,0.0381,0.001,0.048,0.056,1000
9,2.2,0.19,0.4212,0.0829,0.0380,0.001,0.048,0.055,1000
10,2.5,0.22,0.4604,0.0803,0.0379,0.001,0.048,0.053,1000
11,2.7,0.24,0.4966,0.0776,0.0377,0.001,0.048,0.051,1000
12,3.0,0.27,0.5297,0.0747,0.0375,0.001,0.047,0.049,1000
13,3.3,0.29,0.5596,0.0715,0.0371,0.001,0.047,0.047,1000
14,3.6,0.31,0.5864,0.0683,0.0366,0.001,0.046,0.045,1000
15,3.8,0.34,0.6101,0.0648,0.0359,0.001,0.045,0.043,1000
16,4.1,0.36,0.6308,0.0611,0.0351,0.001,0.044,0.040,1000
17,4.4,0.39,0.6485,0.0573,0.0342,0.001,0.043,0.038,1000
18,4.7,0.41,0.6634,0.0535,0.0331,0.001,0.042,0.035,1000
19,4.9,0.44,0.6763,0.0495,0.0318,0.001,0.040,0.033,1000
20,5.2,0.46,0.6868,0.0454,0.0304,0.001,0.038,0.030,1000
21,5.5,0.48,0.6951,0.0413,0.0287,0.001,0.036,0.027,1000
22,5.8,0.51,0.7007,0.0370,0.0268,0.001,0.034,0.024,1000
23,6.0,0.53,0.7031,0.0327,0.0247,0.000,0.031,0.022,1000
24,6.3,0.56,0.7026,0.0282,0.0223,0.000,0.028,0.019,1000
25,6.6,0.58,0.6953,0.0237,0.0198,0.000,0.025,0.016,1000
26,6.9,0.60,0.6771,0.0191,0.0170,0.000,0.021,0.013,1000
27,7.1,0.63,0.6408,0.0144,0.0141,0.000,0.018,0.010,1000
28,7.4,0.65,0.5716,0.0097,0.0110,0.000,0.014,0.006,1000
29,7.7,0.68,0.4174,0.0048,0.0078,0.000,0.010,0.003,1000
30,8.0,0.70,0.0125,0.0001,0.0050,0.000,0.006,0.000,1000
31,0.0,0.00,0.0000,0.0975,0.0369,0.006,0.186,0.258,2000
32,0.5,0.02,0.0624,0.0962,0.0372,0.006,0.188,0.254,2000
33,1.1,0.05,0.1221,0.0948,0.0375,0.006,0.189,0.250,2000
34,1.6,0.07,0.1791,0.0932,0.0377,0.006,0.190,0.246,2000
35,2.2,0.10,0.2333,0.0915,0.0379,0.006,0.191,0.242,2000
36,2.7,0.12,0.2846,0.0896,0.0380,0.006,0.192,0.237,2000
37,3.3,0.14,0.3330,0.0876,0.0381,0.006,0.192,0.231,2000
38,3.8,0.17,0.3785,0.0854,0.0381,0.006,0.192,0.226,2000
39,4.4,0.19,0.4209,0.0830,0.0381,0.006,0.192,0.219,2000
40,4.9,0.22,0.4602,0.0804,0.0380,0.006,0.192,0.212,2000
41,5.5,0.24,0.4963,0.0777,0.0378,0.006,0.191,0.205,2000
42,6.0,0.27,0.5294,0.0748,0.0375,0.006,0.189,0.198,2000
43,6.6,0.29,0.5593,0.0717,0.0371,0.006,0.187,0.189,2000
44,7.1,0.31,0.5862,0.0684,0.0366,0.006,0.185,0.181,2000
45,7.7,0.34,0.6099,0.0649,0.0360,0.006,0.182,0.171,2000
46,8.2,0.36,0.6306,0.0612,0.0352,0.006,0.178,0.162,2000
47,8.8,0.39,0.6484,0.0575,0.0342,0.005,0.173,0.152,2000
48,9.3,0.41,0.6633,0.0536,0.0332,0.005,0.167,0.142,2000
49,9.9,0.43,0.6762,0.0496,0.0319,0.005,0.161,0.131,2000
50,10.4,0.46,0.6868,0.0456,0.0304,0.005,0.154,0.120,2000
51,11.0,0.48,0.6951,0.0414,0.0288,0.005,0.145,0.109,2000
52,11.5,0.51,0.7007,0.0371,0.0269,0.004,0.136,0.098,2000
53,12.1,0.53,0.7031,0.0328,0.0248,0.004,0.125,0.087,2000
54,12.6,0.56,0.7028,0.0283,0.0224,0.004,0.113,0.075,2000
55,13.2,0.58,0.6957,0.0238,0.0198,0.003,0.100,0.063,2000
56,13.7,0.60,0.6776,0.0192,0.0171,0.003,0.086,0.051,2000
57,14.3,0.63,0.6416,0.0145,0.0142,0.002,0.072,0.038,2000
58,14.8,0.65,0.5729,0.0097,0.0111,0.002,0.056,0.026,2000
59,15.4,0.68,0.4175,0.0048,0.0078,0.001,0.040,0.013,2000
60,15.9,0.70,-0.0068,0.0000,0.0049,0.001,0.025,0.000,2000
61,0.0,0.00,0.0000,0.0974,0.0369,0.020,0.419,0.579,3000
62,0.8,0.02,0.0625,0.0962,0.0372,0.020,0.423,0.572,3000
63,1.6,0.05,0.1222,0.0947,0.0375,0.020,0.425,0.563,3000
64,2.5,0.07,0.1793,0.0932,0.0377,0.020,0.428,0.554,3000
65,3.3,0.10,0.2335,0.0914,0.0379,0.020,0.430,0.544,3000
66,4.1,0.12,0.2848,0.0896,0.0380,0.021,0.432,0.532,3000
67,4.9,0.15,0.3332,0.0875,0.0381,0.021,0.432,0.520,3000
68,5.8,0.17,0.3787,0.0853,0.0381,0.021,0.433,0.507,3000
69,6.6,0.19,0.4211,0.0829,0.0381,0.021,0.432,0.493,3000
70,7.4,0.22,0.4604,0.0803,0.0380,0.021,0.431,0.478,3000
71,8.2,0.24,0.4965,0.0776,0.0378,0.020,0.429,0.461,3000
72,9.1,0.27,0.5296,0.0747,0.0375,0.020,0.426,0.444,3000
73,9.9,0.29,0.5595,0.0716,0.0371,0.020,0.422,0.426,3000
74,10.7,0.31,0.5863,0.0683,0.0366,0.020,0.416,0.406,3000
