,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1560,0.0855,0.002,0.108,0.103,1000
2,0.4,0.04,0.0657,0.1556,0.0871,0.002,0.110,0.103,1000
3,0.8,0.07,0.1287,0.1550,0.0887,0.002,0.112,0.102,1000
4,1.3,0.11,0.1888,0.1540,0.0900,0.002,0.114,0.102,1000
5,1.7,0.15,0.2463,0.1525,0.0911,0.002,0.115,0.101,1000
6,2.1,0.18,0.3010,0.1505,0.0920,0.002,0.116,0.099,1000
7,2.5,0.22,0.3530,0.1479,0.0925,0.002,0.117,0.098,1000
8,2.9,0.26,0.4021,0.1448,0.0928,0.002,0.117,0.096,1000
9,3.3,0.29,0.4483,0.1412,0.0927,0.002,0.117,0.093,1000
10,3.8,0.33,0.4915,0.1371,0.0924,0.002,0.117,0.091,1000
11,4.2,0.37,0.5316,0.1324,0.0917,0.002,0.116,0.087,1000
12,4.6,0.40,0.5683,0.1269,0.0904,0.002,0.114,0.084,1000
13,5.0,0.44,0.6013,0.1207,0.0886,0.002,0.112,0.080,1000
14,5.4,0.48,0.6307,0.1142,0.0867,0.002,0.109,0.075,1000
15,5.9,0.52,0.6567,0.1076,0.0844,0.002,0.107,0.071,1000
16,6.3,0.55,0.6793,0.1009,0.0820,0.002,0.103,0.067,1000
17,6.7,0.59,0.6985,0.0941,0.0793,0.002,0.100,0.062,1000
18,7.1,0.63,0.7145,0.0870,0.0762,0.002,0.096,0.057,1000
19,7.5,0.66,0.7270,0.0798,0.0727,0.001,0.092,0.053,1000
20,7.9,0.70,0.7370,0.0723,0.0686,0.001,0.086,0.048,1000
21,8.4,0.74,0.7436,0.0645,0.0638,0.001,0.081,0.043,1000
22,8.8,0.77,0.7470,0.0586,0.0606,0.001,0.076,0.039,1000
23,9.2,0.81,0.7461,0.0528,0.0573,0.001,0.072,0.035,1000
24,9.6,0.85,0.7390,0.0465,0.0533,0.001,0.067,0.031,1000
25,10.0,0.88,0.7189,0.0382,0.0469,0.001,0.059,0.025,1000
26,10.5,0.92,0.6789,0.0298,0.0404,0.001,0.051,0.020,1000
27,10.9,0.96,0.6100,0.0227,0.0357,0.001,0.045,0.015,1000
28,11.3,0.99,0.5162,0.0176,0.0339,0.001,0.043,0.012,1000
29,11.7,1.03,0.3265,0.0092,0.0291,0.001,0.037,0.006,1000
30,12.1,1.07,-0.0145,-0.0003,0.0234,0.000,0.029,0.000,1000
31,0.0,0.00,0.0000,0.1569,0.0847,0.014,0.427,0.414,2000
32,0.8,0.03,0.0624,0.1566,0.0863,0.014,0.436,0.414,2000
33,1.6,0.07,0.1221,0.1561,0.0880,0.014,0.444,0.412,2000
34,2.3,0.10,0.1793,0.1554,0.0895,0.014,0.451,0.411,2000
35,3.1,0.14,0.2339,0.1543,0.0908,0.015,0.458,0.408,2000
36,3.9,0.17,0.2861,0.1528,0.0919,0.015,0.464,0.404,2000
37,4.7,0.21,0.3358,0.1508,0.0927,0.015,0.468,0.399,2000
38,5.5,0.24,0.3829,0.1485,0.0934,0.015,0.471,0.392,2000
39,6.3,0.28,0.4275,0.1456,0.0938,0.015,0.473,0.385,2000
40,7.0,0.31,0.4695,0.1424,0.0939,0.015,0.474,0.376,2000
41,7.8,0.34,0.5088,0.1386,0.0937,0.015,0.473,0.366,2000
42,8.6,0.38,0.5453,0.1342,0.0932,0.015,0.470,0.355,2000
43,9.4,0.41,0.5788,0.1291,0.0921,0.015,0.465,0.341,2000
44,10.2,0.45,0.6092,0.1233,0.0906,0.015,0.457,0.326,2000
45,10.9,0.48,0.6363,0.1174,0.0889,0.014,0.449,0.310,2000
46,11.7,0.52,0.6605,0.1114,0.0870,0.014,0.439,0.294,2000
47,12.5,0.55,0.6818,0.1052,0.0849,0.014,0.429,0.278,2000
48,13.3,0.59,0.7002,0.0987,0.0825,0.013,0.416,0.261,2000
49,14.1,0.62,0.7159,0.0919,0.0796,0.013,0.401,0.243,2000
50,14.9,0.65,0.7286,0.0850,0.0763,0.012,0.385,0.225,2000
51,15.6,0.69,0.7384,0.0779,0.0726,0.012,0.366,0.206,2000
52,16.4,0.72,0.7454,0.0705,0.0684,0.011,0.345,0.186,2000
53,17.2,0.76,0.7491,0.0626,0.0633,0.010,0.319,0.165,2000
54,18.0,0.79,0.7481,0.0544,0.0576,0.009,0.290,0.144,2000
55,18.8,0.83,0.7402,0.0460,0.0513,0.008,0.259,0.122,2000
56,19.6,0.86,0.7215,0.0374,0.0446,0.007,0.225,0.099,2000
57,20.3,0.89,0.6840,0.0286,0.0374,0.006,0.189,0.076,2000
58,21.1,0.93,0.6038,0.0193,0.0296,0.005,0.150,0.051,2000
59,21.9,0.96,0.4236,0.0097,0.0220,0.004,0.111,0.026,2000
60,22.7,1.00,-0.0016,0.0000,0.0150,0.002,0.076,0.000,2000
61,0.0,0.00,0.0000,0.1566,0.0824,0.045,0.936,0.931,3000
62,1.2,0.03,0.0630,0.1563,0.0840,0.045,0.954,0.929,3000
63,2.3,0.07,0.1232,0.1558,0.0856,0.046,0.972,0.926,3000
64,3.5,0.10,0.1807,0.1550,0.0872,0.047,0.990,0.922,3000
65,4.6,0.14,0.2354,0.1540,0.0886,0.048,1.006,0.915,3000
66,5.8,0.17,0.2874,0.1525,0.0899,0.049,1.020,0.907,3000
67,6.9,0.20,0.3368,0.1506,0.0909,0.049,1.032,0.895,3000
68,8.1,0.24,0.3836,0.1483,0.0916,0.050,1.040,0.881,3000
69,9.2,0.27,0.4279,0.1455,0.0921,0.050,1.046,0.865,3000
70,10.4,0.30,0.4696,0.1423,0.0923,0.050,1.048,0.846,3000
71,11.5,0.34,0.5087,0.1385,0.0922,0.050,1.047,0.823,3000
72,12.7,0.37,0.5453,0.1342,0.0917,0.050,1.041,0.798,3000
73,13.9,0.41,0.5793,0.1292,0.0906,0.049,1.029,0.768,3000
74,15.0,0.44,0.6104,0.1234,0.0890,0.048,1.011,0.734,3000
75,16.2,0.47,0.6387,0.1175,0.0872,0.047,0.990,0.698,3000
76,17.3,0.51,0.6644,0.1113,0.0851,0.046,0.966,0.662,3000
77,18.5,0.54,0.6876,0.1049,0.0826,0.045,0.938,0.624,3000
