,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1097,0.0648,0.003,0.203,0.150,1000
2,0.6,0.04,0.0711,0.1099,0.0663,0.003,0.208,0.151,1000
3,1.2,0.09,0.1392,0.1101,0.0678,0.003,0.213,0.151,1000
4,1.8,0.13,0.2041,0.1103,0.0695,0.003,0.218,0.151,1000
5,2.3,0.17,0.2658,0.1106,0.0713,0.004,0.224,0.151,1000
6,2.9,0.21,0.3244,0.1108,0.0732,0.004,0.230,0.152,1000
7,3.5,0.26,0.3797,0.1110,0.0752,0.004,0.236,0.152,1000
8,4.1,0.30,0.4318,0.1112,0.0772,0.004,0.242,0.152,1000
9,4.7,0.34,0.4808,0.1113,0.0794,0.004,0.249,0.152,1000
10,5.3,0.39,0.5267,0.1113,0.0815,0.004,0.256,0.152,1000
11,5.8,0.43,0.5696,0.1112,0.0837,0.004,0.263,0.152,1000
12,6.4,0.47,0.6096,0.1109,0.0858,0.004,0.269,0.152,1000
13,7.0,0.51,0.6466,0.1102,0.0877,0.004,0.275,0.151,1000
14,7.6,0.56,0.6809,0.1090,0.0892,0.004,0.280,0.149,1000
15,8.2,0.60,0.7126,0.1068,0.0899,0.004,0.282,0.146,1000
16,8.8,0.64,0.7412,0.1035,0.0898,0.004,0.282,0.142,1000
17,9.4,0.69,0.7666,0.0991,0.0887,0.004,0.278,0.136,1000
18,9.9,0.73,0.7887,0.0936,0.0865,0.004,0.271,0.128,1000
19,10.5,0.77,0.8072,0.0867,0.0829,0.004,0.260,0.119,1000
20,11.1,0.81,0.8219,0.0795,0.0788,0.004,0.247,0.109,1000
21,11.7,0.86,0.8332,0.0722,0.0742,0.004,0.233,0.099,1000
22,12.3,0.90,0.8414,0.0647,0.0692,0.003,0.217,0.089,1000
23,12.9,0.94,0.8471,0.0572,0.0636,0.003,0.200,0.078,1000
24,13.4,0.99,0.8510,0.0494,0.0573,0.003,0.180,0.068,1000
25,14.0,1.03,0.8528,0.0415,0.0501,0.002,0.157,0.057,1000
26,14.6,1.07,0.8502,0.0334,0.0421,0.002,0.132,0.046,1000
27,15.2,1.11,0.8388,0.0252,0.0335,0.002,0.105,0.034,1000
28,15.8,1.16,0.8024,0.0169,0.0244,0.001,0.077,0.023,1000
29,16.4,1.20,0.6874,0.0085,0.0149,0.001,0.047,0.012,1000
30,17.0,1.24,0.0009,0.0000,0.0059,0.000,0.019,0.000,1000
31,0.0,0.00,0.0000,0.1097,0.0649,0.026,0.815,0.601,2000
32,1.2,0.04,0.0710,0.1099,0.0664,0.026,0.833,0.602,2000
33,2.3,0.09,0.1389,0.1101,0.0679,0.027,0.853,0.603,2000
34,3.5,0.13,0.2038,0.1103,0.0696,0.028,0.874,0.604,2000
35,4.7,0.17,0.2654,0.1106,0.0714,0.028,0.897,0.606,2000
36,5.8,0.21,0.3239,0.1108,0.0733,0.029,0.921,0.607,2000
37,7.0,0.26,0.3792,0.1110,0.0753,0.030,0.945,0.608,2000
38,8.2,0.30,0.4313,0.1112,0.0773,0.031,0.971,0.609,2000
39,9.4,0.34,0.4804,0.1113,0.0794,0.032,0.998,0.610,2000
40,10.5,0.39,0.5262,0.1114,0.0816,0.033,1.025,0.610,2000
41,11.7,0.43,0.5690,0.1113,0.0838,0.033,1.052,0.610,2000
42,12.9,0.47,0.6090,0.1110,0.0859,0.034,1.079,0.608,2000
