,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1814,0.1043,0.005,0.333,0.252,1000
2,0.5,0.04,0.0628,0.1816,0.1065,0.005,0.340,0.252,1000
3,1.0,0.07,0.1232,0.1817,0.1086,0.006,0.347,0.252,1000
4,1.5,0.11,0.1811,0.1819,0.1109,0.006,0.354,0.252,1000
5,2.0,0.15,0.2366,0.1820,0.1133,0.006,0.362,0.253,1000
6,2.5,0.18,0.2895,0.1820,0.1158,0.006,0.369,0.253,1000
7,3.0,0.22,0.3399,0.1819,0.1182,0.006,0.377,0.252,1000
8,3.5,0.26,0.3879,0.1812,0.1204,0.006,0.384,0.251,1000
9,4.0,0.29,0.4337,0.1797,0.1221,0.006,0.390,0.249,1000
10,4.5,0.33,0.4771,0.1775,0.1233,0.006,0.393,0.246,1000
11,5.0,0.37,0.5179,0.1743,0.1239,0.006,0.395,0.242,1000
12,5.5,0.41,0.5563,0.1701,0.1239,0.006,0.395,0.236,1000
13,6.0,0.44,0.5921,0.1650,0.1231,0.006,0.393,0.229,1000
14,6.5,0.48,0.6252,0.1586,0.1214,0.006,0.388,0.220,1000
15,7.1,0.52,0.6557,0.1506,0.1184,0.006,0.378,0.209,1000
16,7.6,0.55,0.6828,0.1420,0.1148,0.006,0.367,0.197,1000
17,8.1,0.59,0.7065,0.1332,0.1110,0.006,0.354,0.185,1000
18,8.6,0.63,0.7269,0.1242,0.1069,0.005,0.341,0.172,1000
19,9.1,0.66,0.7440,0.1150,0.1024,0.005,0.327,0.160,1000
20,9.6,0.70,0.7580,0.1056,0.0975,0.005,0.311,0.147,1000
21,10.1,0.74,0.7686,0.0961,0.0920,0.005,0.294,0.133,1000
22,10.6,0.77,0.7758,0.0863,0.0860,0.004,0.274,0.120,1000
23,11.1,0.81,0.7796,0.0762,0.0792,0.004,0.253,0.106,1000
24,11.6,0.85,0.7786,0.0659,0.0716,0.004,0.229,0.091,1000
25,12.1,0.88,0.7701,0.0553,0.0634,0.003,0.202,0.077,1000
26,12.6,0.92,0.7509,0.0445,0.0545,0.003,0.174,0.062,1000
27,13.1,0.96,0.7094,0.0335,0.0452,0.002,0.144,0.047,1000
28,13.6,0.99,0.6258,0.0224,0.0356,0.002,0.114,0.031,1000
29,14.1,1.03,0.4504,0.0113,0.0258,0.001,0.082,0.016,1000
30,14.6,1.07,-0.0018,0.0000,0.0159,0.001,0.051,0.000,1000
31,0.0,0.00,0.0000,0.1814,0.1045,0.042,1.334,1.007,2000
32,1.0,0.04,0.0627,0.1816,0.1066,0.043,1.361,1.008,2000
33,2.0,0.07,0.1231,0.1818,0.1088,0.044,1.389,1.009,2000
34,3.0,0.11,0.1809,0.1819,0.1111,0.045,1.418,1.010,2000
35,4.0,0.15,0.2363,0.1820,0.1134,0.046,1.448,1.011,2000
36,5.0,0.18,0.2892,0.1821,0.1159,0.047,1.480,1.011,2000
37,6.0,0.22,0.3395,0.1820,0.1184,0.048,1.511,1.010,2000
38,7.1,0.26,0.3875,0.1813,0.1206,0.049,1.540,1.007,2000
39,8.1,0.29,0.4333,0.1799,0.1223,0.050,1.562,0.999,2000
40,9.1,0.33,0.4767,0.1777,0.1235,0.050,1.577,0.987,2000
41,10.1,0.37,0.5176,0.1746,0.1242,0.050,1.585,0.969,2000
42,11.1,0.40,0.5559,0.1704,0.1242,0.050,1.585,0.946,2000
43,12.1,0.44,0.5917,0.1653,0.1234,0.050,1.575,0.918,2000
