,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1223,0.0700,0.004,0.227,0.172,1000
2,0.5,0.04,0.0677,0.1225,0.0715,0.004,0.232,0.172,1000
3,1.1,0.08,0.1326,0.1227,0.0731,0.004,0.238,0.173,1000
4,1.6,0.12,0.1946,0.1228,0.0748,0.004,0.243,0.173,1000
5,2.2,0.16,0.2538,0.1230,0.0766,0.004,0.249,0.173,1000
6,2.7,0.20,0.3100,0.1231,0.0785,0.004,0.255,0.173,1000
7,3.3,0.24,0.3634,0.1232,0.0804,0.004,0.261,0.173,1000
8,3.8,0.28,0.4138,0.1232,0.0824,0.004,0.268,0.174,1000
9,4.3,0.32,0.4614,0.1232,0.0844,0.004,0.274,0.174,1000
10,4.9,0.36,0.5063,0.1230,0.0864,0.004,0.281,0.173,1000
11,5.4,0.40,0.5485,0.1223,0.0882,0.005,0.286,0.172,1000
12,6.0,0.43,0.5883,0.1210,0.0894,0.005,0.291,0.170,1000
13,6.5,0.47,0.6255,0.1188,0.0901,0.005,0.293,0.167,1000
14,7.1,0.51,0.6597,0.1158,0.0902,0.005,0.293,0.163,1000
15,7.6,0.55,0.6911,0.1119,0.0896,0.005,0.291,0.158,1000
16,8.1,0.59,0.7192,0.1069,0.0881,0.005,0.286,0.151,1000
17,8.7,0.63,0.7439,0.1009,0.0858,0.004,0.279,0.142,1000
18,9.2,0.67,0.7649,0.0940,0.0826,0.004,0.268,0.132,1000
19,9.8,0.71,0.7822,0.0870,0.0791,0.004,0.257,0.122,1000
20,10.3,0.75,0.7959,0.0798,0.0753,0.004,0.245,0.112,1000
21,10.9,0.79,0.8066,0.0725,0.0711,0.004,0.231,0.102,1000
22,11.4,0.83,0.8143,0.0651,0.0663,0.003,0.216,0.092,1000
23,11.9,0.87,0.8199,0.0575,0.0610,0.003,0.198,0.081,1000
24,12.5,0.91,0.8236,0.0497,0.0548,0.003,0.178,0.070,1000
25,13.0,0.95,0.8232,0.0417,0.0480,0.002,0.156,0.059,1000
26,13.6,0.99,0.8169,0.0335,0.0405,0.002,0.132,0.047,1000
27,14.1,1.03,0.7973,0.0253,0.0326,0.002,0.106,0.036,1000
28,14.7,1.07,0.7462,0.0170,0.0243,0.001,0.079,0.024,1000
29,15.2,1.11,0.6087,0.0087,0.0157,0.001,0.051,0.012,1000
30,15.7,1.15,0.0106,0.0001,0.0079,0.000,0.026,0.000,1000
31,0.0,0.00,0.0000,0.1223,0.0701,0.029,0.911,0.689,2000
32,1.1,0.04,0.0676,0.1225,0.0716,0.030,0.931,0.690,2000
33,2.2,0.08,0.1324,0.1227,0.0732,0.030,0.952,0.691,2000
34,3.3,0.12,0.1944,0.1228,0.0749,0.031,0.974,0.692,2000
35,4.3,0.16,0.2535,0.1230,0.0767,0.032,0.997,0.693,2000
36,5.4,0.20,0.3097,0.1231,0.0785,0.032,1.021,0.693,2000
37,6.5,0.24,0.3630,0.1232,0.0805,0.033,1.046,0.694,2000
38,7.6,0.28,0.4135,0.1233,0.0825,0.034,1.072,0.694,2000
39,8.7,0.32,0.4610,0.1233,0.0845,0.035,1.099,0.694,2000
40,9.8,0.36,0.5058,0.1231,0.0866,0.036,1.125,0.693,2000
41,10.9,0.40,0.5481,0.1225,0.0883,0.036,1.148,0.690,2000
42,11.9,0.43,0.5879,0.1211,0.0896,0.037,1.164,0.682,2000
43,13.0,0.47,0.6251,0.1190,0.0903,0.037,1.173,0.670,2000
44,14.1,0.51,0.6594,0.1160,0.0904,0.037,1.175,0.653,2000
45,15.2,0.55,0.6907,0.1121,0.0898,0.037,1.167,0.631,2000
46,16.3,0.59,0.7189,0.1071,0.0883,0.036,1.148,0.603,2000
47,17.4,0.63,0.7437,0.1011,0.0860,0.035,1.118,0.570,2000
48,18.4,0.67,0.7648,0.0942,0.0828,0.034,1.076,0.531,2000
49,19.5,0.71,0.7821,0.0872,0.0793,0.033,1.031,0.491,2000
50,20.6,0.75,0.7959,0.0800,0.0754,0.031,0.981,0.451,2000
51,21.7,0.79,0.8066,0.0727,0.0712,0.029,0.926,0.409,2000
52,22.8,0.83,0.8143,0.0652,0.0665,0.027,0.864,0.368,2000
53,23.9,0.87,0.8200,0.0576,0.0611,0.025,0.794,0.325,2000
54,25.0,0.91,0.8237,0.0498,0.0550,0.023,0.715,0.281,2000
55,26.0,0.95,0.8233,0.0418,0.0482,0.020,0.626,0.236,2000
56,27.1,0.99,0.8171,0.0336,0.0407,0.017,0.529,0.189,2000
57,28.2,1.03,0.7976,0.0254,0.0327,0.013,0.425,0.143,2000
58,29.3,1.07,0.7471,0.0171,0.0244,0.010,0.317,0.096,2000
59,30.4,1.11,0.6087,0.0087,0.0157,0.006,0.204,0.049,2000
60,31.5,1.15,-0.0050,0.0000,0.0077,0.003,0.101,0.000,2000
61,0.0,0.00,0.0000,0.1217,0.0635,0.088,1.858,1.543,3000
62,1.6,0.04,0.0736,0.1219,0.0654,0.091,1.912,1.545,3000
63,3.3,0.08,0.1432,0.1220,0.0673,0.094,1.969,1.547,3000
64,4.9,0.12,0.2088,0.1222,0.0694,0.097,2.029,1.549,3000
65,6.5,0.16,0.2704,0.1223,0.0715,0.100,2.091,1.551,3000
66,8.1,0.20,0.3281,0.1225,0.0737,0.103,2.156,1.552,3000
67,9.8,0.24,0.3820,0.1226,0.0760,0.106,2.224,1.554,3000
68,11.4,0.28,0.4324,0.1227,0.0784,0.109,2.294,1.555,3000
69,13.0,0.32,0.4792,0.1227,0.0809,0.113,2.367,1.555,3000
70,14.6,0.36,0.5228,0.1226,0.0834,0.116,2.439,1.554,3000
71,16.3,0.39,0.5634,0.1221,0.0856,0.119,2.503,1.547,3000
72,17.9,0.43,0.6015,0.1209,0.0873,0.122,2.554,1.532,3000
73,19.5,0.47,0.6370,0.1188,0.0884,0.123,2.586,1.506,3000
74,21.2,0.51,0.6698,0.1159,0.0888,0.124,2.598,1.468,3000
75,22.8,0.55,0.7000,0.1120,0.0885,0.123,2.587,1.419,3000
76,24.4,0.59,0.7277,0.1071,0.0872,0.121,2.550,1.357,3000
77,26.0,0.63,0.7528,0.1012,0.0849,0.118,2.484,1.282,3000
78,27.7,0.67,0.7752,0.0943,0.0817,0.114,2.389,1.195,3000
79,29.3,0.71,0.7948,0.0872,0.0780,0.109,2.282,1.105,3000
80,30.9,0.75,0.8118,0.0800,0.0740,0.103,2.163,1.014,3000
81,32.5,0.79,0.8258,0.0727,0.0695,0.097,2.033,0.921,3000
82,34.2,0.83,0.8372,0.0652,0.0646,0.090,1.888,0.826,3000
83,35.8,0.87,0.8466,0.0575,0.0590,0.082,1.727,0.729,3000
84,37.4,0.91,0.8521,0.0496,0.0529,0.074,1.548,0.629,3000
85,39.1,0.95,0.8527,0.0416,0.0463,0.064,1.353,0.528,3000
86,40.7,0.99,0.8469,0.0334,0.0390,0.054,1.139,0.423,3000
87,42.3,1.03,0.8261,0.0251,0.0312,0.043,0.913,0.318,3000
88,43.9,1.07,0.7724,0.0168,0.0232,0.032,0.678,0.213,3000
89,45.6,1.11,0.6237,0.0084,0.0150,0.021,0.438,0.107,3000
90,47.2,1.15,-0.0014,0.0000,0.0074,0.010,0.217,0.000,3000
91,0.0,0.00,0.0000,0.1233,0.0797,0.263,4.146,2.778,4000
92,2.2,0.04,0.0604,0.1235,0.0806,0.266,4.191,2.782,4000
93,4.3,0.08,0.1196,0.1237,0.0815,0.269,4.240,2.786,4000
94,6.5,0.12,0.1773,0.1238,0.0826,0.273,4.296,2.790,4000
95,8.7,0.16,0.2335,0.1240,0.0837,0.276,4.355,2.793,4000
96,10.8,0.20,0.2881,0.1241,0.0849,0.280,4.417,2.796,4000
97,13.0,0.24,0.3409,0.1242,0.0862,0.284,4.482,2.798,4000
98,15.2,0.28,0.3921,0.1242,0.0874,0.289,4.547,2.798,4000
99,17.3,0.32,0.4416,0.1242,0.0887,0.293,4.613,2.798,4000
100,19.5,0.35,0.4895,0.1240,0.0899,0.297,4.675,2.794,4000
101,21.7,0.39,0.5359,0.1234,0.0909,0.300,4.724,2.781,4000
102,23.8,0.43,0.5807,0.1222,0.0913,0.301,4.746,2.752,4000
103,26.0,0.47,0.6233,0.1200,0.0911,0.301,4.738,2.704,4000
104,28.2,0.51,0.6625,0.1169,0.0905,0.299,4.705,2.634,4000
105,30.3,0.55,0.6979,0.1129,0.0893,0.295,4.643,2.543,4000
106,32.5,0.59,0.7296,0.1078,0.0874,0.289,4.546,2.429,4000
107,34.7,0.63,0.7574,0.1018,0.0848,0.280,4.409,2.293,4000
108,36.8,0.67,0.7815,0.0948,0.0814,0.268,4.230,2.137,4000
109,39.0,0.71,0.8024,0.0877,0.0776,0.256,4.035,1.976,4000
110,41.2,0.75,0.8211,0.0805,0.0734,0.242,3.818,1.813,4000
111,43.3,0.79,0.8371,0.0731,0.0688,0.227,3.580,1.646,4000
112,45.5,0.83,0.8507,0.0655,0.0638,0.211,3.318,1.477,4000
113,47.7,0.87,0.8623,0.0578,0.0582,0.192,3.026,1.303,4000
114,49.8,0.91,0.8695,0.0499,0.0521,0.172,2.708,1.125,4000
115,52.0,0.95,0.8715,0.0419,0.0455,0.150,2.364,0.943,4000
116,54.2,0.99,0.8674,0.0337,0.0383,0.126,1.990,0.758,4000
117,56.3,1.03,0.8478,0.0254,0.0307,0.101,1.596,0.572,4000
118,58.5,1.06,0.7964,0.0170,0.0228,0.075,1.183,0.384,4000
119,60.7,1.10,0.6506,0.0086,0.0145,0.048,0.755,0.193,4000
120,62.8,1.14,-0.0010,0.0000,0.0071,0.023,0.367,0.000,4000
121,0.0,0.00,0.0000,0.1292,0.1401,0.903,11.379,4.547,5000
122,2.7,0.04,0.0372,0.1294,0.1373,0.885,11.158,4.555,5000
123,5.4,0.08,0.0760,0.1295,0.1345,0.867,10.925,4.561,5000
124,8.1,0.12,0.1166,0.1297,0.1316,0.848,10.691,4.565,5000
125,10.8,0.16,0.1591,0.1297,0.1286,0.829,10.449,4.568,5000
126,13.5,0.20,0.2038,0.1297,0.1255,0.809,10.197,4.567,5000
127,16.2,0.24,0.2507,0.1296,0.1223,0.789,9.940,4.562,5000
128,19.0,0.28,0.2999,0.1293,0.1191,0.767,9.673,4.553,5000
129,21.7,0.32,0.3516,0.1290,0.1157,0.746,9.400,4.540,5000
130,24.4,0.35,0.4060,0.1284,0.1122,0.723,9.118,4.519,5000
131,27.1,0.39,0.4628,0.1274,0.1086,0.700,8.819,4.484,5000
132,29.8,0.43,0.5214,0.1256,0.1045,0.674,8.490,4.421,5000
133,32.5,0.47,0.5799,0.1229,0.1003,0.646,8.147,4.325,5000
134,35.2,0.51,0.6347,0.1192,0.0963,0.621,7.823,4.196,5000
135,37.9,0.55,0.6832,0.1146,0.0926,0.597,7.523,4.033,5000
136,40.6,0.59,0.7244,0.1090,0.0890,0.574,7.233,3.838,5000
137,43.3,0.63,0.7579,0.1026,0.0854,0.550,6.938,3.611,5000
138,46.0,0.67,0.7843,0.0954,0.0816,0.526,6.627,3.359,5000
139,48.7,0.71,0.8059,0.0883,0.0778,0.501,6.317,3.107,5000
140,51.4,0.75,0.8253,0.0810,0.0735,0.474,5.972,2.850,5000
141,54.2,0.79,0.8423,0.0735,0.0688,0.444,5.592,2.587,5000
142,56.9,0.83,0.8571,0.0659,0.0637,0.410,5.172,2.319,5000
143,59.6,0.87,0.8699,0.0581,0.0580,0.374,4.709,2.046,5000
144,62.3,0.91,0.8788,0.0501,0.0518,0.334,4.206,1.765,5000
145,65.0,0.95,0.8828,0.0421,0.0451,0.291,3.666,1.481,5000
146,67.7,0.99,0.8806,0.0339,0.0379,0.244,3.080,1.192,5000
147,70.4,1.03,0.8631,0.0255,0.0303,0.195,2.461,0.898,5000
148,73.1,1.06,0.8139,0.0171,0.0223,0.144,1.815,0.601,5000
149,75.8,1.10,0.6698,0.0085,0.0141,0.091,1.143,0.300,5000
150,78.5,1.14,-0.0115,-0.0001,0.0066,0.043,0.539,-0.002,5000
151,0.0,0.00,0.0000,0.1342,0.1929,2.149,22.569,6.803,6000
152,3.2,0.04,0.0283,0.1344,0.1870,2.082,21.874,6.815,6000
153,6.5,0.08,0.0586,0.1346,0.1810,2.016,21.172,6.824,6000
154,9.7,0.12,0.0911,0.1347,0.1748,1.947,20.454,6.830,6000
155,13.0,0.16,0.1262,0.1347,0.1683,1.874,19.684,6.830,6000
156,16.2,0.20,0.1639,0.1346,0.1617,1.801,18.920,6.824,6000
157,19.5,0.24,0.2051,0.1343,0.1548,1.724,18.108,6.809,6000
158,22.7,0.28,0.2499,0.1338,0.1477,1.645,17.276,6.785,6000
159,26.0,0.32,0.2990,0.1332,0.1404,1.563,16.420,6.751,6000
160,29.2,0.35,0.3528,0.1322,0.1329,1.480,15.548,6.704,6000
161,32.5,0.39,0.4118,0.1310,0.1253,1.395,14.654,6.639,6000
162,35.7,0.43,0.4758,0.1289,0.1174,1.307,13.734,6.535,6000
163,38.9,0.47,0.5434,0.1258,0.1094,1.218,12.799,6.376,6000
164,42.2,0.51,0.6094,0.1216,0.1022,1.138,11.956,6.166,6000
165,45.4,0.55,0.6685,0.1165,0.0961,1.071,11.246,5.908,6000
166,48.7,0.59,0.7181,0.1105,0.0909,1.013,10.640,5.604,6000
167,51.9,0.63,0.7569,0.1038,0.0864,0.962,10.107,5.260,6000
168,55.2,0.67,0.7856,0.0964,0.0822,0.915,9.615,4.888,6000
169,58.4,0.71,0.8078,0.0892,0.0783,0.872,9.158,4.521,6000
170,61.7,0.75,0.8278,0.0818,0.0740,0.824,8.655,4.148,6000
171,64.9,0.79,0.8457,0.0743,0.0692,0.771,8.096,3.766,6000
172,68.1,0.83,0.8616,0.0666,0.0639,0.712,7.481,3.377,6000
173,71.4,0.87,0.8755,0.0588,0.0582,0.648,6.806,2.980,6000
174,74.6,0.91,0.8860,0.0508,0.0519,0.578,6.075,2.575,6000
