,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1035,0.0605,0.003,0.165,0.127,1000
2,0.6,0.04,0.0712,0.1037,0.0619,0.003,0.169,0.127,1000
3,1.1,0.09,0.1395,0.1039,0.0633,0.003,0.173,0.127,1000
4,1.7,0.13,0.2046,0.1041,0.0649,0.003,0.177,0.127,1000
5,2.3,0.17,0.2665,0.1043,0.0665,0.003,0.181,0.128,1000
6,2.8,0.21,0.3253,0.1045,0.0683,0.003,0.186,0.128,1000
7,3.4,0.26,0.3808,0.1047,0.0701,0.003,0.191,0.128,1000
8,3.9,0.30,0.4332,0.1048,0.0720,0.003,0.196,0.128,1000
9,4.5,0.34,0.4823,0.1049,0.0740,0.003,0.202,0.128,1000
10,5.1,0.38,0.5284,0.1050,0.0760,0.003,0.207,0.128,1000
11,5.6,0.43,0.5714,0.1048,0.0780,0.003,0.213,0.128,1000
12,6.2,0.47,0.6114,0.1044,0.0799,0.003,0.218,0.128,1000
13,6.8,0.51,0.6486,0.1036,0.0815,0.004,0.222,0.127,1000
14,7.3,0.55,0.6830,0.1021,0.0827,0.004,0.225,0.125,1000
15,7.9,0.60,0.7146,0.0999,0.0832,0.004,0.227,0.122,1000
16,8.5,0.64,0.7431,0.0969,0.0832,0.004,0.227,0.119,1000
17,9.0,0.68,0.7685,0.0931,0.0824,0.004,0.225,0.114,1000
18,9.6,0.72,0.7904,0.0884,0.0809,0.003,0.221,0.108,1000
19,10.1,0.77,0.8089,0.0828,0.0784,0.003,0.214,0.101,1000
20,10.7,0.81,0.8237,0.0762,0.0747,0.003,0.204,0.093,1000
21,11.3,0.85,0.8349,0.0691,0.0704,0.003,0.192,0.085,1000
22,11.8,0.89,0.8431,0.0620,0.0657,0.003,0.179,0.076,1000
23,12.4,0.94,0.8486,0.0548,0.0604,0.003,0.165,0.067,1000
24,13.0,0.98,0.8521,0.0474,0.0544,0.002,0.148,0.058,1000
25,13.5,1.02,0.8533,0.0398,0.0476,0.002,0.130,0.049,1000
26,14.1,1.06,0.8509,0.0321,0.0401,0.002,0.109,0.039,1000
27,14.7,1.11,0.8393,0.0242,0.0319,0.001,0.087,0.030,1000
28,15.2,1.15,0.8004,0.0162,0.0233,0.001,0.063,0.020,1000
29,15.8,1.19,0.6775,0.0082,0.0144,0.001,0.039,0.010,1000
30,16.3,1.23,0.0012,0.0000,0.0053,0.000,0.014,0.000,1000
31,0.0,0.00,0.0000,0.1035,0.0606,0.021,0.661,0.507,2000
32,1.1,0.04,0.0711,0.1037,0.0620,0.021,0.676,0.508,2000
33,2.3,0.09,0.1392,0.1039,0.0634,0.022,0.692,0.508,2000
34,3.4,0.13,0.2043,0.1041,0.0650,0.022,0.709,0.509,2000
35,4.5,0.17,0.2661,0.1043,0.0666,0.023,0.727,0.510,2000
36,5.6,0.21,0.3248,0.1045,0.0684,0.024,0.746,0.511,2000
37,6.8,0.26,0.3803,0.1047,0.0702,0.024,0.766,0.512,2000
38,7.9,0.30,0.4326,0.1049,0.0721,0.025,0.787,0.513,2000
39,9.0,0.34,0.4818,0.1050,0.0741,0.026,0.808,0.514,2000
40,10.1,0.38,0.5278,0.1050,0.0761,0.026,0.830,0.514,2000
41,11.3,0.43,0.5708,0.1049,0.0781,0.027,0.852,0.513,2000
42,12.4,0.47,0.6109,0.1045,0.0800,0.028,0.873,0.512,2000
43,13.5,0.51,0.6481,0.1037,0.0816,0.028,0.890,0.508,2000
44,14.7,0.55,0.6826,0.1023,0.0828,0.029,0.903,0.501,2000
45,15.8,0.60,0.7143,0.1001,0.0834,0.029,0.909,0.490,2000
46,16.9,0.64,0.7428,0.0971,0.0834,0.029,0.909,0.475,2000
47,18.0,0.68,0.7682,0.0933,0.0826,0.029,0.901,0.457,2000
48,19.2,0.72,0.7902,0.0886,0.0811,0.028,0.884,0.434,2000
49,20.3,0.77,0.8087,0.0830,0.0786,0.027,0.857,0.406,2000
50,21.4,0.81,0.8236,0.0764,0.0749,0.026,0.817,0.374,2000
51,22.5,0.85,0.8349,0.0693,0.0706,0.024,0.770,0.339,2000
52,23.7,0.89,0.8431,0.0622,0.0658,0.023,0.718,0.304,2000
53,24.8,0.94,0.8487,0.0549,0.0605,0.021,0.660,0.269,2000
54,25.9,0.98,0.8521,0.0475,0.0545,0.019,0.595,0.233,2000
55,27.1,1.02,0.8534,0.0399,0.0477,0.017,0.521,0.195,2000
56,28.2,1.06,0.8510,0.0322,0.0402,0.014,0.438,0.158,2000
57,29.3,1.11,0.8394,0.0243,0.0320,0.011,0.348,0.119,2000
58,30.4,1.15,0.8005,0.0163,0.0233,0.008,0.254,0.080,2000
59,31.6,1.19,0.6774,0.0082,0.0144,0.005,0.157,0.040,2000
60,32.7,1.23,0.0021,0.0000,0.0053,0.002,0.058,0.000,2000
61,0.0,0.00,0.0000,0.1032,0.0577,0.067,1.415,1.137,3000
62,1.7,0.04,0.0743,0.1034,0.0591,0.069,1.451,1.139,3000
63,3.4,0.09,0.1451,0.1036,0.0607,0.071,1.490,1.141,3000
64,5.1,0.13,0.2121,0.1038,0.0624,0.073,1.531,1.143,3000
65,6.8,0.17,0.2755,0.1040,0.0642,0.075,1.575,1.145,3000
66,8.5,0.21,0.3352,0.1042,0.0661,0.077,1.622,1.148,3000
67,10.1,0.26,0.3913,0.1044,0.0681,0.079,1.670,1.150,3000
68,11.8,0.30,0.4438,0.1046,0.0701,0.082,1.721,1.152,3000
69,13.5,0.34,0.4928,0.1047,0.0723,0.084,1.773,1.153,3000
70,15.2,0.38,0.5383,0.1047,0.0744,0.087,1.826,1.153,3000
71,16.9,0.43,0.5807,0.1046,0.0766,0.089,1.879,1.152,3000
72,18.6,0.47,0.6198,0.1043,0.0787,0.092,1.930,1.148,3000
73,20.3,0.51,0.6561,0.1035,0.0805,0.094,1.975,1.140,3000
74,22.0,0.55,0.6896,0.1021,0.0818,0.096,2.008,1.124,3000
75,23.7,0.60,0.7203,0.0999,0.0826,0.096,2.027,1.101,3000
76,25.4,0.64,0.7482,0.0970,0.0827,0.097,2.030,1.069,3000
77,27.1,0.68,0.7731,0.0933,0.0821,0.096,2.015,1.028,3000
78,28.7,0.72,0.7951,0.0887,0.0806,0.094,1.978,0.977,3000
79,30.4,0.77,0.8140,0.0831,0.0781,0.091,1.917,0.915,3000
80,32.1,0.81,0.8299,0.0765,0.0744,0.087,1.827,0.842,3000
81,33.8,0.85,0.8427,0.0694,0.0700,0.082,1.719,0.764,3000
82,35.5,0.89,0.8527,0.0622,0.0652,0.076,1.599,0.685,3000
83,37.2,0.94,0.8601,0.0549,0.0597,0.070,1.465,0.604,3000
84,38.9,0.98,0.8652,0.0474,0.0536,0.063,1.316,0.522,3000
85,40.6,1.02,0.8674,0.0398,0.0469,0.055,1.150,0.439,3000
86,42.3,1.06,0.8656,0.0321,0.0394,0.046,0.967,0.353,3000
87,44.0,1.11,0.8543,0.0242,0.0313,0.037,0.767,0.266,3000
88,45.7,1.15,0.8150,0.0162,0.0228,0.027,0.560,0.178,3000
89,47.3,1.19,0.6897,0.0082,0.0141,0.016,0.346,0.090,3000
90,49.0,1.23,0.0009,0.0000,0.0052,0.006,0.129,0.000,3000
91,0.0,0.00,0.0000,0.1027,0.0513,0.142,2.236,2.011,4000
92,2.3,0.04,0.0825,0.1029,0.0530,0.147,2.313,2.014,4000
93,4.5,0.09,0.1595,0.1030,0.0549,0.152,2.395,2.017,4000
94,6.8,0.13,0.2313,0.1032,0.0569,0.158,2.482,2.021,4000
95,9.0,0.17,0.2979,0.1034,0.0590,0.163,2.575,2.025,4000
96,11.3,0.21,0.3595,0.1036,0.0612,0.170,2.672,2.029,4000
97,13.5,0.26,0.4164,0.1038,0.0636,0.176,2.774,2.033,4000
98,15.8,0.30,0.4687,0.1040,0.0660,0.183,2.880,2.036,4000
99,18.0,0.34,0.5168,0.1041,0.0685,0.190,2.990,2.039,4000
100,20.3,0.38,0.5608,0.1042,0.0711,0.197,3.101,2.041,4000
101,22.5,0.43,0.6011,0.1042,0.0737,0.204,3.213,2.039,4000
102,24.8,0.47,0.6379,0.1039,0.0761,0.211,3.322,2.034,4000
103,27.0,0.51,0.6717,0.1033,0.0784,0.217,3.421,2.022,4000
104,29.3,0.55,0.7029,0.1020,0.0802,0.222,3.497,1.997,4000
105,31.6,0.60,0.7316,0.1000,0.0813,0.225,3.547,1.957,4000
106,33.8,0.64,0.7578,0.0971,0.0817,0.226,3.565,1.902,4000
107,36.1,0.68,0.7817,0.0935,0.0813,0.225,3.548,1.830,4000
108,38.3,0.72,0.8034,0.0889,0.0800,0.221,3.489,1.741,4000
109,40.6,0.77,0.8228,0.0834,0.0775,0.215,3.383,1.633,4000
110,42.8,0.81,0.8400,0.0768,0.0738,0.204,3.220,1.503,4000
111,45.1,0.85,0.8548,0.0696,0.0692,0.192,3.021,1.363,4000
112,47.3,0.89,0.8672,0.0624,0.0642,0.178,2.801,1.221,4000
113,49.6,0.94,0.8771,0.0550,0.0586,0.162,2.557,1.076,4000
114,51.8,0.98,0.8841,0.0474,0.0524,0.145,2.288,0.929,4000
115,54.1,1.02,0.8872,0.0398,0.0457,0.127,1.995,0.779,4000
116,56.3,1.06,0.8856,0.0320,0.0384,0.106,1.674,0.626,4000
117,58.6,1.11,0.8732,0.0241,0.0305,0.084,1.329,0.471,4000
118,60.9,1.15,0.8321,0.0161,0.0222,0.062,0.970,0.316,4000
119,63.1,1.19,0.7036,0.0081,0.0137,0.038,0.599,0.159,4000
120,65.4,1.23,0.0002,0.0000,0.0051,0.014,0.223,0.000,4000
121,0.0,0.00,0.0000,0.1057,0.0859,0.465,5.859,3.234,5000
122,2.8,0.04,0.0523,0.1059,0.0860,0.465,5.862,3.241,5000
123,5.6,0.08,0.1047,0.1062,0.0861,0.466,5.872,3.249,5000
124,8.4,0.13,0.1570,0.1064,0.0864,0.467,5.888,3.256,5000
125,11.3,0.17,0.2092,0.1067,0.0867,0.469,5.908,3.264,5000
126,14.1,0.21,0.2610,0.1069,0.0870,0.471,5.932,3.271,5000
127,16.9,0.25,0.3124,0.1071,0.0874,0.473,5.958,3.278,5000
128,19.7,0.30,0.3634,0.1073,0.0878,0.475,5.985,3.283,5000
129,22.5,0.34,0.4138,0.1074,0.0882,0.477,6.012,3.286,5000
130,25.3,0.38,0.4637,0.1074,0.0885,0.479,6.035,3.285,5000
131,28.2,0.42,0.5128,0.1072,0.0888,0.480,6.053,3.279,5000
132,31.0,0.47,0.5611,0.1068,0.0889,0.481,6.060,3.266,5000
133,33.8,0.51,0.6083,0.1059,0.0888,0.480,6.051,3.241,5000
134,36.6,0.55,0.6538,0.1044,0.0882,0.477,6.012,3.195,5000
135,39.4,0.59,0.6967,0.1021,0.0872,0.471,5.941,3.124,5000
136,42.2,0.64,0.7355,0.0990,0.0857,0.464,5.844,3.027,5000
137,45.1,0.68,0.7697,0.0949,0.0838,0.453,5.714,2.904,5000
138,47.9,0.72,0.7992,0.0900,0.0813,0.440,5.544,2.754,5000
139,50.7,0.76,0.8237,0.0842,0.0781,0.422,5.325,2.575,5000
140,53.5,0.81,0.8437,0.0773,0.0740,0.400,5.042,2.366,5000
141,56.3,0.85,0.8596,0.0701,0.0693,0.375,4.724,2.145,5000
142,59.1,0.89,0.8729,0.0628,0.0642,0.347,4.375,1.922,5000
143,61.9,0.93,0.8839,0.0553,0.0585,0.316,3.988,1.693,5000
144,64.8,0.98,0.8922,0.0478,0.0523,0.283,3.567,1.462,5000
145,67.6,1.02,0.8967,0.0401,0.0456,0.247,3.108,1.227,5000
146,70.4,1.06,0.8966,0.0323,0.0382,0.207,2.606,0.988,5000
147,73.2,1.10,0.8861,0.0243,0.0303,0.164,2.068,0.745,5000
148,76.0,1.15,0.8472,0.0163,0.0220,0.119,1.502,0.498,5000
149,78.8,1.19,0.7225,0.0082,0.0135,0.073,0.918,0.250,5000
150,81.7,1.23,-0.0039,0.0000,0.0048,0.026,0.328,0.000,5000
151,0.0,0.00,0.0000,0.1105,0.1417,1.325,13.914,4.867,6000
152,3.4,0.04,0.0338,0.1108,0.1390,1.299,13.649,4.883,6000
153,6.8,0.08,0.0693,0.1112,0.1363,1.273,13.376,4.898,6000
154,10.1,0.13,0.1064,0.1115,0.1334,1.247,13.097,4.913,6000
155,13.5,0.17,0.1455,0.1118,0.1305,1.219,12.810,4.926,6000
156,16.9,0.21,0.1865,0.1121,0.1275,1.192,12.516,4.936,6000
157,20.3,0.25,0.2298,0.1122,0.1244,1.162,12.209,4.943,6000
158,23.6,0.30,0.2753,0.1123,0.1212,1.132,11.895,4.946,6000
159,27.0,0.34,0.3233,0.1122,0.1179,1.102,11.571,4.943,6000
160,30.4,0.38,0.3738,0.1120,0.1144,1.070,11.234,4.933,6000
161,33.8,0.42,0.4268,0.1115,0.1109,1.036,10.887,4.913,6000
162,37.1,0.47,0.4822,0.1108,0.1073,1.002,10.528,4.879,6000
163,40.5,0.51,0.5396,0.1096,0.1034,0.967,10.154,4.827,6000
164,43.9,0.55,0.5979,0.1077,0.0994,0.929,9.758,4.745,6000
165,47.3,0.59,0.6549,0.1049,0.0952,0.890,9.347,4.623,6000
166,50.6,0.64,0.7074,0.1013,0.0912,0.852,8.950,4.463,6000
167,54.0,0.68,0.7534,0.0968,0.0873,0.815,8.565,4.264,6000
168,57.4,0.72,0.7919,0.0914,0.0833,0.778,8.177,4.027,6000
169,60.8,0.76,0.8225,0.0852,0.0791,0.740,7.769,3.753,6000
170,64.2,0.81,0.8455,0.0781,0.0745,0.696,7.314,3.441,6000
171,67.5,0.85,0.8625,0.0708,0.0697,0.651,6.840,3.119,6000
172,70.9,0.89,0.8767,0.0634,0.0645,0.603,6.329,2.794,6000
173,74.3,0.93,0.8887,0.0559,0.0587,0.549,5.766,2.462,6000
174,77.7,0.98,0.8981,0.0482,0.0524,0.490,5.148,2.125,6000
175,81.0,1.02,0.9040,0.0405,0.0456,0.426,4.479,1.784,6000
176,84.4,1.06,0.9056,0.0326,0.0382,0.357,3.749,1.436,6000
177,87.8,1.10,0.8968,0.0245,0.0302,0.282,2.965,1.081,6000
178,91.2,1.15,0.8596,0.0164,0.0219,0.205,2.151,0.724,6000
179,94.5,1.19,0.7379,0.0083,0.0133,0.124,1.306,0.364,6000
180,97.9,1.23,-0.0002,0.0000,0.0046,0.043,0.455,0.000,6000
181,0.0,0.00,0.0000,0.1147,0.1921,2.850,25.660,6.878,7000
182,3.9,0.04,0.0262,0.1152,0.1869,2.774,24.976,6.907,7000
183,7.9,0.08,0.0540,0.1157,0.1818,2.697,24.286,6.935,7000
184,11.8,0.13,0.0840,0.1160,0.1760,2.612,23.515,6.958,7000
185,15.8,0.17,0.1161,0.1164,0.1703,2.527,22.750,6.978,7000
186,19.7,0.21,0.1506,0.1166,0.1644,2.439,21.960,6.993,7000
187,23.6,0.25,0.1880,0.1168,0.1582,2.348,21.138,7.001,7000
188,27.6,0.30,0.2284,0.1167,0.1519,2.254,20.294,7.000,7000
189,31.5,0.34,0.2724,0.1165,0.1453,2.157,19.418,6.988,7000
190,35.5,0.38,0.3200,0.1161,0.1387,2.058,18.530,6.964,7000
191,39.4,0.42,0.3721,0.1155,0.1317,1.955,17.602,6.923,7000
192,43.3,0.47,0.4285,0.1144,0.1247,1.851,16.662,6.862,7000
193,47.3,0.51,0.4894,0.1130,0.1176,1.745,15.714,6.774,7000
194,51.2,0.55,0.5541,0.1108,0.1104,1.638,14.749,6.645,7000
195,55.2,0.59,0.6202,0.1077,0.1032,1.532,13.789,6.457,7000
196,59.1,0.64,0.6830,0.1036,0.0966,1.434,12.909,6.213,7000
197,63.0,0.68,0.7385,0.0987,0.0908,1.347,12.127,5.917,7000
198,67.0,0.72,0.7848,0.0929,0.0854,1.267,11.412,5.569,7000
199,70.9,0.76,0.8208,0.0863,0.0803,1.192,10.734,5.174,7000
200,74.9,0.81,0.8468,0.0790,0.0752,1.116,10.050,4.735,7000
201,78.8,0.85,0.8648,0.0715,0.0702,1.042,9.380,4.287,7000
202,82.7,0.89,0.8797,0.0640,0.0649,0.963,8.673,3.840,7000
203,86.7,0.93,0.8926,0.0564,0.0591,0.877,7.892,3.385,7000
204,90.6,0.98,0.9031,0.0487,0.0527,0.782,7.037,2.921,7000
205,94.6,1.02,0.9103,0.0409,0.0457,0.679,6.110,2.450,7000
206,98.5,1.06,0.9133,0.0328,0.0382,0.567,5.101,1.970,7000
207,102.4,1.10,0.9060,0.0247,0.0301,0.447,4.027,1.483,7000
208,106.4,1.15,0.8701,0.0166,0.0218,0.324,2.917,0.994,7000
209,110.3,1.19,0.7510,0.0083,0.0132,0.196,1.762,0.500,7000
210,114.3,1.23,-0.0036,0.0000,0.0045,0.067,0.600,-0.001,7000
211,0.0,0.00,0.0000,0.1187,0.2403,5.323,41.932,9.295,8000
212,4.5,0.04,0.0217,0.1193,0.2329,5.158,40.639,9.341,8000
213,9.0,0.08,0.0452,0.1198,0.2252,4.988,39.299,9.384,8000
214,13.5,0.13,0.0705,0.1203,0.2172,4.811,37.902,9.421,8000
215,18.0,0.17,0.0981,0.1207,0.2088,4.626,36.446,9.450,8000
216,22.5,0.21,0.1282,0.1209,0.2002,4.434,34.935,9.470,8000
217,27.0,0.25,0.1612,0.1210,0.1912,4.236,33.370,9.478,8000
218,31.5,0.30,0.1974,0.1209,0.1820,4.032,31.764,9.472,8000
219,36.0,0.34,0.2376,0.1206,0.1724,3.819,30.087,9.448,8000
220,40.5,0.38,0.2820,0.1201,0.1627,3.604,28.392,9.405,8000
221,45.0,0.42,0.3313,0.1192,0.1527,3.384,26.656,9.338,8000
222,49.5,0.47,0.3865,0.1180,0.1425,3.158,24.877,9.241,8000
223,54.0,0.51,0.4479,0.1163,0.1322,2.929,23.078,9.107,8000
224,58.5,0.55,0.5155,0.1139,0.1220,2.702,21.284,8.923,8000
225,63.0,0.59,0.5874,0.1106,0.1118,2.478,19.519,8.659,8000
226,67.5,0.64,0.6589,0.1061,0.1026,2.272,17.897,8.311,8000
227,72.0,0.68,0.7231,0.1008,0.0947,2.097,16.520,7.893,8000
228,76.5,0.72,0.7767,0.0946,0.0879,1.947,15.336,7.408,8000
229,81.0,0.76,0.8181,0.0877,0.0819,1.814,14.289,6.866,8000
230,85.5,0.81,0.8471,0.0801,0.0763,1.689,13.309,6.273,8000
231,90.0,0.85,0.8661,0.0725,0.0711,1.574,12.401,5.678,8000
232,94.6,0.89,0.8817,0.0650,0.0657,1.455,11.460,5.087,8000
233,99.1,0.93,0.8954,0.0572,0.0597,1.323,10.419,4.483,8000
234,103.6,0.98,0.9070,0.0494,0.0532,1.178,9.281,3.869,8000
235,108.1,1.02,0.9156,0.0414,0.0461,1.021,8.041,3.243,8000
236,112.6,1.06,0.9199,0.0333,0.0384,0.850,6.699,2.606,8000
237,117.1,1.10,0.9137,0.0250,0.0302,0.670,5.278,1.961,8000
238,121.6,1.15,0.8791,0.0168,0.0220,0.486,3.831,1.319,8000
239,126.1,1.19,0.7621,0.0085,0.0132,0.292,2.304,0.663,8000
240,130.6,1.23,0.0015,0.0000,0.0044,0.098,0.775,0.000,8000
241,0.0,0.00,0.0000,0.1206,0.2646,8.347,58.452,11.951,9000
242,5.1,0.04,0.0201,0.1212,0.2561,8.076,56.558,12.013,9000
243,10.1,0.08,0.0418,0.1217,0.2469,7.788,54.537,12.068,9000
244,15.2,0.13,0.0656,0.1222,0.2372,7.482,52.397,12.112,9000
245,20.3,0.17,0.0916,0.1225,0.2270,7.160,50.143,12.144,9000
246,25.3,0.21,0.1203,0.1227,0.2163,6.822,47.776,12.158,9000
247,30.4,0.25,0.1521,0.1226,0.2052,6.473,45.328,12.155,9000
