,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.0794,0.0285,0.001,0.078,0.097,1000
2,0.2,0.02,0.0453,0.0775,0.0285,0.001,0.078,0.095,1000
3,0.4,0.03,0.0885,0.0756,0.0285,0.001,0.078,0.092,1000
4,0.7,0.05,0.1296,0.0736,0.0284,0.001,0.078,0.090,1000
5,0.9,0.07,0.1684,0.0715,0.0284,0.001,0.077,0.088,1000
6,1.1,0.08,0.2052,0.0694,0.0282,0.001,0.077,0.085,1000
7,1.3,0.10,0.2398,0.0673,0.0281,0.001,0.077,0.082,1000
8,1.5,0.12,0.2723,0.0651,0.0279,0.001,0.076,0.080,1000
9,1.8,0.13,0.3028,0.0628,0.0277,0.001,0.075,0.077,1000
10,2.0,0.15,0.3312,0.0604,0.0274,0.001,0.075,0.074,1000
11,2.2,0.17,0.3577,0.0580,0.0271,0.001,0.074,0.071,1000
12,2.4,0.18,0.3823,0.0556,0.0267,0.001,0.073,0.068,1000
13,2.7,0.20,0.4051,0.0530,0.0262,0.001,0.071,0.065,1000
14,2.9,0.22,0.4259,0.0504,0.0257,0.001,0.070,0.062,1000
15,3.1,0.23,0.4449,0.0478,0.0251,0.001,0.068,0.058,1000
16,3.3,0.25,0.4619,0.0450,0.0244,0.001,0.067,0.055,1000
17,3.5,0.27,0.4766,0.0422,0.0237,0.001,0.065,0.052,1000
18,3.8,0.28,0.4891,0.0393,0.0228,0.001,0.062,0.048,1000
19,4.0,0.30,0.4986,0.0364,0.0219,0.001,0.060,0.045,1000
20,4.2,0.32,0.5051,0.0334,0.0210,0.001,0.057,0.041,1000
21,4.4,0.33,0.5082,0.0303,0.0199,0.001,0.054,0.037,1000
22,4.6,0.35,0.5063,0.0272,0.0188,0.001,0.051,0.033,1000
23,4.9,0.37,0.4980,0.0240,0.0177,0.001,0.048,0.029,1000
24,5.1,0.38,0.4816,0.0207,0.0165,0.001,0.045,0.025,1000
25,5.3,0.40,0.4552,0.0174,0.0153,0.001,0.042,0.021,1000
26,5.5,0.42,0.4156,0.0140,0.0140,0.001,0.038,0.017,1000
27,5.8,0.43,0.3583,0.0105,0.0127,0.001,0.035,0.013,1000
28,6.0,0.45,0.2776,0.0070,0.0114,0.000,0.031,0.009,1000
29,6.2,0.47,0.1638,0.0035,0.0101,0.000,0.028,0.004,1000
30,6.4,0.48,-0.0002,0.0000,0.0087,0.000,0.024,0.000,1000
31,0.0,0.00,0.0000,0.0795,0.0286,0.010,0.312,0.389,2000
32,0.4,0.02,0.0453,0.0776,0.0286,0.010,0.312,0.380,2000
33,0.9,0.03,0.0884,0.0757,0.0285,0.010,0.311,0.370,2000
34,1.3,0.05,0.1294,0.0737,0.0285,0.010,0.311,0.361,2000
35,1.8,0.07,0.1683,0.0717,0.0284,0.010,0.310,0.351,2000
36,2.2,0.08,0.2050,0.0696,0.0283,0.010,0.309,0.340,2000
37,2.7,0.10,0.2396,0.0674,0.0281,0.010,0.307,0.330,2000
38,3.1,0.12,0.2721,0.0652,0.0280,0.010,0.305,0.319,2000
39,3.5,0.13,0.3026,0.0629,0.0277,0.010,0.302,0.308,2000
40,4.0,0.15,0.3310,0.0606,0.0275,0.010,0.300,0.296,2000
41,4.4,0.17,0.3575,0.0581,0.0271,0.009,0.296,0.285,2000
42,4.9,0.18,0.3821,0.0557,0.0267,0.009,0.292,0.273,2000
43,5.3,0.20,0.4049,0.0531,0.0263,0.009,0.287,0.260,2000
44,5.7,0.22,0.4257,0.0505,0.0257,0.009,0.281,0.247,2000
45,6.2,0.23,0.4447,0.0479,0.0251,0.009,0.274,0.234,2000
46,6.6,0.25,0.4617,0.0451,0.0245,0.008,0.267,0.221,2000
47,7.1,0.27,0.4765,0.0423,0.0237,0.008,0.259,0.207,2000
48,7.5,0.28,0.4890,0.0395,0.0229,0.008,0.250,0.193,2000
49,8.0,0.30,0.4986,0.0365,0.0220,0.008,0.240,0.179,2000
50,8.4,0.32,0.5051,0.0335,0.0210,0.007,0.229,0.164,2000
51,8.8,0.33,0.5084,0.0304,0.0200,0.007,0.218,0.149,2000
52,9.3,0.35,0.5066,0.0273,0.0189,0.007,0.206,0.134,2000
53,9.7,0.37,0.4985,0.0241,0.0177,0.006,0.193,0.118,2000
54,10.2,0.38,0.4824,0.0208,0.0165,0.006,0.180,0.102,2000
55,10.6,0.40,0.4564,0.0175,0.0153,0.005,0.167,0.086,2000
56,11.1,0.42,0.4171,0.0141,0.0141,0.005,0.153,0.069,2000
57,11.5,0.43,0.3602,0.0106,0.0128,0.004,0.139,0.052,2000
58,11.9,0.45,0.2794,0.0071,0.0115,0.004,0.125,0.035,2000
59,12.4,0.47,0.1651,0.0036,0.0101,0.003,0.110,0.017,2000
60,12.8,0.48,0.0000,0.0000,0.0087,0.003,0.095,0.000,2000
61,0.0,0.00,0.0000,0.0796,0.0271,0.032,0.665,0.877,3000
62,0.7,0.02,0.0480,0.0777,0.0271,0.032,0.664,0.856,3000
63,1.3,0.03,0.0939,0.0758,0.0270,0.032,0.662,0.835,3000
64,2.0,0.05,0.1376,0.0738,0.0269,0.031,0.660,0.813,3000
65,2.7,0.07,0.1793,0.0718,0.0267,0.031,0.656,0.790,3000
66,3.3,0.08,0.2188,0.0697,0.0266,0.031,0.652,0.767,3000
67,4.0,0.10,0.2561,0.0675,0.0264,0.031,0.648,0.743,3000
68,4.6,0.12,0.2914,0.0653,0.0262,0.031,0.643,0.719,3000
