,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.0956,0.0419,0.003,0.161,0.154,1000
2,0.4,0.03,0.0678,0.0955,0.0427,0.003,0.165,0.154,1000
3,0.9,0.06,0.1327,0.0955,0.0436,0.003,0.168,0.154,1000
4,1.3,0.09,0.1948,0.0953,0.0445,0.003,0.171,0.154,1000
5,1.7,0.12,0.2539,0.0951,0.0454,0.003,0.175,0.153,1000
6,2.2,0.15,0.3101,0.0947,0.0463,0.003,0.178,0.153,1000
7,2.6,0.18,0.3634,0.0940,0.0471,0.003,0.181,0.152,1000
8,3.0,0.21,0.4138,0.0931,0.0477,0.003,0.184,0.150,1000
9,3.4,0.24,0.4612,0.0917,0.0482,0.003,0.186,0.148,1000
10,3.9,0.27,0.5056,0.0899,0.0485,0.003,0.187,0.145,1000
11,4.3,0.30,0.5467,0.0877,0.0486,0.003,0.187,0.141,1000
12,4.7,0.33,0.5844,0.0852,0.0486,0.003,0.187,0.137,1000
13,5.2,0.36,0.6189,0.0823,0.0484,0.003,0.186,0.133,1000
14,5.6,0.39,0.6499,0.0791,0.0480,0.003,0.185,0.128,1000
15,6.0,0.42,0.6773,0.0756,0.0474,0.003,0.182,0.122,1000
16,6.5,0.45,0.7011,0.0718,0.0466,0.003,0.179,0.116,1000
17,6.9,0.49,0.7213,0.0676,0.0455,0.003,0.175,0.109,1000
18,7.3,0.52,0.7381,0.0631,0.0441,0.003,0.170,0.102,1000
19,7.8,0.55,0.7516,0.0584,0.0424,0.003,0.163,0.094,1000
20,8.2,0.58,0.7619,0.0536,0.0405,0.002,0.156,0.086,1000
21,8.6,0.61,0.7696,0.0487,0.0384,0.002,0.148,0.078,1000
22,9.0,0.64,0.7753,0.0437,0.0359,0.002,0.138,0.070,1000
23,9.5,0.67,0.7791,0.0385,0.0330,0.002,0.127,0.062,1000
24,9.9,0.70,0.7797,0.0333,0.0298,0.002,0.115,0.054,1000
25,10.3,0.73,0.7770,0.0279,0.0262,0.002,0.101,0.045,1000
26,10.8,0.76,0.7675,0.0225,0.0222,0.001,0.085,0.036,1000
27,11.2,0.79,0.7429,0.0169,0.0180,0.001,0.069,0.027,1000
28,11.6,0.82,0.6892,0.0114,0.0135,0.001,0.052,0.018,1000
29,12.1,0.85,0.5538,0.0057,0.0087,0.001,0.034,0.009,1000
30,12.5,0.88,0.0011,0.0000,0.0043,0.000,0.016,0.000,1000
31,0.0,0.00,0.0000,0.0956,0.0420,0.021,0.647,0.617,2000
32,0.9,0.03,0.0677,0.0956,0.0428,0.021,0.660,0.617,2000
33,1.7,0.06,0.1326,0.0955,0.0437,0.021,0.673,0.616,2000
34,2.6,0.09,0.1946,0.0953,0.0446,0.022,0.687,0.615,2000
35,3.4,0.12,0.2537,0.0951,0.0455,0.022,0.701,0.614,2000
36,4.3,0.15,0.3097,0.0948,0.0464,0.023,0.715,0.611,2000
37,5.2,0.18,0.3630,0.0941,0.0472,0.023,0.727,0.607,2000
38,6.0,0.21,0.4134,0.0932,0.0479,0.023,0.737,0.601,2000
39,6.9,0.24,0.4610,0.0918,0.0483,0.024,0.744,0.592,2000
40,7.8,0.27,0.5053,0.0900,0.0486,0.024,0.749,0.581,2000
41,8.6,0.30,0.5464,0.0878,0.0488,0.024,0.751,0.567,2000
42,9.5,0.33,0.5841,0.0853,0.0488,0.024,0.751,0.551,2000
43,10.3,0.36,0.6186,0.0825,0.0485,0.024,0.747,0.532,2000
44,11.2,0.39,0.6499,0.0792,0.0481,0.023,0.741,0.511,2000
45,12.1,0.42,0.6772,0.0758,0.0475,0.023,0.732,0.489,2000
46,12.9,0.45,0.7011,0.0720,0.0467,0.023,0.719,0.464,2000
47,13.8,0.49,0.7214,0.0677,0.0456,0.022,0.702,0.437,2000
48,14.6,0.52,0.7382,0.0632,0.0442,0.022,0.680,0.408,2000
49,15.5,0.55,0.7517,0.0585,0.0425,0.021,0.654,0.377,2000
50,16.4,0.58,0.7621,0.0537,0.0406,0.020,0.625,0.346,2000
51,17.2,0.61,0.7697,0.0487,0.0384,0.019,0.592,0.314,2000
52,18.1,0.64,0.7754,0.0437,0.0359,0.018,0.553,0.282,2000
53,19.0,0.67,0.7791,0.0386,0.0330,0.016,0.509,0.249,2000
54,19.8,0.70,0.7798,0.0333,0.0298,0.015,0.459,0.215,2000
55,20.7,0.73,0.7771,0.0280,0.0262,0.013,0.403,0.180,2000
56,21.5,0.76,0.7676,0.0225,0.0222,0.011,0.342,0.145,2000
57,22.4,0.79,0.7432,0.0170,0.0180,0.009,0.277,0.109,2000
58,23.3,0.82,0.6896,0.0114,0.0135,0.007,0.208,0.073,2000
59,24.1,0.85,0.5544,0.0057,0.0087,0.004,0.135,0.037,2000
60,25.0,0.88,-0.0010,0.0000,0.0043,0.002,0.066,0.000,2000
61,0.0,0.00,0.0000,0.0957,0.0419,0.069,1.451,1.388,3000
62,1.3,0.03,0.0679,0.0956,0.0427,0.070,1.480,1.387,3000
63,2.6,0.06,0.1328,0.0955,0.0436,0.072,1.511,1.386,3000
64,3.9,0.09,0.1949,0.0954,0.0445,0.073,1.543,1.384,3000
65,5.2,0.12,0.2540,0.0951,0.0454,0.075,1.574,1.381,3000
66,6.5,0.15,0.3103,0.0948,0.0463,0.076,1.605,1.376,3000
67,7.8,0.18,0.3636,0.0942,0.0471,0.078,1.633,1.367,3000
68,9.0,0.21,0.4140,0.0932,0.0478,0.079,1.657,1.353,3000
69,10.3,0.24,0.4615,0.0919,0.0483,0.080,1.674,1.333,3000
70,11.6,0.27,0.5058,0.0901,0.0486,0.080,1.685,1.308,3000
71,12.9,0.30,0.5470,0.0879,0.0488,0.080,1.689,1.276,3000
72,14.2,0.33,0.5848,0.0854,0.0487,0.080,1.688,1.240,3000
73,15.5,0.36,0.6194,0.0826,0.0485,0.080,1.681,1.198,3000
74,16.8,0.39,0.6506,0.0794,0.0481,0.079,1.667,1.152,3000
75,18.1,0.42,0.6783,0.0759,0.0475,0.078,1.646,1.101,3000
76,19.4,0.45,0.7024,0.0721,0.0467,0.077,1.617,1.046,3000
77,20.7,0.49,0.7230,0.0679,0.0456,0.075,1.579,0.985,3000
78,22.0,0.52,0.7403,0.0634,0.0441,0.073,1.529,0.919,3000
79,23.3,0.55,0.7543,0.0586,0.0424,0.070,1.470,0.851,3000
80,24.6,0.58,0.7653,0.0538,0.0405,0.067,1.404,0.781,3000
81,25.8,0.61,0.7737,0.0489,0.0384,0.063,1.329,0.710,3000
82,27.1,0.64,0.7801,0.0439,0.0359,0.059,1.242,0.637,3000
83,28.4,0.67,0.7843,0.0388,0.0330,0.054,1.143,0.563,3000
84,29.7,0.70,0.7854,0.0335,0.0298,0.049,1.031,0.486,3000
85,31.0,0.73,0.7831,0.0281,0.0261,0.043,0.906,0.408,3000
86,32.3,0.76,0.7740,0.0226,0.0222,0.037,0.768,0.328,3000
87,33.6,0.79,0.7497,0.0170,0.0179,0.030,0.621,0.247,3000
88,34.9,0.82,0.6956,0.0114,0.0134,0.022,0.465,0.166,3000
89,36.2,0.85,0.5595,0.0057,0.0087,0.014,0.300,0.083,3000
90,37.5,0.88,-0.0005,0.0000,0.0042,0.007,0.145,0.000,3000
91,0.0,0.00,0.0000,0.0954,0.0390,0.153,2.405,2.462,4000
92,1.7,0.03,0.0722,0.0954,0.0401,0.157,2.467,2.461,4000
