,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1026,0.0458,0.007,0.439,0.343,1000
2,0.5,0.03,0.0664,0.1026,0.0467,0.007,0.448,0.343,1000
3,1.0,0.06,0.1300,0.1024,0.0477,0.007,0.457,0.342,1000
4,1.5,0.09,0.1909,0.1022,0.0486,0.007,0.465,0.342,1000
5,2.1,0.12,0.2489,0.1018,0.0495,0.008,0.474,0.341,1000
6,2.6,0.15,0.3042,0.1013,0.0503,0.008,0.482,0.339,1000
7,3.1,0.18,0.3568,0.1004,0.0511,0.008,0.489,0.336,1000
8,3.6,0.21,0.4065,0.0991,0.0516,0.008,0.495,0.331,1000
9,4.1,0.24,0.4533,0.0973,0.0520,0.008,0.498,0.325,1000
10,4.6,0.27,0.4971,0.0951,0.0521,0.008,0.499,0.318,1000
11,5.2,0.30,0.5377,0.0925,0.0521,0.008,0.499,0.309,1000
12,5.7,0.33,0.5751,0.0896,0.0518,0.008,0.497,0.300,1000
13,6.2,0.36,0.6093,0.0863,0.0515,0.008,0.493,0.289,1000
14,6.7,0.39,0.6400,0.0828,0.0509,0.008,0.487,0.277,1000
15,7.2,0.42,0.6671,0.0789,0.0501,0.008,0.480,0.264,1000
16,7.7,0.45,0.6907,0.0747,0.0491,0.007,0.470,0.250,1000
17,8.3,0.48,0.7108,0.0701,0.0477,0.007,0.457,0.234,1000
18,8.8,0.51,0.7275,0.0653,0.0462,0.007,0.442,0.218,1000
19,9.3,0.54,0.7410,0.0605,0.0444,0.007,0.426,0.202,1000
20,9.8,0.57,0.7515,0.0555,0.0424,0.006,0.407,0.186,1000
21,10.3,0.61,0.7596,0.0504,0.0402,0.006,0.385,0.169,1000
22,10.8,0.64,0.7658,0.0452,0.0375,0.006,0.360,0.151,1000
23,11.3,0.67,0.7698,0.0399,0.0345,0.005,0.331,0.133,1000
24,11.9,0.70,0.7706,0.0345,0.0311,0.005,0.298,0.115,1000
25,12.4,0.73,0.7682,0.0289,0.0274,0.004,0.262,0.097,1000
26,12.9,0.76,0.7582,0.0233,0.0232,0.004,0.223,0.078,1000
27,13.4,0.79,0.7328,0.0176,0.0189,0.003,0.181,0.059,1000
28,13.9,0.82,0.6778,0.0118,0.0142,0.002,0.136,0.039,1000
29,14.4,0.85,0.5425,0.0059,0.0092,0.001,0.088,0.020,1000
30,15.0,0.88,-0.0027,0.0000,0.0050,0.001,0.048,0.000,1000
31,0.0,0.00,0.0000,0.1026,0.0454,0.055,1.738,1.373,2000
32,1.0,0.03,0.0670,0.1026,0.0463,0.056,1.774,1.372,2000
33,2.1,0.06,0.1311,0.1024,0.0473,0.057,1.811,1.370,2000
34,3.1,0.09,0.1923,0.1022,0.0482,0.059,1.848,1.367,2000
35,4.1,0.12,0.2507,0.1019,0.0492,0.060,1.885,1.363,2000
36,5.2,0.15,0.3061,0.1014,0.0501,0.061,1.919,1.356,2000
37,6.2,0.18,0.3587,0.1005,0.0509,0.062,1.949,1.344,2000
38,7.2,0.21,0.4084,0.0992,0.0515,0.063,1.972,1.328,2000
39,8.2,0.24,0.4552,0.0975,0.0518,0.063,1.986,1.304,2000
40,9.3,0.27,0.4990,0.0953,0.0520,0.063,1.993,1.275,2000
41,10.3,0.30,0.5396,0.0928,0.0520,0.063,1.992,1.241,2000
42,11.3,0.33,0.5771,0.0898,0.0518,0.063,1.985,1.202,2000
43,12.4,0.36,0.6114,0.0866,0.0514,0.062,1.970,1.158,2000
44,13.4,0.39,0.6424,0.0830,0.0508,0.062,1.946,1.110,2000
45,14.4,0.42,0.6700,0.0791,0.0500,0.061,1.915,1.058,2000
46,15.5,0.45,0.6941,0.0749,0.0489,0.060,1.875,1.001,2000
47,16.5,0.48,0.7149,0.0703,0.0476,0.058,1.824,0.940,2000
48,17.5,0.51,0.7325,0.0655,0.0460,0.056,1.762,0.876,2000
49,18.6,0.54,0.7469,0.0606,0.0442,0.054,1.693,0.811,2000
50,19.6,0.57,0.7585,0.0556,0.0421,0.051,1.615,0.744,2000
51,20.6,0.60,0.7676,0.0505,0.0398,0.048,1.526,0.676,2000
52,21.7,0.64,0.7747,0.0453,0.0372,0.045,1.424,0.606,2000
53,22.7,0.67,0.7792,0.0400,0.0342,0.042,1.309,0.535,2000
54,23.7,0.70,0.7805,0.0345,0.0308,0.037,1.180,0.462,2000
55,24.7,0.73,0.7784,0.0290,0.0270,0.033,1.036,0.388,2000
56,25.8,0.76,0.7686,0.0233,0.0230,0.028,0.880,0.312,2000
57,26.8,0.79,0.7433,0.0176,0.0186,0.023,0.715,0.236,2000
58,27.8,0.82,0.6882,0.0118,0.0140,0.017,0.538,0.158,2000
59,28.9,0.85,0.5518,0.0059,0.0091,0.011,0.348,0.079,2000
60,29.9,0.88,-0.0042,0.0000,0.0049,0.006,0.188,0.000,2000
61,0.0,0.00,0.0000,0.1023,0.0412,0.169,3.555,3.078,3000
62,1.5,0.03,0.0729,0.1022,0.0424,0.174,3.658,3.076,3000
63,3.1,0.06,0.1414,0.1021,0.0437,0.179,3.766,3.073,3000
64,4.6,0.09,0.2058,0.1019,0.0449,0.184,3.874,3.067,3000
65,6.2,0.12,0.2662,0.1016,0.0462,0.190,3.983,3.058,3000
66,7.7,0.15,0.3227,0.1011,0.0474,0.195,4.087,3.043,3000
67,9.3,0.18,0.3757,0.1003,0.0485,0.199,4.180,3.020,3000
68,10.8,0.21,0.4252,0.0991,0.0494,0.203,4.256,2.983,3000
69,12.4,0.24,0.4716,0.0974,0.0500,0.205,4.310,2.932,3000
70,13.9,0.27,0.5147,0.0953,0.0504,0.207,4.346,2.867,3000
71,15.5,0.30,0.5547,0.0927,0.0506,0.208,4.360,2.790,3000
72,17.0,0.33,0.5917,0.0898,0.0505,0.207,4.356,2.703,3000
73,18.6,0.36,0.6260,0.0866,0.0502,0.206,4.330,2.606,3000
74,20.1,0.39,0.6577,0.0830,0.0496,0.204,4.279,2.498,3000
75,21.7,0.42,0.6867,0.0791,0.0488,0.200,4.207,2.381,3000
76,23.2,0.45,0.7130,0.0749,0.0477,0.196,4.111,2.254,3000
77,24.8,0.48,0.7368,0.0703,0.0462,0.190,3.984,2.116,3000
