,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1060,0.0647,0.017,1.050,0.540,1000
2,0.9,0.05,0.0764,0.1062,0.0663,0.017,1.076,0.541,1000
3,1.8,0.10,0.1490,0.1065,0.0682,0.018,1.106,0.543,1000
4,2.7,0.14,0.2181,0.1068,0.0701,0.018,1.137,0.544,1000
5,3.6,0.19,0.2833,0.1071,0.0721,0.019,1.170,0.546,1000
6,4.5,0.24,0.3447,0.1074,0.0743,0.019,1.205,0.547,1000
7,5.4,0.29,0.4024,0.1077,0.0766,0.020,1.243,0.549,1000
8,6.3,0.33,0.4565,0.1080,0.0790,0.020,1.282,0.551,1000
9,7.2,0.38,0.5068,0.1083,0.0816,0.021,1.323,0.552,1000
10,8.1,0.43,0.5532,0.1086,0.0843,0.022,1.367,0.554,1000
11,9.0,0.48,0.5965,0.1089,0.0870,0.022,1.412,0.555,1000
12,9.9,0.52,0.6364,0.1090,0.0899,0.023,1.458,0.556,1000
13,10.8,0.57,0.6731,0.1091,0.0928,0.024,1.506,0.556,1000
14,11.7,0.62,0.7067,0.1091,0.0957,0.025,1.553,0.556,1000
15,12.6,0.67,0.7375,0.1084,0.0982,0.025,1.593,0.553,1000
16,13.5,0.72,0.7657,0.1062,0.0992,0.026,1.610,0.541,1000
17,14.5,0.76,0.7909,0.1020,0.0984,0.025,1.596,0.520,1000
18,15.4,0.81,0.8125,0.0963,0.0961,0.025,1.559,0.491,1000
19,16.3,0.86,0.8305,0.0898,0.0928,0.024,1.506,0.458,1000
20,17.2,0.91,0.8451,0.0824,0.0883,0.023,1.433,0.420,1000
21,18.1,0.95,0.8564,0.0747,0.0832,0.021,1.350,0.381,1000
22,19.0,1.00,0.8650,0.0670,0.0776,0.020,1.259,0.342,1000
23,19.9,1.05,0.8712,0.0592,0.0713,0.018,1.157,0.302,1000
24,20.8,1.10,0.8761,0.0512,0.0641,0.017,1.040,0.261,1000
25,21.7,1.14,0.8796,0.0431,0.0560,0.014,0.909,0.220,1000
26,22.6,1.19,0.8801,0.0347,0.0470,0.012,0.763,0.177,1000
27,23.5,1.24,0.8740,0.0262,0.0371,0.010,0.603,0.133,1000
28,24.4,1.29,0.8471,0.0176,0.0267,0.007,0.433,0.089,1000
29,25.3,1.34,0.7553,0.0088,0.0155,0.004,0.252,0.045,1000
30,26.2,1.38,0.0032,0.0000,0.0051,0.001,0.083,0.000,1000
31,0.0,0.00,0.0000,0.1052,0.0567,0.117,3.682,2.145,2000
32,1.8,0.05,0.0856,0.1054,0.0587,0.121,3.809,2.150,2000
33,3.6,0.10,0.1656,0.1057,0.0608,0.125,3.946,2.154,2000
34,5.4,0.14,0.2401,0.1059,0.0631,0.130,4.093,2.160,2000
35,7.2,0.19,0.3092,0.1062,0.0655,0.135,4.250,2.166,2000
36,9.0,0.24,0.3730,0.1065,0.0681,0.140,4.416,2.172,2000
37,10.8,0.29,0.4317,0.1068,0.0708,0.146,4.591,2.178,2000
38,12.6,0.33,0.4856,0.1071,0.0736,0.152,4.776,2.184,2000
39,14.4,0.38,0.5350,0.1074,0.0766,0.158,4.968,2.191,2000
40,16.2,0.43,0.5800,0.1078,0.0797,0.164,5.170,2.197,2000
41,18.0,0.48,0.6210,0.1080,0.0829,0.171,5.379,2.202,2000
42,19.9,0.52,0.6583,0.1083,0.0862,0.178,5.594,2.207,2000
43,21.7,0.57,0.6920,0.1084,0.0896,0.185,5.814,2.211,2000
44,23.5,0.62,0.7225,0.1085,0.0930,0.192,6.035,2.211,2000
45,25.3,0.67,0.7501,0.1080,0.0961,0.198,6.234,2.202,2000
46,27.1,0.71,0.7757,0.1060,0.0977,0.201,6.340,2.162,2000
47,28.9,0.76,0.7991,0.1020,0.0973,0.200,6.312,2.079,2000
48,30.7,0.81,0.8197,0.0964,0.0953,0.196,6.183,1.966,2000
49,32.5,0.86,0.8381,0.0900,0.0921,0.190,5.975,1.834,2000
50,34.3,0.91,0.8546,0.0825,0.0874,0.180,5.674,1.683,2000
51,36.1,0.95,0.8686,0.0748,0.0821,0.169,5.328,1.526,2000
52,37.9,1.00,0.8804,0.0670,0.0761,0.157,4.941,1.366,2000
53,39.7,1.05,0.8898,0.0590,0.0696,0.143,4.514,1.204,2000
54,41.5,1.10,0.8976,0.0510,0.0622,0.128,4.038,1.039,2000
55,43.3,1.14,0.9014,0.0428,0.0543,0.112,3.522,0.872,2000
56,45.1,1.19,0.9024,0.0344,0.0455,0.094,2.950,0.702,2000
57,46.9,1.24,0.8953,0.0260,0.0360,0.074,2.333,0.530,2000
58,48.7,1.29,0.8674,0.0174,0.0258,0.053,1.677,0.355,2000
59,50.5,1.33,0.7729,0.0088,0.0151,0.031,0.980,0.178,2000
60,52.3,1.38,-0.0012,0.0000,0.0050,0.010,0.322,0.000,2000
61,0.0,0.00,0.0000,0.1113,0.1209,0.840,17.655,5.104,3000
62,2.7,0.05,0.0443,0.1117,0.1199,0.833,17.509,5.124,3000
63,5.4,0.10,0.0897,0.1122,0.1190,0.827,17.372,5.145,3000
