,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.0954,0.0366,0.011,0.672,0.536,1000
2,0.5,0.02,0.0619,0.0942,0.0370,0.011,0.678,0.530,1000
3,0.9,0.05,0.1212,0.0929,0.0373,0.011,0.684,0.523,1000
4,1.4,0.07,0.1777,0.0915,0.0375,0.011,0.689,0.515,1000
5,1.9,0.10,0.2315,0.0900,0.0378,0.011,0.693,0.506,1000
6,2.4,0.12,0.2824,0.0883,0.0380,0.011,0.697,0.497,1000
7,2.8,0.15,0.3304,0.0865,0.0382,0.011,0.700,0.486,1000
8,3.3,0.17,0.3755,0.0844,0.0383,0.011,0.702,0.475,1000
9,3.8,0.19,0.4176,0.0823,0.0383,0.011,0.703,0.463,1000
10,4.2,0.22,0.4567,0.0799,0.0383,0.011,0.703,0.450,1000
11,4.7,0.24,0.4929,0.0774,0.0382,0.011,0.701,0.436,1000
12,5.2,0.27,0.5260,0.0747,0.0380,0.011,0.697,0.420,1000
13,5.7,0.29,0.5561,0.0718,0.0376,0.011,0.691,0.404,1000
14,6.1,0.32,0.5831,0.0686,0.0372,0.011,0.683,0.386,1000
15,6.6,0.34,0.6071,0.0653,0.0366,0.011,0.672,0.368,1000
16,7.1,0.36,0.6281,0.0617,0.0358,0.010,0.657,0.347,1000
17,7.5,0.39,0.6463,0.0579,0.0348,0.010,0.639,0.326,1000
18,8.0,0.41,0.6616,0.0540,0.0337,0.010,0.618,0.304,1000
19,8.5,0.44,0.6744,0.0499,0.0324,0.009,0.594,0.281,1000
20,9.0,0.46,0.6846,0.0458,0.0309,0.009,0.567,0.258,1000
21,9.4,0.49,0.6922,0.0416,0.0292,0.009,0.536,0.234,1000
22,9.9,0.51,0.6969,0.0373,0.0273,0.008,0.501,0.210,1000
23,10.4,0.53,0.6985,0.0329,0.0252,0.007,0.462,0.185,1000
24,10.8,0.56,0.6954,0.0284,0.0228,0.007,0.419,0.160,1000
25,11.3,0.58,0.6849,0.0238,0.0203,0.006,0.372,0.134,1000
26,11.8,0.61,0.6623,0.0192,0.0176,0.005,0.323,0.108,1000
27,12.3,0.63,0.6197,0.0145,0.0148,0.004,0.271,0.082,1000
28,12.7,0.66,0.5426,0.0097,0.0118,0.003,0.216,0.055,1000
29,13.2,0.68,0.3876,0.0049,0.0086,0.003,0.158,0.028,1000
30,13.7,0.70,-0.0010,0.0000,0.0053,0.002,0.098,0.000,1000
31,0.0,0.00,0.0000,0.0954,0.0346,0.081,2.544,2.148,2000
32,0.9,0.02,0.0651,0.0943,0.0351,0.082,2.575,2.122,2000
33,1.9,0.05,0.1270,0.0930,0.0355,0.083,2.605,2.093,2000
34,2.8,0.07,0.1857,0.0916,0.0358,0.083,2.631,2.062,2000
35,3.8,0.10,0.2414,0.0901,0.0361,0.084,2.654,2.027,2000
36,4.7,0.12,0.2939,0.0884,0.0364,0.085,2.674,1.990,2000
37,5.6,0.15,0.3434,0.0866,0.0366,0.085,2.690,1.949,2000
38,6.6,0.17,0.3898,0.0846,0.0368,0.086,2.701,1.904,2000
39,7.5,0.19,0.4333,0.0825,0.0369,0.086,2.707,1.856,2000
40,8.5,0.22,0.4739,0.0801,0.0368,0.086,2.705,1.803,2000
41,9.4,0.24,0.5116,0.0776,0.0367,0.086,2.698,1.747,2000
42,10.3,0.27,0.5465,0.0749,0.0365,0.085,2.681,1.686,2000
43,11.3,0.29,0.5786,0.0720,0.0362,0.084,2.654,1.620,2000
44,12.2,0.31,0.6079,0.0689,0.0357,0.083,2.618,1.550,2000
45,13.2,0.34,0.6344,0.0655,0.0350,0.082,2.571,1.474,2000
46,14.1,0.36,0.6582,0.0619,0.0342,0.080,2.508,1.393,2000
47,15.0,0.39,0.6794,0.0580,0.0331,0.077,2.430,1.306,2000
48,16.0,0.41,0.6978,0.0541,0.0319,0.074,2.343,1.217,2000
49,16.9,0.44,0.7134,0.0500,0.0306,0.071,2.245,1.126,2000
50,17.9,0.46,0.7259,0.0459,0.0291,0.068,2.137,1.033,2000
51,18.8,0.48,0.7353,0.0417,0.0275,0.064,2.016,0.938,2000
52,19.7,0.51,0.7414,0.0374,0.0256,0.060,1.882,0.841,2000
53,20.7,0.53,0.7435,0.0330,0.0236,0.055,1.734,0.742,2000
54,21.6,0.56,0.7401,0.0284,0.0214,0.050,1.572,0.640,2000
55,22.6,0.58,0.7282,0.0239,0.0191,0.044,1.400,0.538,2000
56,23.5,0.61,0.7034,0.0192,0.0166,0.039,1.216,0.433,2000
57,24.4,0.63,0.6579,0.0145,0.0139,0.032,1.022,0.327,2000
58,25.4,0.65,0.5746,0.0098,0.0111,0.026,0.816,0.220,2000
59,26.3,0.68,0.4085,0.0049,0.0082,0.019,0.599,0.111,2000
60,27.3,0.70,-0.0004,0.0000,0.0051,0.012,0.372,0.000,2000
61,0.0,0.00,0.0000,0.0969,0.0435,0.342,7.183,4.907,3000
62,1.4,0.02,0.0541,0.0957,0.0429,0.337,7.082,4.847,3000
63,2.8,0.05,0.1082,0.0944,0.0423,0.332,6.982,4.779,3000
64,4.2,0.07,0.1620,0.0929,0.0417,0.328,6.885,4.705,3000
65,5.6,0.10,0.2154,0.0913,0.0411,0.323,6.787,4.624,3000
66,7.1,0.12,0.2678,0.0896,0.0405,0.318,6.690,4.535,3000
67,8.5,0.15,0.3192,0.0877,0.0399,0.314,6.592,4.438,3000
68,9.9,0.17,0.3691,0.0856,0.0393,0.309,6.493,4.333,3000
69,11.3,0.19,0.4172,0.0833,0.0387,0.304,6.391,4.218,3000
70,12.7,0.22,0.4632,0.0809,0.0381,0.299,6.286,4.095,3000
71,14.1,0.24,0.5069,0.0782,0.0374,0.294,6.176,3.962,3000
72,15.5,0.27,0.5478,0.0754,0.0367,0.288,6.058,3.818,3000
73,16.9,0.29,0.5858,0.0724,0.0359,0.282,5.930,3.664,3000
74,18.3,0.31,0.6206,0.0691,0.0351,0.276,5.793,3.500,3000
75,19.7,0.34,0.6522,0.0657,0.0341,0.268,5.641,3.325,3000
76,21.2,0.36,0.6805,0.0620,0.0331,0.260,5.466,3.138,3000
77,22.6,0.39,0.7050,0.0581,0.0319,0.251,5.273,2.941,3000
78,24.0,0.41,0.7260,0.0541,0.0307,0.241,5.069,2.740,3000
79,25.4,0.44,0.7441,0.0501,0.0293,0.231,4.844,2.534,3000
80,26.8,0.46,0.7591,0.0459,0.0278,0.219,4.596,2.324,3000
81,28.2,0.48,0.7711,0.0417,0.0262,0.206,4.323,2.109,3000
82,29.6,0.51,0.7796,0.0373,0.0244,0.191,4.023,1.890,3000
83,31.0,0.53,0.7839,0.0329,0.0224,0.176,3.694,1.666,3000
84,32.4,0.56,0.7821,0.0284,0.0202,0.159,3.340,1.437,3000
85,33.9,0.58,0.7711,0.0238,0.0179,0.141,2.964,1.205,3000
86,35.3,0.61,0.7461,0.0191,0.0155,0.122,2.563,0.968,3000
87,36.7,0.63,0.6998,0.0144,0.0130,0.102,2.140,0.729,3000
88,38.1,0.65,0.6161,0.0097,0.0102,0.081,1.692,0.489,3000
89,39.5,0.68,0.4444,0.0049,0.0074,0.058,1.223,0.246,3000
90,40.9,0.70,-0.0004,0.0000,0.0045,0.035,0.737,0.000,3000
91,0.0,0.00,0.0000,0.0991,0.0554,1.032,16.262,8.923,4000
92,1.9,0.02,0.0442,0.0979,0.0535,0.997,15.703,8.811,4000
93,3.8,0.05,0.0903,0.0965,0.0516,0.962,15.164,8.687,4000
94,5.6,0.07,0.1381,0.0950,0.0498,0.929,14.637,8.549,4000
95,7.5,0.10,0.1872,0.0933,0.0482,0.898,14.146,8.399,4000
96,9.4,0.12,0.2376,0.0915,0.0465,0.867,13.654,8.233,4000
97,11.3,0.14,0.2888,0.0895,0.0449,0.837,13.184,8.052,4000
98,13.1,0.17,0.3406,0.0872,0.0433,0.807,12.721,7.853,4000
99,15.0,0.19,0.3916,0.0849,0.0419,0.781,12.300,7.640,4000
100,16.9,0.22,0.4421,0.0823,0.0405,0.754,11.885,7.408,4000
101,18.8,0.24,0.4910,0.0795,0.0391,0.729,11.491,7.159,4000
102,20.6,0.27,0.5377,0.0765,0.0378,0.705,11.109,6.890,4000
103,22.5,0.29,0.5814,0.0734,0.0366,0.682,10.740,6.603,4000
104,24.4,0.31,0.6216,0.0700,0.0353,0.659,10.381,6.299,4000
105,26.3,0.34,0.6581,0.0664,0.0341,0.636,10.026,5.980,4000
106,28.1,0.36,0.6902,0.0626,0.0329,0.613,9.656,5.638,4000
107,30.0,0.39,0.7173,0.0587,0.0316,0.589,9.287,5.283,4000
108,31.9,0.41,0.7400,0.0547,0.0304,0.566,8.915,4.924,4000
109,33.8,0.43,0.7601,0.0506,0.0290,0.540,8.504,4.557,4000
110,35.6,0.46,0.7774,0.0464,0.0274,0.511,8.053,4.181,4000
111,37.5,0.48,0.7919,0.0422,0.0257,0.480,7.559,3.797,4000
112,39.4,0.51,0.8031,0.0378,0.0239,0.445,7.018,3.405,4000
113,41.3,0.53,0.8104,0.0334,0.0219,0.408,6.433,3.006,4000
