,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1088,0.0461,0.013,0.846,0.612,1000
2,0.5,0.03,0.0626,0.1080,0.0466,0.014,0.856,0.608,1000
3,1.1,0.05,0.1228,0.1070,0.0471,0.014,0.865,0.602,1000
4,1.6,0.08,0.1804,0.1057,0.0475,0.014,0.872,0.594,1000
5,2.1,0.11,0.2356,0.1041,0.0478,0.014,0.878,0.586,1000
6,2.6,0.14,0.2880,0.1022,0.0480,0.014,0.882,0.575,1000
7,3.2,0.16,0.3377,0.1001,0.0481,0.014,0.883,0.563,1000
8,3.7,0.19,0.3846,0.0977,0.0481,0.014,0.883,0.550,1000
9,4.2,0.22,0.4286,0.0951,0.0480,0.014,0.881,0.535,1000
10,4.7,0.24,0.4696,0.0922,0.0478,0.014,0.877,0.519,1000
11,5.3,0.27,0.5076,0.0891,0.0475,0.014,0.872,0.501,1000
12,5.8,0.30,0.5424,0.0858,0.0471,0.014,0.864,0.482,1000
13,6.3,0.32,0.5739,0.0822,0.0465,0.014,0.853,0.462,1000
14,6.8,0.35,0.6021,0.0783,0.0457,0.013,0.839,0.440,1000
15,7.4,0.38,0.6271,0.0741,0.0448,0.013,0.822,0.417,1000
16,7.9,0.41,0.6488,0.0699,0.0437,0.013,0.803,0.393,1000
17,8.4,0.43,0.6674,0.0656,0.0426,0.012,0.781,0.369,1000
18,8.9,0.46,0.6831,0.0612,0.0412,0.012,0.756,0.344,1000
19,9.5,0.49,0.6959,0.0567,0.0397,0.012,0.728,0.319,1000
20,10.0,0.51,0.7067,0.0520,0.0378,0.011,0.695,0.293,1000
21,10.5,0.54,0.7153,0.0473,0.0358,0.010,0.657,0.266,1000
22,11.0,0.57,0.7218,0.0424,0.0334,0.010,0.613,0.239,1000
23,11.6,0.60,0.7251,0.0374,0.0307,0.009,0.564,0.211,1000
24,12.1,0.62,0.7252,0.0323,0.0278,0.008,0.509,0.182,1000
25,12.6,0.65,0.7205,0.0271,0.0245,0.007,0.449,0.153,1000
26,13.1,0.68,0.7056,0.0219,0.0210,0.006,0.385,0.123,1000
27,13.7,0.70,0.6740,0.0166,0.0173,0.005,0.317,0.093,1000
28,14.2,0.73,0.6097,0.0111,0.0133,0.004,0.245,0.063,1000
29,14.7,0.76,0.4514,0.0056,0.0094,0.003,0.173,0.032,1000
30,15.2,0.78,-0.0014,0.0000,0.0062,0.002,0.114,0.000,1000
31,0.0,0.00,0.0000,0.1087,0.0433,0.101,3.176,2.447,2000
32,1.0,0.03,0.0663,0.1080,0.0440,0.103,3.234,2.430,2000
33,2.1,0.05,0.1292,0.1070,0.0448,0.104,3.286,2.407,2000
34,3.1,0.08,0.1889,0.1057,0.0454,0.106,3.331,2.379,2000
35,4.2,0.11,0.2455,0.1042,0.0459,0.107,3.368,2.344,2000
36,5.2,0.14,0.2990,0.1023,0.0463,0.108,3.396,2.303,2000
37,6.3,0.16,0.3495,0.1002,0.0465,0.108,3.416,2.256,2000
38,7.3,0.19,0.3970,0.0979,0.0466,0.109,3.425,2.202,2000
39,8.4,0.22,0.4416,0.0952,0.0466,0.109,3.424,2.143,2000
40,9.4,0.24,0.4834,0.0924,0.0465,0.108,3.413,2.078,2000
