,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.0926,0.0366,0.009,0.593,0.472,1000
2,0.5,0.03,0.0637,0.0918,0.0370,0.010,0.600,0.468,1000
3,1.0,0.05,0.1249,0.0909,0.0374,0.010,0.606,0.463,1000
4,1.5,0.08,0.1835,0.0899,0.0377,0.010,0.612,0.458,1000
5,1.9,0.10,0.2393,0.0887,0.0380,0.010,0.617,0.452,1000
6,2.4,0.13,0.2925,0.0872,0.0383,0.010,0.621,0.445,1000
7,2.9,0.15,0.3428,0.0857,0.0385,0.010,0.624,0.437,1000
8,3.4,0.18,0.3903,0.0839,0.0386,0.010,0.626,0.427,1000
9,3.9,0.21,0.4349,0.0819,0.0387,0.010,0.627,0.417,1000
10,4.4,0.23,0.4763,0.0797,0.0386,0.010,0.627,0.406,1000
11,4.9,0.26,0.5147,0.0772,0.0385,0.010,0.625,0.394,1000
12,5.3,0.28,0.5497,0.0746,0.0383,0.010,0.622,0.380,1000
13,5.8,0.31,0.5815,0.0717,0.0380,0.010,0.616,0.365,1000
14,6.3,0.33,0.6099,0.0686,0.0375,0.010,0.609,0.350,1000
15,6.8,0.36,0.6349,0.0652,0.0369,0.010,0.599,0.332,1000
16,7.3,0.39,0.6564,0.0615,0.0361,0.009,0.585,0.313,1000
17,7.8,0.41,0.6746,0.0577,0.0351,0.009,0.570,0.294,1000
18,8.3,0.44,0.6895,0.0538,0.0340,0.009,0.552,0.274,1000
19,8.8,0.46,0.7015,0.0498,0.0328,0.008,0.532,0.254,1000
20,9.2,0.49,0.7110,0.0457,0.0313,0.008,0.508,0.233,1000
21,9.7,0.51,0.7182,0.0415,0.0297,0.008,0.481,0.212,1000
22,10.2,0.54,0.7227,0.0372,0.0278,0.007,0.451,0.190,1000
23,10.7,0.56,0.7239,0.0329,0.0256,0.007,0.416,0.167,1000
24,11.2,0.59,0.7205,0.0284,0.0233,0.006,0.377,0.145,1000
25,11.7,0.62,0.7123,0.0238,0.0206,0.005,0.334,0.121,1000
26,12.2,0.64,0.6917,0.0192,0.0178,0.005,0.288,0.098,1000
27,12.6,0.67,0.6509,0.0145,0.0148,0.004,0.241,0.074,1000
28,13.1,0.69,0.5730,0.0097,0.0117,0.003,0.190,0.049,1000
29,13.6,0.72,0.4134,0.0049,0.0084,0.002,0.137,0.025,1000
30,14.1,0.74,-0.0010,0.0000,0.0054,0.001,0.088,0.000,1000
31,0.0,0.00,0.0000,0.0926,0.0348,0.072,2.261,1.888,2000
32,1.0,0.03,0.0667,0.0919,0.0354,0.073,2.297,1.874,2000
33,1.9,0.05,0.1302,0.0910,0.0359,0.074,2.330,1.856,2000
34,2.9,0.08,0.1905,0.0900,0.0364,0.075,2.361,1.835,2000
35,3.9,0.10,0.2477,0.0888,0.0368,0.076,2.389,1.810,2000
36,4.9,0.13,0.3018,0.0874,0.0372,0.077,2.412,1.782,2000
37,5.8,0.15,0.3528,0.0858,0.0375,0.077,2.432,1.749,2000
38,6.8,0.18,0.4008,0.0840,0.0377,0.078,2.445,1.713,2000
39,7.8,0.21,0.4458,0.0820,0.0378,0.078,2.452,1.672,2000
40,8.8,0.23,0.4879,0.0798,0.0378,0.078,2.453,1.627,2000
41,9.7,0.26,0.5269,0.0774,0.0377,0.078,2.448,1.578,2000
42,10.7,0.28,0.5629,0.0748,0.0375,0.077,2.434,1.524,2000
