,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.0861,0.0311,0.012,0.728,0.588,1000
2,0.5,0.02,0.0615,0.0849,0.0314,0.012,0.734,0.580,1000
3,0.9,0.05,0.1203,0.0836,0.0316,0.012,0.739,0.571,1000
4,1.4,0.07,0.1763,0.0822,0.0318,0.012,0.744,0.561,1000
5,1.9,0.09,0.2294,0.0806,0.0320,0.012,0.748,0.551,1000
6,2.3,0.11,0.2796,0.0790,0.0321,0.012,0.752,0.540,1000
7,2.8,0.14,0.3269,0.0772,0.0322,0.012,0.754,0.528,1000
8,3.2,0.16,0.3711,0.0753,0.0323,0.012,0.756,0.515,1000
9,3.7,0.18,0.4124,0.0733,0.0323,0.012,0.757,0.501,1000
10,4.2,0.20,0.4506,0.0711,0.0323,0.012,0.756,0.486,1000
11,4.6,0.23,0.4859,0.0688,0.0322,0.012,0.753,0.470,1000
12,5.1,0.25,0.5181,0.0663,0.0320,0.012,0.749,0.453,1000
13,5.6,0.27,0.5472,0.0635,0.0317,0.012,0.741,0.434,1000
14,6.0,0.30,0.5732,0.0605,0.0312,0.012,0.731,0.414,1000
15,6.5,0.32,0.5961,0.0573,0.0306,0.011,0.716,0.392,1000
16,7.0,0.34,0.6161,0.0540,0.0299,0.011,0.700,0.369,1000
17,7.4,0.36,0.6334,0.0507,0.0291,0.011,0.681,0.346,1000
18,7.9,0.39,0.6480,0.0472,0.0282,0.010,0.659,0.323,1000
19,8.3,0.41,0.6603,0.0437,0.0271,0.010,0.634,0.299,1000
20,8.8,0.43,0.6700,0.0401,0.0259,0.010,0.605,0.274,1000
21,9.3,0.45,0.6769,0.0364,0.0245,0.009,0.572,0.249,1000
22,9.7,0.48,0.6809,0.0326,0.0229,0.008,0.535,0.223,1000
23,10.2,0.50,0.6817,0.0287,0.0211,0.008,0.494,0.196,1000
