,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.0933,0.0386,0.014,0.898,0.635,1000
2,0.6,0.03,0.0660,0.0930,0.0392,0.014,0.914,0.633,1000
3,1.1,0.06,0.1293,0.0926,0.0399,0.015,0.929,0.631,1000
4,1.7,0.08,0.1898,0.0921,0.0405,0.015,0.944,0.627,1000
5,2.3,0.11,0.2476,0.0913,0.0411,0.015,0.957,0.622,1000
6,2.8,0.14,0.3026,0.0903,0.0415,0.015,0.967,0.615,1000
7,3.4,0.17,0.3547,0.0889,0.0419,0.015,0.975,0.605,1000
8,4.0,0.19,0.4038,0.0873,0.0421,0.016,0.981,0.594,1000
9,4.5,0.22,0.4499,0.0853,0.0422,0.016,0.983,0.580,1000
10,5.1,0.25,0.4927,0.0830,0.0422,0.016,0.983,0.565,1000
11,5.7,0.28,0.5323,0.0804,0.0421,0.016,0.980,0.548,1000
12,6.2,0.31,0.5686,0.0776,0.0418,0.015,0.974,0.528,1000
13,6.8,0.33,0.6014,0.0746,0.0415,0.015,0.966,0.508,1000
14,7.4,0.36,0.6306,0.0714,0.0410,0.015,0.955,0.486,1000
15,7.9,0.39,0.6562,0.0680,0.0404,0.015,0.940,0.463,1000
16,8.5,0.42,0.6783,0.0642,0.0395,0.015,0.921,0.437,1000
17,9.1,0.45,0.6970,0.0602,0.0385,0.014,0.897,0.410,1000
18,9.6,0.47,0.7123,0.0562,0.0373,0.014,0.869,0.382,1000
19,10.2,0.50,0.7245,0.0520,0.0359,0.013,0.837,0.354,1000
20,10.8,0.53,0.7337,0.0477,0.0344,0.013,0.801,0.325,1000
21,11.3,0.56,0.7412,0.0433,0.0325,0.012,0.758,0.295,1000
22,11.9,0.58,0.7465,0.0389,0.0304,0.011,0.709,0.265,1000
23,12.5,0.61,0.7491,0.0343,0.0280,0.010,0.653,0.233,1000
24,13.0,0.64,0.7484,0.0296,0.0254,0.009,0.591,0.202,1000
25,13.6,0.67,0.7442,0.0249,0.0223,0.008,0.520,0.169,1000
26,14.2,0.70,0.7309,0.0200,0.0191,0.007,0.445,0.136,1000
27,14.7,0.72,0.7011,0.0151,0.0156,0.006,0.364,0.103,1000
28,15.3,0.75,0.6398,0.0101,0.0119,0.004,0.277,0.069,1000
29,15.9,0.78,0.4937,0.0051,0.0080,0.003,0.186,0.034,1000
30,16.4,0.81,-0.0018,0.0000,0.0049,0.002,0.113,0.000,1000
31,0.0,0.00,0.0000,0.0931,0.0361,0.107,3.367,2.536,2000
32,1.1,0.03,0.0699,0.0929,0.0370,0.109,3.447,2.529,2000
33,2.3,0.06,0.1361,0.0926,0.0378,0.112,3.526,2.520,2000
34,3.4,0.08,0.1988,0.0921,0.0387,0.114,3.601,2.507,2000
35,4.5,0.11,0.2580,0.0914,0.0394,0.116,3.671,2.487,2000
36,5.7,0.14,0.3139,0.0904,0.0400,0.118,3.731,2.460,2000
37,6.8,0.17,0.3665,0.0890,0.0406,0.120,3.778,2.424,2000
38,7.9,0.19,0.4158,0.0874,0.0409,0.121,3.814,2.380,2000
39,9.1,0.22,0.4619,0.0854,0.0412,0.122,3.835,2.326,2000
40,10.2,0.25,0.5047,0.0832,0.0413,0.122,3.844,2.264,2000
41,11.3,0.28,0.5444,0.0806,0.0412,0.122,3.839,2.195,2000
42,12.5,0.31,0.5812,0.0778,0.0410,0.121,3.818,2.119,2000
43,13.6,0.33,0.6149,0.0748,0.0406,0.120,3.785,2.037,2000
44,14.7,0.36,0.6456,0.0716,0.0401,0.119,3.738,1.950,2000
45,15.9,0.39,0.6731,0.0682,0.0394,0.117,3.675,1.856,2000
46,17.0,0.42,0.6979,0.0644,0.0385,0.114,3.589,1.754,2000
