,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.0892,0.0330,0.011,0.684,0.553,1000
2,0.5,0.02,0.0605,0.0880,0.0333,0.011,0.689,0.545,1000
3,0.9,0.05,0.1184,0.0866,0.0335,0.011,0.695,0.537,1000
4,1.4,0.07,0.1734,0.0852,0.0338,0.011,0.699,0.528,1000
5,1.8,0.09,0.2257,0.0836,0.0340,0.011,0.703,0.518,1000
6,2.3,0.11,0.2751,0.0819,0.0341,0.011,0.706,0.507,1000
7,2.7,0.14,0.3216,0.0801,0.0342,0.011,0.709,0.496,1000
8,3.2,0.16,0.3653,0.0781,0.0343,0.011,0.710,0.484,1000
9,3.6,0.18,0.4060,0.0760,0.0343,0.011,0.710,0.471,1000
10,4.1,0.21,0.4438,0.0737,0.0343,0.011,0.709,0.457,1000
11,4.6,0.23,0.4788,0.0713,0.0341,0.011,0.707,0.442,1000
12,5.0,0.25,0.5108,0.0688,0.0339,0.011,0.703,0.426,1000
13,5.5,0.27,0.5399,0.0660,0.0336,0.011,0.696,0.409,1000
14,5.9,0.30,0.5661,0.0632,0.0332,0.011,0.688,0.391,1000
15,6.4,0.32,0.5896,0.0600,0.0327,0.011,0.676,0.372,1000
16,6.8,0.34,0.6102,0.0567,0.0319,0.010,0.661,0.351,1000
17,7.3,0.37,0.6281,0.0532,0.0310,0.010,0.642,0.329,1000
18,7.7,0.39,0.6434,0.0496,0.0300,0.010,0.621,0.307,1000
19,8.2,0.41,0.6561,0.0459,0.0288,0.009,0.597,0.284,1000
20,8.7,0.44,0.6662,0.0421,0.0275,0.009,0.569,0.261,1000
21,9.1,0.46,0.6737,0.0382,0.0260,0.009,0.538,0.237,1000
22,9.6,0.48,0.6787,0.0343,0.0243,0.008,0.503,0.212,1000
23,10.0,0.50,0.6803,0.0302,0.0224,0.007,0.464,0.187,1000
24,10.5,0.53,0.6770,0.0261,0.0203,0.007,0.421,0.162,1000
25,10.9,0.55,0.6663,0.0219,0.0181,0.006,0.375,0.136,1000
26,11.4,0.57,0.6435,0.0177,0.0157,0.005,0.326,0.110,1000
27,11.8,0.60,0.6016,0.0134,0.0132,0.004,0.274,0.083,1000
28,12.3,0.62,0.5257,0.0090,0.0106,0.003,0.219,0.056,1000
29,12.8,0.64,0.3736,0.0045,0.0078,0.003,0.161,0.028,1000
30,13.2,0.66,-0.0024,0.0000,0.0048,0.002,0.100,0.000,1000
31,0.0,0.00,0.0000,0.0893,0.0312,0.082,2.582,2.214,2000
32,0.9,0.02,0.0640,0.0881,0.0315,0.083,2.609,2.183,2000
33,1.8,0.05,0.1249,0.0868,0.0318,0.084,2.634,2.150,2000
34,2.7,0.07,0.1826,0.0853,0.0321,0.084,2.656,2.114,2000
35,3.6,0.09,0.2373,0.0837,0.0323,0.085,2.676,2.075,2000
36,4.6,0.11,0.2889,0.0820,0.0325,0.085,2.692,2.033,2000
37,5.5,0.14,0.3375,0.0802,0.0326,0.086,2.702,1.987,2000
38,6.4,0.16,0.3831,0.0782,0.0327,0.086,2.710,1.939,2000
39,7.3,0.18,0.4258,0.0761,0.0327,0.086,2.711,1.886,2000
40,8.2,0.21,0.4657,0.0739,0.0327,0.086,2.707,1.830,2000
41,9.1,0.23,0.5027,0.0714,0.0325,0.086,2.694,1.770,2000
42,10.0,0.25,0.5369,0.0689,0.0323,0.085,2.675,1.707,2000
