,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1200,0.0702,0.002,0.022,0.049,5000
2,1.0,0.04,0.0749,0.1202,0.0721,0.002,0.022,0.049,5000
3,2.0,0.09,0.1461,0.1204,0.0740,0.002,0.023,0.049,5000
4,3.0,0.13,0.2135,0.1207,0.0761,0.002,0.023,0.049,5000
5,4.0,0.18,0.2771,0.1209,0.0783,0.002,0.024,0.049,5000
6,5.0,0.22,0.3371,0.1210,0.0806,0.002,0.025,0.049,5000
7,6.1,0.27,0.3934,0.1210,0.0828,0.002,0.025,0.049,5000
8,7.1,0.31,0.4461,0.1208,0.0851,0.002,0.026,0.049,5000
9,8.1,0.36,0.4953,0.1204,0.0873,0.002,0.027,0.049,5000
10,9.1,0.40,0.5412,0.1198,0.0894,0.002,0.027,0.049,5000
11,10.1,0.45,0.5837,0.1187,0.0913,0.002,0.028,0.048,5000
12,11.1,0.49,0.6227,0.1173,0.0930,0.002,0.029,0.048,5000
13,12.1,0.54,0.6586,0.1154,0.0944,0.002,0.029,0.047,5000
14,13.1,0.58,0.6908,0.1130,0.0955,0.002,0.029,0.046,5000
15,14.1,0.63,0.7198,0.1101,0.0962,0.002,0.029,0.045,5000
16,15.1,0.67,0.7457,0.1065,0.0962,0.002,0.029,0.043,5000
17,16.2,0.72,0.7691,0.1007,0.0940,0.002,0.029,0.041,5000
18,17.2,0.76,0.7891,0.0936,0.0906,0.002,0.028,0.038,5000
19,18.2,0.81,0.8056,0.0869,0.0872,0.002,0.027,0.035,5000
20,19.2,0.85,0.8185,0.0817,0.0851,0.002,0.026,0.033,5000
21,20.2,0.90,0.8300,0.0749,0.0810,0.002,0.025,0.030,5000
22,21.2,0.94,0.8396,0.0676,0.0759,0.002,0.023,0.027,5000
23,22.2,0.99,0.8474,0.0600,0.0699,0.002,0.021,0.024,5000
24,23.2,1.03,0.8536,0.0522,0.0631,0.002,0.019,0.021,5000
25,24.2,1.08,0.8572,0.0440,0.0553,0.001,0.017,0.018,5000
26,25.2,1.12,0.8564,0.0355,0.0466,0.001,0.014,0.014,5000
27,26.2,1.17,0.8480,0.0269,0.0370,0.001,0.011,0.011,5000
28,27.3,1.21,0.8217,0.0180,0.0265,0.001,0.008,0.007,5000
29,28.3,1.26,0.7184,0.0090,0.0157,0.000,0.005,0.004,5000
30,29.3,1.30,-0.0211,-0.0001,0.0075,0.000,0.002,0.000,5000
31,0.0,0.00,0.0000,0.1198,0.0691,0.003,0.031,0.070,6000
32,1.2,0.04,0.0750,0.1200,0.0710,0.003,0.031,0.070,6000
33,2.4,0.09,0.1462,0.1202,0.0730,0.003,0.032,0.070,6000
34,3.6,0.13,0.2134,0.1205,0.0751,0.003,0.033,0.070,6000
35,4.8,0.18,0.2768,0.1207,0.0774,0.003,0.034,0.070,6000
36,6.0,0.22,0.3364,0.1208,0.0796,0.003,0.035,0.071,6000
37,7.2,0.27,0.3923,0.1208,0.0820,0.003,0.036,0.071,6000
38,8.4,0.31,0.4446,0.1207,0.0843,0.004,0.037,0.070,6000
39,9.6,0.35,0.4934,0.1203,0.0865,0.004,0.038,0.070,6000
40,10.8,0.40,0.5387,0.1197,0.0887,0.004,0.039,0.070,6000
41,12.0,0.44,0.5807,0.1188,0.0907,0.004,0.040,0.069,6000
42,13.2,0.49,0.6194,0.1174,0.0925,0.004,0.041,0.069,6000
43,14.4,0.53,0.6547,0.1157,0.0940,0.004,0.042,0.068,6000
44,15.6,0.58,0.6868,0.1134,0.0952,0.004,0.042,0.066,6000
45,16.8,0.62,0.7156,0.1106,0.0960,0.004,0.042,0.065,6000
46,18.0,0.67,0.7414,0.1071,0.0961,0.004,0.042,0.063,6000
47,19.2,0.71,0.7642,0.1025,0.0952,0.004,0.042,0.060,6000
48,20.4,0.75,0.7846,0.0961,0.0923,0.004,0.041,0.056,6000
49,21.5,0.80,0.8017,0.0894,0.0890,0.004,0.039,0.052,6000
50,22.7,0.84,0.8160,0.0825,0.0852,0.004,0.038,0.048,6000
51,23.9,0.89,0.8278,0.0754,0.0808,0.003,0.036,0.044,6000
52,25.1,0.93,0.8375,0.0681,0.0757,0.003,0.033,0.040,6000
53,26.3,0.98,0.8452,0.0606,0.0699,0.003,0.031,0.035,6000
54,27.5,1.02,0.8513,0.0527,0.0632,0.003,0.028,0.031,6000
55,28.7,1.06,0.8552,0.0446,0.0555,0.002,0.024,0.026,6000
56,29.9,1.11,0.8547,0.0360,0.0468,0.002,0.021,0.021,6000
57,31.1,1.15,0.8466,0.0272,0.0371,0.002,0.016,0.016,6000
58,32.3,1.20,0.8206,0.0183,0.0267,0.001,0.012,0.011,6000
59,33.5,1.24,0.7258,0.0092,0.0157,0.001,0.007,0.005,6000
60,34.7,1.29,-0.0154,-0.0001,0.0061,0.000,0.003,0.000,6000
61,0.0,0.00,0.0000,0.1199,0.0694,0.005,0.042,0.095,7000
62,1.4,0.04,0.0740,0.1201,0.0712,0.005,0.043,0.095,7000
63,2.8,0.09,0.1444,0.1203,0.0732,0.005,0.044,0.096,7000
64,4.1,0.13,0.2109,0.1205,0.0753,0.005,0.045,0.096,7000
65,5.5,0.18,0.2737,0.1207,0.0775,0.005,0.047,0.096,7000
66,6.9,0.22,0.3328,0.1208,0.0797,0.005,0.048,0.096,7000
67,8.3,0.26,0.3884,0.1209,0.0820,0.005,0.049,0.096,7000
68,9.7,0.31,0.4404,0.1207,0.0843,0.006,0.051,0.096,7000
69,11.1,0.35,0.4891,0.1204,0.0865,0.006,0.052,0.096,7000
70,12.4,0.40,0.5343,0.1198,0.0887,0.006,0.053,0.095,7000
71,13.8,0.44,0.5763,0.1189,0.0906,0.006,0.054,0.095,7000
72,15.2,0.48,0.6151,0.1177,0.0924,0.006,0.056,0.093,7000
73,16.6,0.53,0.6506,0.1160,0.0940,0.006,0.056,0.092,7000
74,18.0,0.57,0.6829,0.1138,0.0951,0.006,0.057,0.090,7000
75,19.4,0.61,0.7120,0.1111,0.0959,0.006,0.058,0.088,7000
76,20.7,0.66,0.7380,0.1077,0.0961,0.006,0.058,0.086,7000
77,22.1,0.70,0.7613,0.1031,0.0952,0.006,0.057,0.082,7000
78,23.5,0.75,0.7820,0.0967,0.0923,0.006,0.055,0.077,7000
79,24.9,0.79,0.7993,0.0900,0.0890,0.006,0.053,0.072,7000
80,26.3,0.83,0.8139,0.0831,0.0852,0.006,0.051,0.066,7000
81,27.7,0.88,0.8259,0.0761,0.0809,0.005,0.049,0.060,7000
82,29.0,0.92,0.8357,0.0688,0.0759,0.005,0.046,0.055,7000
83,30.4,0.97,0.8435,0.0613,0.0702,0.005,0.042,0.049,7000
84,31.8,1.01,0.8495,0.0534,0.0635,0.004,0.038,0.042,7000
85,33.2,1.05,0.8536,0.0453,0.0559,0.004,0.034,0.036,7000
86,34.6,1.10,0.8536,0.0367,0.0472,0.003,0.028,0.029,7000
87,36.0,1.14,0.8458,0.0278,0.0375,0.003,0.023,0.022,7000
88,37.3,1.19,0.8203,0.0187,0.0270,0.002,0.016,0.015,7000
89,38.7,1.23,0.7311,0.0094,0.0158,0.001,0.009,0.007,7000
90,40.1,1.27,-0.0082,0.0000,0.0050,0.000,0.003,0.000,7000
91,0.0,0.00,0.0000,0.1199,0.0696,0.007,0.055,0.124,8000
92,1.6,0.04,0.0732,0.1201,0.0714,0.007,0.056,0.125,8000
93,3.1,0.09,0.1427,0.1203,0.0734,0.007,0.058,0.125,8000
94,4.7,0.13,0.2086,0.1205,0.0754,0.008,0.059,0.125,8000
95,6.3,0.17,0.2709,0.1207,0.0776,0.008,0.061,0.125,8000
96,7.8,0.22,0.3296,0.1209,0.0798,0.008,0.063,0.125,8000
97,9.4,0.26,0.3848,0.1209,0.0820,0.008,0.064,0.125,8000
98,11.0,0.30,0.4366,0.1208,0.0843,0.008,0.066,0.125,8000
99,12.5,0.35,0.4851,0.1205,0.0865,0.009,0.068,0.125,8000
100,14.1,0.39,0.5303,0.1200,0.0886,0.009,0.070,0.125,8000
101,15.7,0.44,0.5722,0.1191,0.0906,0.009,0.071,0.124,8000
102,17.2,0.48,0.6110,0.1179,0.0924,0.009,0.072,0.122,8000
103,18.8,0.52,0.6466,0.1163,0.0939,0.009,0.074,0.121,8000
104,20.4,0.57,0.6791,0.1142,0.0951,0.009,0.075,0.118,8000
105,21.9,0.61,0.7085,0.1115,0.0959,0.010,0.075,0.116,8000
106,23.5,0.65,0.7348,0.1082,0.0962,0.010,0.075,0.112,8000
107,25.1,0.70,0.7583,0.1038,0.0953,0.009,0.075,0.108,8000
108,26.6,0.74,0.7794,0.0975,0.0925,0.009,0.073,0.101,8000
109,28.2,0.78,0.7971,0.0908,0.0892,0.009,0.070,0.094,8000
110,29.8,0.83,0.8119,0.0839,0.0854,0.009,0.067,0.087,8000
111,31.3,0.87,0.8241,0.0769,0.0812,0.008,0.064,0.080,8000
112,32.9,0.91,0.8340,0.0696,0.0763,0.008,0.060,0.072,8000
113,34.5,0.96,0.8419,0.0621,0.0706,0.007,0.055,0.064,8000
114,36.0,1.00,0.8480,0.0543,0.0641,0.006,0.050,0.056,8000
115,37.6,1.04,0.8522,0.0461,0.0565,0.006,0.044,0.048,8000
116,39.2,1.09,0.8527,0.0376,0.0479,0.005,0.038,0.039,8000
117,40.7,1.13,0.8454,0.0285,0.0381,0.004,0.030,0.030,8000
118,42.3,1.18,0.8206,0.0191,0.0274,0.003,0.022,0.020,8000
119,43.9,1.22,0.7356,0.0096,0.0159,0.002,0.013,0.010,8000
120,45.4,1.26,0.0027,0.0000,0.0044,0.000,0.003,0.000,8000
121,0.0,0.00,0.0000,0.1199,0.0699,0.010,0.069,0.158,9000
122,1.8,0.04,0.0725,0.1201,0.0716,0.010,0.071,0.158,9000
123,3.5,0.09,0.1415,0.1203,0.0735,0.010,0.073,0.158,9000
124,5.3,0.13,0.2070,0.1205,0.0756,0.011,0.075,0.158,9000
125,7.0,0.17,0.2688,0.1208,0.0777,0.011,0.077,0.159,9000
126,8.8,0.22,0.3272,0.1209,0.0799,0.011,0.079,0.159,9000
127,10.5,0.26,0.3822,0.1210,0.0821,0.012,0.082,0.159,9000
128,12.3,0.30,0.4338,0.1209,0.0843,0.012,0.084,0.159,9000
129,14.0,0.35,0.4821,0.1206,0.0865,0.012,0.086,0.158,9000
130,15.8,0.39,0.5273,0.1201,0.0886,0.013,0.088,0.158,9000
131,17.5,0.43,0.5692,0.1192,0.0906,0.013,0.090,0.157,9000
132,19.3,0.48,0.6081,0.1181,0.0924,0.013,0.092,0.155,9000
133,21.0,0.52,0.6438,0.1165,0.0939,0.013,0.093,0.153,9000
134,22.8,0.56,0.6764,0.1144,0.0951,0.013,0.094,0.150,9000
135,24.5,0.61,0.7059,0.1119,0.0960,0.014,0.095,0.147,9000
136,26.3,0.65,0.7325,0.1087,0.0962,0.014,0.096,0.143,9000
137,28.0,0.69,0.7562,0.1043,0.0955,0.014,0.095,0.137,9000
138,29.8,0.74,0.7775,0.0981,0.0928,0.013,0.092,0.129,9000
139,31.5,0.78,0.7954,0.0914,0.0894,0.013,0.089,0.120,9000
140,33.3,0.82,0.8105,0.0845,0.0857,0.012,0.085,0.111,9000
141,35.0,0.87,0.8228,0.0775,0.0814,0.012,0.081,0.102,9000
142,36.8,0.91,0.8328,0.0702,0.0766,0.011,0.076,0.092,9000
143,38.5,0.95,0.8408,0.0627,0.0710,0.010,0.070,0.082,9000
144,40.3,0.99,0.8469,0.0549,0.0645,0.009,0.064,0.072,9000
145,42.0,1.04,0.8512,0.0467,0.0569,0.008,0.057,0.061,9000
146,43.8,1.08,0.8519,0.0380,0.0483,0.007,0.048,0.050,9000
147,45.5,1.12,0.8448,0.0289,0.0384,0.005,0.038,0.038,9000
148,47.3,1.17,0.8201,0.0194,0.0276,0.004,0.027,0.025,9000
149,49.0,1.21,0.7355,0.0098,0.0161,0.002,0.016,0.013,9000
150,50.8,1.25,0.0012,0.0000,0.0042,0.001,0.004,0.000,9000
151,0.0,0.00,0.0000,0.1200,0.0701,0.014,0.086,0.195,10000
152,1.9,0.04,0.0720,0.1201,0.0719,0.014,0.088,0.195,10000
153,3.9,0.09,0.1405,0.1203,0.0738,0.014,0.090,0.195,10000
154,5.8,0.13,0.2056,0.1206,0.0757,0.015,0.093,0.196,10000
155,7.7,0.17,0.2672,0.1208,0.0779,0.015,0.095,0.196,10000
156,9.7,0.22,0.3254,0.1209,0.0800,0.016,0.098,0.196,10000
157,11.6,0.26,0.3802,0.1210,0.0822,0.016,0.101,0.196,10000
158,13.6,0.30,0.4317,0.1209,0.0844,0.016,0.104,0.196,10000
159,15.5,0.34,0.4799,0.1207,0.0866,0.017,0.106,0.196,10000
160,17.4,0.39,0.5250,0.1202,0.0887,0.017,0.109,0.195,10000
161,19.4,0.43,0.5670,0.1194,0.0907,0.018,0.111,0.194,10000
162,21.3,0.47,0.6059,0.1182,0.0924,0.018,0.113,0.192,10000
163,23.2,0.52,0.6416,0.1167,0.0940,0.018,0.115,0.189,10000
164,25.2,0.56,0.6744,0.1147,0.0952,0.019,0.117,0.186,10000
165,27.1,0.60,0.7041,0.1122,0.0960,0.019,0.118,0.182,10000
166,29.1,0.65,0.7308,0.1090,0.0964,0.019,0.118,0.177,10000
167,31.0,0.69,0.7547,0.1047,0.0956,0.019,0.117,0.170,10000
168,32.9,0.73,0.7761,0.0986,0.0930,0.018,0.114,0.160,10000
169,34.9,0.78,0.7943,0.0918,0.0896,0.017,0.110,0.149,10000
170,36.8,0.82,0.8095,0.0849,0.0859,0.017,0.105,0.138,10000
171,38.7,0.86,0.8219,0.0779,0.0816,0.016,0.100,0.126,10000
172,40.7,0.90,0.8320,0.0706,0.0767,0.015,0.094,0.115,10000
173,42.6,0.95,0.8401,0.0631,0.0712,0.014,0.087,0.102,10000
174,44.6,0.99,0.8461,0.0552,0.0647,0.013,0.079,0.090,10000
175,46.5,1.03,0.8504,0.0469,0.0570,0.011,0.070,0.076,10000
176,48.4,1.08,0.8510,0.0381,0.0483,0.009,0.059,0.062,10000
177,50.4,1.12,0.8438,0.0288,0.0383,0.007,0.047,0.047,10000
178,52.3,1.16,0.8185,0.0194,0.0275,0.005,0.034,0.031,10000
179,54.2,1.21,0.7328,0.0097,0.0160,0.003,0.020,0.016,10000
180,56.2,1.25,0.0052,0.0000,0.0045,0.001,0.006,0.000,10000
181,0.0,0.00,0.0000,0.1200,0.0703,0.018,0.104,0.235,11000
182,2.1,0.04,0.0715,0.1202,0.0720,0.019,0.107,0.236,11000
183,4.2,0.09,0.1397,0.1204,0.0739,0.019,0.110,0.236,11000
184,6.4,0.13,0.2045,0.1206,0.0759,0.020,0.113,0.237,11000
185,8.5,0.17,0.2658,0.1208,0.0780,0.020,0.116,0.237,11000
