,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1221,0.0699,0.003,0.031,0.071,6000
2,1.1,0.04,0.0709,0.1223,0.0716,0.003,0.032,0.071,6000
3,2.2,0.08,0.1386,0.1225,0.0734,0.003,0.032,0.072,6000
4,3.4,0.12,0.2030,0.1226,0.0752,0.003,0.033,0.072,6000
5,4.5,0.17,0.2641,0.1227,0.0771,0.003,0.034,0.072,6000
6,5.6,0.21,0.3220,0.1226,0.0790,0.003,0.035,0.072,6000
7,6.7,0.25,0.3766,0.1224,0.0809,0.003,0.036,0.071,6000
8,7.8,0.29,0.4281,0.1220,0.0828,0.003,0.037,0.071,6000
9,9.0,0.33,0.4763,0.1214,0.0846,0.004,0.037,0.071,6000
10,10.1,0.37,0.5215,0.1205,0.0863,0.004,0.038,0.070,6000
11,11.2,0.41,0.5635,0.1193,0.0878,0.004,0.039,0.070,6000
12,12.3,0.46,0.6023,0.1178,0.0892,0.004,0.039,0.069,6000
13,13.4,0.50,0.6381,0.1159,0.0904,0.004,0.040,0.068,6000
14,14.6,0.54,0.6708,0.1135,0.0913,0.004,0.040,0.066,6000
15,15.7,0.58,0.7004,0.1106,0.0917,0.004,0.040,0.065,6000
16,16.8,0.62,0.7272,0.1067,0.0914,0.004,0.040,0.062,6000
17,17.9,0.66,0.7511,0.1014,0.0896,0.004,0.040,0.059,6000
18,19.0,0.71,0.7717,0.0950,0.0868,0.004,0.038,0.055,6000
19,20.2,0.75,0.7890,0.0885,0.0838,0.004,0.037,0.052,6000
20,21.3,0.79,0.8034,0.0815,0.0800,0.003,0.035,0.048,6000
21,22.4,0.83,0.8152,0.0745,0.0758,0.003,0.033,0.043,6000
22,23.5,0.87,0.8247,0.0671,0.0710,0.003,0.031,0.039,6000
23,24.6,0.91,0.8320,0.0596,0.0654,0.003,0.029,0.035,6000
24,25.8,0.95,0.8377,0.0517,0.0589,0.002,0.026,0.030,6000
25,26.9,1.00,0.8411,0.0436,0.0516,0.002,0.023,0.025,6000
26,28.0,1.04,0.8398,0.0352,0.0435,0.002,0.019,0.021,6000
27,29.1,1.08,0.8299,0.0266,0.0345,0.001,0.015,0.016,6000
28,30.2,1.12,0.7994,0.0178,0.0250,0.001,0.011,0.010,6000
29,31.4,1.16,0.7030,0.0089,0.0147,0.001,0.007,0.005,6000
30,32.5,1.20,-0.0014,0.0000,0.0047,0.000,0.002,0.000,6000
31,0.0,0.00,0.0000,0.1219,0.0687,0.005,0.041,0.097,7000
32,1.3,0.04,0.0717,0.1220,0.0705,0.005,0.042,0.097,7000
33,2.6,0.08,0.1400,0.1222,0.0723,0.005,0.043,0.097,7000
34,3.9,0.12,0.2048,0.1223,0.0742,0.005,0.045,0.097,7000
35,5.2,0.17,0.2661,0.1224,0.0762,0.005,0.046,0.097,7000
36,6.5,0.21,0.3241,0.1223,0.0781,0.005,0.047,0.097,7000
37,7.8,0.25,0.3787,0.1221,0.0801,0.005,0.048,0.097,7000
38,9.1,0.29,0.4299,0.1218,0.0821,0.005,0.049,0.097,7000
39,10.4,0.33,0.4780,0.1212,0.0840,0.006,0.050,0.096,7000
40,11.7,0.37,0.5228,0.1203,0.0857,0.006,0.052,0.096,7000
41,13.0,0.41,0.5632,0.1193,0.0877,0.006,0.053,0.095,7000
42,14.3,0.46,0.6019,0.1178,0.0891,0.006,0.054,0.094,7000
43,15.6,0.50,0.6375,0.1159,0.0903,0.006,0.054,0.092,7000
44,16.9,0.54,0.6701,0.1136,0.0913,0.006,0.055,0.090,7000
45,18.3,0.58,0.6996,0.1108,0.0918,0.006,0.055,0.088,7000
46,19.6,0.62,0.7263,0.1069,0.0914,0.006,0.055,0.085,7000
47,20.9,0.66,0.7501,0.1017,0.0898,0.006,0.054,0.081,7000
48,22.2,0.70,0.7709,0.0953,0.0870,0.006,0.052,0.076,7000
49,23.5,0.75,0.7885,0.0885,0.0837,0.006,0.050,0.070,7000
50,24.8,0.79,0.8030,0.0815,0.0799,0.005,0.048,0.065,7000
51,26.1,0.83,0.8148,0.0744,0.0756,0.005,0.045,0.059,7000
52,27.4,0.87,0.8242,0.0671,0.0708,0.005,0.043,0.053,7000
53,28.7,0.91,0.8315,0.0595,0.0651,0.004,0.039,0.047,7000
54,30.0,0.95,0.8371,0.0516,0.0587,0.004,0.035,0.041,7000
55,31.3,0.99,0.8404,0.0434,0.0514,0.003,0.031,0.035,7000
56,32.6,1.04,0.8390,0.0351,0.0433,0.003,0.026,0.028,7000
57,33.9,1.08,0.8290,0.0265,0.0344,0.002,0.021,0.021,7000
58,35.2,1.12,0.7983,0.0178,0.0249,0.002,0.015,0.014,7000
59,36.5,1.16,0.7020,0.0089,0.0147,0.001,0.009,0.007,7000
60,37.8,1.20,0.0012,0.0000,0.0046,0.000,0.003,0.000,7000
61,0.0,0.00,0.0000,0.1221,0.0696,0.007,0.055,0.127,8000
62,1.5,0.04,0.0708,0.1222,0.0713,0.007,0.056,0.127,8000
