,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR.1,Torque.1,Thrust.1,THR/PWR,Mach,Reyn,RPM
0,(mph),(Adv_Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),(W),(N-m),(N),(g/W),-,-,RPM
1,0.0,0.00,0.0000,0.0902,0.0565,0.000,0.001,0.002,0.011,0.000,0.008,76.905,0.02,3952.,1000
2,0.1,0.02,0.0370,0.0901,0.0566,0.000,0.001,0.002,0.011,0.000,0.008,76.704,0.02,3952.,1000
3,0.2,0.05,0.0738,0.0900,0.0567,0.000,0.001,0.002,0.011,0.000,0.008,76.501,0.02,3952.,1000
4,0.3,0.07,0.1104,0.0899,0.0567,0.000,0.001,0.002,0.011,0.000,0.008,76.295,0.02,3953.,1000
5,0.4,0.09,0.1468,0.0898,0.0568,0.000,0.001,0.002,0.011,0.000,0.008,76.089,0.02,3955.,1000
6,0.6,0.12,0.1830,0.0896,0.0569,0.000,0.001,0.002,0.011,0.000,0.008,75.875,0.02,3957.,1000
7,0.7,0.14,0.2190,0.0894,0.0570,0.000,0.001,0.002,0.011,0.000,0.008,75.659,0.02,3959.,1000
8,0.8,0.16,0.2547,0.0892,0.0570,0.000,0.001,0.002,0.011,0.000,0.008,75.434,0.02,3961.,1000
9,0.9,0.19,0.2902,0.0889,0.0570,0.000,0.001,0.002,0.011,0.000,0.008,75.198,0.02,3964.,1000
10,1.0,0.21,0.3253,0.0884,0.0569,0.000,0.001,0.002,0.011,0.000,0.008,74.934,0.02,3967.,1000
11,1.1,0.23,0.3600,0.0878,0.0567,0.000,0.001,0.002,0.011,0.000,0.008,74.633,0.02,3971.,1000
12,1.2,0.26,0.3941,0.0867,0.0563,0.000,0.001,0.002,0.011,0.000,0.008,74.273,0.02,3975.,1000
13,1.3,0.28,0.4273,0.0852,0.0556,0.000,0.001,0.002,0.010,0.000,0.008,73.810,0.02,3979.,1000
14,1.4,0.30,0.4589,0.0828,0.0545,0.000,0.001,0.002,0.010,0.000,0.007,73.181,0.02,3984.,1000
15,1.5,0.33,0.4883,0.0794,0.0529,0.000,0.001,0.002,0.010,0.000,0.007,72.303,0.02,3989.,1000
16,1.7,0.35,0.5148,0.0750,0.0507,0.000,0.001,0.001,0.010,0.000,0.007,71.145,0.02,3995.,1000
17,1.8,0.37,0.5397,0.0704,0.0485,0.000,0.001,0.001,0.009,0.000,0.006,69.925,0.02,4001.,1000
18,1.9,0.40,0.5618,0.0657,0.0462,0.000,0.001,0.001,0.009,0.000,0.006,68.499,0.02,4007.,1000
19,2.0,0.42,0.5775,0.0609,0.0441,0.000,0.001,0.001,0.008,0.000,0.005,66.502,0.02,4013.,1000
20,2.1,0.44,0.5894,0.0559,0.0419,0.000,0.001,0.001,0.008,0.000,0.005,64.299,0.02,4020.,1000
21,2.2,0.46,0.5980,0.0508,0.0395,0.000,0.001,0.001,0.007,0.000,0.004,61.983,0.02,4028.,1000
22,2.3,0.49,0.6029,0.0456,0.0369,0.000,0.001,0.001,0.007,0.000,0.004,59.511,0.02,4036.,1000
23,2.4,0.51,0.6029,0.0403,0.0342,0.000,0.001,0.001,0.006,0.000,0.004,56.812,0.02,4044.,1000
24,2.5,0.53,0.5963,0.0349,0.0313,0.000,0.000,0.001,0.006,0.000,0.003,53.742,0.02,4052.,1000
25,2.6,0.56,0.5801,0.0293,0.0282,0.000,0.000,0.001,0.005,0.000,0.003,50.100,0.02,4061.,1000
26,2.8,0.58,0.5495,0.0237,0.0251,0.000,0.000,0.000,0.005,0.000,0.002,45.562,0.02,4070.,1000
27,2.9,0.60,0.4963,0.0179,0.0218,0.000,0.000,0.000,0.004,0.000,0.002,39.572,0.02,4080.,1000
28,3.0,0.63,0.4061,0.0121,0.0186,0.000,0.000,0.000,0.003,0.000,0.001,31.178,0.02,4089.,1000
29,3.1,0.65,0.2539,0.0061,0.0155,0.000,0.000,0.000,0.003,0.000,0.001,18.798,0.02,4100.,1000
30,3.2,0.67,-0.0025,0.0000,0.0127,0.000,0.000,0.000,0.002,0.000,0.000,-0.177,0.02,4110.,1000
31,0.0,0.00,0.0000,0.0902,0.0565,0.000,0.004,0.007,0.085,0.000,0.032,38.453,0.04,7903.,2000
32,0.2,0.02,0.0370,0.0901,0.0566,0.000,0.004,0.007,0.085,0.000,0.032,38.352,0.04,7904.,2000
33,0.4,0.05,0.0738,0.0900,0.0567,0.000,0.004,0.007,0.085,0.000,0.032,38.250,0.04,7905.,2000
34,0.7,0.07,0.1104,0.0899,0.0567,0.000,0.004,0.007,0.085,0.000,0.032,38.148,0.04,7907.,2000
35,0.9,0.09,0.1468,0.0898,0.0568,0.000,0.004,0.007,0.085,0.000,0.032,38.044,0.04,7910.,2000
36,1.1,0.12,0.1830,0.0896,0.0569,0.000,0.004,0.007,0.085,0.000,0.032,37.937,0.04,7913.,2000
37,1.3,0.14,0.2190,0.0895,0.0570,0.000,0.004,0.007,0.085,0.000,0.032,37.828,0.04,7917.,2000
38,1.5,0.16,0.2548,0.0892,0.0570,0.000,0.004,0.007,0.085,0.000,0.032,37.716,0.04,7922.,2000
39,1.8,0.19,0.2903,0.0889,0.0570,0.000,0.004,0.007,0.085,0.000,0.031,37.598,0.04,7928.,2000
40,2.0,0.21,0.3254,0.0885,0.0569,0.000,0.004,0.007,0.085,0.000,0.031,37.465,0.04,7934.,2000
41,2.2,0.23,0.3601,0.0878,0.0567,0.000,0.004,0.007,0.085,0.000,0.031,37.316,0.04,7942.,2000
42,2.4,0.26,0.3942,0.0868,0.0563,0.000,0.004,0.007,0.084,0.000,0.031,37.136,0.04,7950.,2000
43,2.6,0.28,0.4273,0.0852,0.0556,0.000,0.004,0.007,0.083,0.000,0.030,36.905,0.04,7959.,2000
44,2.9,0.30,0.4590,0.0828,0.0545,0.000,0.003,0.007,0.082,0.000,0.029,36.590,0.04,7968.,2000
45,3.1,0.33,0.4884,0.0794,0.0529,0.000,0.003,0.006,0.079,0.000,0.028,36.150,0.04,7978.,2000
46,3.3,0.35,0.5149,0.0750,0.0508,0.000,0.003,0.006,0.076,0.000,0.027,35.571,0.04,7989.,2000
47,3.5,0.37,0.5398,0.0704,0.0485,0.000,0.003,0.006,0.073,0.000,0.025,34.959,0.04,8001.,2000
48,3.7,0.40,0.5618,0.0657,0.0462,0.000,0.003,0.005,0.069,0.000,0.023,34.245,0.04,8014.,2000
49,4.0,0.42,0.5775,0.0609,0.0441,0.000,0.003,0.005,0.066,0.000,0.022,33.246,0.04,8027.,2000
50,4.2,0.44,0.5894,0.0559,0.0419,0.000,0.003,0.004,0.063,0.000,0.020,32.145,0.04,8041.,2000
