,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR,Torque,Thrust,THR/PWR,Mach,Reyn,RPM
0,(mph),(Adv_Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),(W),(N-m),(N),(g/W),-,-,RPM
1,0.0,0.00,0.0000,0.0552,0.0229,0.000,0.004,0.009,0.085,0.000,0.041,48.413,0.05,8454.,2000
2,0.2,0.02,0.0393,0.0548,0.0229,0.000,0.004,0.009,0.085,0.000,0.040,48.023,0.05,8454.,2000
3,0.4,0.03,0.0772,0.0556,0.0237,0.000,0.004,0.009,0.088,0.000,0.041,47.191,0.05,8455.,2000
4,0.6,0.05,0.1148,0.0557,0.0239,0.000,0.004,0.009,0.089,0.000,0.041,46.782,0.05,8456.,2000
5,0.7,0.07,0.1521,0.0561,0.0242,0.000,0.004,0.009,0.090,0.000,0.041,46.484,0.05,8457.,2000
6,0.9,0.08,0.1871,0.0545,0.0239,0.000,0.004,0.009,0.089,0.000,0.040,45.749,0.05,8459.,2000
7,1.1,0.10,0.2226,0.0551,0.0244,0.000,0.004,0.009,0.091,0.000,0.040,45.342,0.05,8461.,2000
8,1.3,0.11,0.2561,0.0526,0.0236,0.000,0.004,0.009,0.088,0.000,0.039,44.726,0.05,8464.,2000
9,1.5,0.13,0.2890,0.0506,0.0230,0.000,0.004,0.008,0.086,0.000,0.037,44.162,0.05,8467.,2000
10,1.7,0.15,0.3216,0.0488,0.0224,0.000,0.004,0.008,0.084,0.000,0.036,43.679,0.05,8470.,2000
11,1.9,0.16,0.3486,0.0497,0.0234,0.000,0.004,0.008,0.087,0.000,0.037,42.608,0.05,8474.,2000
12,2.1,0.18,0.3787,0.0449,0.0214,0.000,0.003,0.007,0.080,0.000,0.033,42.080,0.05,8479.,2000
13,2.2,0.20,0.3999,0.0456,0.0225,0.000,0.004,0.008,0.084,0.000,0.033,40.734,0.05,8483.,2000
14,2.4,0.21,0.4217,0.0406,0.0206,0.000,0.003,0.007,0.077,0.000,0.030,39.651,0.05,8488.,2000
15,2.6,0.23,0.4434,0.0392,0.0203,0.000,0.003,0.006,0.076,0.000,0.029,38.715,0.05,8494.,2000
16,2.8,0.25,0.4561,0.0384,0.0207,0.000,0.003,0.006,0.077,0.000,0.028,37.162,0.05,8500.,2000
17,3.0,0.26,0.4669,0.0348,0.0196,0.000,0.003,0.006,0.073,0.000,0.026,35.670,0.05,8506.,2000
18,3.2,0.28,0.4835,0.0336,0.0194,0.000,0.003,0.006,0.072,0.000,0.025,34.760,0.05,8513.,2000
19,3.4,0.30,0.4908,0.0309,0.0186,0.000,0.003,0.005,0.070,0.000,0.023,33.327,0.05,8520.,2000
20,3.5,0.31,0.4978,0.0272,0.0171,0.000,0.003,0.004,0.064,0.000,0.020,32.021,0.05,8528.,2000
21,3.7,0.33,0.5019,0.0254,0.0166,0.000,0.003,0.004,0.062,0.000,0.019,30.672,0.05,8536.,2000
22,3.9,0.34,0.5079,0.0252,0.0171,0.000,0.003,0.004,0.064,0.000,0.019,29.560,0.05,8544.,2000
23,4.1,0.36,0.4924,0.0203,0.0149,0.000,0.002,0.003,0.056,0.000,0.015,27.355,0.05,8553.,2000
24,4.3,0.38,0.4780,0.0173,0.0137,0.000,0.002,0.003,0.051,0.000,0.013,25.401,0.05,8562.,2000
25,4.5,0.39,0.4545,0.0150,0.0130,0.000,0.002,0.002,0.048,0.000,0.011,23.149,0.05,8571.,2000
26,4.7,0.41,0.4452,0.0142,0.0131,0.000,0.002,0.002,0.049,0.000,0.010,21.765,0.05,8581.,2000
27,4.9,0.43,0.3929,0.0108,0.0117,0.000,0.002,0.002,0.044,0.000,0.008,18.469,0.05,8591.,2000
28,5.0,0.44,0.2765,0.0060,0.0096,0.000,0.002,0.001,0.036,0.000,0.004,12.517,0.05,8602.,2000
29,5.2,0.46,0.1778,0.0034,0.0088,0.000,0.001,0.001,0.033,0.000,0.003,7.763,0.05,8613.,2000
30,5.4,0.48,-0.0171,-0.0003,0.0075,0.000,0.001,0.000,0.028,0.000,0.000,-0.720,0.05,8625.,2000
31,0.0,0.00,0.0000,0.0582,0.0235,0.000,0.008,0.022,0.296,0.001,0.096,33.129,0.07,12681.,3000
32,0.3,0.02,0.0404,0.0578,0.0236,0.000,0.008,0.021,0.297,0.001,0.095,32.819,0.07,12681.,3000
33,0.6,0.03,0.0787,0.0559,0.0234,0.000,0.008,0.021,0.295,0.001,0.092,31.915,0.07,12682.,3000
34,0.8,0.05,0.1178,0.0551,0.0232,0.000,0.008,0.020,0.292,0.001,0.091,31.854,0.07,12683.,3000
35,1.1,0.07,0.1548,0.0534,0.0228,0.000,0.008,0.020,0.287,0.001,0.088,31.410,0.07,12686.,3000
36,1.4,0.08,0.1904,0.0519,0.0225,0.000,0.008,0.019,0.283,0.001,0.086,30.899,0.07,12688.,3000
37,1.7,0.10,0.2244,0.0512,0.0226,0.000,0.008,0.019,0.284,0.001,0.085,30.351,0.07,12692.,3000
38,2.0,0.12,0.2587,0.0497,0.0222,0.000,0.008,0.018,0.279,0.001,0.082,29.989,0.07,12696.,3000
39,2.2,0.13,0.2915,0.0487,0.0220,0.000,0.008,0.018,0.278,0.001,0.081,29.562,0.07,12701.,3000
40,2.5,0.15,0.3217,0.0468,0.0216,0.000,0.008,0.017,0.272,0.001,0.077,29.007,0.07,12706.,3000
41,2.8,0.16,0.3492,0.0455,0.0215,0.000,0.008,0.017,0.271,0.001,0.075,28.332,0.07,12712.,3000
42,3.1,0.18,0.3769,0.0442,0.0213,0.000,0.008,0.016,0.268,0.001,0.073,27.800,0.07,12718.,3000
43,3.4,0.20,0.4007,0.0422,0.0208,0.000,0.007,0.016,0.262,0.001,0.070,27.098,0.07,12725.,3000
44,3.7,0.21,0.4305,0.0397,0.0198,0.000,0.007,0.015,0.249,0.001,0.066,26.871,0.07,12733.,3000
45,3.9,0.23,0.4494,0.0379,0.0195,0.000,0.007,0.014,0.245,0.001,0.063,26.046,0.07,12741.,3000
46,4.2,0.25,0.4656,0.0361,0.0192,0.000,0.007,0.013,0.241,0.001,0.060,25.189,0.07,12750.,3000
47,4.5,0.26,0.4790,0.0334,0.0184,0.000,0.007,0.012,0.232,0.001,0.055,24.292,0.07,12760.,3000
48,4.8,0.28,0.4911,0.0315,0.0180,0.000,0.006,0.012,0.226,0.001,0.052,23.443,0.07,12770.,3000
49,5.1,0.30,0.4998,0.0294,0.0174,0.000,0.006,0.011,0.220,0.001,0.049,22.530,0.07,12781.,3000
50,5.3,0.31,0.5036,0.0268,0.0167,0.000,0.006,0.010,0.210,0.001,0.044,21.507,0.07,12792.,3000
51,5.6,0.33,0.5028,0.0251,0.0165,0.000,0.006,0.009,0.208,0.001,0.042,20.401,0.07,12804.,3000
52,5.9,0.35,0.5031,0.0222,0.0153,0.000,0.005,0.008,0.193,0.001,0.037,19.442,0.07,12817.,3000
53,6.2,0.36,0.4966,0.0198,0.0145,0.000,0.005,0.007,0.182,0.001,0.033,18.316,0.07,12830.,3000
54,6.5,0.38,0.4837,0.0175,0.0137,0.000,0.005,0.007,0.173,0.001,0.029,17.064,0.07,12844.,3000
55,6.7,0.40,0.4516,0.0144,0.0126,0.000,0.004,0.005,0.159,0.001,0.024,15.268,0.07,12858.,3000
