,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1790,0.0982,0.013,0.139,0.266,6000
2,1.1,0.03,0.0565,0.1773,0.0990,0.013,0.140,0.264,6000
3,2.2,0.06,0.1111,0.1754,0.0997,0.013,0.141,0.261,6000
4,3.2,0.09,0.1636,0.1731,0.1002,0.014,0.142,0.257,6000
5,4.3,0.13,0.2140,0.1705,0.1006,0.014,0.143,0.253,6000
6,5.4,0.16,0.2624,0.1676,0.1008,0.014,0.143,0.249,6000
7,6.5,0.19,0.3086,0.1642,0.1008,0.014,0.143,0.244,6000
8,7.5,0.22,0.3526,0.1604,0.1005,0.014,0.143,0.238,6000
9,8.6,0.25,0.3944,0.1561,0.0999,0.014,0.142,0.232,6000
10,9.7,0.28,0.4338,0.1512,0.0990,0.013,0.141,0.225,6000
11,10.8,0.32,0.4708,0.1457,0.0977,0.013,0.139,0.217,6000
12,11.8,0.35,0.5051,0.1397,0.0961,0.013,0.136,0.208,6000
13,12.9,0.38,0.5366,0.1337,0.0944,0.013,0.134,0.199,6000
14,14.0,0.41,0.5656,0.1275,0.0925,0.013,0.131,0.190,6000
15,15.1,0.44,0.5919,0.1210,0.0903,0.012,0.128,0.180,6000
16,16.1,0.47,0.6158,0.1143,0.0879,0.012,0.125,0.170,6000
17,17.2,0.51,0.6371,0.1074,0.0852,0.012,0.121,0.160,6000
18,18.3,0.54,0.6560,0.1004,0.0821,0.011,0.117,0.149,6000
19,19.4,0.57,0.6726,0.0931,0.0787,0.011,0.112,0.138,6000
20,20.4,0.60,0.6870,0.0857,0.0748,0.010,0.106,0.127,6000
21,21.5,0.63,0.6995,0.0780,0.0704,0.010,0.100,0.116,6000
22,22.6,0.66,0.7095,0.0701,0.0655,0.009,0.093,0.104,6000
23,23.7,0.69,0.7160,0.0620,0.0601,0.008,0.085,0.092,6000
24,24.8,0.73,0.7181,0.0536,0.0542,0.007,0.077,0.080,6000
25,25.8,0.76,0.7138,0.0451,0.0478,0.006,0.068,0.067,6000
26,26.9,0.79,0.6973,0.0363,0.0411,0.006,0.058,0.054,6000
27,28.0,0.82,0.6609,0.0274,0.0341,0.005,0.048,0.041,6000
28,29.1,0.85,0.5860,0.0184,0.0267,0.004,0.038,0.027,6000
29,30.1,0.88,0.4126,0.0092,0.0198,0.003,0.028,0.014,6000
30,31.2,0.92,-0.0068,-0.0001,0.0134,0.002,0.019,0.000,6000
31,0.0,0.00,0.0000,0.1791,0.0981,0.021,0.190,0.362,7000
32,1.3,0.03,0.0565,0.1774,0.0990,0.021,0.191,0.359,7000
33,2.5,0.06,0.1109,0.1755,0.0997,0.021,0.193,0.355,7000
34,3.8,0.09,0.1633,0.1733,0.1002,0.022,0.194,0.351,7000
35,5.0,0.13,0.2137,0.1707,0.1006,0.022,0.194,0.345,7000
36,6.3,0.16,0.2619,0.1678,0.1009,0.022,0.195,0.339,7000
37,7.5,0.19,0.3080,0.1644,0.1009,0.022,0.195,0.333,7000
38,8.8,0.22,0.3519,0.1606,0.1006,0.022,0.194,0.325,7000
39,10.0,0.25,0.3936,0.1564,0.1001,0.021,0.193,0.316,7000
