,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1372,0.0851,0.000,0.010,0.013,1000
2,0.3,0.04,0.0672,0.1373,0.0869,0.000,0.010,0.013,1000
3,0.6,0.09,0.1317,0.1373,0.0887,0.000,0.010,0.013,1000
4,0.9,0.13,0.1934,0.1372,0.0906,0.000,0.010,0.013,1000
5,1.2,0.17,0.2523,0.1369,0.0923,0.000,0.010,0.013,1000
6,1.5,0.21,0.3084,0.1364,0.0941,0.000,0.011,0.013,1000
7,1.8,0.26,0.3616,0.1357,0.0958,0.000,0.011,0.013,1000
8,2.1,0.30,0.4120,0.1348,0.0975,0.000,0.011,0.013,1000
9,2.4,0.34,0.4596,0.1336,0.0990,0.000,0.011,0.013,1000
10,2.7,0.38,0.5043,0.1322,0.1003,0.000,0.011,0.013,1000
11,3.0,0.43,0.5463,0.1304,0.1015,0.000,0.011,0.012,1000
12,3.3,0.47,0.5853,0.1282,0.1025,0.000,0.012,0.012,1000
13,3.6,0.51,0.6215,0.1255,0.1031,0.000,0.012,0.012,1000
14,3.9,0.55,0.6548,0.1224,0.1034,0.000,0.012,0.012,1000
15,4.2,0.60,0.6852,0.1186,0.1031,0.000,0.012,0.011,1000
16,4.5,0.64,0.7127,0.1140,0.1021,0.000,0.011,0.011,1000
17,4.8,0.68,0.7371,0.1086,0.1003,0.000,0.011,0.010,1000
18,5.1,0.72,0.7582,0.1025,0.0978,0.000,0.011,0.010,1000
19,5.4,0.77,0.7764,0.0955,0.0942,0.000,0.011,0.009,1000
20,5.7,0.81,0.7917,0.0876,0.0894,0.000,0.010,0.008,1000
21,6.0,0.85,0.8043,0.0795,0.0841,0.000,0.009,0.008,1000
22,6.3,0.89,0.8144,0.0714,0.0783,0.000,0.009,0.007,1000
23,6.6,0.94,0.8223,0.0630,0.0718,0.000,0.008,0.006,1000
24,6.9,0.98,0.8284,0.0545,0.0644,0.000,0.007,0.005,1000
25,7.2,1.02,0.8315,0.0458,0.0563,0.000,0.006,0.004,1000
26,7.5,1.06,0.8296,0.0369,0.0473,0.000,0.005,0.004,1000
27,7.8,1.11,0.8177,0.0279,0.0377,0.000,0.004,0.003,1000
28,8.1,1.15,0.7839,0.0187,0.0274,0.000,0.003,0.002,1000
29,8.3,1.19,0.6832,0.0094,0.0165,0.000,0.002,0.001,1000
30,8.6,1.23,0.0007,0.0000,0.0051,0.000,0.001,0.000,1000
31,0.0,0.00,0.0000,0.1372,0.0851,0.001,0.038,0.052,2000
32,0.6,0.04,0.0671,0.1374,0.0870,0.001,0.039,0.052,2000
33,1.2,0.09,0.1315,0.1374,0.0888,0.001,0.040,0.052,2000
