,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.0923,0.0490,0.000,0.004,0.007,1000
2,0.2,0.04,0.0685,0.0922,0.0500,0.000,0.004,0.007,1000
3,0.5,0.07,0.1340,0.0921,0.0510,0.000,0.004,0.007,1000
4,0.7,0.11,0.1966,0.0921,0.0521,0.000,0.004,0.007,1000
5,1.0,0.15,0.2561,0.0919,0.0533,0.000,0.005,0.007,1000
6,1.2,0.19,0.3126,0.0918,0.0545,0.000,0.005,0.007,1000
7,1.5,0.22,0.3662,0.0916,0.0557,0.000,0.005,0.007,1000
8,1.7,0.26,0.4167,0.0913,0.0569,0.000,0.005,0.007,1000
9,2.0,0.30,0.4643,0.0909,0.0581,0.000,0.005,0.007,1000
10,2.2,0.33,0.5091,0.0904,0.0593,0.000,0.005,0.007,1000
11,2.5,0.37,0.5511,0.0897,0.0604,0.000,0.005,0.007,1000
12,2.7,0.41,0.5904,0.0883,0.0610,0.000,0.005,0.007,1000
13,3.0,0.45,0.6269,0.0860,0.0610,0.000,0.005,0.007,1000
14,3.2,0.48,0.6605,0.0826,0.0603,0.000,0.005,0.006,1000
15,3.4,0.52,0.6906,0.0783,0.0589,0.000,0.005,0.006,1000
16,3.7,0.56,0.7168,0.0737,0.0572,0.000,0.005,0.006,1000
17,3.9,0.59,0.7392,0.0690,0.0554,0.000,0.005,0.005,1000
18,4.2,0.63,0.7575,0.0643,0.0536,0.000,0.005,0.005,1000
19,4.4,0.67,0.7720,0.0595,0.0514,0.000,0.004,0.005,1000
20,4.7,0.70,0.7832,0.0545,0.0491,0.000,0.004,0.004,1000
21,4.9,0.74,0.7915,0.0495,0.0464,0.000,0.004,0.004,1000
22,5.2,0.78,0.7968,0.0444,0.0434,0.000,0.004,0.003,1000
23,5.4,0.82,0.8004,0.0391,0.0399,0.000,0.003,0.003,1000
24,5.7,0.85,0.8017,0.0338,0.0359,0.000,0.003,0.003,1000
25,5.9,0.89,0.7993,0.0283,0.0315,0.000,0.003,0.002,1000
26,6.1,0.93,0.7927,0.0229,0.0268,0.000,0.002,0.002,1000
27,6.4,0.96,0.7743,0.0175,0.0218,0.000,0.002,0.001,1000
28,6.6,1.00,0.7301,0.0120,0.0165,0.000,0.001,0.001,1000
29,6.9,1.04,0.5939,0.0058,0.0102,0.000,0.001,0.000,1000
30,7.1,1.08,-0.0009,0.0000,0.0048,0.000,0.000,0.000,1000
31,0.0,0.00,0.0000,0.0923,0.0490,0.001,0.017,0.028,2000
32,0.5,0.04,0.0684,0.0923,0.0500,0.001,0.017,0.028,2000
33,1.0,0.07,0.1339,0.0922,0.0511,0.001,0.017,0.028,2000
34,1.5,0.11,0.1964,0.0921,0.0522,0.001,0.018,0.028,2000
35,2.0,0.15,0.2559,0.0920,0.0533,0.001,0.018,0.028,2000
36,2.5,0.19,0.3125,0.0918,0.0545,0.001,0.019,0.028,2000
37,3.0,0.22,0.3660,0.0916,0.0557,0.001,0.019,0.028,2000
38,3.4,0.26,0.4165,0.0913,0.0569,0.001,0.019,0.028,2000
39,3.9,0.30,0.4642,0.0910,0.0582,0.001,0.020,0.028,2000
40,4.4,0.33,0.5089,0.0905,0.0594,0.001,0.020,0.028,2000
41,4.9,0.37,0.5509,0.0897,0.0604,0.001,0.021,0.027,2000
42,5.4,0.41,0.5902,0.0884,0.0611,0.001,0.021,0.027,2000
43,5.9,0.45,0.6268,0.0861,0.0611,0.001,0.021,0.026,2000
44,6.4,0.48,0.6604,0.0827,0.0604,0.001,0.021,0.025,2000
45,6.9,0.52,0.6905,0.0784,0.0590,0.001,0.020,0.024,2000
46,7.4,0.56,0.7168,0.0738,0.0573,0.001,0.020,0.023,2000
47,7.9,0.59,0.7392,0.0691,0.0555,0.001,0.019,0.021,2000
48,8.4,0.63,0.7575,0.0644,0.0536,0.001,0.018,0.020,2000
49,8.9,0.67,0.7721,0.0595,0.0515,0.001,0.018,0.018,2000
50,9.3,0.70,0.7833,0.0546,0.0491,0.001,0.017,0.017,2000
51,9.8,0.74,0.7915,0.0496,0.0465,0.001,0.016,0.015,2000
52,10.3,0.78,0.7968,0.0444,0.0434,0.000,0.015,0.014,2000
53,10.8,0.82,0.8004,0.0392,0.0399,0.000,0.014,0.012,2000
54,11.3,0.85,0.8018,0.0338,0.0360,0.000,0.012,0.010,2000
55,11.8,0.89,0.7993,0.0283,0.0315,0.000,0.011,0.009,2000
56,12.3,0.93,0.7918,0.0227,0.0266,0.000,0.009,0.007,2000
57,12.8,0.96,0.7709,0.0171,0.0213,0.000,0.007,0.005,2000
58,13.3,1.00,0.7203,0.0113,0.0157,0.000,0.005,0.003,2000
59,13.8,1.04,0.5814,0.0055,0.0098,0.000,0.003,0.002,2000
60,14.3,1.08,-0.0856,-0.0004,0.0045,0.000,0.002,0.000,2000
61,0.0,0.00,0.0000,0.0924,0.0490,0.002,0.038,0.064,3000
62,0.7,0.04,0.0684,0.0923,0.0500,0.002,0.038,0.064,3000
63,1.5,0.07,0.1339,0.0923,0.0510,0.002,0.039,0.064,3000
64,2.2,0.11,0.1963,0.0922,0.0521,0.002,0.040,0.063,3000
65,2.9,0.15,0.2558,0.0921,0.0533,0.002,0.041,0.063,3000
66,3.7,0.19,0.3123,0.0919,0.0545,0.002,0.042,0.063,3000
67,4.4,0.22,0.3658,0.0917,0.0557,0.002,0.043,0.063,3000
68,5.2,0.26,0.4163,0.0914,0.0569,0.002,0.044,0.063,3000
69,5.9,0.30,0.4640,0.0910,0.0581,0.002,0.045,0.063,3000
70,6.6,0.33,0.5087,0.0905,0.0593,0.002,0.045,0.062,3000
71,7.4,0.37,0.5506,0.0898,0.0604,0.002,0.046,0.062,3000
72,8.1,0.41,0.5898,0.0884,0.0610,0.002,0.047,0.061,3000
73,8.8,0.44,0.6264,0.0861,0.0611,0.002,0.047,0.059,3000
74,9.6,0.48,0.6600,0.0827,0.0603,0.002,0.046,0.057,3000
75,10.3,0.52,0.6900,0.0784,0.0589,0.002,0.045,0.054,3000
76,11.0,0.56,0.7162,0.0739,0.0573,0.002,0.044,0.051,3000
77,11.8,0.59,0.7387,0.0693,0.0555,0.002,0.043,0.048,3000
78,12.5,0.63,0.7571,0.0645,0.0536,0.002,0.041,0.044,3000
79,13.3,0.67,0.7717,0.0597,0.0515,0.002,0.040,0.041,3000
80,14.0,0.70,0.7830,0.0548,0.0492,0.002,0.038,0.038,3000
81,14.7,0.74,0.7913,0.0498,0.0466,0.002,0.036,0.034,3000
82,15.5,0.78,0.7968,0.0447,0.0436,0.002,0.033,0.031,3000
83,16.2,0.81,0.8006,0.0395,0.0402,0.001,0.031,0.027,3000
84,16.9,0.85,0.8021,0.0342,0.0363,0.001,0.028,0.024,3000
85,17.7,0.89,0.7999,0.0287,0.0319,0.001,0.024,0.020,3000
86,18.4,0.93,0.7928,0.0231,0.0270,0.001,0.021,0.016,3000
87,19.1,0.96,0.7730,0.0174,0.0217,0.001,0.017,0.012,3000
88,19.9,1.00,0.7251,0.0117,0.0161,0.001,0.012,0.008,3000
89,20.6,1.04,0.5957,0.0059,0.0102,0.000,0.008,0.004,3000
