,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.0901,0.0545,0.000,0.014,0.017,1000
2,0.4,0.05,0.0731,0.0903,0.0557,0.000,0.014,0.017,1000
3,0.7,0.09,0.1430,0.0905,0.0571,0.000,0.015,0.017,1000
4,1.1,0.14,0.2096,0.0907,0.0585,0.000,0.015,0.017,1000
5,1.5,0.18,0.2729,0.0909,0.0601,0.000,0.016,0.017,1000
6,1.9,0.23,0.3329,0.0911,0.0617,0.000,0.016,0.017,1000
7,2.2,0.27,0.3894,0.0913,0.0634,0.000,0.016,0.017,1000
8,2.6,0.32,0.4426,0.0915,0.0652,0.000,0.017,0.017,1000
9,3.0,0.36,0.4924,0.0916,0.0671,0.000,0.017,0.017,1000
10,3.4,0.41,0.5390,0.0917,0.0690,0.000,0.018,0.017,1000
11,3.7,0.45,0.5824,0.0917,0.0710,0.000,0.018,0.017,1000
12,4.1,0.50,0.6227,0.0917,0.0730,0.000,0.019,0.017,1000
13,4.5,0.54,0.6600,0.0914,0.0749,0.000,0.019,0.017,1000
14,4.9,0.59,0.6943,0.0910,0.0768,0.000,0.020,0.017,1000
15,5.2,0.63,0.7256,0.0900,0.0783,0.000,0.020,0.017,1000
16,5.6,0.68,0.7538,0.0882,0.0791,0.000,0.021,0.016,1000
17,6.0,0.72,0.7791,0.0856,0.0792,0.000,0.021,0.016,1000
18,6.3,0.77,0.8014,0.0821,0.0785,0.000,0.020,0.015,1000
19,6.7,0.81,0.8208,0.0777,0.0768,0.000,0.020,0.015,1000
20,7.1,0.86,0.8374,0.0716,0.0732,0.000,0.019,0.013,1000
21,7.5,0.90,0.8501,0.0648,0.0687,0.000,0.018,0.012,1000
22,7.8,0.95,0.8591,0.0579,0.0638,0.000,0.017,0.011,1000
23,8.2,0.99,0.8643,0.0509,0.0584,0.000,0.015,0.010,1000
