,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.0918,0.0570,0.000,0.015,0.017,1000
2,0.4,0.05,0.0747,0.0920,0.0583,0.000,0.015,0.017,1000
3,0.8,0.09,0.1462,0.0922,0.0597,0.000,0.016,0.017,1000
4,1.2,0.14,0.2143,0.0923,0.0612,0.000,0.016,0.017,1000
5,1.6,0.19,0.2788,0.0925,0.0628,0.000,0.017,0.017,1000
6,2.0,0.24,0.3398,0.0926,0.0645,0.000,0.017,0.017,1000
7,2.4,0.28,0.3973,0.0927,0.0663,0.000,0.017,0.017,1000
8,2.8,0.33,0.4511,0.0928,0.0682,0.000,0.018,0.017,1000
9,3.1,0.38,0.5014,0.0929,0.0701,0.000,0.018,0.018,1000
10,3.5,0.43,0.5482,0.0929,0.0722,0.000,0.019,0.018,1000
11,3.9,0.47,0.5917,0.0928,0.0742,0.000,0.020,0.017,1000
12,4.3,0.52,0.6319,0.0927,0.0763,0.000,0.020,0.017,1000
13,4.7,0.57,0.6767,0.0922,0.0774,0.000,0.020,0.017,1000
14,5.1,0.62,0.7096,0.0917,0.0796,0.000,0.021,0.017,1000
15,5.5,0.66,0.7393,0.0908,0.0814,0.000,0.021,0.017,1000
16,5.9,0.71,0.7604,0.0895,0.0836,0.000,0.022,0.017,1000
17,6.3,0.76,0.7852,0.0873,0.0842,0.000,0.022,0.016,1000
18,6.7,0.80,0.8072,0.0843,0.0840,0.000,0.022,0.016,1000
19,7.1,0.85,0.8265,0.0804,0.0829,0.000,0.022,0.015,1000
20,7.5,0.90,0.8428,0.0754,0.0805,0.000,0.021,0.014,1000
21,7.9,0.95,0.8562,0.0695,0.0768,0.000,0.020,0.013,1000
22,8.3,0.99,0.8667,0.0623,0.0715,0.000,0.019,0.012,1000
23,8.6,1.04,0.8713,0.0549,0.0656,0.000,0.017,0.010,1000
24,9.0,1.09,0.8682,0.0474,0.0594,0.000,0.016,0.009,1000
25,9.4,1.14,0.8540,0.0398,0.0530,0.000,0.014,0.008,1000
26,9.8,1.18,0.8224,0.0321,0.0462,0.000,0.012,0.006,1000
27,10.2,1.23,0.7642,0.0243,0.0392,0.000,0.010,0.005,1000
28,10.6,1.28,0.6587,0.0163,0.0317,0.000,0.008,0.003,1000
29,11.0,1.33,0.4524,0.0082,0.0240,0.000,0.006,0.002,1000
30,11.4,1.37,0.0004,0.0000,0.0164,0.000,0.004,0.000,1000
31,0.0,0.00,0.0000,0.0918,0.0570,0.002,0.060,0.069,2000
32,0.8,0.05,0.0742,0.0920,0.0583,0.002,0.061,0.069,2000
