,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.0797,0.0305,0.000,0.005,0.010,1000
2,0.2,0.02,0.0639,0.0791,0.0309,0.000,0.005,0.010,1000
3,0.4,0.05,0.1251,0.0784,0.0313,0.000,0.005,0.010,1000
4,0.6,0.07,0.1836,0.0777,0.0317,0.000,0.005,0.010,1000
5,0.8,0.10,0.2394,0.0768,0.0320,0.000,0.005,0.010,1000
6,0.9,0.12,0.2924,0.0758,0.0323,0.000,0.005,0.010,1000
7,1.1,0.15,0.3426,0.0746,0.0326,0.000,0.005,0.010,1000
8,1.3,0.17,0.3900,0.0734,0.0328,0.000,0.005,0.010,1000
9,1.5,0.20,0.4344,0.0719,0.0330,0.000,0.005,0.009,1000
10,1.7,0.22,0.4760,0.0702,0.0331,0.000,0.006,0.009,1000
11,1.9,0.25,0.5145,0.0682,0.0330,0.000,0.005,0.009,1000
12,2.1,0.27,0.5498,0.0653,0.0326,0.000,0.005,0.009,1000
13,2.3,0.30,0.5812,0.0623,0.0321,0.000,0.005,0.008,1000
14,2.5,0.32,0.6090,0.0593,0.0316,0.000,0.005,0.008,1000
15,2.6,0.35,0.6334,0.0561,0.0309,0.000,0.005,0.007,1000
16,2.8,0.37,0.6541,0.0529,0.0303,0.000,0.005,0.007,1000
17,3.0,0.40,0.6714,0.0496,0.0295,0.000,0.005,0.006,1000
18,3.2,0.42,0.6855,0.0462,0.0286,0.000,0.005,0.006,1000
19,3.4,0.45,0.6968,0.0427,0.0275,0.000,0.005,0.006,1000
20,3.6,0.47,0.7053,0.0392,0.0263,0.000,0.004,0.005,1000
21,3.8,0.50,0.7113,0.0356,0.0249,0.000,0.004,0.005,1000
22,4.0,0.52,0.7149,0.0319,0.0233,0.000,0.004,0.004,1000
23,4.2,0.55,0.7156,0.0281,0.0215,0.000,0.004,0.004,1000
24,4.3,0.57,0.7124,0.0242,0.0195,0.000,0.003,0.003,1000
25,4.5,0.60,0.7028,0.0203,0.0173,0.000,0.003,0.003,1000
26,4.7,0.62,0.6801,0.0163,0.0150,0.000,0.002,0.002,1000
27,4.9,0.65,0.6322,0.0123,0.0126,0.000,0.002,0.002,1000
28,5.1,0.67,0.5397,0.0082,0.0103,0.000,0.002,0.001,1000
29,5.3,0.70,0.3630,0.0041,0.0079,0.000,0.001,0.001,1000
30,5.5,0.72,-0.0004,0.0000,0.0056,0.000,0.001,0.000,1000
31,0.0,0.00,0.0000,0.0798,0.0305,0.001,0.020,0.042,2000
32,0.4,0.02,0.0637,0.0792,0.0309,0.001,0.021,0.041,2000
33,0.8,0.05,0.1247,0.0785,0.0313,0.001,0.021,0.041,2000
34,1.1,0.07,0.1831,0.0777,0.0317,0.001,0.021,0.041,2000
35,1.5,0.10,0.2388,0.0769,0.0320,0.001,0.021,0.040,2000
36,1.9,0.12,0.2917,0.0758,0.0323,0.001,0.021,0.040,2000
37,2.3,0.15,0.3418,0.0747,0.0326,0.001,0.022,0.039,2000
38,2.6,0.17,0.3891,0.0734,0.0329,0.001,0.022,0.038,2000
39,3.0,0.20,0.4335,0.0720,0.0330,0.001,0.022,0.038,2000
40,3.4,0.22,0.4750,0.0704,0.0332,0.001,0.022,0.037,2000
41,3.8,0.25,0.5135,0.0683,0.0331,0.001,0.022,0.036,2000
42,4.1,0.27,0.5488,0.0655,0.0327,0.001,0.022,0.034,2000
43,4.5,0.30,0.5803,0.0625,0.0322,0.001,0.021,0.033,2000
44,4.9,0.32,0.6081,0.0595,0.0316,0.001,0.021,0.031,2000
45,5.3,0.35,0.6326,0.0563,0.0310,0.001,0.021,0.029,2000
46,5.7,0.37,0.6534,0.0531,0.0303,0.001,0.020,0.028,2000
47,6.0,0.40,0.6708,0.0498,0.0295,0.001,0.020,0.026,2000
48,6.4,0.42,0.6851,0.0464,0.0287,0.001,0.019,0.024,2000
