,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1165,0.0477,0.006,0.128,0.219,3000
2,0.7,0.03,0.0630,0.1153,0.0482,0.006,0.130,0.217,3000
3,1.3,0.05,0.1231,0.1139,0.0488,0.006,0.131,0.214,3000
4,2.0,0.08,0.1804,0.1123,0.0493,0.006,0.133,0.211,3000
5,2.7,0.11,0.2346,0.1106,0.0497,0.006,0.134,0.208,3000
6,3.4,0.13,0.2860,0.1086,0.0501,0.006,0.135,0.204,3000
7,4.0,0.16,0.3345,0.1064,0.0503,0.006,0.136,0.200,3000
8,4.7,0.18,0.3802,0.1038,0.0504,0.006,0.136,0.195,3000
9,5.4,0.21,0.4229,0.1009,0.0503,0.006,0.136,0.190,3000
10,6.1,0.24,0.4626,0.0977,0.0501,0.006,0.135,0.184,3000
11,6.7,0.26,0.4992,0.0943,0.0498,0.006,0.134,0.177,3000
12,7.4,0.29,0.5328,0.0907,0.0494,0.006,0.133,0.171,3000
13,8.1,0.32,0.5632,0.0870,0.0489,0.006,0.132,0.164,3000
14,8.8,0.34,0.5904,0.0833,0.0483,0.006,0.130,0.157,3000
15,9.4,0.37,0.6148,0.0794,0.0477,0.006,0.128,0.149,3000
16,10.1,0.40,0.6366,0.0752,0.0467,0.006,0.126,0.141,3000
17,10.8,0.42,0.6558,0.0708,0.0455,0.006,0.123,0.133,3000
18,11.5,0.45,0.6725,0.0662,0.0442,0.006,0.119,0.125,3000
19,12.1,0.47,0.6867,0.0615,0.0425,0.005,0.115,0.116,3000
20,12.8,0.50,0.6985,0.0567,0.0406,0.005,0.110,0.107,3000
21,13.5,0.53,0.7079,0.0517,0.0385,0.005,0.104,0.097,3000
22,14.2,0.55,0.7146,0.0465,0.0360,0.005,0.097,0.087,3000
23,14.8,0.58,0.7183,0.0411,0.0332,0.004,0.089,0.077,3000
24,15.5,0.61,0.7175,0.0356,0.0301,0.004,0.081,0.067,3000
25,16.2,0.63,0.7098,0.0299,0.0267,0.003,0.072,0.056,3000
26,16.9,0.66,0.6912,0.0241,0.0230,0.003,0.062,0.045,3000
27,17.5,0.69,0.6519,0.0182,0.0192,0.002,0.052,0.034,3000
28,18.2,0.71,0.5699,0.0122,0.0153,0.002,0.041,0.023,3000
29,18.9,0.74,0.3958,0.0061,0.0114,0.001,0.031,0.012,3000
30,19.6,0.76,-0.0049,0.0000,0.0078,0.001,0.021,0.000,3000
31,0.0,0.00,0.0000,0.1166,0.0476,0.014,0.228,0.390,4000
32,0.9,0.03,0.0620,0.1154,0.0482,0.015,0.231,0.386,4000
33,1.8,0.05,0.1212,0.1140,0.0487,0.015,0.233,0.381,4000
34,2.6,0.08,0.1776,0.1125,0.0492,0.015,0.236,0.376,4000
35,3.5,0.10,0.2311,0.1108,0.0497,0.015,0.238,0.370,4000
36,4.4,0.13,0.2818,0.1088,0.0500,0.015,0.240,0.364,4000
37,5.3,0.16,0.3296,0.1066,0.0503,0.015,0.241,0.357,4000
38,6.2,0.18,0.3747,0.1042,0.0504,0.015,0.241,0.348,4000
39,7.1,0.21,0.4170,0.1014,0.0504,0.015,0.241,0.339,4000
40,7.9,0.23,0.4563,0.0984,0.0503,0.015,0.241,0.329,4000
41,8.8,0.26,0.4928,0.0951,0.0500,0.015,0.240,0.318,4000
42,9.7,0.28,0.5263,0.0916,0.0496,0.015,0.238,0.306,4000
43,10.6,0.31,0.5569,0.0879,0.0490,0.015,0.235,0.294,4000
44,11.5,0.34,0.5847,0.0839,0.0483,0.015,0.231,0.280,4000
45,12.4,0.36,0.6095,0.0797,0.0474,0.014,0.227,0.267,4000
46,13.2,0.39,0.6314,0.0755,0.0464,0.014,0.222,0.252,4000
47,14.1,0.41,0.6508,0.0711,0.0453,0.014,0.217,0.238,4000
48,15.0,0.44,0.6676,0.0665,0.0439,0.013,0.210,0.223,4000
49,15.9,0.47,0.6820,0.0619,0.0423,0.013,0.203,0.207,4000
50,16.8,0.49,0.6939,0.0571,0.0405,0.012,0.194,0.191,4000
51,17.7,0.52,0.7034,0.0520,0.0383,0.012,0.184,0.174,4000
52,18.5,0.54,0.7104,0.0469,0.0359,0.011,0.172,0.157,4000
53,19.4,0.57,0.7145,0.0415,0.0331,0.010,0.159,0.139,4000
54,20.3,0.60,0.7142,0.0360,0.0300,0.009,0.144,0.120,4000
55,21.2,0.62,0.7074,0.0303,0.0266,0.008,0.127,0.101,4000
56,22.1,0.65,0.6902,0.0244,0.0229,0.007,0.110,0.082,4000
57,23.0,0.67,0.6537,0.0184,0.0190,0.006,0.091,0.062,4000
58,23.8,0.70,0.5738,0.0124,0.0151,0.005,0.072,0.041,4000
59,24.7,0.73,0.3998,0.0062,0.0113,0.003,0.054,0.021,4000
60,25.6,0.75,-0.0042,0.0000,0.0076,0.002,0.036,0.000,4000
61,0.0,0.00,0.0000,0.1168,0.0478,0.028,0.358,0.610,5000
62,1.1,0.03,0.0612,0.1156,0.0484,0.029,0.362,0.604,5000
63,2.2,0.05,0.1197,0.1143,0.0489,0.029,0.366,0.597,5000
64,3.3,0.08,0.1754,0.1127,0.0493,0.029,0.369,0.589,5000
65,4.4,0.10,0.2284,0.1110,0.0498,0.030,0.372,0.580,5000
66,5.5,0.13,0.2787,0.1091,0.0501,0.030,0.375,0.570,5000
67,6.5,0.15,0.3263,0.1069,0.0503,0.030,0.377,0.559,5000
68,7.6,0.18,0.3711,0.1045,0.0504,0.030,0.377,0.546,5000
69,8.7,0.20,0.4132,0.1017,0.0504,0.030,0.377,0.531,5000
70,9.8,0.23,0.4524,0.0987,0.0502,0.030,0.376,0.516,5000
71,10.9,0.26,0.4888,0.0954,0.0500,0.030,0.374,0.499,5000
72,12.0,0.28,0.5224,0.0920,0.0496,0.029,0.371,0.480,5000
73,13.1,0.31,0.5530,0.0882,0.0490,0.029,0.367,0.461,5000
74,14.2,0.33,0.5809,0.0843,0.0483,0.029,0.361,0.440,5000
75,15.3,0.36,0.6058,0.0801,0.0474,0.028,0.355,0.419,5000
76,16.4,0.38,0.6279,0.0759,0.0464,0.028,0.347,0.397,5000
77,17.4,0.41,0.6473,0.0715,0.0452,0.027,0.338,0.374,5000
78,18.5,0.44,0.6643,0.0670,0.0439,0.026,0.328,0.350,5000
79,19.6,0.46,0.6788,0.0623,0.0423,0.025,0.317,0.326,5000
80,20.7,0.49,0.6908,0.0575,0.0405,0.024,0.303,0.301,5000
81,21.8,0.51,0.7004,0.0525,0.0384,0.023,0.287,0.274,5000
82,22.9,0.54,0.7077,0.0473,0.0359,0.021,0.269,0.247,5000
83,24.0,0.56,0.7121,0.0420,0.0332,0.020,0.249,0.219,5000
84,25.1,0.59,0.7124,0.0365,0.0301,0.018,0.225,0.191,5000
85,26.2,0.61,0.7063,0.0307,0.0267,0.016,0.200,0.161,5000
86,27.3,0.64,0.6904,0.0248,0.0230,0.014,0.172,0.130,5000
87,28.4,0.67,0.6559,0.0188,0.0190,0.011,0.142,0.098,5000
88,29.4,0.69,0.5807,0.0126,0.0150,0.009,0.112,0.066,5000
89,30.5,0.72,0.4124,0.0063,0.0110,0.007,0.083,0.033,5000
90,31.6,0.74,-0.0011,0.0000,0.0072,0.004,0.054,0.000,5000
