,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR,Torque,Thrust,THR/PWR,Mach,Reyn,RPM
0,(mph),(Adv_Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),(W),(N-m),(N),(g/W),-,-,RPM
1,0.0,0.00,0.0000,0.2124,0.1163,0.001,0.035,0.044,0.412,0.004,0.197,48.874,0.04,10575.,1000
2,0.3,0.04,0.0636,0.2113,0.1193,0.001,0.036,0.044,0.423,0.004,0.196,47.389,0.04,10576.,1000
3,0.6,0.07,0.1233,0.2099,0.1223,0.001,0.037,0.044,0.433,0.004,0.195,45.942,0.04,10580.,1000
4,0.9,0.11,0.1792,0.2080,0.1250,0.001,0.037,0.043,0.443,0.004,0.193,44.538,0.04,10586.,1000
5,1.2,0.14,0.2317,0.2056,0.1274,0.001,0.038,0.043,0.451,0.004,0.191,43.177,0.04,10595.,1000
6,1.5,0.18,0.2808,0.2026,0.1295,0.001,0.039,0.042,0.459,0.004,0.188,41.866,0.04,10606.,1000
7,1.8,0.22,0.3268,0.1991,0.1313,0.001,0.039,0.042,0.465,0.004,0.185,40.598,0.04,10619.,1000
8,2.1,0.25,0.3697,0.1951,0.1326,0.001,0.040,0.041,0.470,0.004,0.181,39.365,0.04,10635.,1000
9,2.4,0.29,0.4095,0.1905,0.1336,0.001,0.040,0.040,0.473,0.005,0.177,38.161,0.04,10653.,1000
10,2.8,0.32,0.4464,0.1853,0.1341,0.001,0.040,0.039,0.475,0.005,0.172,36.976,0.04,10674.,1000
11,3.1,0.36,0.4802,0.1796,0.1343,0.001,0.040,0.038,0.476,0.005,0.167,35.799,0.04,10697.,1000
12,3.4,0.39,0.5111,0.1732,0.1339,0.001,0.040,0.036,0.474,0.005,0.161,34.635,0.04,10722.,1000
13,3.7,0.43,0.5392,0.1661,0.1327,0.001,0.040,0.035,0.470,0.004,0.154,33.496,0.04,10750.,1000
14,4.0,0.47,0.5648,0.1580,0.1306,0.001,0.039,0.033,0.463,0.004,0.147,32.387,0.04,10780.,1000
15,4.3,0.50,0.5876,0.1497,0.1281,0.001,0.038,0.031,0.454,0.004,0.139,31.289,0.04,10813.,1000
16,4.6,0.54,0.6076,0.1412,0.1252,0.001,0.037,0.030,0.443,0.004,0.131,30.197,0.04,10848.,1000
17,4.9,0.57,0.6247,0.1325,0.1218,0.001,0.036,0.028,0.431,0.004,0.123,29.106,0.04,10885.,1000
18,5.2,0.61,0.6394,0.1235,0.1179,0.001,0.035,0.026,0.418,0.004,0.115,28.038,0.04,10924.,1000
19,5.5,0.65,0.6541,0.1144,0.1130,0.001,0.034,0.024,0.400,0.004,0.106,27.090,0.04,10966.,1000
20,5.8,0.68,0.6664,0.1050,0.1075,0.001,0.032,0.022,0.381,0.004,0.098,26.144,0.04,11009.,1000
21,6.1,0.72,0.6754,0.0955,0.1015,0.000,0.030,0.020,0.359,0.003,0.089,25.173,0.04,11055.,1000
22,6.4,0.75,0.6807,0.0857,0.0949,0.000,0.028,0.018,0.336,0.003,0.080,24.163,0.04,11103.,1000
23,6.7,0.79,0.6815,0.0757,0.0877,0.000,0.026,0.016,0.311,0.003,0.070,23.093,0.04,11153.,1000
24,7.0,0.83,0.6767,0.0655,0.0799,0.000,0.024,0.014,0.283,0.003,0.061,21.933,0.04,11206.,1000
25,7.3,0.86,0.6642,0.0551,0.0715,0.000,0.021,0.012,0.253,0.002,0.051,20.630,0.04,11260.,1000
26,7.6,0.90,0.6395,0.0445,0.0625,0.000,0.019,0.009,0.221,0.002,0.041,19.069,0.04,11316.,1000
27,8.0,0.93,0.5938,0.0337,0.0529,0.000,0.016,0.007,0.187,0.002,0.031,17.025,0.04,11375.,1000
28,8.3,0.97,0.5101,0.0226,0.0429,0.000,0.013,0.005,0.152,0.001,0.021,14.084,0.04,11435.,1000
29,8.6,1.01,0.3512,0.0113,0.0324,0.000,0.010,0.002,0.115,0.001,0.011,9.349,0.04,11497.,1000
30,8.9,1.04,-0.0067,-0.0001,0.0213,0.000,0.006,0.000,0.076,0.001,0.000,-0.172,0.04,11561.,1000
31,0.0,0.00,0.0000,0.2124,0.1163,0.004,0.139,0.178,3.296,0.016,0.790,24.435,0.07,21150.,2000
32,0.6,0.04,0.0635,0.2114,0.1194,0.005,0.143,0.177,3.383,0.016,0.786,23.693,0.07,21152.,2000
33,1.2,0.07,0.1232,0.2100,0.1223,0.005,0.147,0.176,3.467,0.017,0.781,22.970,0.07,21160.,2000
34,1.8,0.11,0.1791,0.2081,0.1251,0.005,0.150,0.174,3.544,0.017,0.774,22.268,0.07,21172.,2000
35,2.4,0.14,0.2315,0.2057,0.1275,0.005,0.153,0.172,3.613,0.017,0.765,21.589,0.07,21189.,2000
36,3.1,0.18,0.2806,0.2028,0.1296,0.005,0.155,0.170,3.673,0.018,0.754,20.933,0.07,21211.,2000
37,3.7,0.22,0.3266,0.1992,0.1313,0.005,0.157,0.167,3.722,0.018,0.741,20.299,0.07,21238.,2000
38,4.3,0.25,0.3694,0.1952,0.1327,0.005,0.159,0.163,3.761,0.018,0.726,19.683,0.07,21270.,2000
39,4.9,0.29,0.4093,0.1906,0.1337,0.005,0.160,0.159,3.788,0.018,0.709,19.082,0.07,21306.,2000
40,5.5,0.32,0.4462,0.1855,0.1342,0.005,0.161,0.155,3.804,0.018,0.690,18.491,0.07,21348.,2000
41,6.1,0.36,0.4800,0.1798,0.1344,0.005,0.161,0.150,3.808,0.018,0.668,17.902,0.07,21394.,2000
42,6.7,0.39,0.5109,0.1734,0.1340,0.005,0.160,0.145,3.796,0.018,0.645,17.321,0.07,21445.,2000
43,7.3,0.43,0.5390,0.1662,0.1328,0.005,0.159,0.139,3.763,0.018,0.618,16.751,0.07,21500.,2000
44,8.0,0.47,0.5646,0.1582,0.1307,0.005,0.157,0.132,3.704,0.018,0.588,16.197,0.07,21560.,2000
45,8.6,0.50,0.5874,0.1499,0.1282,0.005,0.154,0.125,3.633,0.017,0.558,15.649,0.07,21625.,2000
46,9.2,0.54,0.6074,0.1414,0.1253,0.005,0.150,0.118,3.550,0.017,0.526,15.103,0.07,21695.,2000
47,9.8,0.57,0.6246,0.1327,0.1219,0.005,0.146,0.111,3.456,0.016,0.493,14.558,0.07,21769.,2000
48,10.4,0.61,0.6393,0.1237,0.1180,0.004,0.141,0.103,3.344,0.016,0.460,14.024,0.07,21847.,2000
49,11.0,0.65,0.6540,0.1145,0.1131,0.004,0.135,0.096,3.205,0.015,0.426,13.551,0.07,21930.,2000
50,11.6,0.68,0.6663,0.1052,0.1077,0.004,0.129,0.088,3.051,0.015,0.391,13.078,0.07,22017.,2000
51,12.2,0.72,0.6753,0.0956,0.1016,0.004,0.122,0.080,2.880,0.014,0.356,12.593,0.07,22109.,2000
52,12.8,0.75,0.6807,0.0859,0.0951,0.004,0.114,0.072,2.694,0.013,0.319,12.089,0.07,22205.,2000
53,13.5,0.79,0.6816,0.0759,0.0879,0.003,0.105,0.063,2.490,0.012,0.282,11.555,0.07,22305.,2000
54,14.1,0.83,0.6769,0.0657,0.0801,0.003,0.096,0.055,2.270,0.011,0.244,10.976,0.07,22410.,2000
55,14.7,0.86,0.6645,0.0553,0.0717,0.003,0.086,0.046,2.031,0.010,0.206,10.326,0.07,22518.,2000
56,15.3,0.90,0.6400,0.0447,0.0626,0.002,0.075,0.037,1.775,0.008,0.166,9.548,0.07,22631.,2000
57,15.9,0.93,0.5946,0.0338,0.0531,0.002,0.064,0.028,1.504,0.007,0.126,8.530,0.07,22747.,2000
58,16.5,0.97,0.5115,0.0228,0.0431,0.002,0.052,0.019,1.221,0.006,0.085,7.065,0.07,22868.,2000
59,17.1,1.00,0.3538,0.0115,0.0326,0.001,0.039,0.010,0.923,0.004,0.043,4.713,0.07,22992.,2000
60,17.7,1.04,-0.0005,0.0000,0.0215,0.001,0.026,0.000,0.608,0.003,0.000,-0.007,0.08,23120.,2000
61,0.0,0.00,0.0000,0.2125,0.1164,0.015,0.314,0.400,11.128,0.035,1.778,16.295,0.11,31725.,3000
62,0.9,0.04,0.0635,0.2115,0.1194,0.015,0.322,0.398,11.423,0.036,1.770,15.800,0.11,31729.,3000
63,1.8,0.07,0.1232,0.2102,0.1224,0.016,0.330,0.395,11.707,0.037,1.759,15.317,0.11,31740.,3000
64,2.8,0.11,0.1791,0.2083,0.1252,0.016,0.337,0.392,11.971,0.038,1.743,14.849,0.11,31758.,3000
65,3.7,0.14,0.2316,0.2060,0.1276,0.016,0.344,0.387,12.206,0.039,1.723,14.395,0.11,31784.,3000
66,4.6,0.18,0.2807,0.2030,0.1298,0.017,0.350,0.382,12.410,0.039,1.699,13.958,0.11,31817.,3000
67,5.5,0.22,0.3266,0.1995,0.1315,0.017,0.354,0.375,12.577,0.040,1.669,13.535,0.11,31857.,3000
68,6.4,0.25,0.3694,0.1955,0.1329,0.017,0.358,0.368,12.710,0.040,1.636,13.124,0.11,31905.,3000
69,7.3,0.29,0.4093,0.1909,0.1339,0.017,0.361,0.359,12.804,0.041,1.598,12.723,0.11,31959.,3000
70,8.3,0.32,0.4462,0.1858,0.1344,0.017,0.362,0.349,12.857,0.041,1.555,12.329,0.11,32021.,3000
71,9.2,0.36,0.4800,0.1800,0.1345,0.017,0.363,0.339,12.868,0.041,1.506,11.937,0.11,32091.,3000
72,10.1,0.39,0.5109,0.1737,0.1342,0.017,0.362,0.327,12.832,0.041,1.453,11.549,0.11,32167.,3000
73,11.0,0.43,0.5390,0.1665,0.1330,0.017,0.358,0.313,12.721,0.040,1.393,11.169,0.11,32250.,3000
74,11.9,0.47,0.5646,0.1585,0.1309,0.017,0.353,0.298,12.521,0.040,1.326,10.800,0.11,32340.,3000
75,12.8,0.50,0.5875,0.1502,0.1284,0.016,0.346,0.282,12.279,0.039,1.256,10.434,0.11,32438.,3000
76,13.8,0.54,0.6075,0.1416,0.1255,0.016,0.338,0.266,12.000,0.038,1.185,10.071,0.11,32542.,3000
77,14.7,0.57,0.6246,0.1329,0.1221,0.016,0.329,0.250,11.679,0.037,1.112,9.707,0.11,32653.,3000
