,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1571,0.0861,0.006,0.175,0.200,2000
2,0.7,0.04,0.0648,0.1569,0.0880,0.006,0.178,0.200,2000
3,1.4,0.07,0.1266,0.1566,0.0899,0.006,0.182,0.200,2000
4,2.1,0.11,0.1855,0.1561,0.0918,0.006,0.186,0.199,2000
5,2.8,0.15,0.2415,0.1554,0.0935,0.006,0.190,0.198,2000
6,3.4,0.18,0.2947,0.1542,0.0951,0.006,0.193,0.197,2000
7,4.1,0.22,0.3453,0.1527,0.0964,0.006,0.196,0.195,2000
8,4.8,0.25,0.3933,0.1506,0.0974,0.006,0.198,0.192,2000
9,5.5,0.29,0.4384,0.1480,0.0981,0.006,0.199,0.189,2000
10,6.2,0.33,0.4808,0.1448,0.0985,0.006,0.200,0.185,2000
11,6.9,0.36,0.5203,0.1411,0.0986,0.006,0.200,0.180,2000
12,7.6,0.40,0.5569,0.1367,0.0982,0.006,0.199,0.174,2000
13,8.3,0.44,0.5905,0.1313,0.0970,0.006,0.197,0.167,2000
14,8.9,0.47,0.6209,0.1254,0.0955,0.006,0.194,0.160,2000
15,9.6,0.51,0.6480,0.1194,0.0938,0.006,0.190,0.152,2000
16,10.3,0.55,0.6720,0.1133,0.0919,0.006,0.186,0.144,2000
17,11.0,0.58,0.6927,0.1070,0.0899,0.006,0.182,0.136,2000
18,11.7,0.62,0.7105,0.1004,0.0873,0.006,0.177,0.128,2000
19,12.4,0.65,0.7252,0.0935,0.0844,0.005,0.171,0.119,2000
20,13.1,0.69,0.7367,0.0865,0.0811,0.005,0.164,0.110,2000
21,13.8,0.73,0.7451,0.0792,0.0773,0.005,0.157,0.101,2000
22,14.5,0.76,0.7501,0.0717,0.0730,0.005,0.148,0.091,2000
23,15.1,0.80,0.7515,0.0637,0.0678,0.004,0.137,0.081,2000
24,15.8,0.84,0.7478,0.0554,0.0620,0.004,0.126,0.071,2000
25,16.5,0.87,0.7369,0.0470,0.0557,0.004,0.113,0.060,2000
26,17.2,0.91,0.7138,0.0383,0.0487,0.003,0.099,0.049,2000
27,17.9,0.95,0.6695,0.0291,0.0410,0.003,0.083,0.037,2000
28,18.6,0.98,0.5804,0.0196,0.0331,0.002,0.067,0.025,2000
29,19.3,1.02,0.3949,0.0098,0.0254,0.002,0.051,0.013,2000
30,20.0,1.05,-0.0147,-0.0003,0.0179,0.001,0.036,0.000,2000
31,0.0,0.00,0.0000,0.1572,0.0886,0.019,0.404,0.451,3000
32,1.0,0.04,0.0616,0.1570,0.0899,0.020,0.410,0.450,3000
33,2.0,0.07,0.1212,0.1566,0.0912,0.020,0.416,0.449,3000
34,3.0,0.11,0.1785,0.1560,0.0925,0.020,0.422,0.447,3000
35,4.0,0.14,0.2337,0.1552,0.0937,0.020,0.428,0.445,3000
36,5.0,0.18,0.2865,0.1540,0.0948,0.021,0.433,0.442,3000
37,6.0,0.21,0.3368,0.1524,0.0958,0.021,0.437,0.437,3000
38,7.0,0.25,0.3844,0.1503,0.0966,0.021,0.441,0.431,3000
39,8.0,0.28,0.4293,0.1477,0.0971,0.021,0.443,0.424,3000
40,9.0,0.32,0.4713,0.1447,0.0975,0.021,0.445,0.415,3000
41,10.0,0.35,0.5106,0.1411,0.0975,0.021,0.445,0.404,3000
42,11.0,0.39,0.5471,0.1368,0.0971,0.021,0.443,0.392,3000
43,12.0,0.42,0.5808,0.1318,0.0961,0.021,0.438,0.378,3000
44,13.0,0.46,0.6116,0.1259,0.0944,0.021,0.431,0.361,3000
45,14.0,0.49,0.6391,0.1199,0.0927,0.020,0.423,0.344,3000
46,15.0,0.53,0.6636,0.1138,0.0907,0.020,0.414,0.326,3000
47,16.0,0.56,0.6851,0.1074,0.0885,0.019,0.404,0.308,3000
48,17.0,0.60,0.7036,0.1007,0.0859,0.019,0.392,0.289,3000
49,18.0,0.64,0.7192,0.0940,0.0830,0.018,0.379,0.269,3000
50,19.0,0.67,0.7318,0.0870,0.0797,0.017,0.364,0.249,3000
51,20.0,0.71,0.7412,0.0795,0.0757,0.016,0.345,0.228,3000
52,21.0,0.74,0.7476,0.0718,0.0712,0.015,0.325,0.206,3000
53,22.1,0.78,0.7510,0.0639,0.0661,0.014,0.301,0.183,3000
54,23.1,0.81,0.7497,0.0556,0.0602,0.013,0.275,0.159,3000
55,24.1,0.85,0.7412,0.0467,0.0534,0.012,0.244,0.134,3000
56,25.1,0.88,0.7214,0.0376,0.0460,0.010,0.210,0.108,3000
57,26.1,0.92,0.6817,0.0283,0.0381,0.008,0.174,0.081,3000
58,27.1,0.95,0.5994,0.0189,0.0300,0.007,0.137,0.054,3000
59,28.1,0.99,0.4206,0.0094,0.0221,0.005,0.101,0.027,3000
60,29.1,1.02,-0.0216,-0.0003,0.0147,0.003,0.067,-0.001,3000
