,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1693,0.0790,0.001,0.064,0.079,1000
2,0.3,0.03,0.0559,0.1670,0.0794,0.001,0.065,0.078,1000
3,0.6,0.05,0.1098,0.1645,0.0797,0.001,0.065,0.077,1000
4,0.8,0.08,0.1615,0.1618,0.0799,0.001,0.065,0.075,1000
5,1.1,0.11,0.2110,0.1589,0.0801,0.001,0.065,0.074,1000
6,1.4,0.13,0.2583,0.1557,0.0801,0.001,0.065,0.073,1000
7,1.7,0.16,0.3034,0.1522,0.0800,0.001,0.065,0.071,1000
8,1.9,0.19,0.3461,0.1485,0.0799,0.001,0.065,0.069,1000
9,2.2,0.21,0.3865,0.1445,0.0795,0.001,0.065,0.067,1000
10,2.5,0.24,0.4245,0.1402,0.0790,0.001,0.065,0.065,1000
11,2.8,0.27,0.4600,0.1355,0.0783,0.001,0.064,0.063,1000
12,3.0,0.29,0.4930,0.1304,0.0774,0.001,0.063,0.061,1000
13,3.3,0.32,0.5234,0.1249,0.0761,0.001,0.062,0.058,1000
14,3.6,0.35,0.5512,0.1188,0.0745,0.001,0.061,0.055,1000
15,3.9,0.37,0.5763,0.1125,0.0727,0.001,0.059,0.052,1000
16,4.2,0.40,0.5989,0.1061,0.0707,0.001,0.058,0.049,1000
17,4.4,0.43,0.6189,0.0995,0.0684,0.001,0.056,0.046,1000
18,4.7,0.45,0.6364,0.0928,0.0659,0.001,0.054,0.043,1000
19,5.0,0.48,0.6514,0.0859,0.0631,0.001,0.052,0.040,1000
20,5.3,0.51,0.6639,0.0788,0.0600,0.001,0.049,0.037,1000
21,5.5,0.53,0.6734,0.0716,0.0565,0.001,0.046,0.033,1000
22,5.8,0.56,0.6796,0.0642,0.0527,0.001,0.043,0.030,1000
23,6.1,0.58,0.6818,0.0566,0.0485,0.001,0.040,0.026,1000
24,6.4,0.61,0.6783,0.0488,0.0440,0.001,0.036,0.023,1000
25,6.6,0.64,0.6668,0.0409,0.0391,0.001,0.032,0.019,1000
26,6.9,0.66,0.6426,0.0329,0.0340,0.000,0.028,0.015,1000
27,7.2,0.69,0.5977,0.0249,0.0288,0.000,0.023,0.012,1000
28,7.5,0.72,0.5159,0.0167,0.0232,0.000,0.019,0.008,1000
29,7.8,0.74,0.3576,0.0084,0.0175,0.000,0.014,0.004,1000
30,8.0,0.77,-0.0017,0.0000,0.0116,0.000,0.009,0.000,1000
31,0.0,0.00,0.0000,0.1694,0.0791,0.008,0.258,0.316,2000
32,0.6,0.03,0.0558,0.1671,0.0794,0.008,0.259,0.312,2000
33,1.1,0.05,0.1096,0.1646,0.0797,0.008,0.260,0.307,2000
34,1.7,0.08,0.1611,0.1620,0.0800,0.008,0.261,0.302,2000
35,2.2,0.11,0.2106,0.1590,0.0801,0.008,0.262,0.297,2000
36,2.8,0.13,0.2578,0.1558,0.0802,0.008,0.262,0.291,2000
37,3.3,0.16,0.3028,0.1524,0.0801,0.008,0.262,0.284,2000
38,3.9,0.19,0.3454,0.1487,0.0800,0.008,0.261,0.277,2000
39,4.4,0.21,0.3858,0.1447,0.0796,0.008,0.260,0.270,2000
40,5.0,0.24,0.4237,0.1403,0.0791,0.008,0.258,0.262,2000
41,5.5,0.27,0.4592,0.1357,0.0784,0.008,0.256,0.253,2000
42,6.1,0.29,0.4922,0.1306,0.0775,0.008,0.253,0.244,2000
43,6.6,0.32,0.5226,0.1252,0.0763,0.008,0.249,0.234,2000
44,7.2,0.34,0.5504,0.1191,0.0746,0.008,0.244,0.222,2000
45,7.7,0.37,0.5756,0.1129,0.0728,0.008,0.238,0.211,2000
46,8.3,0.40,0.5981,0.1064,0.0708,0.007,0.231,0.199,2000
47,8.8,0.42,0.6182,0.0999,0.0686,0.007,0.224,0.186,2000
48,9.4,0.45,0.6358,0.0932,0.0661,0.007,0.216,0.174,2000
49,9.9,0.48,0.6509,0.0863,0.0633,0.007,0.207,0.161,2000
50,10.5,0.50,0.6634,0.0793,0.0602,0.006,0.197,0.148,2000
51,11.1,0.53,0.6731,0.0720,0.0568,0.006,0.185,0.134,2000
52,11.6,0.56,0.6795,0.0646,0.0530,0.005,0.173,0.121,2000
53,12.2,0.58,0.6819,0.0570,0.0488,0.005,0.159,0.106,2000
54,12.7,0.61,0.6787,0.0493,0.0443,0.005,0.145,0.092,2000
55,13.3,0.64,0.6676,0.0413,0.0394,0.004,0.129,0.077,2000
56,13.8,0.66,0.6438,0.0332,0.0342,0.004,0.112,0.062,2000
57,14.4,0.69,0.5992,0.0251,0.0289,0.003,0.094,0.047,2000
58,14.9,0.72,0.5172,0.0168,0.0233,0.002,0.076,0.031,2000
59,15.5,0.74,0.3582,0.0084,0.0175,0.002,0.057,0.016,2000
60,16.0,0.77,-0.0007,0.0000,0.0117,0.001,0.038,0.000,2000
61,0.0,0.00,0.0000,0.1695,0.0791,0.028,0.581,0.711,3000
62,0.8,0.03,0.0558,0.1672,0.0795,0.028,0.584,0.702,3000
63,1.7,0.05,0.1095,0.1647,0.0798,0.028,0.586,0.691,3000
64,2.5,0.08,0.1611,0.1620,0.0800,0.028,0.588,0.680,3000
65,3.3,0.11,0.2105,0.1591,0.0802,0.028,0.589,0.668,3000
66,4.1,0.13,0.2577,0.1559,0.0802,0.028,0.590,0.654,3000
67,5.0,0.16,0.3026,0.1525,0.0802,0.028,0.589,0.640,3000
68,5.8,0.19,0.3453,0.1488,0.0800,0.028,0.588,0.625,3000
69,6.6,0.21,0.3856,0.1448,0.0797,0.028,0.586,0.608,3000
70,7.5,0.24,0.4235,0.1405,0.0792,0.028,0.582,0.590,3000
71,8.3,0.27,0.4590,0.1359,0.0785,0.027,0.577,0.570,3000
72,9.1,0.29,0.4920,0.1309,0.0776,0.027,0.570,0.549,3000
73,9.9,0.32,0.5224,0.1254,0.0764,0.027,0.562,0.527,3000
74,10.8,0.34,0.5502,0.1194,0.0748,0.026,0.550,0.501,3000
75,11.6,0.37,0.5754,0.1131,0.0730,0.026,0.537,0.475,3000
76,12.4,0.40,0.5980,0.1068,0.0710,0.025,0.522,0.448,3000
77,13.3,0.42,0.6181,0.1002,0.0688,0.024,0.506,0.421,3000
78,14.1,0.45,0.6357,0.0935,0.0663,0.023,0.487,0.392,3000
79,14.9,0.48,0.6508,0.0866,0.0635,0.022,0.467,0.363,3000
