,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1327,0.0731,0.001,0.092,0.088,1000
2,0.4,0.04,0.0648,0.1328,0.0745,0.001,0.094,0.088,1000
3,0.8,0.07,0.1270,0.1328,0.0761,0.002,0.096,0.088,1000
4,1.2,0.11,0.1865,0.1328,0.0777,0.002,0.098,0.088,1000
5,1.7,0.15,0.2434,0.1327,0.0793,0.002,0.100,0.088,1000
6,2.1,0.18,0.2977,0.1324,0.0809,0.002,0.102,0.087,1000
7,2.5,0.22,0.3494,0.1320,0.0824,0.002,0.104,0.087,1000
8,2.9,0.25,0.3984,0.1313,0.0839,0.002,0.106,0.087,1000
9,3.3,0.29,0.4450,0.1301,0.0851,0.002,0.107,0.086,1000
10,3.7,0.33,0.4892,0.1283,0.0858,0.002,0.108,0.085,1000
11,4.1,0.36,0.5309,0.1259,0.0862,0.002,0.109,0.083,1000
12,4.5,0.40,0.5698,0.1229,0.0863,0.002,0.109,0.081,1000
13,5.0,0.44,0.6059,0.1192,0.0859,0.002,0.108,0.079,1000
14,5.4,0.47,0.6390,0.1150,0.0851,0.002,0.107,0.076,1000
15,5.8,0.51,0.6690,0.1102,0.0839,0.002,0.106,0.073,1000
16,6.2,0.55,0.6957,0.1047,0.0821,0.002,0.104,0.069,1000
17,6.6,0.58,0.7188,0.0983,0.0796,0.002,0.100,0.065,1000
18,7.0,0.62,0.7382,0.0916,0.0767,0.002,0.097,0.061,1000
19,7.4,0.65,0.7544,0.0848,0.0736,0.001,0.093,0.056,1000
20,7.9,0.69,0.7675,0.0779,0.0701,0.001,0.088,0.051,1000
21,8.3,0.73,0.7777,0.0708,0.0662,0.001,0.084,0.047,1000
22,8.7,0.76,0.7856,0.0636,0.0618,0.001,0.078,0.042,1000
23,9.1,0.80,0.7915,0.0562,0.0568,0.001,0.072,0.037,1000
24,9.5,0.84,0.7950,0.0486,0.0511,0.001,0.064,0.032,1000
25,9.9,0.87,0.7939,0.0408,0.0448,0.001,0.057,0.027,1000
26,10.3,0.91,0.7864,0.0328,0.0379,0.001,0.048,0.022,1000
27,10.7,0.95,0.7615,0.0247,0.0307,0.001,0.039,0.016,1000
28,11.2,0.98,0.7020,0.0166,0.0232,0.000,0.029,0.011,1000
29,11.6,1.02,0.5479,0.0084,0.0155,0.000,0.020,0.006,1000
30,12.0,1.05,0.0002,0.0000,0.0083,0.000,0.011,0.000,1000
31,0.0,0.00,0.0000,0.1327,0.0731,0.012,0.369,0.351,2000
32,0.8,0.04,0.0647,0.1328,0.0746,0.012,0.376,0.351,2000
33,1.7,0.07,0.1267,0.1328,0.0761,0.012,0.384,0.351,2000
34,2.5,0.11,0.1862,0.1328,0.0777,0.012,0.392,0.351,2000
35,3.3,0.15,0.2430,0.1327,0.0793,0.013,0.400,0.351,2000
36,4.1,0.18,0.2972,0.1325,0.0810,0.013,0.409,0.350,2000
37,5.0,0.22,0.3488,0.1321,0.0825,0.013,0.416,0.349,2000
38,5.8,0.25,0.3978,0.1314,0.0840,0.013,0.424,0.347,2000
39,6.6,0.29,0.4444,0.1303,0.0852,0.014,0.430,0.344,2000
40,7.4,0.33,0.4886,0.1285,0.0860,0.014,0.434,0.339,2000
41,8.3,0.36,0.5302,0.1261,0.0864,0.014,0.436,0.333,2000
42,9.1,0.40,0.5691,0.1230,0.0864,0.014,0.436,0.325,2000
43,9.9,0.44,0.6052,0.1194,0.0860,0.014,0.434,0.316,2000
44,10.7,0.47,0.6384,0.1152,0.0852,0.014,0.430,0.304,2000
45,11.6,0.51,0.6685,0.1104,0.0840,0.013,0.424,0.292,2000
46,12.4,0.54,0.6952,0.1050,0.0823,0.013,0.415,0.277,2000
47,13.2,0.58,0.7183,0.0986,0.0798,0.013,0.402,0.260,2000
48,14.0,0.62,0.7379,0.0919,0.0769,0.012,0.388,0.243,2000
49,14.9,0.65,0.7541,0.0851,0.0738,0.012,0.372,0.225,2000
50,15.7,0.69,0.7673,0.0782,0.0703,0.011,0.355,0.206,2000
51,16.5,0.73,0.7776,0.0711,0.0664,0.011,0.335,0.188,2000
52,17.3,0.76,0.7855,0.0638,0.0620,0.010,0.313,0.169,2000
53,18.2,0.80,0.7914,0.0564,0.0570,0.009,0.288,0.149,2000
