,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1151,0.0661,0.001,0.083,0.076,1000
2,0.5,0.04,0.0694,0.1152,0.0675,0.001,0.085,0.076,1000
3,0.9,0.08,0.1358,0.1154,0.0691,0.001,0.087,0.076,1000
4,1.4,0.12,0.1992,0.1155,0.0708,0.001,0.089,0.076,1000
5,1.8,0.16,0.2595,0.1157,0.0725,0.001,0.091,0.076,1000
6,2.3,0.20,0.3168,0.1158,0.0743,0.001,0.094,0.077,1000
7,2.8,0.24,0.3709,0.1159,0.0763,0.002,0.096,0.077,1000
8,3.2,0.28,0.4221,0.1160,0.0782,0.002,0.099,0.077,1000
9,3.7,0.33,0.4703,0.1160,0.0802,0.002,0.101,0.077,1000
10,4.2,0.37,0.5154,0.1159,0.0823,0.002,0.104,0.077,1000
11,4.6,0.41,0.5578,0.1155,0.0842,0.002,0.106,0.076,1000
12,5.1,0.45,0.5973,0.1149,0.0860,0.002,0.109,0.076,1000
13,5.5,0.49,0.6343,0.1135,0.0873,0.002,0.110,0.075,1000
14,6.0,0.53,0.6688,0.1112,0.0879,0.002,0.111,0.073,1000
15,6.5,0.57,0.7003,0.1079,0.0877,0.002,0.111,0.071,1000
16,6.9,0.61,0.7287,0.1036,0.0867,0.002,0.109,0.068,1000
17,7.4,0.65,0.7537,0.0983,0.0848,0.002,0.107,0.065,1000
18,7.9,0.69,0.7751,0.0918,0.0818,0.002,0.103,0.061,1000
19,8.3,0.73,0.7926,0.0848,0.0784,0.002,0.099,0.056,1000
20,8.8,0.77,0.8065,0.0778,0.0746,0.001,0.094,0.051,1000
21,9.2,0.81,0.8171,0.0707,0.0704,0.001,0.089,0.047,1000
22,9.7,0.85,0.8248,0.0635,0.0657,0.001,0.083,0.042,1000
23,10.2,0.89,0.8300,0.0561,0.0605,0.001,0.076,0.037,1000
24,10.6,0.94,0.8331,0.0485,0.0545,0.001,0.069,0.032,1000
25,11.1,0.98,0.8325,0.0408,0.0478,0.001,0.060,0.027,1000
26,11.6,1.02,0.8252,0.0328,0.0405,0.001,0.051,0.022,1000
