,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.0999,0.0366,0.006,0.185,0.264,2000
2,0.5,0.02,0.0576,0.0982,0.0368,0.006,0.186,0.259,2000
3,1.0,0.04,0.1125,0.0963,0.0369,0.006,0.186,0.254,2000
4,1.5,0.06,0.1648,0.0943,0.0370,0.006,0.187,0.249,2000
5,2.0,0.09,0.2144,0.0921,0.0370,0.006,0.187,0.243,2000
6,2.4,0.11,0.2613,0.0898,0.0370,0.006,0.187,0.237,2000
7,2.9,0.13,0.3054,0.0874,0.0370,0.006,0.187,0.231,2000
8,3.4,0.15,0.3468,0.0848,0.0369,0.006,0.186,0.224,2000
9,3.9,0.17,0.3854,0.0821,0.0367,0.006,0.185,0.217,2000
10,4.4,0.19,0.4213,0.0793,0.0365,0.006,0.184,0.210,2000
11,4.9,0.22,0.4542,0.0763,0.0362,0.006,0.183,0.202,2000
12,5.4,0.24,0.4844,0.0732,0.0359,0.006,0.181,0.194,2000
13,5.9,0.26,0.5119,0.0701,0.0354,0.006,0.179,0.185,2000
14,6.4,0.28,0.5368,0.0668,0.0349,0.006,0.176,0.177,2000
15,6.9,0.30,0.5592,0.0634,0.0342,0.005,0.173,0.168,2000
16,7.3,0.32,0.5792,0.0600,0.0335,0.005,0.169,0.158,2000
17,7.8,0.34,0.5968,0.0564,0.0326,0.005,0.164,0.149,2000
18,8.3,0.37,0.6120,0.0527,0.0316,0.005,0.159,0.139,2000
19,8.8,0.39,0.6249,0.0489,0.0304,0.005,0.153,0.129,2000
20,9.3,0.41,0.6355,0.0450,0.0290,0.005,0.146,0.119,2000
21,9.8,0.43,0.6435,0.0410,0.0275,0.004,0.139,0.108,2000
22,10.3,0.45,0.6483,0.0368,0.0257,0.004,0.130,0.097,2000
23,10.8,0.47,0.6490,0.0326,0.0238,0.004,0.120,0.086,2000
24,11.3,0.50,0.6438,0.0283,0.0218,0.003,0.110,0.075,2000
25,11.8,0.52,0.6299,0.0238,0.0196,0.003,0.099,0.063,2000
26,12.2,0.54,0.6023,0.0192,0.0172,0.003,0.087,0.051,2000
27,12.7,0.56,0.5519,0.0146,0.0148,0.002,0.075,0.039,2000
28,13.2,0.58,0.4631,0.0098,0.0124,0.002,0.062,0.026,2000
29,13.7,0.60,0.3042,0.0050,0.0099,0.002,0.050,0.013,2000
30,14.2,0.63,-0.0028,0.0000,0.0073,0.001,0.037,0.000,2000
31,0.0,0.00,0.0000,0.0995,0.0364,0.020,0.413,0.591,3000
32,0.7,0.02,0.0569,0.0977,0.0365,0.020,0.415,0.581,3000
33,1.4,0.04,0.1111,0.0958,0.0366,0.020,0.416,0.570,3000
34,2.2,0.06,0.1629,0.0938,0.0367,0.020,0.417,0.558,3000
35,2.9,0.08,0.2119,0.0917,0.0368,0.020,0.417,0.545,3000
36,3.6,0.11,0.2584,0.0894,0.0368,0.020,0.417,0.532,3000
37,4.3,0.13,0.3021,0.0870,0.0367,0.020,0.417,0.517,3000
38,5.1,0.15,0.3432,0.0845,0.0366,0.020,0.416,0.502,3000
39,5.8,0.17,0.3815,0.0818,0.0364,0.020,0.414,0.486,3000
40,6.5,0.19,0.4170,0.0790,0.0362,0.020,0.411,0.469,3000
41,7.2,0.21,0.4498,0.0760,0.0359,0.019,0.408,0.452,3000
42,8.0,0.23,0.4799,0.0730,0.0355,0.019,0.403,0.434,3000
43,8.7,0.25,0.5073,0.0698,0.0351,0.019,0.398,0.415,3000
44,9.4,0.28,0.5322,0.0665,0.0345,0.019,0.392,0.396,3000
45,10.1,0.30,0.5545,0.0632,0.0339,0.018,0.385,0.376,3000
46,10.9,0.32,0.5743,0.0597,0.0331,0.018,0.376,0.355,3000
47,11.6,0.34,0.5920,0.0561,0.0322,0.017,0.366,0.334,3000
48,12.3,0.36,0.6071,0.0525,0.0312,0.017,0.354,0.312,3000
49,13.0,0.38,0.6200,0.0486,0.0300,0.016,0.341,0.289,3000
50,13.8,0.40,0.6307,0.0448,0.0286,0.015,0.325,0.266,3000
51,14.5,0.42,0.6389,0.0407,0.0271,0.015,0.308,0.242,3000
52,15.2,0.45,0.6439,0.0366,0.0254,0.014,0.288,0.218,3000
53,15.9,0.47,0.6447,0.0323,0.0234,0.013,0.266,0.192,3000
54,16.7,0.49,0.6398,0.0280,0.0214,0.012,0.242,0.166,3000
55,17.4,0.51,0.6268,0.0235,0.0191,0.010,0.217,0.140,3000
56,18.1,0.53,0.5999,0.0189,0.0168,0.009,0.190,0.113,3000
57,18.8,0.55,0.5503,0.0143,0.0144,0.008,0.163,0.085,3000
58,19.6,0.57,0.4622,0.0096,0.0119,0.006,0.135,0.057,3000
59,20.3,0.59,0.3036,0.0048,0.0094,0.005,0.107,0.029,3000
60,21.0,0.62,-0.0046,-0.0001,0.0070,0.004,0.079,0.000,3000
61,0.0,0.00,0.0000,0.0995,0.0358,0.046,0.723,1.052,4000
62,1.0,0.02,0.0569,0.0978,0.0360,0.046,0.726,1.034,4000
63,1.9,0.04,0.1113,0.0959,0.0361,0.046,0.729,1.014,4000
64,2.9,0.06,0.1632,0.0939,0.0362,0.046,0.730,0.993,4000
65,3.8,0.08,0.2124,0.0918,0.0362,0.046,0.731,0.970,4000
66,4.8,0.10,0.2591,0.0895,0.0362,0.046,0.730,0.946,4000
67,5.7,0.13,0.3032,0.0871,0.0361,0.046,0.729,0.921,4000
68,6.7,0.15,0.3448,0.0846,0.0360,0.046,0.726,0.894,4000
69,7.6,0.17,0.3837,0.0819,0.0358,0.046,0.722,0.866,4000
70,8.6,0.19,0.4200,0.0791,0.0355,0.045,0.717,0.836,4000
71,9.5,0.21,0.4536,0.0762,0.0352,0.045,0.710,0.805,4000
72,10.5,0.23,0.4846,0.0731,0.0348,0.045,0.702,0.773,4000
73,11.4,0.25,0.5130,0.0700,0.0343,0.044,0.692,0.740,4000
74,12.4,0.27,0.5390,0.0667,0.0337,0.043,0.680,0.705,4000
75,13.3,0.29,0.5626,0.0634,0.0330,0.042,0.667,0.670,4000
76,14.3,0.31,0.5837,0.0599,0.0323,0.041,0.651,0.634,4000
77,15.2,0.34,0.6023,0.0564,0.0314,0.040,0.634,0.596,4000
78,16.2,0.36,0.6187,0.0528,0.0304,0.039,0.613,0.558,4000
79,17.1,0.38,0.6327,0.0490,0.0292,0.037,0.589,0.517,4000
80,18.1,0.40,0.6444,0.0451,0.0278,0.036,0.562,0.476,4000
81,19.0,0.42,0.6533,0.0411,0.0263,0.034,0.532,0.434,4000
82,20.0,0.44,0.6589,0.0369,0.0247,0.032,0.498,0.390,4000
83,20.9,0.46,0.6604,0.0327,0.0228,0.029,0.460,0.345,4000
84,21.9,0.48,0.6561,0.0282,0.0207,0.027,0.419,0.299,4000
85,22.8,0.50,0.6436,0.0237,0.0185,0.024,0.374,0.251,4000
86,23.8,0.52,0.6173,0.0191,0.0162,0.021,0.328,0.202,4000
87,24.8,0.54,0.5682,0.0145,0.0139,0.018,0.280,0.153,4000
88,25.7,0.57,0.4799,0.0097,0.0114,0.015,0.231,0.103,4000
89,26.7,0.59,0.3185,0.0049,0.0090,0.012,0.182,0.052,4000
90,27.6,0.61,-0.0010,0.0000,0.0066,0.008,0.134,0.000,4000
91,0.0,0.00,0.0000,0.0997,0.0350,0.087,1.103,1.646,5000
92,1.2,0.02,0.0585,0.0979,0.0351,0.088,1.108,1.617,5000
93,2.4,0.04,0.1143,0.0960,0.0352,0.088,1.112,1.586,5000
94,3.6,0.06,0.1675,0.0940,0.0353,0.088,1.114,1.552,5000
95,4.8,0.08,0.2181,0.0918,0.0353,0.088,1.114,1.517,5000
96,6.0,0.10,0.2661,0.0896,0.0353,0.088,1.113,1.479,5000
97,7.2,0.13,0.3115,0.0871,0.0352,0.088,1.110,1.439,5000
98,8.3,0.15,0.3544,0.0846,0.0350,0.088,1.105,1.397,5000
99,9.5,0.17,0.3948,0.0819,0.0348,0.087,1.098,1.352,5000
100,10.7,0.19,0.4326,0.0791,0.0345,0.086,1.088,1.306,5000
101,11.9,0.21,0.4678,0.0761,0.0341,0.085,1.076,1.257,5000
102,13.1,0.23,0.5005,0.0730,0.0337,0.084,1.061,1.205,5000
103,14.3,0.25,0.5307,0.0698,0.0331,0.083,1.044,1.153,5000
104,15.5,0.27,0.5585,0.0665,0.0325,0.081,1.024,1.098,5000
105,16.7,0.29,0.5839,0.0631,0.0317,0.079,1.001,1.042,5000
106,17.9,0.31,0.6065,0.0596,0.0309,0.077,0.975,0.984,5000
107,19.1,0.34,0.6266,0.0560,0.0300,0.075,0.946,0.925,5000
108,20.3,0.36,0.6445,0.0522,0.0289,0.072,0.912,0.863,5000
109,21.5,0.38,0.6598,0.0484,0.0277,0.069,0.873,0.799,5000
110,22.6,0.40,0.6721,0.0444,0.0263,0.066,0.830,0.733,5000
111,23.8,0.42,0.6809,0.0403,0.0248,0.062,0.783,0.665,5000
112,25.0,0.44,0.6862,0.0361,0.0232,0.058,0.731,0.596,5000
113,26.2,0.46,0.6872,0.0319,0.0214,0.054,0.675,0.526,5000
114,27.4,0.48,0.6820,0.0276,0.0195,0.049,0.615,0.455,5000
115,28.6,0.50,0.6678,0.0232,0.0175,0.044,0.551,0.382,5000
116,29.8,0.52,0.6390,0.0187,0.0153,0.038,0.484,0.309,5000
117,31.0,0.55,0.5866,0.0141,0.0131,0.033,0.414,0.233,5000
118,32.2,0.57,0.4934,0.0095,0.0109,0.027,0.343,0.157,5000
119,33.4,0.59,0.3254,0.0048,0.0086,0.022,0.272,0.079,5000
120,34.6,0.61,-0.0009,0.0000,0.0064,0.016,0.201,0.000,5000
121,0.0,0.00,0.0000,0.1001,0.0347,0.150,1.575,2.381,6000
122,1.4,0.02,0.0593,0.0983,0.0348,0.150,1.580,2.338,6000
123,2.9,0.04,0.1160,0.0964,0.0349,0.151,1.584,2.293,6000
124,4.3,0.06,0.1701,0.0944,0.0349,0.151,1.585,2.244,6000
125,5.7,0.08,0.2217,0.0922,0.0349,0.151,1.584,2.192,6000
126,7.1,0.10,0.2707,0.0899,0.0348,0.151,1.581,2.137,6000
127,8.6,0.13,0.3172,0.0874,0.0347,0.150,1.575,2.079,6000
128,10.0,0.15,0.3612,0.0848,0.0345,0.149,1.566,2.018,6000
129,11.4,0.17,0.4027,0.0821,0.0342,0.148,1.554,1.953,6000
130,12.9,0.19,0.4418,0.0793,0.0339,0.146,1.538,1.885,6000
131,14.3,0.21,0.4783,0.0763,0.0334,0.145,1.518,1.813,6000
132,15.7,0.23,0.5124,0.0731,0.0329,0.142,1.495,1.739,6000
133,17.2,0.25,0.5441,0.0699,0.0323,0.140,1.468,1.662,6000
134,18.6,0.27,0.5735,0.0665,0.0316,0.137,1.436,1.582,6000
135,20.0,0.29,0.6003,0.0630,0.0308,0.133,1.400,1.499,6000
136,21.4,0.31,0.6244,0.0595,0.0300,0.130,1.361,1.415,6000
137,22.9,0.34,0.6459,0.0558,0.0290,0.125,1.318,1.328,6000
138,24.3,0.36,0.6649,0.0521,0.0279,0.121,1.269,1.239,6000
