,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1300,0.0569,0.001,0.072,0.086,1000
2,0.3,0.03,0.0596,0.1283,0.0573,0.001,0.072,0.085,1000
3,0.6,0.05,0.1169,0.1264,0.0576,0.001,0.073,0.084,1000
4,0.9,0.08,0.1718,0.1244,0.0578,0.001,0.073,0.082,1000
5,1.2,0.11,0.2243,0.1221,0.0580,0.001,0.073,0.081,1000
6,1.5,0.13,0.2742,0.1196,0.0581,0.001,0.073,0.079,1000
7,1.8,0.16,0.3215,0.1169,0.0581,0.001,0.073,0.077,1000
8,2.1,0.19,0.3663,0.1139,0.0580,0.001,0.073,0.075,1000
9,2.4,0.21,0.4082,0.1108,0.0578,0.001,0.073,0.073,1000
10,2.7,0.24,0.4475,0.1074,0.0575,0.001,0.073,0.071,1000
11,3.0,0.27,0.4839,0.1038,0.0571,0.001,0.072,0.069,1000
12,3.3,0.29,0.5175,0.1000,0.0566,0.001,0.071,0.066,1000
13,3.6,0.32,0.5483,0.0959,0.0559,0.001,0.070,0.063,1000
14,3.9,0.35,0.5762,0.0915,0.0550,0.001,0.069,0.060,1000
15,4.2,0.37,0.6014,0.0869,0.0538,0.001,0.068,0.057,1000
16,4.5,0.40,0.6237,0.0819,0.0525,0.001,0.066,0.054,1000
17,4.8,0.43,0.6432,0.0769,0.0509,0.001,0.064,0.051,1000
18,5.1,0.45,0.6602,0.0717,0.0492,0.001,0.062,0.047,1000
19,5.4,0.48,0.6752,0.0664,0.0471,0.001,0.059,0.044,1000
20,5.7,0.51,0.6879,0.0610,0.0449,0.001,0.057,0.040,1000
21,6.1,0.53,0.6984,0.0555,0.0423,0.001,0.053,0.037,1000
22,6.4,0.56,0.7063,0.0498,0.0394,0.001,0.050,0.033,1000
23,6.7,0.59,0.7112,0.0439,0.0362,0.001,0.046,0.029,1000
24,7.0,0.61,0.7132,0.0380,0.0326,0.001,0.041,0.025,1000
25,7.3,0.64,0.7084,0.0319,0.0288,0.001,0.036,0.021,1000
26,7.6,0.67,0.6927,0.0257,0.0247,0.000,0.031,0.017,1000
27,7.9,0.69,0.6592,0.0195,0.0205,0.000,0.026,0.013,1000
28,8.2,0.72,0.5935,0.0132,0.0160,0.000,0.020,0.009,1000
29,8.5,0.75,0.4486,0.0067,0.0112,0.000,0.014,0.004,1000
30,8.8,0.77,0.0036,0.0000,0.0066,0.000,0.008,0.000,1000
31,0.0,0.00,0.0000,0.1301,0.0570,0.009,0.288,0.344,2000
32,0.6,0.03,0.0596,0.1285,0.0574,0.009,0.289,0.339,2000
33,1.2,0.05,0.1169,0.1266,0.0577,0.009,0.291,0.334,2000
34,1.8,0.08,0.1718,0.1245,0.0579,0.009,0.292,0.329,2000
35,2.4,0.11,0.2242,0.1222,0.0581,0.009,0.293,0.323,2000
36,3.0,0.13,0.2741,0.1197,0.0581,0.009,0.293,0.316,2000
37,3.6,0.16,0.3215,0.1170,0.0582,0.009,0.293,0.309,2000
38,4.2,0.19,0.3662,0.1141,0.0581,0.009,0.293,0.301,2000
39,4.8,0.21,0.4082,0.1109,0.0579,0.009,0.292,0.293,2000
40,5.4,0.24,0.4474,0.1076,0.0576,0.009,0.291,0.284,2000
41,6.1,0.27,0.4838,0.1039,0.0572,0.009,0.289,0.275,2000
42,6.7,0.29,0.5175,0.1001,0.0566,0.009,0.286,0.264,2000
43,7.3,0.32,0.5483,0.0960,0.0559,0.009,0.282,0.254,2000
44,7.9,0.35,0.5763,0.0916,0.0550,0.009,0.278,0.242,2000
45,8.5,0.37,0.6014,0.0869,0.0539,0.009,0.272,0.230,2000
46,9.1,0.40,0.6237,0.0820,0.0525,0.008,0.265,0.217,2000
47,9.7,0.43,0.6433,0.0770,0.0510,0.008,0.257,0.203,2000
48,10.3,0.45,0.6603,0.0718,0.0492,0.008,0.248,0.190,2000
49,10.9,0.48,0.6752,0.0665,0.0472,0.008,0.238,0.176,2000
50,11.5,0.51,0.6880,0.0611,0.0449,0.007,0.227,0.161,2000
51,12.1,0.53,0.6985,0.0555,0.0423,0.007,0.214,0.147,2000
52,12.7,0.56,0.7064,0.0498,0.0394,0.006,0.199,0.132,2000
53,13.3,0.59,0.7112,0.0440,0.0362,0.006,0.183,0.116,2000
54,13.9,0.61,0.7133,0.0380,0.0326,0.005,0.165,0.100,2000
55,14.5,0.64,0.7085,0.0319,0.0288,0.005,0.145,0.084,2000
56,15.1,0.67,0.6928,0.0258,0.0247,0.004,0.125,0.068,2000
57,15.7,0.69,0.6590,0.0195,0.0205,0.003,0.103,0.051,2000
58,16.3,0.72,0.5922,0.0131,0.0159,0.003,0.080,0.035,2000
59,16.9,0.75,0.4430,0.0066,0.0111,0.002,0.056,0.017,2000
60,17.5,0.77,-0.0024,0.0000,0.0065,0.001,0.033,0.000,2000
61,0.0,0.00,0.0000,0.1301,0.0569,0.031,0.646,0.773,3000
62,0.9,0.03,0.0597,0.1284,0.0573,0.031,0.650,0.763,3000
63,1.8,0.05,0.1171,0.1265,0.0576,0.031,0.654,0.752,3000
64,2.7,0.08,0.1720,0.1244,0.0578,0.031,0.656,0.740,3000
65,3.6,0.11,0.2244,0.1221,0.0580,0.031,0.658,0.726,3000
66,4.5,0.13,0.2744,0.1196,0.0581,0.031,0.659,0.711,3000
67,5.4,0.16,0.3218,0.1169,0.0581,0.031,0.659,0.695,3000
68,6.4,0.19,0.3666,0.1140,0.0580,0.031,0.658,0.678,3000
69,7.3,0.21,0.4086,0.1109,0.0578,0.031,0.656,0.659,3000
70,8.2,0.24,0.4479,0.1075,0.0575,0.031,0.653,0.639,3000
71,9.1,0.27,0.4845,0.1039,0.0571,0.031,0.648,0.618,3000
72,10.0,0.29,0.5182,0.1000,0.0565,0.031,0.642,0.595,3000
73,10.9,0.32,0.5492,0.0959,0.0558,0.030,0.634,0.570,3000
74,11.8,0.35,0.5774,0.0916,0.0549,0.030,0.623,0.544,3000
75,12.7,0.37,0.6028,0.0869,0.0538,0.029,0.611,0.517,3000
76,13.6,0.40,0.6254,0.0820,0.0524,0.028,0.595,0.488,3000
77,14.5,0.43,0.6453,0.0770,0.0508,0.027,0.577,0.458,3000
78,15.4,0.45,0.6628,0.0719,0.0491,0.027,0.557,0.427,3000
79,16.3,0.48,0.6782,0.0666,0.0471,0.025,0.534,0.396,3000
80,17.2,0.51,0.6913,0.0612,0.0448,0.024,0.509,0.364,3000
81,18.2,0.53,0.7022,0.0556,0.0422,0.023,0.479,0.331,3000
82,19.1,0.56,0.7105,0.0499,0.0393,0.021,0.446,0.297,3000
83,20.0,0.59,0.7157,0.0441,0.0361,0.020,0.410,0.262,3000
84,20.9,0.61,0.7180,0.0381,0.0325,0.018,0.369,0.226,3000
85,21.8,0.64,0.7133,0.0320,0.0286,0.015,0.325,0.190,3000
86,22.7,0.67,0.6975,0.0257,0.0246,0.013,0.279,0.153,3000
87,23.6,0.69,0.6633,0.0194,0.0203,0.011,0.230,0.115,3000
88,24.5,0.72,0.5959,0.0130,0.0157,0.009,0.179,0.078,3000
89,25.4,0.75,0.4440,0.0065,0.0110,0.006,0.125,0.039,3000
90,26.3,0.77,0.0011,0.0000,0.0065,0.004,0.074,0.000,3000
91,0.0,0.00,0.0000,0.1301,0.0550,0.070,1.110,1.375,4000
92,1.2,0.03,0.0616,0.1284,0.0555,0.071,1.120,1.357,4000
93,2.4,0.05,0.1205,0.1266,0.0559,0.072,1.128,1.338,4000
94,3.6,0.08,0.1766,0.1245,0.0563,0.072,1.135,1.316,4000
95,4.8,0.11,0.2301,0.1222,0.0565,0.072,1.141,1.292,4000
96,6.0,0.13,0.2809,0.1197,0.0567,0.073,1.144,1.265,4000
97,7.3,0.16,0.3291,0.1170,0.0568,0.073,1.146,1.237,4000
98,8.5,0.19,0.3747,0.1141,0.0567,0.073,1.145,1.206,4000
99,9.7,0.21,0.4176,0.1110,0.0566,0.072,1.142,1.173,4000
100,10.9,0.24,0.4579,0.1076,0.0563,0.072,1.136,1.137,4000
101,12.1,0.27,0.4956,0.1040,0.0558,0.072,1.127,1.099,4000
102,13.3,0.29,0.5307,0.1002,0.0552,0.071,1.115,1.058,4000
103,14.5,0.32,0.5632,0.0961,0.0545,0.070,1.099,1.015,4000
104,15.7,0.35,0.5933,0.0917,0.0535,0.068,1.079,0.969,4000
105,16.9,0.37,0.6206,0.0871,0.0522,0.067,1.055,0.920,4000
106,18.1,0.40,0.6453,0.0821,0.0508,0.065,1.025,0.868,4000
107,19.3,0.43,0.6676,0.0771,0.0491,0.063,0.992,0.815,4000
108,20.6,0.45,0.6875,0.0719,0.0473,0.061,0.955,0.760,4000
109,21.8,0.48,0.7052,0.0666,0.0452,0.058,0.913,0.704,4000
110,23.0,0.51,0.7201,0.0612,0.0429,0.055,0.867,0.646,4000
111,24.2,0.53,0.7318,0.0556,0.0404,0.052,0.816,0.588,4000
112,25.4,0.56,0.7410,0.0499,0.0376,0.048,0.759,0.527,4000
113,26.6,0.59,0.7469,0.0441,0.0345,0.044,0.697,0.466,4000
114,27.8,0.61,0.7490,0.0381,0.0311,0.040,0.628,0.403,4000
115,29.0,0.64,0.7438,0.0320,0.0274,0.035,0.554,0.338,4000
116,30.2,0.67,0.7270,0.0258,0.0236,0.030,0.476,0.272,4000
117,31.4,0.69,0.6919,0.0195,0.0195,0.025,0.393,0.206,4000
118,32.7,0.72,0.6216,0.0131,0.0151,0.019,0.305,0.138,4000
119,33.9,0.74,0.4645,0.0066,0.0106,0.014,0.213,0.070,4000
120,35.1,0.77,-0.0011,0.0000,0.0062,0.008,0.124,0.000,4000
121,0.0,0.00,0.0000,0.1304,0.0540,0.135,1.703,2.153,5000
122,1.5,0.03,0.0628,0.1287,0.0546,0.137,1.721,2.126,5000
123,3.0,0.05,0.1226,0.1269,0.0550,0.138,1.736,2.095,5000
124,4.5,0.08,0.1796,0.1248,0.0554,0.139,1.749,2.061,5000
125,6.0,0.11,0.2337,0.1225,0.0558,0.140,1.759,2.024,5000
126,7.6,0.13,0.2851,0.1201,0.0560,0.140,1.766,1.983,5000
127,9.1,0.16,0.3339,0.1174,0.0561,0.140,1.769,1.938,5000
128,10.6,0.19,0.3801,0.1145,0.0560,0.140,1.768,1.890,5000
129,12.1,0.21,0.4238,0.1113,0.0559,0.140,1.762,1.838,5000
130,13.6,0.24,0.4650,0.1079,0.0556,0.139,1.752,1.783,5000
131,15.1,0.27,0.5037,0.1043,0.0551,0.138,1.737,1.723,5000
132,16.6,0.29,0.5399,0.1005,0.0544,0.136,1.717,1.659,5000
133,18.1,0.32,0.5739,0.0964,0.0536,0.134,1.690,1.592,5000
134,19.6,0.35,0.6054,0.0920,0.0525,0.131,1.657,1.519,5000
135,21.2,0.37,0.6344,0.0873,0.0512,0.128,1.616,1.442,5000
136,22.7,0.40,0.6608,0.0824,0.0497,0.124,1.568,1.360,5000
137,24.2,0.43,0.6850,0.0773,0.0480,0.120,1.514,1.276,5000
138,25.7,0.45,0.7069,0.0721,0.0461,0.115,1.454,1.190,5000
139,27.2,0.48,0.7265,0.0667,0.0440,0.110,1.387,1.102,5000
140,28.7,0.51,0.7428,0.0613,0.0417,0.104,1.315,1.012,5000
141,30.2,0.53,0.7553,0.0557,0.0392,0.098,1.237,0.919,5000
142,31.7,0.56,0.7652,0.0500,0.0365,0.091,1.150,0.825,5000
143,33.2,0.59,0.7717,0.0441,0.0334,0.084,1.055,0.729,5000
144,34.8,0.61,0.7741,0.0381,0.0301,0.075,0.951,0.630,5000
145,36.3,0.64,0.7684,0.0321,0.0266,0.067,0.840,0.529,5000
146,37.8,0.66,0.7512,0.0258,0.0229,0.057,0.721,0.427,5000
147,39.3,0.69,0.7155,0.0195,0.0189,0.047,0.595,0.322,5000
148,40.8,0.72,0.6439,0.0131,0.0146,0.037,0.461,0.216,5000
149,42.3,0.74,0.4829,0.0066,0.0102,0.025,0.320,0.109,5000
150,43.8,0.77,-0.0038,0.0000,0.0058,0.015,0.184,0.000,5000
151,0.0,0.00,0.0000,0.1323,0.0627,0.271,2.849,3.146,6000
152,1.8,0.03,0.0560,0.1306,0.0620,0.268,2.817,3.106,6000
153,3.6,0.05,0.1114,0.1287,0.0614,0.265,2.788,3.060,6000
154,5.4,0.08,0.1660,0.1265,0.0608,0.263,2.760,3.008,6000
155,7.2,0.11,0.2193,0.1241,0.0602,0.260,2.734,2.952,6000
156,9.1,0.13,0.2711,0.1216,0.0596,0.258,2.707,2.891,6000
157,10.9,0.16,0.3212,0.1188,0.0590,0.255,2.678,2.824,6000
158,12.7,0.19,0.3694,0.1157,0.0583,0.252,2.647,2.752,6000
159,14.5,0.21,0.4155,0.1124,0.0576,0.249,2.614,2.674,6000
160,16.3,0.24,0.4593,0.1089,0.0567,0.245,2.577,2.591,6000
161,18.1,0.27,0.5006,0.1052,0.0559,0.242,2.537,2.501,6000
162,19.9,0.29,0.5393,0.1012,0.0549,0.237,2.492,2.407,6000
163,21.7,0.32,0.5754,0.0970,0.0538,0.232,2.441,2.306,6000
164,23.6,0.35,0.6088,0.0925,0.0525,0.227,2.384,2.199,6000
165,25.4,0.37,0.6392,0.0877,0.0511,0.221,2.320,2.086,6000
166,27.2,0.40,0.6667,0.0827,0.0495,0.214,2.247,1.967,6000
167,29.0,0.43,0.6917,0.0776,0.0477,0.206,2.167,1.845,6000
168,30.8,0.45,0.7145,0.0724,0.0458,0.198,2.079,1.721,6000
169,32.6,0.48,0.7351,0.0670,0.0436,0.189,1.981,1.593,6000
170,34.4,0.51,0.7525,0.0615,0.0413,0.178,1.875,1.463,6000
171,36.2,0.53,0.7665,0.0559,0.0388,0.168,1.760,1.329,6000
172,38.1,0.56,0.7777,0.0501,0.0360,0.156,1.634,1.192,6000
173,39.9,0.58,0.7857,0.0443,0.0330,0.143,1.497,1.053,6000
174,41.7,0.61,0.7896,0.0383,0.0296,0.128,1.346,0.911,6000
175,43.5,0.64,0.7853,0.0322,0.0261,0.113,1.188,0.765,6000
176,45.3,0.66,0.7694,0.0260,0.0224,0.097,1.018,0.617,6000
177,47.1,0.69,0.7353,0.0196,0.0184,0.080,0.837,0.466,6000
178,48.9,0.72,0.6667,0.0132,0.0142,0.061,0.644,0.313,6000
179,50.7,0.74,0.5068,0.0066,0.0097,0.042,0.442,0.157,6000
180,52.6,0.77,-0.0032,0.0000,0.0054,0.024,0.247,-0.001,6000
181,0.0,0.00,0.0000,0.1343,0.0706,0.485,4.366,4.346,7000
182,2.1,0.03,0.0512,0.1325,0.0688,0.472,4.252,4.288,7000
183,4.2,0.05,0.1034,0.1305,0.0671,0.461,4.150,4.223,7000
184,6.3,0.08,0.1559,0.1282,0.0656,0.451,4.058,4.150,7000
185,8.5,0.11,0.2083,0.1258,0.0642,0.441,3.971,4.071,7000
186,10.6,0.13,0.2601,0.1231,0.0629,0.432,3.890,3.984,7000
187,12.7,0.16,0.3111,0.1202,0.0617,0.423,3.811,3.890,7000
188,14.8,0.19,0.3607,0.1170,0.0604,0.415,3.733,3.787,7000
189,16.9,0.21,0.4087,0.1136,0.0592,0.406,3.657,3.678,7000
190,19.0,0.24,0.4546,0.1100,0.0579,0.398,3.580,3.560,7000
191,21.2,0.27,0.4980,0.1061,0.0567,0.389,3.503,3.435,7000
192,23.3,0.29,0.5389,0.1020,0.0554,0.380,3.423,3.301,7000
193,25.4,0.32,0.5768,0.0976,0.0540,0.371,3.340,3.160,7000
194,27.5,0.35,0.6117,0.0930,0.0526,0.361,3.251,3.011,7000
195,29.6,0.37,0.6433,0.0882,0.0510,0.350,3.155,2.854,7000
196,31.7,0.40,0.6718,0.0831,0.0494,0.339,3.051,2.690,7000
197,33.9,0.43,0.6976,0.0780,0.0476,0.327,2.940,2.523,7000
198,36.0,0.45,0.7211,0.0727,0.0456,0.313,2.817,2.353,7000
199,38.1,0.48,0.7425,0.0673,0.0434,0.298,2.682,2.178,7000
200,40.2,0.51,0.7611,0.0617,0.0410,0.281,2.534,1.999,7000
201,42.3,0.53,0.7763,0.0561,0.0384,0.264,2.376,1.815,7000
202,44.4,0.56,0.7888,0.0503,0.0356,0.245,2.202,1.629,7000
203,46.5,0.59,0.7980,0.0444,0.0326,0.224,2.013,1.438,7000
204,48.7,0.61,0.8034,0.0384,0.0292,0.201,1.807,1.242,7000
205,50.8,0.64,0.8002,0.0322,0.0257,0.177,1.589,1.043,7000
206,52.9,0.66,0.7852,0.0260,0.0220,0.151,1.359,0.840,7000
207,55.0,0.69,0.7522,0.0196,0.0180,0.124,1.113,0.634,7000
208,57.1,0.72,0.6858,0.0131,0.0138,0.095,0.851,0.426,7000
209,59.2,0.74,0.5269,0.0066,0.0093,0.064,0.577,0.214,7000
210,61.4,0.77,-0.0036,0.0000,0.0051,0.035,0.317,-0.001,7000
211,0.0,0.00,0.0000,0.1363,0.0783,0.803,6.324,5.762,8000
212,2.4,0.03,0.0474,0.1344,0.0753,0.772,6.078,5.683,8000
213,4.8,0.05,0.0968,0.1323,0.0726,0.744,5.862,5.595,8000
214,7.2,0.08,0.1474,0.1300,0.0702,0.720,5.671,5.497,8000
215,9.7,0.11,0.1988,0.1275,0.0681,0.698,5.497,5.389,8000
216,12.1,0.13,0.2503,0.1247,0.0661,0.677,5.337,5.272,8000
217,14.5,0.16,0.3016,0.1217,0.0643,0.659,5.188,5.145,8000
218,16.9,0.19,0.3522,0.1185,0.0625,0.640,5.045,5.008,8000
219,19.3,0.21,0.4015,0.1150,0.0608,0.623,4.908,4.860,8000
220,21.7,0.24,0.4490,0.1112,0.0592,0.606,4.777,4.702,8000
221,24.1,0.27,0.4943,0.1072,0.0576,0.590,4.649,4.533,8000
222,26.5,0.29,0.5368,0.1030,0.0560,0.574,4.523,4.355,8000
223,29.0,0.32,0.5764,0.0985,0.0544,0.558,4.396,4.166,8000
224,31.4,0.35,0.6127,0.0938,0.0528,0.542,4.267,3.967,8000
225,33.8,0.37,0.6455,0.0889,0.0512,0.525,4.133,3.759,8000
226,36.2,0.40,0.6749,0.0838,0.0494,0.507,3.992,3.543,8000
227,38.6,0.42,0.7014,0.0786,0.0476,0.488,3.844,3.324,8000
228,41.0,0.45,0.7257,0.0733,0.0456,0.467,3.681,3.101,8000
229,43.4,0.48,0.7479,0.0679,0.0434,0.445,3.502,2.871,8000
230,45.8,0.50,0.7676,0.0624,0.0410,0.420,3.307,2.636,8000
231,48.3,0.53,0.7841,0.0567,0.0384,0.393,3.098,2.396,8000
232,50.7,0.56,0.7978,0.0509,0.0355,0.364,2.870,2.151,8000
233,53.1,0.58,0.8085,0.0450,0.0325,0.333,2.622,1.901,8000
234,55.5,0.61,0.8154,0.0389,0.0291,0.298,2.351,1.645,8000
235,57.9,0.64,0.8141,0.0327,0.0256,0.262,2.067,1.383,8000
236,60.3,0.66,0.8010,0.0264,0.0219,0.224,1.766,1.116,8000
237,62.7,0.69,0.7702,0.0200,0.0179,0.183,1.444,0.844,8000
238,65.1,0.72,0.7071,0.0134,0.0136,0.139,1.096,0.566,8000
239,67.6,0.74,0.5518,0.0067,0.0091,0.093,0.733,0.285,8000
240,70.0,0.77,-0.0032,0.0000,0.0048,0.049,0.389,-0.001,8000
241,0.0,0.00,0.0000,0.1384,0.0863,1.259,8.818,7.404,9000
242,2.7,0.03,0.0442,0.1365,0.0819,1.196,8.374,7.302,9000
243,5.4,0.05,0.0912,0.1343,0.0781,1.140,7.984,7.187,9000
244,8.1,0.08,0.1403,0.1319,0.0749,1.092,7.649,7.059,9000
245,10.9,0.11,0.1908,0.1293,0.0719,1.049,7.348,6.918,9000
246,13.6,0.13,0.2421,0.1264,0.0693,1.011,7.079,6.765,9000
247,16.3,0.16,0.2937,0.1233,0.0669,0.976,6.831,6.598,9000
248,19.0,0.19,0.3450,0.1200,0.0646,0.942,6.600,6.419,9000
249,21.7,0.21,0.3955,0.1164,0.0625,0.911,6.382,6.225,9000
250,24.4,0.24,0.4444,0.1125,0.0605,0.882,6.178,6.019,9000
251,27.1,0.27,0.4912,0.1084,0.0586,0.854,5.983,5.800,9000
252,29.9,0.29,0.5353,0.1040,0.0567,0.828,5.797,5.567,9000
253,32.6,0.32,0.5764,0.0995,0.0550,0.802,5.615,5.322,9000
254,35.3,0.34,0.6139,0.0947,0.0532,0.776,5.435,5.065,9000
255,38.0,0.37,0.6478,0.0897,0.0514,0.750,5.254,4.797,9000
256,40.7,0.40,0.6779,0.0845,0.0496,0.724,5.068,4.520,9000
257,43.4,0.42,0.7051,0.0793,0.0477,0.696,4.877,4.241,9000
258,46.1,0.45,0.7302,0.0739,0.0457,0.666,4.666,3.954,9000
259,48.8,0.48,0.7531,0.0685,0.0434,0.634,4.436,3.662,9000
260,51.6,0.50,0.7737,0.0628,0.0410,0.598,4.185,3.362,9000
261,54.3,0.53,0.7913,0.0571,0.0383,0.559,3.914,3.056,9000
262,57.0,0.56,0.8062,0.0513,0.0354,0.517,3.621,2.743,9000
263,59.7,0.58,0.8181,0.0453,0.0323,0.472,3.302,2.423,9000
264,62.4,0.61,0.8263,0.0392,0.0289,0.422,2.958,2.097,9000
265,65.1,0.64,0.8265,0.0330,0.0254,0.371,2.596,1.764,9000
266,67.8,0.66,0.8146,0.0266,0.0217,0.316,2.214,1.423,9000
267,70.6,0.69,0.7853,0.0201,0.0177,0.258,1.806,1.077,9000
268,73.3,0.72,0.7251,0.0135,0.0133,0.195,1.364,0.723,9000
269,76.0,0.74,0.5721,0.0068,0.0088,0.129,0.901,0.363,9000
270,78.7,0.77,-0.0039,0.0000,0.0046,0.067,0.467,-0.001,9000
271,0.0,0.00,0.0000,0.1403,0.0927,1.857,11.701,9.266,10000
272,3.0,0.03,0.0420,0.1384,0.0874,1.749,11.022,9.139,10000
273,6.0,0.05,0.0876,0.1362,0.0825,1.651,10.403,8.994,10000
274,9.0,0.08,0.1358,0.1337,0.0783,1.568,9.883,8.831,10000
275,12.1,0.11,0.1859,0.1310,0.0748,1.497,9.433,8.652,10000
276,15.1,0.13,0.2372,0.1280,0.0716,1.433,9.034,8.458,10000
277,18.1,0.16,0.2890,0.1248,0.0688,1.377,8.676,8.247,10000
278,21.1,0.19,0.3408,0.1214,0.0662,1.324,8.345,8.019,10000
279,24.1,0.21,0.3920,0.1177,0.0637,1.276,8.040,7.775,10000
280,27.1,0.24,0.4418,0.1137,0.0615,1.231,7.756,7.514,10000
281,30.1,0.27,0.4895,0.1096,0.0594,1.189,7.491,7.237,10000
282,33.2,0.29,0.5345,0.1051,0.0574,1.149,7.240,6.943,10000
283,36.2,0.32,0.5763,0.1004,0.0555,1.111,7.000,6.635,10000
284,39.2,0.34,0.6145,0.0956,0.0536,1.074,6.767,6.313,10000
285,42.2,0.37,0.6489,0.0905,0.0518,1.037,6.534,5.977,10000
286,45.2,0.40,0.6795,0.0853,0.0499,0.999,6.299,5.632,10000
287,48.2,0.42,0.7071,0.0800,0.0480,0.961,6.058,5.284,10000
288,51.3,0.45,0.7327,0.0746,0.0459,0.919,5.795,4.929,10000
289,54.3,0.48,0.7560,0.0691,0.0436,0.874,5.506,4.564,10000
290,57.3,0.50,0.7772,0.0634,0.0411,0.824,5.191,4.190,10000
291,60.3,0.53,0.7955,0.0577,0.0385,0.770,4.852,3.809,10000
292,63.3,0.56,0.8111,0.0518,0.0355,0.712,4.484,3.418,10000
293,66.3,0.58,0.8237,0.0457,0.0324,0.648,4.086,3.019,10000
294,69.3,0.61,0.8324,0.0395,0.0290,0.580,3.657,2.612,10000
295,72.4,0.64,0.8333,0.0333,0.0254,0.509,3.206,2.197,10000
