,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1076,0.0507,0.001,0.064,0.071,1000
2,0.4,0.03,0.0665,0.1075,0.0517,0.001,0.065,0.071,1000
3,0.7,0.06,0.1303,0.1074,0.0527,0.001,0.067,0.071,1000
4,1.1,0.10,0.1912,0.1072,0.0538,0.001,0.068,0.071,1000
5,1.5,0.13,0.2493,0.1070,0.0549,0.001,0.069,0.071,1000
6,1.8,0.16,0.3046,0.1067,0.0560,0.001,0.071,0.070,1000
7,2.2,0.19,0.3571,0.1061,0.0570,0.001,0.072,0.070,1000
8,2.5,0.22,0.4068,0.1051,0.0578,0.001,0.073,0.069,1000
9,2.9,0.26,0.4538,0.1035,0.0584,0.001,0.074,0.068,1000
10,3.3,0.29,0.4978,0.1015,0.0587,0.001,0.074,0.067,1000
11,3.6,0.32,0.5387,0.0990,0.0588,0.001,0.074,0.065,1000
12,4.0,0.35,0.5765,0.0961,0.0586,0.001,0.074,0.063,1000
13,4.4,0.38,0.6112,0.0928,0.0582,0.001,0.073,0.061,1000
14,4.7,0.42,0.6426,0.0890,0.0576,0.001,0.073,0.059,1000
15,5.1,0.45,0.6705,0.0849,0.0567,0.001,0.072,0.056,1000
16,5.5,0.48,0.6950,0.0803,0.0554,0.001,0.070,0.053,1000
17,5.8,0.51,0.7160,0.0752,0.0538,0.001,0.068,0.050,1000
18,6.2,0.54,0.7335,0.0701,0.0520,0.001,0.066,0.046,1000
19,6.5,0.58,0.7477,0.0649,0.0500,0.001,0.063,0.043,1000
20,6.9,0.61,0.7589,0.0596,0.0477,0.001,0.060,0.039,1000
21,7.3,0.64,0.7675,0.0541,0.0451,0.001,0.057,0.036,1000
22,7.6,0.67,0.7740,0.0486,0.0422,0.001,0.053,0.032,1000
23,8.0,0.70,0.7787,0.0429,0.0388,0.001,0.049,0.028,1000
24,8.4,0.74,0.7802,0.0371,0.0349,0.001,0.044,0.024,1000
25,8.7,0.77,0.7785,0.0311,0.0307,0.001,0.039,0.021,1000
26,9.1,0.80,0.7701,0.0251,0.0260,0.001,0.033,0.017,1000
27,9.4,0.83,0.7469,0.0189,0.0211,0.000,0.027,0.012,1000
28,9.8,0.86,0.6945,0.0127,0.0158,0.000,0.020,0.008,1000
29,10.2,0.90,0.5620,0.0064,0.0102,0.000,0.013,0.004,1000
30,10.5,0.93,-0.0001,0.0000,0.0048,0.000,0.006,0.000,1000
31,0.0,0.00,0.0000,0.1077,0.0508,0.008,0.256,0.284,2000
32,0.7,0.03,0.0664,0.1076,0.0518,0.008,0.261,0.284,2000
33,1.5,0.06,0.1301,0.1075,0.0528,0.008,0.266,0.284,2000
34,2.2,0.10,0.1910,0.1073,0.0539,0.009,0.272,0.283,2000
35,2.9,0.13,0.2491,0.1071,0.0550,0.009,0.277,0.283,2000
36,3.6,0.16,0.3043,0.1067,0.0561,0.009,0.283,0.282,2000
37,4.4,0.19,0.3568,0.1061,0.0571,0.009,0.288,0.280,2000
38,5.1,0.22,0.4065,0.1052,0.0579,0.009,0.292,0.278,2000
39,5.8,0.26,0.4535,0.1036,0.0585,0.009,0.295,0.274,2000
40,6.5,0.29,0.4975,0.1016,0.0588,0.009,0.297,0.269,2000
41,7.3,0.32,0.5384,0.0991,0.0589,0.009,0.297,0.262,2000
42,8.0,0.35,0.5762,0.0962,0.0587,0.009,0.296,0.254,2000
43,8.7,0.38,0.6109,0.0929,0.0583,0.009,0.294,0.245,2000
44,9.4,0.42,0.6424,0.0892,0.0577,0.009,0.291,0.236,2000
45,10.2,0.45,0.6704,0.0850,0.0568,0.009,0.287,0.225,2000
46,10.9,0.48,0.6949,0.0804,0.0555,0.009,0.280,0.212,2000
47,11.6,0.51,0.7159,0.0754,0.0539,0.009,0.272,0.199,2000
48,12.4,0.54,0.7334,0.0703,0.0521,0.008,0.263,0.186,2000
49,13.1,0.58,0.7477,0.0650,0.0501,0.008,0.253,0.172,2000
50,13.8,0.61,0.7590,0.0597,0.0478,0.008,0.241,0.158,2000
51,14.5,0.64,0.7675,0.0542,0.0452,0.007,0.228,0.143,2000
52,15.3,0.67,0.7741,0.0487,0.0422,0.007,0.213,0.129,2000
53,16.0,0.70,0.7787,0.0430,0.0388,0.006,0.196,0.114,2000
54,16.7,0.74,0.7803,0.0372,0.0350,0.006,0.177,0.098,2000
55,17.4,0.77,0.7786,0.0312,0.0307,0.005,0.155,0.082,2000
56,18.2,0.80,0.7703,0.0251,0.0261,0.004,0.131,0.066,2000
57,18.9,0.83,0.7471,0.0190,0.0211,0.003,0.106,0.050,2000
58,19.6,0.86,0.6948,0.0127,0.0158,0.003,0.080,0.034,2000
59,20.3,0.90,0.5625,0.0064,0.0102,0.002,0.051,0.017,2000
60,21.1,0.93,0.0011,0.0000,0.0048,0.001,0.024,0.000,2000
61,0.0,0.00,0.0000,0.1077,0.0507,0.027,0.576,0.640,3000
62,1.1,0.03,0.0665,0.1076,0.0517,0.028,0.588,0.640,3000
63,2.2,0.06,0.1303,0.1075,0.0528,0.029,0.599,0.639,3000
64,3.3,0.10,0.1912,0.1073,0.0539,0.029,0.612,0.638,3000
65,4.4,0.13,0.2493,0.1071,0.0550,0.030,0.624,0.637,3000
66,5.5,0.16,0.3045,0.1067,0.0561,0.030,0.636,0.634,3000
67,6.5,0.19,0.3570,0.1061,0.0571,0.031,0.648,0.631,3000
68,7.6,0.22,0.4068,0.1052,0.0579,0.031,0.657,0.625,3000
69,8.7,0.26,0.4537,0.1037,0.0585,0.032,0.664,0.616,3000
70,9.8,0.29,0.4978,0.1016,0.0588,0.032,0.667,0.604,3000
71,10.9,0.32,0.5387,0.0991,0.0589,0.032,0.668,0.589,3000
72,12.0,0.35,0.5765,0.0962,0.0587,0.032,0.667,0.572,3000
73,13.1,0.38,0.6112,0.0929,0.0583,0.032,0.662,0.552,3000
74,14.2,0.42,0.6426,0.0892,0.0577,0.031,0.655,0.530,3000
75,15.3,0.45,0.6706,0.0850,0.0568,0.031,0.645,0.506,3000
76,16.4,0.48,0.6951,0.0804,0.0555,0.030,0.630,0.478,3000
77,17.5,0.51,0.7161,0.0754,0.0539,0.029,0.612,0.448,3000
78,18.5,0.54,0.7336,0.0703,0.0521,0.028,0.592,0.418,3000
79,19.6,0.58,0.7479,0.0651,0.0501,0.027,0.569,0.387,3000
80,20.7,0.61,0.7591,0.0598,0.0479,0.026,0.543,0.355,3000
81,21.8,0.64,0.7677,0.0544,0.0453,0.024,0.514,0.323,3000
82,22.9,0.67,0.7744,0.0488,0.0424,0.023,0.481,0.290,3000
83,24.0,0.70,0.7791,0.0431,0.0390,0.021,0.443,0.256,3000
84,25.1,0.74,0.7807,0.0373,0.0351,0.019,0.399,0.222,3000
85,26.2,0.77,0.7789,0.0313,0.0308,0.017,0.350,0.186,3000
86,27.3,0.80,0.7706,0.0252,0.0261,0.014,0.297,0.150,3000
87,28.4,0.83,0.7472,0.0190,0.0211,0.011,0.240,0.113,3000
88,29.4,0.86,0.6945,0.0127,0.0158,0.009,0.179,0.075,3000
89,30.5,0.90,0.5612,0.0064,0.0102,0.005,0.115,0.038,3000
90,31.6,0.93,0.0033,0.0000,0.0048,0.003,0.054,0.000,3000
91,0.0,0.00,0.0000,0.1077,0.0508,0.065,1.024,1.138,4000
92,1.5,0.03,0.0665,0.1076,0.0518,0.066,1.045,1.137,4000
93,2.9,0.06,0.1302,0.1075,0.0528,0.068,1.066,1.136,4000
94,4.4,0.10,0.1911,0.1074,0.0539,0.069,1.088,1.135,4000
