,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.0903,0.0524,0.003,0.170,0.127,1000
2,0.6,0.04,0.0744,0.0905,0.0536,0.003,0.174,0.127,1000
3,1.2,0.09,0.1455,0.0907,0.0550,0.003,0.179,0.128,1000
4,1.8,0.13,0.2132,0.0909,0.0564,0.003,0.183,0.128,1000
5,2.4,0.18,0.2774,0.0912,0.0580,0.003,0.188,0.128,1000
6,3.0,0.22,0.3381,0.0914,0.0596,0.003,0.194,0.129,1000
7,3.6,0.26,0.3952,0.0916,0.0613,0.003,0.199,0.129,1000
8,4.2,0.31,0.4489,0.0918,0.0631,0.003,0.205,0.129,1000
9,4.8,0.35,0.4991,0.0920,0.0650,0.003,0.211,0.130,1000
10,5.4,0.40,0.5460,0.0922,0.0670,0.003,0.218,0.130,1000
11,6.1,0.44,0.5895,0.0923,0.0690,0.004,0.224,0.130,1000
12,6.7,0.49,0.6299,0.0922,0.0710,0.004,0.231,0.130,1000
13,7.3,0.53,0.6672,0.0920,0.0730,0.004,0.237,0.130,1000
14,7.9,0.57,0.7014,0.0915,0.0748,0.004,0.243,0.129,1000
15,8.5,0.62,0.7328,0.0903,0.0761,0.004,0.247,0.127,1000
16,9.1,0.66,0.7611,0.0883,0.0768,0.004,0.249,0.124,1000
17,9.7,0.71,0.7862,0.0854,0.0767,0.004,0.249,0.120,1000
18,10.3,0.75,0.8080,0.0815,0.0756,0.004,0.246,0.115,1000
19,10.9,0.79,0.8263,0.0766,0.0736,0.004,0.239,0.108,1000
20,11.5,0.84,0.8410,0.0706,0.0704,0.004,0.229,0.099,1000
21,12.1,0.88,0.8521,0.0640,0.0663,0.003,0.215,0.090,1000
22,12.7,0.93,0.8599,0.0574,0.0618,0.003,0.201,0.081,1000
23,13.3,0.97,0.8647,0.0506,0.0568,0.003,0.185,0.071,1000
24,13.9,1.01,0.8668,0.0438,0.0512,0.003,0.166,0.062,1000
25,14.5,1.06,0.8661,0.0368,0.0449,0.002,0.146,0.052,1000
26,15.1,1.10,0.8606,0.0296,0.0380,0.002,0.123,0.042,1000
27,15.7,1.15,0.8456,0.0223,0.0303,0.002,0.098,0.031,1000
28,16.3,1.19,0.8032,0.0149,0.0222,0.001,0.072,0.021,1000
29,17.0,1.23,0.6735,0.0075,0.0138,0.001,0.045,0.011,1000
30,17.6,1.28,0.0010,0.0000,0.0053,0.000,0.017,0.000,1000
31,0.0,0.00,0.0000,0.0903,0.0525,0.022,0.682,0.509,2000
32,1.2,0.04,0.0743,0.0905,0.0537,0.022,0.698,0.510,2000
33,2.4,0.09,0.1453,0.0907,0.0551,0.023,0.716,0.511,2000
34,3.6,0.13,0.2130,0.0909,0.0565,0.023,0.734,0.512,2000
35,4.8,0.18,0.2771,0.0912,0.0580,0.024,0.754,0.513,2000
36,6.1,0.22,0.3378,0.0914,0.0597,0.025,0.776,0.515,2000
37,7.3,0.26,0.3949,0.0916,0.0614,0.025,0.798,0.516,2000
38,8.5,0.31,0.4486,0.0919,0.0632,0.026,0.822,0.517,2000
39,9.7,0.35,0.4988,0.0921,0.0651,0.027,0.847,0.519,2000
40,10.9,0.40,0.5456,0.0922,0.0671,0.028,0.872,0.519,2000
41,12.1,0.44,0.5892,0.0923,0.0691,0.028,0.898,0.520,2000
42,13.3,0.49,0.6296,0.0923,0.0711,0.029,0.924,0.520,2000
43,14.5,0.53,0.6669,0.0921,0.0731,0.030,0.950,0.519,2000
44,15.7,0.57,0.7012,0.0916,0.0749,0.031,0.973,0.516,2000
45,17.0,0.62,0.7326,0.0904,0.0762,0.031,0.991,0.509,2000
46,18.2,0.66,0.7610,0.0885,0.0769,0.032,1.000,0.498,2000
47,19.4,0.71,0.7861,0.0856,0.0768,0.032,0.999,0.482,2000
48,20.6,0.75,0.8080,0.0817,0.0758,0.031,0.986,0.460,2000
49,21.8,0.79,0.8264,0.0768,0.0738,0.030,0.959,0.433,2000
50,23.0,0.84,0.8412,0.0708,0.0705,0.029,0.917,0.399,2000
51,24.2,0.88,0.8523,0.0642,0.0664,0.027,0.863,0.361,2000
52,25.4,0.93,0.8600,0.0575,0.0619,0.026,0.805,0.324,2000
53,26.6,0.97,0.8649,0.0507,0.0569,0.023,0.740,0.286,2000
54,27.9,1.01,0.8670,0.0438,0.0513,0.021,0.667,0.247,2000
55,29.1,1.06,0.8662,0.0368,0.0450,0.019,0.585,0.207,2000
56,30.3,1.10,0.8606,0.0296,0.0380,0.016,0.494,0.167,2000
57,31.5,1.15,0.8454,0.0223,0.0303,0.012,0.393,0.126,2000
58,32.7,1.19,0.8027,0.0149,0.0221,0.009,0.288,0.084,2000
59,33.9,1.23,0.6723,0.0075,0.0138,0.006,0.179,0.042,2000
