,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1749,0.0952,0.007,0.432,0.322,1000
2,0.5,0.03,0.0619,0.1750,0.0970,0.007,0.440,0.322,1000
3,1.0,0.07,0.1214,0.1750,0.0989,0.007,0.449,0.322,1000
4,1.5,0.10,0.1785,0.1750,0.1009,0.007,0.458,0.322,1000
5,2.0,0.14,0.2333,0.1748,0.1028,0.007,0.466,0.321,1000
6,2.5,0.17,0.2857,0.1743,0.1047,0.008,0.475,0.320,1000
7,3.0,0.21,0.3357,0.1733,0.1063,0.008,0.482,0.319,1000
8,3.5,0.24,0.3834,0.1717,0.1076,0.008,0.488,0.316,1000
9,4.0,0.27,0.4288,0.1695,0.1085,0.008,0.492,0.312,1000
10,4.5,0.31,0.4717,0.1666,0.1091,0.008,0.495,0.306,1000
11,5.0,0.34,0.5122,0.1631,0.1093,0.008,0.496,0.300,1000
12,5.5,0.38,0.5502,0.1588,0.1089,0.008,0.494,0.292,1000
13,6.0,0.41,0.5858,0.1522,0.1070,0.008,0.485,0.280,1000
14,6.5,0.45,0.6183,0.1448,0.1044,0.008,0.474,0.266,1000
15,7.1,0.48,0.6474,0.1371,0.1017,0.007,0.461,0.252,1000
16,7.6,0.51,0.6732,0.1293,0.0989,0.007,0.448,0.238,1000
17,8.1,0.55,0.6956,0.1213,0.0958,0.007,0.434,0.223,1000
18,8.6,0.58,0.7148,0.1132,0.0923,0.007,0.419,0.208,1000
19,9.1,0.62,0.7309,0.1048,0.0886,0.006,0.402,0.193,1000
20,9.6,0.65,0.7442,0.0963,0.0844,0.006,0.383,0.177,1000
21,10.1,0.69,0.7547,0.0875,0.0796,0.006,0.361,0.161,1000
22,10.6,0.72,0.7626,0.0786,0.0742,0.005,0.337,0.144,1000
23,11.1,0.75,0.7676,0.0694,0.0682,0.005,0.309,0.128,1000
24,11.6,0.79,0.7681,0.0600,0.0616,0.004,0.280,0.110,1000
25,12.1,0.82,0.7614,0.0504,0.0545,0.004,0.247,0.093,1000
26,12.6,0.86,0.7427,0.0407,0.0470,0.003,0.213,0.075,1000
27,13.1,0.89,0.6981,0.0308,0.0393,0.003,0.178,0.057,1000
28,13.6,0.93,0.6046,0.0206,0.0316,0.002,0.143,0.038,1000
29,14.1,0.96,0.4161,0.0104,0.0239,0.002,0.109,0.019,1000
30,14.6,1.00,-0.0034,-0.0001,0.0162,0.001,0.073,0.000,1000
31,0.0,0.00,0.0000,0.1750,0.0954,0.055,1.730,1.287,2000
32,1.0,0.03,0.0618,0.1750,0.0972,0.056,1.764,1.287,2000
33,2.0,0.07,0.1213,0.1751,0.0991,0.057,1.798,1.288,2000
34,3.0,0.10,0.1784,0.1750,0.1011,0.058,1.834,1.287,2000
35,4.0,0.14,0.2331,0.1749,0.1030,0.059,1.869,1.286,2000
36,5.0,0.17,0.2855,0.1744,0.1049,0.060,1.903,1.283,2000
37,6.0,0.21,0.3355,0.1735,0.1065,0.061,1.933,1.276,2000
38,7.1,0.24,0.3833,0.1719,0.1078,0.062,1.956,1.264,2000
39,8.1,0.27,0.4287,0.1697,0.1088,0.063,1.973,1.248,2000
40,9.1,0.31,0.4716,0.1669,0.1094,0.063,1.984,1.227,2000
41,10.1,0.34,0.5121,0.1634,0.1096,0.063,1.988,1.202,2000
42,11.1,0.38,0.5501,0.1591,0.1092,0.063,1.982,1.170,2000
43,12.1,0.41,0.5858,0.1525,0.1073,0.062,1.946,1.122,2000
44,13.1,0.45,0.6184,0.1450,0.1047,0.060,1.899,1.066,2000
45,14.1,0.48,0.6475,0.1373,0.1020,0.059,1.850,1.010,2000
46,15.1,0.52,0.6733,0.1295,0.0991,0.057,1.798,0.953,2000
47,16.1,0.55,0.6958,0.1215,0.0959,0.055,1.741,0.894,2000
48,17.1,0.58,0.7150,0.1133,0.0925,0.053,1.679,0.833,2000
49,18.1,0.62,0.7311,0.1050,0.0887,0.051,1.610,0.772,2000
50,19.2,0.65,0.7444,0.0964,0.0845,0.049,1.533,0.709,2000
51,20.2,0.69,0.7549,0.0876,0.0797,0.046,1.446,0.644,2000
52,21.2,0.72,0.7628,0.0786,0.0743,0.043,1.348,0.578,2000
53,22.2,0.76,0.7677,0.0694,0.0683,0.039,1.239,0.510,2000
54,23.2,0.79,0.7682,0.0600,0.0617,0.035,1.119,0.441,2000
55,24.2,0.82,0.7614,0.0504,0.0545,0.031,0.989,0.371,2000
56,25.2,0.86,0.7423,0.0406,0.0470,0.027,0.852,0.299,2000
57,26.2,0.89,0.6972,0.0307,0.0393,0.023,0.713,0.226,2000
58,27.2,0.93,0.6033,0.0206,0.0316,0.018,0.574,0.151,2000
59,28.2,0.96,0.4155,0.0104,0.0240,0.014,0.436,0.076,2000
60,29.2,1.00,-0.0002,0.0000,0.0163,0.009,0.295,0.000,2000
61,0.0,0.00,0.0000,0.1747,0.0928,0.180,3.787,2.891,3000
62,1.5,0.03,0.0632,0.1748,0.0948,0.184,3.869,2.892,3000
63,3.0,0.07,0.1238,0.1748,0.0969,0.188,3.954,2.893,3000
64,4.5,0.10,0.1817,0.1748,0.0990,0.192,4.041,2.892,3000
65,6.0,0.14,0.2369,0.1747,0.1012,0.197,4.130,2.890,3000
66,7.6,0.17,0.2895,0.1743,0.1032,0.201,4.215,2.884,3000
67,9.1,0.21,0.3395,0.1734,0.1051,0.204,4.290,2.869,3000
68,10.6,0.24,0.3872,0.1719,0.1066,0.207,4.352,2.845,3000
69,12.1,0.27,0.4323,0.1698,0.1078,0.209,4.400,2.810,3000
70,13.6,0.31,0.4751,0.1670,0.1085,0.211,4.431,2.764,3000
71,15.1,0.34,0.5153,0.1636,0.1089,0.212,4.445,2.707,3000
72,16.6,0.38,0.5530,0.1593,0.1087,0.211,4.437,2.637,3000
73,18.1,0.41,0.5887,0.1528,0.1068,0.208,4.362,2.529,3000
74,19.6,0.45,0.6214,0.1454,0.1043,0.203,4.257,2.405,3000
75,21.1,0.48,0.6510,0.1377,0.1016,0.197,4.147,2.279,3000
76,22.7,0.51,0.6776,0.1299,0.0986,0.192,4.026,2.150,3000
77,24.2,0.55,0.7012,0.1219,0.0954,0.185,3.894,2.017,3000
78,25.7,0.58,0.7218,0.1137,0.0919,0.179,3.750,1.882,3000
79,27.2,0.62,0.7395,0.1054,0.0880,0.171,3.591,1.744,3000
80,28.7,0.65,0.7545,0.0968,0.0836,0.162,3.413,1.602,3000
81,30.2,0.69,0.7668,0.0880,0.0788,0.153,3.215,1.457,3000
82,31.7,0.72,0.7765,0.0791,0.0733,0.142,2.993,1.308,3000
83,33.2,0.75,0.7829,0.0698,0.0673,0.131,2.746,1.155,3000
84,34.7,0.79,0.7841,0.0603,0.0607,0.118,2.478,0.998,3000
85,36.2,0.82,0.7781,0.0506,0.0536,0.104,2.186,0.838,3000
86,37.8,0.86,0.7589,0.0408,0.0461,0.089,1.880,0.675,3000
87,39.3,0.89,0.7119,0.0307,0.0385,0.075,1.570,0.508,3000
88,40.8,0.93,0.6151,0.0206,0.0310,0.060,1.264,0.340,3000
89,42.3,0.96,0.4232,0.0103,0.0235,0.046,0.958,0.171,3000
90,43.8,0.99,-0.0033,-0.0001,0.0159,0.031,0.648,-0.001,3000
91,0.0,0.00,0.0000,0.1741,0.0870,0.401,6.310,5.121,4000
92,2.0,0.03,0.0668,0.1742,0.0893,0.412,6.484,5.124,4000
93,4.0,0.07,0.1300,0.1742,0.0918,0.423,6.664,5.126,4000
94,6.0,0.10,0.1898,0.1743,0.0944,0.435,6.850,5.127,4000
95,8.0,0.14,0.2462,0.1742,0.0970,0.447,7.039,5.125,4000
96,10.1,0.17,0.2993,0.1739,0.0996,0.459,7.226,5.116,4000
97,12.1,0.21,0.3493,0.1732,0.1019,0.470,7.398,5.096,4000
98,14.1,0.24,0.3966,0.1719,0.1040,0.479,7.545,5.057,4000
99,16.1,0.27,0.4412,0.1699,0.1056,0.486,7.663,4.999,4000
100,18.1,0.31,0.4832,0.1673,0.1068,0.492,7.749,4.922,4000
101,20.1,0.34,0.5227,0.1640,0.1075,0.495,7.801,4.823,4000
102,22.1,0.38,0.5597,0.1598,0.1076,0.496,7.811,4.702,4000
