,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1089,0.0561,0.003,0.216,0.176,1000
2,0.5,0.04,0.0677,0.1090,0.0573,0.004,0.221,0.176,1000
3,1.0,0.07,0.1325,0.1090,0.0586,0.004,0.225,0.176,1000
4,1.5,0.11,0.1945,0.1091,0.0599,0.004,0.230,0.176,1000
5,2.0,0.14,0.2536,0.1091,0.0612,0.004,0.236,0.176,1000
6,2.5,0.18,0.3099,0.1090,0.0626,0.004,0.241,0.176,1000
7,3.0,0.21,0.3632,0.1089,0.0640,0.004,0.247,0.176,1000
8,3.5,0.25,0.4136,0.1087,0.0655,0.004,0.252,0.175,1000
9,4.0,0.28,0.4613,0.1083,0.0668,0.004,0.257,0.175,1000
10,4.5,0.32,0.5062,0.1075,0.0680,0.004,0.262,0.173,1000
11,5.1,0.36,0.5485,0.1062,0.0689,0.004,0.265,0.171,1000
12,5.6,0.39,0.5880,0.1043,0.0694,0.004,0.267,0.168,1000
13,6.1,0.43,0.6245,0.1017,0.0696,0.004,0.268,0.164,1000
14,6.6,0.46,0.6580,0.0986,0.0693,0.004,0.267,0.159,1000
15,7.1,0.50,0.6883,0.0948,0.0686,0.004,0.264,0.153,1000
16,7.6,0.53,0.7151,0.0903,0.0674,0.004,0.260,0.146,1000
17,8.1,0.57,0.7383,0.0851,0.0657,0.004,0.253,0.137,1000
18,8.6,0.60,0.7577,0.0793,0.0633,0.004,0.244,0.128,1000
19,9.1,0.64,0.7734,0.0734,0.0608,0.004,0.234,0.118,1000
20,9.6,0.68,0.7857,0.0673,0.0579,0.004,0.223,0.109,1000
21,10.1,0.71,0.7949,0.0612,0.0548,0.003,0.211,0.099,1000
22,10.6,0.75,0.8013,0.0549,0.0512,0.003,0.197,0.088,1000
23,11.1,0.78,0.8057,0.0484,0.0471,0.003,0.181,0.078,1000
24,11.6,0.82,0.8080,0.0418,0.0424,0.003,0.163,0.067,1000
25,12.1,0.85,0.8063,0.0351,0.0372,0.002,0.143,0.057,1000
26,12.6,0.89,0.7988,0.0282,0.0314,0.002,0.121,0.045,1000
27,13.1,0.93,0.7762,0.0212,0.0253,0.002,0.098,0.034,1000
28,13.6,0.96,0.7210,0.0143,0.0190,0.001,0.073,0.023,1000
29,14.2,1.00,0.5753,0.0072,0.0125,0.001,0.048,0.012,1000
30,14.7,1.03,-0.0045,0.0000,0.0064,0.000,0.025,0.000,1000
31,0.0,0.00,0.0000,0.1089,0.0562,0.027,0.866,0.703,2000
32,1.0,0.04,0.0675,0.1090,0.0574,0.028,0.884,0.703,2000
33,2.0,0.07,0.1323,0.1090,0.0587,0.029,0.903,0.703,2000
34,3.0,0.11,0.1942,0.1091,0.0600,0.029,0.923,0.704,2000
35,4.0,0.14,0.2532,0.1091,0.0613,0.030,0.944,0.704,2000
36,5.1,0.18,0.3094,0.1091,0.0627,0.031,0.966,0.704,2000
37,6.1,0.21,0.3627,0.1090,0.0641,0.031,0.988,0.703,2000
38,7.1,0.25,0.4131,0.1088,0.0656,0.032,1.010,0.702,2000
39,8.1,0.28,0.4607,0.1084,0.0670,0.033,1.031,0.699,2000
40,9.1,0.32,0.5056,0.1076,0.0682,0.033,1.050,0.694,2000
41,10.1,0.36,0.5479,0.1064,0.0691,0.034,1.064,0.686,2000
42,11.1,0.39,0.5874,0.1045,0.0696,0.034,1.072,0.674,2000
43,12.1,0.43,0.6240,0.1019,0.0697,0.034,1.074,0.658,2000
44,13.1,0.46,0.6575,0.0988,0.0695,0.034,1.070,0.637,2000
45,14.1,0.50,0.6879,0.0950,0.0688,0.034,1.060,0.613,2000
46,15.2,0.53,0.7148,0.0905,0.0676,0.033,1.041,0.584,2000
47,16.2,0.57,0.7381,0.0854,0.0658,0.032,1.014,0.551,2000
48,17.2,0.60,0.7576,0.0795,0.0635,0.031,0.978,0.513,2000
49,18.2,0.64,0.7733,0.0736,0.0609,0.030,0.938,0.475,2000
50,19.2,0.68,0.7857,0.0675,0.0581,0.028,0.894,0.435,2000
51,20.2,0.71,0.7949,0.0613,0.0549,0.027,0.846,0.396,2000
52,21.2,0.75,0.8013,0.0550,0.0513,0.025,0.790,0.355,2000
53,22.2,0.78,0.8058,0.0486,0.0472,0.023,0.727,0.314,2000
54,23.2,0.82,0.8081,0.0420,0.0425,0.021,0.655,0.271,2000
55,24.3,0.85,0.8065,0.0352,0.0373,0.018,0.574,0.227,2000
56,25.3,0.89,0.7990,0.0283,0.0315,0.015,0.485,0.183,2000
57,26.3,0.92,0.7767,0.0213,0.0254,0.012,0.391,0.138,2000
58,27.3,0.96,0.7220,0.0144,0.0191,0.009,0.294,0.093,2000
59,28.3,1.00,0.5769,0.0072,0.0125,0.006,0.193,0.047,2000
60,29.3,1.03,-0.0064,0.0000,0.0064,0.003,0.098,0.000,2000
61,0.0,0.00,0.0000,0.1085,0.0521,0.086,1.804,1.575,3000
62,1.5,0.04,0.0722,0.1086,0.0535,0.088,1.852,1.576,3000
63,3.0,0.07,0.1406,0.1087,0.0549,0.091,1.903,1.577,3000
64,4.5,0.11,0.2053,0.1087,0.0565,0.093,1.956,1.578,3000
65,6.1,0.14,0.2662,0.1087,0.0580,0.096,2.011,1.578,3000
66,7.6,0.18,0.3235,0.1087,0.0597,0.098,2.069,1.578,3000
67,9.1,0.21,0.3773,0.1086,0.0614,0.101,2.127,1.577,3000
68,10.6,0.25,0.4276,0.1084,0.0631,0.104,2.186,1.574,3000
69,12.1,0.28,0.4746,0.1081,0.0648,0.107,2.244,1.569,3000
70,13.6,0.32,0.5186,0.1074,0.0663,0.109,2.296,1.559,3000
71,15.1,0.36,0.5598,0.1062,0.0674,0.111,2.336,1.541,3000
72,16.7,0.39,0.5982,0.1044,0.0682,0.112,2.363,1.515,3000
73,18.2,0.43,0.6337,0.1019,0.0686,0.113,2.377,1.479,3000
74,19.7,0.46,0.6664,0.0988,0.0685,0.113,2.374,1.434,3000
75,21.2,0.50,0.6963,0.0951,0.0679,0.112,2.354,1.380,3000
76,22.7,0.53,0.7234,0.0907,0.0668,0.110,2.315,1.316,3000
77,24.2,0.57,0.7476,0.0856,0.0651,0.107,2.255,1.242,3000
78,25.7,0.60,0.7688,0.0797,0.0627,0.103,2.171,1.157,3000
79,27.3,0.64,0.7869,0.0738,0.0599,0.099,2.077,1.070,3000
80,28.8,0.68,0.8022,0.0677,0.0570,0.094,1.973,0.982,3000
81,30.3,0.71,0.8144,0.0615,0.0536,0.088,1.859,0.892,3000
82,31.8,0.75,0.8242,0.0552,0.0500,0.082,1.731,0.801,3000
83,33.3,0.78,0.8316,0.0487,0.0458,0.076,1.587,0.707,3000
84,34.8,0.82,0.8351,0.0420,0.0412,0.068,1.426,0.610,3000
85,36.3,0.85,0.8346,0.0353,0.0360,0.059,1.249,0.512,3000
86,37.9,0.89,0.8274,0.0283,0.0304,0.050,1.054,0.411,3000
87,39.4,0.92,0.8041,0.0213,0.0245,0.040,0.849,0.309,3000
88,40.9,0.96,0.7471,0.0143,0.0184,0.030,0.636,0.207,3000
89,42.4,1.00,0.5953,0.0072,0.0120,0.020,0.415,0.104,3000
90,43.9,1.03,-0.0026,0.0000,0.0061,0.010,0.211,0.000,3000
91,0.0,0.00,0.0000,0.1088,0.0544,0.213,3.350,2.807,4000
92,2.0,0.04,0.0695,0.1089,0.0556,0.217,3.424,2.809,4000
93,4.0,0.07,0.1359,0.1089,0.0569,0.222,3.505,2.810,4000
94,6.1,0.11,0.1991,0.1090,0.0583,0.228,3.591,2.812,4000
95,8.1,0.14,0.2591,0.1090,0.0598,0.234,3.681,2.813,4000
96,10.1,0.18,0.3158,0.1090,0.0613,0.240,3.775,2.813,4000
97,12.1,0.21,0.3694,0.1089,0.0628,0.246,3.870,2.811,4000
98,14.1,0.25,0.4200,0.1088,0.0644,0.252,3.965,2.807,4000
99,16.1,0.28,0.4679,0.1085,0.0659,0.257,4.057,2.799,4000
100,18.2,0.32,0.5132,0.1079,0.0672,0.263,4.138,2.783,4000
101,20.2,0.36,0.5561,0.1067,0.0681,0.266,4.197,2.753,4000
102,22.2,0.39,0.5967,0.1049,0.0687,0.268,4.230,2.707,4000
103,24.2,0.43,0.6344,0.1025,0.0688,0.269,4.240,2.644,4000
104,26.2,0.46,0.6691,0.0994,0.0685,0.268,4.222,2.564,4000
105,28.2,0.50,0.7008,0.0956,0.0678,0.265,4.176,2.466,4000
106,30.3,0.53,0.7296,0.0911,0.0665,0.260,4.098,2.351,4000
107,32.3,0.57,0.7555,0.0860,0.0647,0.253,3.982,2.218,4000
108,34.3,0.60,0.7784,0.0801,0.0621,0.243,3.827,2.067,4000
109,36.3,0.64,0.7984,0.0741,0.0593,0.232,3.654,1.912,4000
110,38.3,0.67,0.8160,0.0680,0.0562,0.220,3.461,1.754,4000
111,40.3,0.71,0.8307,0.0617,0.0528,0.206,3.250,1.593,4000
112,42.4,0.75,0.8429,0.0554,0.0490,0.191,3.017,1.429,4000
113,44.4,0.78,0.8530,0.0488,0.0447,0.175,2.756,1.260,4000
114,46.4,0.82,0.8576,0.0422,0.0402,0.157,2.473,1.088,4000
115,48.4,0.85,0.8580,0.0354,0.0351,0.137,2.164,0.913,4000
116,50.4,0.89,0.8517,0.0284,0.0296,0.116,1.825,0.734,4000
117,52.5,0.92,0.8284,0.0214,0.0239,0.093,1.471,0.553,4000
118,54.5,0.96,0.7713,0.0144,0.0179,0.070,1.100,0.371,4000
119,56.5,0.99,0.6178,0.0072,0.0116,0.045,0.716,0.186,4000
120,58.5,1.03,-0.0024,0.0000,0.0058,0.023,0.360,0.000,4000
121,0.0,0.00,0.0000,0.1130,0.0983,0.751,9.461,4.555,5000
122,2.5,0.04,0.0416,0.1131,0.0966,0.738,9.300,4.558,5000
123,5.0,0.07,0.0847,0.1131,0.0949,0.725,9.135,4.561,5000
124,7.6,0.11,0.1294,0.1131,0.0932,0.711,8.966,4.561,5000
125,10.1,0.14,0.1758,0.1131,0.0914,0.698,8.795,4.559,5000
126,12.6,0.18,0.2240,0.1130,0.0895,0.684,8.618,4.554,5000
127,15.1,0.21,0.2742,0.1127,0.0876,0.669,8.434,4.545,5000
128,17.7,0.25,0.3260,0.1124,0.0857,0.654,8.248,4.530,5000
129,20.2,0.28,0.3797,0.1118,0.0837,0.639,8.054,4.508,5000
130,22.7,0.32,0.4351,0.1109,0.0815,0.622,7.846,4.473,5000
131,25.2,0.36,0.4912,0.1095,0.0792,0.604,7.619,4.414,5000
132,27.7,0.39,0.5469,0.1073,0.0767,0.585,7.380,4.327,5000
133,30.3,0.43,0.5998,0.1045,0.0743,0.567,7.147,4.213,5000
