,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.0611,0.0188,0.001,0.072,0.098,1000
2,0.2,0.02,0.0490,0.0597,0.0189,0.001,0.073,0.096,1000
3,0.4,0.03,0.0955,0.0584,0.0189,0.001,0.073,0.094,1000
4,0.7,0.05,0.1396,0.0569,0.0189,0.001,0.073,0.092,1000
5,0.9,0.06,0.1813,0.0555,0.0189,0.001,0.073,0.089,1000
6,1.1,0.08,0.2205,0.0539,0.0189,0.001,0.073,0.087,1000
7,1.3,0.09,0.2573,0.0523,0.0189,0.001,0.073,0.084,1000
8,1.5,0.11,0.2917,0.0506,0.0188,0.001,0.072,0.082,1000
9,1.8,0.12,0.3236,0.0489,0.0187,0.001,0.072,0.079,1000
10,2.0,0.14,0.3534,0.0471,0.0186,0.001,0.071,0.076,1000
11,2.2,0.15,0.3810,0.0452,0.0184,0.001,0.071,0.073,1000
12,2.4,0.17,0.4063,0.0433,0.0181,0.001,0.070,0.070,1000
13,2.6,0.19,0.4294,0.0414,0.0179,0.001,0.069,0.067,1000
14,2.9,0.20,0.4507,0.0394,0.0176,0.001,0.068,0.063,1000
15,3.1,0.22,0.4697,0.0373,0.0172,0.001,0.066,0.060,1000
16,3.3,0.23,0.4865,0.0352,0.0168,0.001,0.065,0.057,1000
17,3.5,0.25,0.5013,0.0330,0.0163,0.001,0.063,0.053,1000
18,3.7,0.26,0.5136,0.0308,0.0157,0.001,0.061,0.050,1000
19,4.0,0.28,0.5238,0.0285,0.0151,0.001,0.058,0.046,1000
20,4.2,0.29,0.5322,0.0261,0.0144,0.001,0.056,0.042,1000
21,4.4,0.31,0.5375,0.0237,0.0136,0.001,0.053,0.038,1000
22,4.6,0.32,0.5385,0.0213,0.0128,0.001,0.049,0.034,1000
23,4.8,0.34,0.5343,0.0188,0.0120,0.001,0.046,0.030,1000
24,5.1,0.36,0.5235,0.0163,0.0110,0.001,0.043,0.026,1000
25,5.3,0.37,0.5039,0.0137,0.0101,0.001,0.039,0.022,1000
26,5.5,0.39,0.4718,0.0110,0.0090,0.001,0.035,0.018,1000
27,5.7,0.40,0.4213,0.0084,0.0080,0.000,0.031,0.013,1000
28,5.9,0.42,0.3414,0.0056,0.0069,0.000,0.026,0.009,1000
29,6.2,0.43,0.2124,0.0028,0.0058,0.000,0.022,0.005,1000
30,6.4,0.45,-0.0011,0.0000,0.0047,0.000,0.018,0.000,1000
31,0.0,0.00,0.0000,0.0612,0.0188,0.009,0.290,0.395,2000
32,0.4,0.02,0.0490,0.0599,0.0189,0.009,0.291,0.386,2000
33,0.9,0.03,0.0955,0.0585,0.0189,0.009,0.292,0.377,2000
34,1.3,0.05,0.1397,0.0570,0.0190,0.009,0.292,0.368,2000
35,1.8,0.06,0.1813,0.0556,0.0190,0.009,0.292,0.358,2000
36,2.2,0.08,0.2206,0.0540,0.0189,0.009,0.292,0.348,2000
37,2.6,0.09,0.2574,0.0524,0.0189,0.009,0.291,0.338,2000
38,3.1,0.11,0.2917,0.0507,0.0188,0.009,0.290,0.327,2000
39,3.5,0.12,0.3237,0.0490,0.0187,0.009,0.288,0.316,2000
40,4.0,0.14,0.3535,0.0472,0.0186,0.009,0.286,0.304,2000
41,4.4,0.15,0.3811,0.0453,0.0184,0.009,0.283,0.292,2000
42,4.8,0.17,0.4064,0.0434,0.0182,0.009,0.280,0.280,2000
43,5.3,0.19,0.4295,0.0415,0.0179,0.009,0.276,0.267,2000
44,5.7,0.20,0.4508,0.0394,0.0176,0.009,0.271,0.254,2000
45,6.2,0.22,0.4698,0.0374,0.0172,0.008,0.265,0.241,2000
46,6.6,0.23,0.4867,0.0352,0.0168,0.008,0.259,0.227,2000
47,7.0,0.25,0.5014,0.0330,0.0163,0.008,0.251,0.213,2000
48,7.5,0.26,0.5138,0.0308,0.0158,0.008,0.243,0.199,2000
49,7.9,0.28,0.5240,0.0285,0.0151,0.007,0.233,0.184,2000
50,8.3,0.29,0.5323,0.0262,0.0144,0.007,0.222,0.169,2000
51,8.8,0.31,0.5377,0.0238,0.0137,0.007,0.211,0.153,2000
52,9.2,0.32,0.5387,0.0213,0.0128,0.006,0.198,0.137,2000
53,9.7,0.34,0.5345,0.0188,0.0120,0.006,0.184,0.121,2000
54,10.1,0.36,0.5237,0.0163,0.0111,0.005,0.170,0.105,2000
55,10.5,0.37,0.5040,0.0137,0.0101,0.005,0.155,0.088,2000
56,11.0,0.39,0.4720,0.0111,0.0091,0.004,0.139,0.071,2000
57,11.4,0.40,0.4216,0.0084,0.0080,0.004,0.123,0.054,2000
58,11.9,0.42,0.3417,0.0056,0.0069,0.003,0.106,0.036,2000
59,12.3,0.43,0.2128,0.0028,0.0058,0.003,0.089,0.018,2000
60,12.7,0.45,-0.0013,0.0000,0.0047,0.002,0.073,0.000,2000
61,0.0,0.00,0.0000,0.0613,0.0188,0.031,0.652,0.889,3000
62,0.7,0.02,0.0491,0.0599,0.0189,0.031,0.654,0.870,3000
63,1.3,0.03,0.0959,0.0586,0.0189,0.031,0.655,0.850,3000
64,2.0,0.05,0.1401,0.0571,0.0189,0.031,0.656,0.829,3000
65,2.6,0.06,0.1819,0.0556,0.0189,0.031,0.656,0.808,3000
66,3.3,0.08,0.2213,0.0541,0.0189,0.031,0.656,0.785,3000
67,4.0,0.09,0.2583,0.0525,0.0189,0.031,0.654,0.762,3000
68,4.6,0.11,0.2929,0.0508,0.0188,0.031,0.652,0.738,3000
69,5.3,0.12,0.3250,0.0491,0.0187,0.031,0.648,0.713,3000
70,5.9,0.14,0.3549,0.0473,0.0186,0.031,0.644,0.687,3000
71,6.6,0.15,0.3827,0.0455,0.0184,0.030,0.637,0.660,3000
72,7.3,0.17,0.4082,0.0436,0.0182,0.030,0.630,0.632,3000
73,7.9,0.19,0.4315,0.0416,0.0179,0.030,0.620,0.603,3000
74,8.6,0.20,0.4530,0.0396,0.0176,0.029,0.609,0.574,3000
75,9.2,0.22,0.4722,0.0375,0.0172,0.028,0.597,0.545,3000
76,9.9,0.23,0.4892,0.0354,0.0168,0.028,0.582,0.513,3000
77,10.6,0.25,0.5042,0.0332,0.0163,0.027,0.565,0.482,3000
78,11.2,0.26,0.5167,0.0309,0.0158,0.026,0.546,0.449,3000
79,11.9,0.28,0.5270,0.0286,0.0151,0.025,0.525,0.416,3000
80,12.5,0.29,0.5355,0.0263,0.0144,0.024,0.500,0.381,3000
81,13.2,0.31,0.5410,0.0239,0.0137,0.023,0.473,0.346,3000
82,13.9,0.33,0.5421,0.0214,0.0128,0.021,0.444,0.310,3000
83,14.5,0.34,0.5379,0.0189,0.0119,0.020,0.414,0.274,3000
84,15.2,0.36,0.5269,0.0163,0.0110,0.018,0.382,0.237,3000
85,15.8,0.37,0.5068,0.0137,0.0100,0.017,0.348,0.199,3000
86,16.5,0.39,0.4743,0.0110,0.0090,0.015,0.312,0.160,3000
87,17.2,0.40,0.4230,0.0083,0.0079,0.013,0.275,0.121,3000
88,17.8,0.42,0.3423,0.0056,0.0068,0.011,0.237,0.081,3000
89,18.5,0.43,0.2127,0.0028,0.0057,0.009,0.199,0.041,3000
90,19.1,0.45,-0.0013,0.0000,0.0047,0.008,0.162,0.000,3000
