,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.0892,0.0464,0.005,0.288,0.211,1000
2,0.6,0.04,0.0704,0.0894,0.0474,0.005,0.294,0.211,1000
3,1.2,0.07,0.1379,0.0895,0.0485,0.005,0.301,0.211,1000
4,1.8,0.11,0.2022,0.0896,0.0497,0.005,0.308,0.212,1000
5,2.3,0.15,0.2634,0.0897,0.0509,0.005,0.316,0.212,1000
6,2.9,0.19,0.3216,0.0899,0.0522,0.005,0.324,0.212,1000
7,3.5,0.22,0.3766,0.0900,0.0536,0.005,0.332,0.212,1000
8,4.1,0.26,0.4284,0.0901,0.0550,0.005,0.341,0.213,1000
9,4.7,0.30,0.4773,0.0902,0.0565,0.006,0.350,0.213,1000
10,5.3,0.34,0.5231,0.0902,0.0580,0.006,0.359,0.213,1000
11,5.8,0.37,0.5661,0.0901,0.0595,0.006,0.369,0.213,1000
12,6.4,0.41,0.6063,0.0897,0.0608,0.006,0.377,0.212,1000
13,7.0,0.45,0.6438,0.0888,0.0618,0.006,0.383,0.210,1000
14,7.6,0.49,0.6783,0.0873,0.0625,0.006,0.388,0.206,1000
15,8.2,0.52,0.7099,0.0852,0.0628,0.006,0.389,0.201,1000
16,8.8,0.56,0.7382,0.0823,0.0625,0.006,0.387,0.194,1000
17,9.3,0.60,0.7631,0.0777,0.0609,0.006,0.378,0.184,1000
18,9.9,0.64,0.7839,0.0723,0.0586,0.006,0.363,0.171,1000
19,10.5,0.67,0.8003,0.0668,0.0561,0.006,0.348,0.158,1000
20,11.1,0.71,0.8125,0.0612,0.0534,0.005,0.331,0.144,1000
21,11.7,0.75,0.8204,0.0555,0.0505,0.005,0.313,0.131,1000
22,12.3,0.78,0.8244,0.0497,0.0473,0.005,0.293,0.117,1000
23,12.8,0.82,0.8245,0.0438,0.0436,0.004,0.271,0.103,1000
24,13.4,0.86,0.8206,0.0378,0.0395,0.004,0.245,0.089,1000
25,14.0,0.90,0.8111,0.0316,0.0350,0.003,0.217,0.075,1000
26,14.6,0.93,0.7912,0.0254,0.0300,0.003,0.186,0.060,1000
27,15.2,0.97,0.7510,0.0191,0.0247,0.002,0.153,0.045,1000
28,15.8,1.01,0.6644,0.0127,0.0193,0.002,0.120,0.030,1000
29,16.3,1.05,0.4761,0.0064,0.0140,0.001,0.087,0.015,1000
30,16.9,1.08,-0.0006,0.0000,0.0087,0.001,0.054,0.000,1000
31,0.0,0.00,0.0000,0.0892,0.0465,0.037,1.153,0.843,2000
32,1.2,0.04,0.0703,0.0894,0.0475,0.037,1.178,0.844,2000
33,2.3,0.07,0.1376,0.0895,0.0486,0.038,1.206,0.845,2000
34,3.5,0.11,0.2019,0.0896,0.0498,0.039,1.234,0.846,2000
35,4.7,0.15,0.2631,0.0898,0.0510,0.040,1.265,0.848,2000
36,5.8,0.19,0.3211,0.0899,0.0523,0.041,1.297,0.849,2000
37,7.0,0.22,0.3761,0.0900,0.0536,0.042,1.330,0.850,2000
38,8.2,0.26,0.4279,0.0901,0.0551,0.043,1.366,0.851,2000
39,9.3,0.30,0.4768,0.0902,0.0565,0.044,1.402,0.852,2000
40,10.5,0.34,0.5227,0.0902,0.0581,0.046,1.440,0.852,2000
41,11.7,0.37,0.5657,0.0902,0.0596,0.047,1.477,0.852,2000
42,12.8,0.41,0.6058,0.0898,0.0609,0.048,1.511,0.848,2000
43,14.0,0.45,0.6433,0.0889,0.0620,0.049,1.538,0.840,2000
44,15.2,0.49,0.6779,0.0875,0.0627,0.049,1.555,0.826,2000
45,16.3,0.52,0.7095,0.0853,0.0629,0.050,1.561,0.806,2000
46,17.5,0.56,0.7380,0.0825,0.0626,0.049,1.553,0.779,2000
47,18.7,0.60,0.7630,0.0779,0.0611,0.048,1.514,0.736,2000
48,19.9,0.64,0.7838,0.0725,0.0587,0.046,1.457,0.684,2000
49,21.0,0.67,0.8003,0.0669,0.0563,0.044,1.395,0.632,2000
50,22.2,0.71,0.8125,0.0613,0.0536,0.042,1.329,0.579,2000
51,23.4,0.75,0.8205,0.0556,0.0507,0.040,1.256,0.525,2000
52,24.5,0.78,0.8246,0.0498,0.0474,0.037,1.176,0.470,2000
53,25.7,0.82,0.8247,0.0439,0.0438,0.034,1.085,0.415,2000
54,26.9,0.86,0.8207,0.0379,0.0396,0.031,0.983,0.358,2000
55,28.0,0.90,0.8113,0.0317,0.0351,0.028,0.869,0.299,2000
56,29.2,0.93,0.7912,0.0254,0.0300,0.024,0.745,0.240,2000
57,30.4,0.97,0.7505,0.0191,0.0247,0.019,0.613,0.180,2000
58,31.5,1.01,0.6635,0.0127,0.0193,0.015,0.479,0.120,2000
59,32.7,1.05,0.4749,0.0064,0.0140,0.011,0.348,0.060,2000
60,33.9,1.08,-0.0004,0.0000,0.0087,0.007,0.217,0.000,2000
61,0.0,0.00,0.0000,0.0889,0.0426,0.113,2.377,1.890,3000
62,1.7,0.04,0.0758,0.0890,0.0438,0.116,2.443,1.892,3000
63,3.5,0.07,0.1476,0.0892,0.0451,0.120,2.515,1.895,3000
64,5.2,0.11,0.2153,0.0893,0.0464,0.123,2.590,1.897,3000
65,7.0,0.15,0.2789,0.0894,0.0478,0.127,2.669,1.900,3000
66,8.7,0.19,0.3385,0.0895,0.0493,0.131,2.753,1.903,3000
67,10.5,0.22,0.3943,0.0897,0.0509,0.135,2.840,1.905,3000
68,12.2,0.26,0.4463,0.0898,0.0525,0.140,2.931,1.908,3000
69,14.0,0.30,0.4946,0.0899,0.0542,0.144,3.026,1.910,3000
70,15.7,0.34,0.5394,0.0899,0.0560,0.149,3.123,1.911,3000
71,17.5,0.37,0.5810,0.0899,0.0577,0.153,3.221,1.911,3000
72,19.2,0.41,0.6195,0.0896,0.0593,0.158,3.312,1.905,3000
73,21.0,0.45,0.6553,0.0888,0.0607,0.161,3.386,1.888,3000
74,22.7,0.48,0.6882,0.0875,0.0616,0.164,3.439,1.859,3000
75,24.5,0.52,0.7183,0.0854,0.0621,0.165,3.466,1.816,3000
76,26.2,0.56,0.7455,0.0826,0.0620,0.165,3.460,1.756,3000
77,28.0,0.60,0.7700,0.0782,0.0606,0.161,3.382,1.662,3000
78,29.7,0.63,0.7913,0.0728,0.0583,0.155,3.254,1.547,3000
79,31.5,0.67,0.8091,0.0673,0.0558,0.148,3.114,1.429,3000
80,33.2,0.71,0.8237,0.0616,0.0530,0.141,2.959,1.310,3000
81,35.0,0.75,0.8347,0.0559,0.0500,0.133,2.789,1.189,3000
82,36.7,0.78,0.8420,0.0501,0.0466,0.124,2.602,1.065,3000
83,38.5,0.82,0.8454,0.0442,0.0429,0.114,2.396,0.940,3000
84,40.2,0.86,0.8445,0.0382,0.0388,0.103,2.164,0.811,3000
85,42.0,0.90,0.8367,0.0320,0.0342,0.091,1.910,0.680,3000
86,43.7,0.93,0.8177,0.0257,0.0293,0.078,1.636,0.546,3000
87,45.5,0.97,0.7774,0.0194,0.0242,0.064,1.348,0.412,3000
88,47.2,1.01,0.6891,0.0129,0.0189,0.050,1.055,0.275,3000
89,49.0,1.04,0.4950,0.0065,0.0137,0.036,0.764,0.138,3000
90,50.7,1.08,-0.0002,0.0000,0.0085,0.023,0.475,0.000,3000
91,0.0,0.00,0.0000,0.0887,0.0396,0.250,3.932,3.351,4000
92,2.3,0.04,0.0808,0.0888,0.0410,0.258,4.065,3.355,4000
93,4.7,0.07,0.1562,0.0889,0.0424,0.267,4.211,3.360,4000
94,7.0,0.11,0.2262,0.0891,0.0440,0.277,4.369,3.365,4000
95,9.3,0.15,0.2908,0.0892,0.0457,0.288,4.537,3.370,4000
96,11.6,0.19,0.3504,0.0894,0.0475,0.299,4.714,3.376,4000
97,14.0,0.22,0.4053,0.0895,0.0494,0.311,4.900,3.381,4000
98,16.3,0.26,0.4558,0.0897,0.0513,0.323,5.091,3.387,4000
99,18.6,0.30,0.5025,0.0898,0.0533,0.335,5.286,3.392,4000
100,21.0,0.34,0.5456,0.0899,0.0553,0.348,5.483,3.396,4000
101,23.3,0.37,0.5856,0.0899,0.0572,0.360,5.678,3.398,4000
102,25.6,0.41,0.6231,0.0897,0.0590,0.372,5.857,3.390,4000
103,28.0,0.45,0.6585,0.0891,0.0605,0.381,6.002,3.365,4000
104,30.3,0.48,0.6916,0.0878,0.0615,0.387,6.102,3.317,4000
105,32.6,0.52,0.7224,0.0858,0.0620,0.390,6.150,3.242,4000
106,34.9,0.56,0.7506,0.0830,0.0619,0.389,6.137,3.137,4000
107,37.3,0.60,0.7763,0.0787,0.0605,0.381,5.999,2.974,4000
108,39.6,0.63,0.7988,0.0733,0.0581,0.366,5.765,2.768,4000
109,41.9,0.67,0.8177,0.0677,0.0556,0.350,5.512,2.558,4000
110,44.3,0.71,0.8342,0.0621,0.0527,0.332,5.226,2.344,4000
111,46.6,0.75,0.8477,0.0563,0.0495,0.312,4.911,2.127,4000
112,48.9,0.78,0.8576,0.0504,0.0460,0.290,4.566,1.905,4000
113,51.2,0.82,0.8638,0.0445,0.0422,0.266,4.187,1.680,4000
114,53.6,0.86,0.8660,0.0384,0.0380,0.239,3.769,1.450,4000
115,55.9,0.89,0.8588,0.0322,0.0335,0.211,3.322,1.215,4000
116,58.2,0.93,0.8407,0.0259,0.0287,0.180,2.844,0.977,4000
117,60.6,0.97,0.8013,0.0195,0.0236,0.148,2.339,0.737,4000
118,62.9,1.01,0.7149,0.0131,0.0185,0.116,1.831,0.495,4000
119,65.2,1.04,0.5116,0.0065,0.0133,0.084,1.322,0.247,4000
120,67.6,1.08,-0.0022,0.0000,0.0082,0.052,0.814,-0.001,4000
121,0.0,0.00,0.0000,0.0925,0.0872,1.073,13.520,5.462,5000
122,2.9,0.04,0.0402,0.0927,0.0861,1.058,13.339,5.473,5000
123,5.8,0.07,0.0816,0.0929,0.0849,1.044,13.155,5.484,5000
124,8.7,0.11,0.1243,0.0931,0.0837,1.029,12.971,5.493,5000
125,11.6,0.15,0.1685,0.0932,0.0825,1.014,12.782,5.501,5000
126,14.6,0.19,0.2141,0.0933,0.0812,0.999,12.587,5.507,5000
127,17.5,0.22,0.2612,0.0934,0.0799,0.983,12.388,5.510,5000
128,20.4,0.26,0.3099,0.0933,0.0786,0.966,12.182,5.510,5000
129,23.3,0.30,0.3602,0.0933,0.0772,0.950,11.969,5.506,5000
130,26.2,0.34,0.4121,0.0931,0.0758,0.932,11.749,5.497,5000
131,29.1,0.37,0.4658,0.0929,0.0743,0.914,11.518,5.482,5000
132,32.0,0.41,0.5210,0.0924,0.0727,0.894,11.268,5.454,5000
133,34.9,0.45,0.5773,0.0914,0.0708,0.871,10.978,5.396,5000
134,37.8,0.48,0.6331,0.0898,0.0687,0.845,10.649,5.299,5000
135,40.8,0.52,0.6856,0.0874,0.0665,0.818,10.306,5.158,5000
136,43.7,0.56,0.7326,0.0842,0.0643,0.790,9.961,4.971,5000
137,46.6,0.60,0.7721,0.0796,0.0615,0.756,9.530,4.699,5000
138,49.5,0.63,0.8010,0.0740,0.0585,0.720,9.070,4.367,5000
139,52.4,0.67,0.8209,0.0684,0.0559,0.687,8.661,4.036,5000
140,55.3,0.71,0.8381,0.0627,0.0529,0.651,8.207,3.699,5000
141,58.2,0.75,0.8524,0.0568,0.0497,0.611,7.704,3.355,5000
142,61.1,0.78,0.8636,0.0509,0.0461,0.567,7.152,3.005,5000
143,64.1,0.82,0.8714,0.0449,0.0422,0.519,6.548,2.650,5000
144,67.0,0.86,0.8744,0.0387,0.0380,0.467,5.885,2.286,5000
145,69.9,0.89,0.8698,0.0325,0.0334,0.411,5.178,1.917,5000
146,72.8,0.93,0.8539,0.0261,0.0285,0.351,4.422,1.543,5000
147,75.7,0.97,0.8156,0.0197,0.0234,0.288,3.631,1.164,5000
148,78.6,1.01,0.7287,0.0133,0.0183,0.225,2.837,0.782,5000
149,81.5,1.04,0.5302,0.0067,0.0131,0.161,2.031,0.393,5000
150,84.4,1.08,-0.0069,-0.0001,0.0079,0.097,1.218,-0.003,5000
151,0.0,0.00,0.0000,0.0959,0.1295,2.751,28.900,8.149,6000
152,3.5,0.04,0.0284,0.0961,0.1262,2.682,28.167,8.171,6000
153,7.0,0.07,0.0586,0.0964,0.1227,2.608,27.392,8.190,6000
154,10.5,0.11,0.0907,0.0965,0.1192,2.532,26.597,8.206,6000
155,14.0,0.15,0.1250,0.0967,0.1154,2.453,25.763,8.217,6000
156,17.5,0.19,0.1617,0.0967,0.1116,2.372,24.913,8.223,6000
157,21.0,0.22,0.2011,0.0967,0.1076,2.287,24.022,8.222,6000
158,24.5,0.26,0.2437,0.0966,0.1035,2.200,23.104,8.212,6000
159,28.0,0.30,0.2897,0.0964,0.0993,2.109,22.158,8.192,6000
160,31.5,0.34,0.3396,0.0960,0.0949,2.017,21.186,8.162,6000
161,35.0,0.37,0.3939,0.0955,0.0904,1.922,20.188,8.118,6000
162,38.5,0.41,0.4530,0.0948,0.0859,1.825,19.166,8.058,6000
163,42.0,0.45,0.5169,0.0937,0.0811,1.723,18.100,7.960,6000
164,45.5,0.48,0.5847,0.0918,0.0761,1.617,16.986,7.800,6000
165,49.0,0.52,0.6525,0.0891,0.0713,1.514,15.908,7.570,6000
166,52.4,0.56,0.7147,0.0855,0.0670,1.423,14.947,7.271,6000
167,55.9,0.60,0.7664,0.0807,0.0628,1.335,14.024,6.859,6000
168,59.4,0.63,0.8020,0.0749,0.0592,1.258,13.212,6.364,6000
169,62.9,0.67,0.8232,0.0692,0.0564,1.199,12.592,5.880,6000
170,66.4,0.71,0.8409,0.0634,0.0534,1.135,11.923,5.388,6000
171,69.9,0.75,0.8561,0.0575,0.0501,1.064,11.179,4.885,6000
172,73.4,0.78,0.8683,0.0514,0.0464,0.986,10.358,4.372,6000
173,76.9,0.82,0.8770,0.0453,0.0424,0.901,9.461,3.851,6000
174,80.4,0.86,0.8817,0.0391,0.0380,0.808,8.490,3.323,6000
175,83.9,0.90,0.8786,0.0328,0.0334,0.710,7.453,2.786,6000
176,87.4,0.93,0.8649,0.0264,0.0284,0.604,6.348,2.242,6000
177,90.9,0.97,0.8274,0.0198,0.0232,0.494,5.185,1.685,6000
178,94.4,1.01,0.7382,0.0132,0.0181,0.384,4.030,1.125,6000
179,97.9,1.04,0.5357,0.0066,0.0129,0.273,2.872,0.561,6000
180,101.4,1.08,-0.0001,0.0000,0.0077,0.164,1.724,0.000,6000
181,0.0,0.00,0.0000,0.0990,0.1698,5.729,51.578,11.449,7000
182,4.1,0.04,0.0225,0.0993,0.1645,5.552,49.986,11.486,7000
183,8.2,0.07,0.0467,0.0995,0.1590,5.366,48.314,11.517,7000
184,12.2,0.11,0.0728,0.0998,0.1533,5.174,46.581,11.542,7000
185,16.3,0.15,0.1012,0.0999,0.1474,4.973,44.771,11.558,7000
186,20.4,0.19,0.1321,0.0999,0.1411,4.763,42.881,11.564,7000
187,24.5,0.22,0.1659,0.0999,0.1348,4.547,40.944,11.556,7000
188,28.6,0.26,0.2034,0.0997,0.1280,4.318,38.880,11.530,7000
189,32.6,0.30,0.2447,0.0993,0.1211,4.088,36.807,11.489,7000
190,36.7,0.34,0.2901,0.0988,0.1143,3.859,34.742,11.430,7000
191,40.8,0.37,0.3419,0.0981,0.1070,3.611,32.511,11.345,7000
192,44.9,0.41,0.3997,0.0971,0.0997,3.365,30.298,11.236,7000
193,49.0,0.45,0.4654,0.0959,0.0922,3.112,28.018,11.090,7000
194,53.1,0.49,0.5390,0.0939,0.0845,2.852,25.677,10.864,7000
195,57.1,0.52,0.6178,0.0910,0.0770,2.597,23.382,10.530,7000
196,61.2,0.56,0.6941,0.0872,0.0703,2.373,21.362,10.088,7000
197,65.3,0.60,0.7582,0.0821,0.0646,2.181,19.637,9.498,7000
198,69.4,0.63,0.8012,0.0761,0.0602,2.032,18.299,8.802,7000
199,73.5,0.67,0.8243,0.0703,0.0572,1.932,17.391,8.128,7000
200,77.5,0.71,0.8426,0.0644,0.0542,1.827,16.453,7.447,7000
201,81.6,0.75,0.8585,0.0584,0.0507,1.712,15.418,6.754,7000
202,85.7,0.78,0.8715,0.0523,0.0470,1.586,14.279,6.048,7000
203,89.8,0.82,0.8815,0.0461,0.0429,1.448,13.035,5.330,7000
204,93.9,0.86,0.8874,0.0397,0.0384,1.297,11.678,4.598,7000
205,97.9,0.90,0.8866,0.0333,0.0337,1.136,10.227,3.856,7000
206,102.0,0.93,0.8737,0.0268,0.0286,0.965,8.688,3.099,7000
207,106.1,0.97,0.8379,0.0201,0.0233,0.785,7.067,2.324,7000
208,110.2,1.01,0.7486,0.0134,0.0180,0.607,5.464,1.546,7000
209,114.3,1.04,0.5493,0.0067,0.0128,0.430,3.875,0.776,7000
210,118.3,1.08,-0.0009,0.0000,0.0076,0.255,2.295,-0.001,7000
211,0.0,0.00,0.0000,0.1013,0.2016,10.155,80.002,15.304,8000
212,4.7,0.04,0.0194,0.1016,0.1949,9.816,77.336,15.359,8000
213,9.3,0.07,0.0405,0.1019,0.1877,9.454,74.482,15.403,8000
214,14.0,0.11,0.0634,0.1021,0.1801,9.073,71.481,15.435,8000
215,18.6,0.15,0.0886,0.1022,0.1721,8.670,68.303,15.450,8000
216,23.3,0.19,0.1164,0.1022,0.1638,8.250,64.996,15.447,8000
217,28.0,0.22,0.1472,0.1021,0.1552,7.816,61.573,15.424,8000
218,32.6,0.26,0.1816,0.1017,0.1463,7.368,58.046,15.375,8000
219,37.3,0.30,0.2202,0.1012,0.1372,6.909,54.433,15.299,8000
220,42.0,0.34,0.2638,0.1006,0.1280,6.445,50.776,15.194,8000
221,46.6,0.37,0.3132,0.0997,0.1187,5.977,47.086,15.059,8000
222,51.3,0.41,0.3697,0.0985,0.1093,5.508,43.390,14.890,8000
223,55.9,0.45,0.4344,0.0972,0.1001,5.042,39.721,14.683,8000
224,60.6,0.48,0.5089,0.0954,0.0909,4.579,36.077,14.420,8000
225,65.3,0.52,0.5918,0.0927,0.0818,4.121,32.466,14.014,8000
226,69.9,0.56,0.6772,0.0889,0.0735,3.701,29.154,13.441,8000
227,74.6,0.60,0.7493,0.0839,0.0668,3.365,26.506,12.676,8000
228,79.2,0.63,0.7976,0.0778,0.0618,3.114,24.532,11.753,8000
229,83.9,0.67,0.8231,0.0718,0.0586,2.949,23.236,10.850,8000
230,88.6,0.71,0.8422,0.0658,0.0554,2.789,21.969,9.944,8000
231,93.2,0.75,0.8586,0.0597,0.0519,2.612,20.577,9.020,8000
232,97.9,0.78,0.8723,0.0535,0.0480,2.418,19.050,8.080,8000
233,102.6,0.82,0.8829,0.0471,0.0438,2.206,17.381,7.123,8000
234,107.2,0.86,0.8895,0.0407,0.0392,1.977,15.572,6.149,8000
235,111.9,0.90,0.8893,0.0342,0.0344,1.732,13.644,5.162,8000
236,116.5,0.93,0.8783,0.0275,0.0292,1.471,11.586,4.156,8000
237,121.2,0.97,0.8438,0.0207,0.0238,1.198,9.437,3.128,8000
238,125.9,1.01,0.7604,0.0139,0.0184,0.926,7.294,2.098,8000
239,130.5,1.04,0.5569,0.0069,0.0130,0.655,5.161,1.048,8000
240,135.2,1.08,-0.0083,-0.0001,0.0075,0.376,2.964,-0.009,8000
241,0.0,0.00,0.0000,0.0978,0.1590,11.401,79.842,18.700,9000
242,5.2,0.04,0.0237,0.0981,0.1545,11.082,77.604,18.757,9000
243,10.5,0.07,0.0490,0.0983,0.1498,10.741,75.221,18.804,9000
244,15.7,0.11,0.0762,0.0985,0.1447,10.376,72.661,18.840,9000
245,21.0,0.15,0.1056,0.0986,0.1394,9.997,70.004,18.863,9000
246,26.2,0.19,0.1375,0.0987,0.1338,9.599,67.222,18.870,9000
247,31.5,0.22,0.1722,0.0986,0.1281,9.190,64.356,18.860,9000
248,36.7,0.26,0.2103,0.0984,0.1222,8.765,61.381,18.828,9000
249,42.0,0.30,0.2520,0.0982,0.1162,8.337,58.380,18.775,9000
250,47.2,0.34,0.2979,0.0978,0.1102,7.900,55.323,18.696,9000
251,52.4,0.37,0.3485,0.0972,0.1040,7.460,52.241,18.589,9000
252,57.7,0.41,0.4041,0.0965,0.0980,7.025,49.197,18.454,9000
253,62.9,0.45,0.4653,0.0956,0.0920,6.595,46.186,18.286,9000
254,68.2,0.48,0.5325,0.0945,0.0861,6.173,43.229,18.081,9000
255,73.4,0.52,0.6057,0.0931,0.0803,5.756,40.305,17.804,9000
256,78.7,0.56,0.6807,0.0903,0.0742,5.321,37.265,17.266,9000
257,83.9,0.60,0.7478,0.0858,0.0685,4.911,34.394,16.412,9000
258,89.2,0.63,0.7930,0.0799,0.0639,4.580,32.076,15.278,9000
259,94.4,0.67,0.8199,0.0738,0.0604,4.331,30.329,14.106,9000
260,99.6,0.71,0.8400,0.0676,0.0570,4.090,28.642,12.930,9000
261,104.9,0.75,0.8571,0.0614,0.0534,3.830,26.822,11.736,9000
262,110.1,0.78,0.8712,0.0550,0.0495,3.547,24.836,10.520,9000
263,115.4,0.82,0.8823,0.0485,0.0451,3.237,22.668,9.281,9000
264,120.6,0.86,0.8894,0.0419,0.0404,2.899,20.301,8.015,9000
265,125.9,0.90,0.8902,0.0352,0.0354,2.539,17.778,6.733,9000
266,131.1,0.93,0.8803,0.0284,0.0300,2.154,15.085,5.423,9000
267,136.4,0.97,0.8468,0.0214,0.0245,1.756,12.296,4.089,9000
268,141.6,1.01,0.7657,0.0144,0.0189,1.356,9.498,2.750,9000
269,146.9,1.04,0.5654,0.0072,0.0133,0.957,6.704,1.382,9000
270,152.1,1.08,-0.0018,0.0000,0.0076,0.547,3.833,-0.002,9000
271,0.0,0.00,0.0000,0.0945,0.1180,11.608,73.159,22.304,10000
272,5.8,0.04,0.0305,0.0947,0.1157,11.381,71.727,22.358,10000
273,11.7,0.07,0.0626,0.0949,0.1131,11.130,70.146,22.406,10000
274,17.5,0.11,0.0963,0.0951,0.1104,10.866,68.484,22.446,10000
275,23.3,0.15,0.1320,0.0952,0.1076,10.583,66.700,22.475,10000
276,29.1,0.19,0.1698,0.0953,0.1046,10.292,64.864,22.494,10000
277,35.0,0.22,0.2100,0.0953,0.1015,9.987,62.945,22.499,10000
278,40.8,0.26,0.2523,0.0953,0.0986,9.696,61.108,22.494,10000
279,46.6,0.30,0.2975,0.0952,0.0954,9.389,59.177,22.472,10000
280,52.4,0.34,0.3457,0.0950,0.0922,9.075,57.192,22.434,10000
281,58.3,0.37,0.3967,0.0948,0.0891,8.766,55.249,22.380,10000
282,64.1,0.41,0.4504,0.0945,0.0860,8.464,53.345,22.306,10000
283,69.9,0.45,0.5072,0.0940,0.0830,8.162,51.443,22.203,10000
284,75.7,0.48,0.5656,0.0935,0.0801,7.882,49.680,22.073,10000
285,81.6,0.52,0.6254,0.0928,0.0775,7.622,48.037,21.912,10000
286,87.4,0.56,0.6861,0.0919,0.0749,7.373,46.468,21.703,10000
287,93.2,0.60,0.7425,0.0885,0.0711,6.995,44.084,20.891,10000
288,99.1,0.63,0.7871,0.0828,0.0667,6.562,41.355,19.553,10000
289,104.9,0.67,0.8146,0.0765,0.0630,6.201,39.079,18.061,10000
290,110.7,0.71,0.8361,0.0701,0.0594,5.848,36.858,16.562,10000
291,116.5,0.75,0.8543,0.0637,0.0556,5.470,34.476,15.039,10000
292,122.4,0.78,0.8690,0.0571,0.0515,5.065,31.921,13.489,10000
293,128.2,0.82,0.8807,0.0504,0.0470,4.622,29.129,11.908,10000
294,134.0,0.86,0.8883,0.0436,0.0421,4.146,26.129,10.305,10000
295,139.8,0.89,0.8905,0.0367,0.0369,3.632,22.892,8.674,10000
296,145.7,0.93,0.8823,0.0297,0.0313,3.083,19.433,7.004,10000
297,151.5,0.97,0.8501,0.0224,0.0256,2.515,15.853,5.293,10000
298,157.3,1.01,0.7704,0.0151,0.0197,1.941,12.235,3.565,10000
