,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.0933,0.0384,0.006,0.368,0.312,1000
2,0.5,0.03,0.0647,0.0927,0.0389,0.006,0.373,0.310,1000
3,0.9,0.05,0.1268,0.0921,0.0394,0.006,0.378,0.308,1000
4,1.4,0.08,0.1863,0.0913,0.0399,0.006,0.383,0.305,1000
5,1.9,0.11,0.2430,0.0904,0.0404,0.006,0.387,0.302,1000
6,2.3,0.14,0.2970,0.0893,0.0408,0.006,0.391,0.299,1000
7,2.8,0.16,0.3482,0.0880,0.0412,0.006,0.395,0.294,1000
8,3.2,0.19,0.3965,0.0865,0.0415,0.006,0.397,0.289,1000
9,3.7,0.22,0.4418,0.0847,0.0416,0.006,0.399,0.283,1000
10,4.2,0.24,0.4842,0.0827,0.0417,0.006,0.400,0.276,1000
11,4.6,0.27,0.5234,0.0803,0.0417,0.006,0.399,0.269,1000
12,5.1,0.30,0.5594,0.0778,0.0415,0.006,0.398,0.260,1000
13,5.6,0.33,0.5920,0.0750,0.0413,0.006,0.395,0.251,1000
14,6.0,0.35,0.6214,0.0719,0.0408,0.006,0.391,0.240,1000
15,6.5,0.38,0.6473,0.0686,0.0403,0.006,0.386,0.229,1000
16,6.9,0.41,0.6697,0.0649,0.0395,0.006,0.378,0.217,1000
17,7.4,0.43,0.6887,0.0609,0.0384,0.006,0.368,0.204,1000
18,7.9,0.46,0.7042,0.0567,0.0372,0.006,0.356,0.190,1000
19,8.3,0.49,0.7165,0.0525,0.0358,0.005,0.343,0.175,1000
20,8.8,0.52,0.7259,0.0481,0.0342,0.005,0.328,0.161,1000
21,9.3,0.54,0.7328,0.0437,0.0324,0.005,0.310,0.146,1000
22,9.7,0.57,0.7374,0.0392,0.0303,0.005,0.290,0.131,1000
23,10.2,0.60,0.7391,0.0346,0.0279,0.004,0.268,0.116,1000
24,10.6,0.62,0.7372,0.0298,0.0253,0.004,0.242,0.100,1000
25,11.1,0.65,0.7310,0.0250,0.0223,0.003,0.213,0.084,1000
26,11.6,0.68,0.7142,0.0201,0.0191,0.003,0.183,0.067,1000
27,12.0,0.71,0.6780,0.0151,0.0158,0.002,0.151,0.051,1000
28,12.5,0.73,0.6050,0.0101,0.0123,0.002,0.118,0.034,1000
29,13.0,0.76,0.4473,0.0051,0.0087,0.001,0.083,0.017,1000
30,13.4,0.79,-0.0015,0.0000,0.0053,0.001,0.050,0.000,1000
31,0.0,0.00,0.0000,0.0934,0.0385,0.047,1.476,1.250,2000
32,0.9,0.03,0.0645,0.0929,0.0391,0.047,1.497,1.243,2000
33,1.9,0.05,0.1265,0.0923,0.0396,0.048,1.517,1.234,2000
34,2.8,0.08,0.1858,0.0915,0.0401,0.049,1.537,1.224,2000
35,3.7,0.11,0.2425,0.0906,0.0406,0.049,1.554,1.212,2000
36,4.6,0.14,0.2964,0.0895,0.0410,0.050,1.570,1.197,2000
37,5.6,0.16,0.3476,0.0882,0.0413,0.050,1.583,1.180,2000
38,6.5,0.19,0.3959,0.0867,0.0416,0.051,1.594,1.160,2000
39,7.4,0.22,0.4413,0.0849,0.0418,0.051,1.601,1.136,2000
40,8.3,0.24,0.4837,0.0829,0.0419,0.051,1.604,1.109,2000
41,9.3,0.27,0.5231,0.0806,0.0418,0.051,1.602,1.078,2000
42,10.2,0.30,0.5592,0.0780,0.0416,0.051,1.596,1.043,2000
43,11.1,0.33,0.5920,0.0752,0.0414,0.050,1.585,1.006,2000
44,12.0,0.35,0.6215,0.0721,0.0409,0.050,1.569,0.965,2000
45,13.0,0.38,0.6476,0.0688,0.0404,0.049,1.547,0.920,2000
46,13.9,0.41,0.6703,0.0651,0.0396,0.048,1.516,0.871,2000
47,14.8,0.43,0.6895,0.0611,0.0385,0.047,1.474,0.817,2000
48,15.7,0.46,0.7054,0.0569,0.0372,0.045,1.427,0.761,2000
49,16.7,0.49,0.7181,0.0527,0.0358,0.044,1.373,0.705,2000
50,17.6,0.52,0.7280,0.0483,0.0342,0.042,1.312,0.646,2000
51,18.5,0.54,0.7353,0.0439,0.0324,0.039,1.242,0.587,2000
52,19.4,0.57,0.7403,0.0394,0.0303,0.037,1.161,0.527,2000
53,20.4,0.60,0.7424,0.0347,0.0279,0.034,1.070,0.464,2000
54,21.3,0.62,0.7409,0.0300,0.0253,0.031,0.968,0.401,2000
55,22.2,0.65,0.7351,0.0251,0.0223,0.027,0.853,0.336,2000
56,23.1,0.68,0.7188,0.0202,0.0191,0.023,0.731,0.270,2000
57,24.1,0.71,0.6831,0.0152,0.0157,0.019,0.603,0.204,2000
58,25.0,0.73,0.6107,0.0102,0.0123,0.015,0.471,0.137,2000
59,25.9,0.76,0.4550,0.0052,0.0087,0.011,0.333,0.070,2000
60,26.8,0.79,0.0014,0.0000,0.0052,0.006,0.199,0.000,2000
61,0.0,0.00,0.0000,0.0933,0.0354,0.145,3.053,2.807,3000
62,1.4,0.03,0.0696,0.0928,0.0362,0.148,3.118,2.792,3000
63,2.8,0.05,0.1356,0.0922,0.0369,0.151,3.181,2.774,3000
64,4.2,0.08,0.1980,0.0915,0.0376,0.154,3.242,2.752,3000
65,5.6,0.11,0.2570,0.0906,0.0383,0.157,3.299,2.726,3000
66,6.9,0.14,0.3124,0.0895,0.0389,0.160,3.352,2.694,3000
67,8.3,0.16,0.3646,0.0882,0.0394,0.162,3.398,2.656,3000
68,9.7,0.19,0.4135,0.0867,0.0399,0.164,3.436,2.610,3000
69,11.1,0.22,0.4592,0.0850,0.0402,0.165,3.464,2.557,3000
70,12.5,0.24,0.5018,0.0830,0.0404,0.166,3.482,2.497,3000
71,13.9,0.27,0.5414,0.0806,0.0404,0.166,3.486,2.427,3000
72,15.3,0.30,0.5780,0.0781,0.0403,0.166,3.479,2.351,3000
73,16.7,0.33,0.6116,0.0753,0.0401,0.165,3.458,2.266,3000
74,18.0,0.35,0.6424,0.0723,0.0397,0.163,3.422,2.174,3000
75,19.4,0.38,0.6703,0.0689,0.0391,0.160,3.369,2.075,3000
76,20.8,0.41,0.6954,0.0653,0.0382,0.157,3.295,1.965,3000
77,22.2,0.43,0.7178,0.0612,0.0370,0.152,3.194,1.843,3000
78,23.6,0.46,0.7371,0.0571,0.0357,0.147,3.080,1.717,3000
79,25.0,0.49,0.7536,0.0528,0.0342,0.140,2.951,1.589,3000
80,26.4,0.52,0.7673,0.0484,0.0325,0.134,2.806,1.458,3000
81,27.8,0.54,0.7782,0.0439,0.0307,0.126,2.643,1.323,3000
82,29.1,0.57,0.7856,0.0394,0.0286,0.117,2.462,1.185,3000
