,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1023,0.0442,0.007,0.423,0.342,1000
2,0.5,0.03,0.0644,0.1018,0.0448,0.007,0.429,0.340,1000
3,1.0,0.06,0.1262,0.1011,0.0454,0.007,0.435,0.338,1000
4,1.5,0.09,0.1854,0.1003,0.0460,0.007,0.441,0.335,1000
5,1.9,0.11,0.2419,0.0993,0.0466,0.007,0.446,0.332,1000
6,2.4,0.14,0.2957,0.0981,0.0471,0.007,0.451,0.328,1000
7,2.9,0.17,0.3467,0.0967,0.0475,0.007,0.455,0.323,1000
8,3.4,0.20,0.3950,0.0951,0.0478,0.007,0.458,0.318,1000
9,3.9,0.23,0.4402,0.0932,0.0480,0.007,0.460,0.312,1000
10,4.4,0.26,0.4826,0.0910,0.0481,0.007,0.461,0.304,1000
11,4.8,0.28,0.5219,0.0885,0.0481,0.007,0.461,0.296,1000
12,5.3,0.31,0.5581,0.0857,0.0479,0.007,0.459,0.287,1000
13,5.8,0.34,0.5910,0.0827,0.0476,0.007,0.456,0.276,1000
14,6.3,0.37,0.6207,0.0793,0.0471,0.007,0.451,0.265,1000
15,6.8,0.40,0.6471,0.0757,0.0464,0.007,0.445,0.253,1000
16,7.3,0.43,0.6701,0.0717,0.0455,0.007,0.436,0.240,1000
17,7.7,0.45,0.6898,0.0674,0.0443,0.007,0.425,0.225,1000
18,8.2,0.48,0.7062,0.0628,0.0429,0.007,0.411,0.210,1000
19,8.7,0.51,0.7194,0.0581,0.0412,0.006,0.395,0.194,1000
20,9.2,0.54,0.7298,0.0533,0.0394,0.006,0.377,0.178,1000
21,9.7,0.57,0.7377,0.0485,0.0373,0.006,0.357,0.162,1000
22,10.2,0.60,0.7432,0.0435,0.0348,0.005,0.334,0.145,1000
23,10.6,0.62,0.7460,0.0384,0.0321,0.005,0.307,0.128,1000
24,11.1,0.65,0.7450,0.0332,0.0290,0.004,0.278,0.111,1000
25,11.6,0.68,0.7394,0.0278,0.0256,0.004,0.245,0.093,1000
26,12.1,0.71,0.7234,0.0224,0.0220,0.003,0.210,0.075,1000
27,12.6,0.74,0.6886,0.0169,0.0181,0.003,0.174,0.057,1000
28,13.1,0.77,0.6180,0.0114,0.0141,0.002,0.135,0.038,1000
29,13.5,0.79,0.4628,0.0057,0.0098,0.001,0.094,0.019,1000
30,14.0,0.82,0.0000,0.0000,0.0055,0.001,0.053,0.000,1000
31,0.0,0.00,0.0000,0.1024,0.0435,0.053,1.667,1.370,2000
32,1.0,0.03,0.0653,0.1019,0.0442,0.054,1.694,1.362,2000
33,1.9,0.06,0.1278,0.1012,0.0449,0.055,1.719,1.354,2000
34,2.9,0.08,0.1875,0.1004,0.0455,0.055,1.744,1.343,2000
35,3.9,0.11,0.2445,0.0995,0.0461,0.056,1.767,1.330,2000
36,4.8,0.14,0.2986,0.0983,0.0466,0.057,1.787,1.315,2000
37,5.8,0.17,0.3498,0.0969,0.0471,0.057,1.805,1.296,2000
38,6.8,0.20,0.3982,0.0953,0.0475,0.058,1.819,1.275,2000
39,7.7,0.23,0.4436,0.0934,0.0477,0.058,1.828,1.249,2000
40,8.7,0.25,0.4861,0.0912,0.0478,0.058,1.833,1.220,2000
41,9.7,0.28,0.5256,0.0887,0.0478,0.058,1.832,1.187,2000
