,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.0945,0.0413,0.012,0.758,0.531,1000
2,0.6,0.03,0.0671,0.0944,0.0421,0.012,0.773,0.531,1000
3,1.2,0.06,0.1314,0.0942,0.0429,0.013,0.788,0.530,1000
4,1.7,0.09,0.1929,0.0940,0.0438,0.013,0.803,0.529,1000
5,2.3,0.12,0.2515,0.0937,0.0446,0.013,0.819,0.527,1000
6,2.9,0.15,0.3073,0.0932,0.0454,0.013,0.833,0.524,1000
7,3.5,0.18,0.3603,0.0924,0.0460,0.013,0.845,0.520,1000
8,4.1,0.21,0.4104,0.0913,0.0466,0.014,0.855,0.513,1000
9,4.6,0.24,0.4575,0.0897,0.0469,0.014,0.861,0.505,1000
10,5.2,0.27,0.5016,0.0877,0.0471,0.014,0.864,0.493,1000
11,5.8,0.30,0.5424,0.0853,0.0471,0.014,0.864,0.480,1000
12,6.4,0.33,0.5799,0.0826,0.0469,0.014,0.860,0.465,1000
13,7.0,0.36,0.6140,0.0796,0.0465,0.014,0.854,0.448,1000
14,7.6,0.39,0.6446,0.0763,0.0460,0.013,0.845,0.429,1000
15,8.1,0.42,0.6715,0.0727,0.0454,0.013,0.833,0.409,1000
16,8.7,0.45,0.6948,0.0689,0.0445,0.013,0.817,0.388,1000
17,9.3,0.48,0.7145,0.0647,0.0433,0.013,0.795,0.364,1000
18,9.9,0.51,0.7306,0.0603,0.0419,0.012,0.770,0.339,1000
19,10.5,0.54,0.7435,0.0557,0.0404,0.012,0.741,0.314,1000
20,11.0,0.57,0.7532,0.0512,0.0386,0.011,0.709,0.288,1000
21,11.6,0.60,0.7605,0.0465,0.0366,0.011,0.671,0.261,1000
22,12.2,0.63,0.7658,0.0417,0.0342,0.010,0.628,0.235,1000
23,12.8,0.66,0.7690,0.0368,0.0315,0.009,0.578,0.207,1000
24,13.4,0.69,0.7689,0.0318,0.0285,0.008,0.522,0.179,1000
25,13.9,0.72,0.7656,0.0267,0.0250,0.007,0.459,0.150,1000
26,14.5,0.75,0.7549,0.0215,0.0213,0.006,0.391,0.121,1000
27,15.1,0.78,0.7285,0.0162,0.0173,0.005,0.318,0.091,1000
28,15.7,0.81,0.6721,0.0109,0.0131,0.004,0.240,0.061,1000
29,16.3,0.84,0.5334,0.0054,0.0085,0.002,0.156,0.031,1000
30,16.8,0.87,-0.0014,0.0000,0.0047,0.001,0.087,0.000,1000
31,0.0,0.00,0.0000,0.0943,0.0391,0.091,2.868,2.122,2000
32,1.2,0.03,0.0704,0.0942,0.0400,0.093,2.938,2.121,2000
33,2.3,0.06,0.1373,0.0941,0.0410,0.096,3.011,2.118,2000
34,3.5,0.09,0.2006,0.0939,0.0420,0.098,3.085,2.114,2000
35,4.6,0.12,0.2605,0.0936,0.0430,0.100,3.158,2.107,2000
36,5.8,0.15,0.3170,0.0932,0.0440,0.102,3.227,2.097,2000
37,7.0,0.18,0.3703,0.0924,0.0448,0.104,3.289,2.080,2000
38,8.1,0.21,0.4204,0.0913,0.0455,0.106,3.340,2.055,2000
39,9.3,0.24,0.4673,0.0898,0.0460,0.107,3.376,2.021,2000
40,10.5,0.27,0.5111,0.0878,0.0463,0.108,3.396,1.976,2000
41,11.6,0.30,0.5516,0.0855,0.0463,0.108,3.402,1.923,2000
42,12.8,0.33,0.5889,0.0828,0.0462,0.108,3.395,1.862,2000
43,13.9,0.36,0.6231,0.0797,0.0459,0.107,3.372,1.794,2000
44,15.1,0.39,0.6543,0.0765,0.0454,0.106,3.336,1.721,2000
45,16.3,0.42,0.6823,0.0729,0.0447,0.104,3.285,1.641,2000
46,17.4,0.45,0.7070,0.0691,0.0438,0.102,3.218,1.554,2000
47,18.6,0.48,0.7288,0.0648,0.0426,0.099,3.125,1.459,2000
48,19.7,0.51,0.7475,0.0604,0.0411,0.096,3.016,1.359,2000
49,20.9,0.54,0.7630,0.0559,0.0394,0.092,2.894,1.257,2000
50,22.1,0.57,0.7756,0.0512,0.0375,0.087,2.756,1.153,2000
51,23.2,0.60,0.7858,0.0465,0.0354,0.082,2.600,1.047,2000
52,24.4,0.63,0.7936,0.0417,0.0330,0.077,2.423,0.938,2000
53,25.5,0.66,0.7974,0.0368,0.0304,0.071,2.229,0.828,2000
54,26.7,0.69,0.7984,0.0318,0.0274,0.064,2.011,0.715,2000
55,27.9,0.72,0.7955,0.0267,0.0241,0.056,1.768,0.601,2000
56,29.0,0.75,0.7843,0.0215,0.0205,0.048,1.505,0.484,2000
57,30.2,0.78,0.7573,0.0162,0.0167,0.039,1.224,0.365,2000
58,31.4,0.81,0.6997,0.0109,0.0126,0.029,0.922,0.245,2000
