,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1005,0.0424,0.011,0.688,0.512,1000
2,0.5,0.03,0.0645,0.1001,0.0431,0.011,0.699,0.510,1000
3,1.1,0.06,0.1265,0.0995,0.0437,0.011,0.710,0.507,1000
4,1.6,0.08,0.1858,0.0988,0.0443,0.011,0.719,0.503,1000
5,2.1,0.11,0.2424,0.0978,0.0448,0.012,0.727,0.498,1000
6,2.6,0.14,0.2964,0.0964,0.0452,0.012,0.733,0.491,1000
7,3.2,0.17,0.3475,0.0947,0.0454,0.012,0.737,0.483,1000
8,3.7,0.19,0.3958,0.0928,0.0456,0.012,0.740,0.473,1000
9,4.2,0.22,0.4410,0.0905,0.0456,0.012,0.740,0.461,1000
10,4.7,0.25,0.4832,0.0880,0.0455,0.012,0.739,0.448,1000
11,5.3,0.28,0.5223,0.0852,0.0453,0.012,0.736,0.434,1000
12,5.8,0.31,0.5581,0.0823,0.0451,0.012,0.731,0.419,1000
13,6.3,0.33,0.5905,0.0791,0.0446,0.011,0.724,0.403,1000
14,6.8,0.36,0.6196,0.0756,0.0441,0.011,0.715,0.386,1000
15,7.4,0.39,0.6453,0.0719,0.0433,0.011,0.703,0.366,1000
16,7.9,0.42,0.6677,0.0678,0.0424,0.011,0.687,0.346,1000
17,8.4,0.44,0.6867,0.0636,0.0412,0.011,0.668,0.324,1000
18,8.9,0.47,0.7025,0.0593,0.0399,0.010,0.647,0.302,1000
19,9.5,0.50,0.7153,0.0549,0.0384,0.010,0.623,0.280,1000
20,10.0,0.53,0.7255,0.0504,0.0367,0.009,0.595,0.257,1000
21,10.5,0.56,0.7337,0.0458,0.0347,0.009,0.563,0.233,1000
22,11.1,0.58,0.7399,0.0411,0.0324,0.008,0.526,0.209,1000
23,11.6,0.61,0.7432,0.0363,0.0298,0.008,0.484,0.185,1000
24,12.1,0.64,0.7431,0.0313,0.0269,0.007,0.437,0.160,1000
25,12.6,0.67,0.7393,0.0263,0.0237,0.006,0.385,0.134,1000
26,13.2,0.69,0.7259,0.0212,0.0202,0.005,0.328,0.108,1000
27,13.7,0.72,0.6960,0.0160,0.0166,0.004,0.269,0.081,1000
28,14.2,0.75,0.6347,0.0107,0.0126,0.003,0.205,0.055,1000
29,14.7,0.78,0.4889,0.0054,0.0085,0.002,0.139,0.027,1000
30,15.3,0.81,-0.0020,0.0000,0.0050,0.001,0.081,0.000,1000
31,0.0,0.00,0.0000,0.1004,0.0404,0.083,2.625,2.046,2000
32,1.1,0.03,0.0672,0.1000,0.0413,0.085,2.679,2.039,2000
33,2.1,0.06,0.1312,0.0995,0.0421,0.087,2.732,2.029,2000
34,3.2,0.08,0.1920,0.0988,0.0428,0.088,2.780,2.014,2000
35,4.2,0.11,0.2497,0.0978,0.0435,0.090,2.821,1.994,2000
36,5.3,0.14,0.3043,0.0965,0.0440,0.091,2.855,1.968,2000
37,6.3,0.17,0.3559,0.0949,0.0444,0.091,2.881,1.934,2000
38,7.4,0.19,0.4043,0.0929,0.0446,0.092,2.897,1.894,2000
39,8.4,0.22,0.4497,0.0907,0.0448,0.092,2.905,1.849,2000
40,9.5,0.25,0.4920,0.0882,0.0448,0.092,2.906,1.798,2000
41,10.5,0.28,0.5314,0.0855,0.0446,0.092,2.896,1.742,2000
42,11.6,0.31,0.5678,0.0825,0.0443,0.091,2.878,1.682,2000
43,12.6,0.33,0.6013,0.0793,0.0439,0.090,2.850,1.616,2000
44,13.7,0.36,0.6316,0.0759,0.0433,0.089,2.812,1.547,2000
45,14.7,0.39,0.6591,0.0721,0.0425,0.088,2.759,1.470,2000
46,15.8,0.42,0.6837,0.0681,0.0414,0.085,2.689,1.388,2000
47,16.8,0.44,0.7053,0.0638,0.0402,0.083,2.607,1.301,2000
48,17.9,0.47,0.7238,0.0595,0.0388,0.080,2.516,1.213,2000
49,18.9,0.50,0.7396,0.0550,0.0372,0.077,2.413,1.122,2000
50,20.0,0.53,0.7528,0.0505,0.0354,0.073,2.296,1.030,2000
51,21.0,0.55,0.7638,0.0459,0.0333,0.069,2.163,0.935,2000
52,22.1,0.58,0.7711,0.0412,0.0311,0.064,2.018,0.839,2000
53,23.1,0.61,0.7753,0.0363,0.0286,0.059,1.856,0.740,2000
54,24.2,0.64,0.7763,0.0314,0.0258,0.053,1.675,0.640,2000
55,25.2,0.67,0.7725,0.0264,0.0227,0.047,1.475,0.537,2000
56,26.3,0.69,0.7586,0.0212,0.0194,0.040,1.261,0.433,2000
57,27.3,0.72,0.7279,0.0161,0.0159,0.033,1.032,0.327,2000
58,28.4,0.75,0.6650,0.0108,0.0121,0.025,0.787,0.220,2000
59,29.4,0.78,0.5148,0.0054,0.0082,0.017,0.530,0.110,2000
60,30.5,0.80,-0.0004,0.0000,0.0048,0.010,0.312,0.000,2000
61,0.0,0.00,0.0000,0.1016,0.0496,0.345,7.241,4.659,3000
62,1.6,0.03,0.0570,0.1012,0.0493,0.342,7.192,4.642,3000
63,3.2,0.06,0.1142,0.1007,0.0489,0.340,7.139,4.618,3000
64,4.7,0.08,0.1715,0.0999,0.0485,0.337,7.080,4.584,3000
65,6.3,0.11,0.2285,0.0989,0.0480,0.334,7.012,4.536,3000
66,7.9,0.14,0.2848,0.0975,0.0475,0.330,6.936,4.473,3000
67,9.5,0.17,0.3395,0.0958,0.0470,0.326,6.858,4.395,3000
68,11.0,0.19,0.3919,0.0938,0.0465,0.323,6.783,4.301,3000
69,12.6,0.22,0.4415,0.0914,0.0460,0.320,6.712,4.195,3000
70,14.2,0.25,0.4878,0.0889,0.0455,0.316,6.642,4.077,3000
71,15.8,0.28,0.5312,0.0860,0.0449,0.312,6.561,3.947,3000
72,17.3,0.31,0.5716,0.0830,0.0443,0.308,6.469,3.807,3000
73,18.9,0.33,0.6089,0.0797,0.0436,0.303,6.362,3.656,3000
74,20.5,0.36,0.6432,0.0762,0.0427,0.297,6.238,3.495,3000
75,22.1,0.39,0.6743,0.0724,0.0417,0.290,6.088,3.320,3000
76,23.6,0.42,0.7022,0.0683,0.0405,0.281,5.908,3.132,3000
