,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.0829,0.0405,0.010,0.657,0.422,1000
2,0.7,0.04,0.0706,0.0829,0.0413,0.011,0.671,0.423,1000
3,1.3,0.07,0.1382,0.0830,0.0423,0.011,0.686,0.423,1000
4,2.0,0.11,0.2028,0.0831,0.0433,0.011,0.702,0.424,1000
5,2.7,0.14,0.2642,0.0832,0.0443,0.011,0.719,0.424,1000
6,3.3,0.18,0.3226,0.0833,0.0454,0.012,0.737,0.424,1000
7,4.0,0.21,0.3778,0.0833,0.0466,0.012,0.755,0.425,1000
8,4.7,0.25,0.4299,0.0833,0.0478,0.012,0.775,0.425,1000
9,5.3,0.28,0.4789,0.0833,0.0490,0.013,0.795,0.425,1000
10,6.0,0.32,0.5249,0.0832,0.0502,0.013,0.814,0.424,1000
11,6.7,0.35,0.5680,0.0826,0.0512,0.013,0.830,0.421,1000
12,7.3,0.39,0.6081,0.0816,0.0519,0.013,0.843,0.416,1000
13,8.0,0.42,0.6448,0.0801,0.0525,0.014,0.851,0.408,1000
14,8.7,0.46,0.6782,0.0782,0.0528,0.014,0.856,0.399,1000
15,9.3,0.49,0.7083,0.0759,0.0528,0.014,0.856,0.387,1000
16,10.0,0.53,0.7350,0.0731,0.0525,0.014,0.851,0.372,1000
17,10.7,0.56,0.7581,0.0697,0.0518,0.013,0.840,0.355,1000
18,11.3,0.60,0.7778,0.0657,0.0506,0.013,0.820,0.335,1000
19,12.0,0.63,0.7942,0.0608,0.0485,0.012,0.787,0.310,1000
20,12.7,0.67,0.8065,0.0558,0.0462,0.012,0.750,0.284,1000
21,13.3,0.70,0.8155,0.0506,0.0437,0.011,0.709,0.258,1000
22,14.0,0.74,0.8213,0.0454,0.0409,0.011,0.663,0.231,1000
23,14.7,0.77,0.8248,0.0401,0.0376,0.010,0.611,0.204,1000
24,15.3,0.81,0.8259,0.0347,0.0340,0.009,0.551,0.177,1000
25,16.0,0.84,0.8237,0.0291,0.0299,0.008,0.484,0.148,1000
26,16.7,0.88,0.8160,0.0235,0.0253,0.007,0.410,0.120,1000
27,17.3,0.91,0.7936,0.0177,0.0204,0.005,0.331,0.090,1000
28,18.0,0.95,0.7383,0.0119,0.0153,0.004,0.248,0.061,1000
29,18.7,0.99,0.5934,0.0060,0.0099,0.003,0.161,0.030,1000
30,19.3,1.02,0.0009,0.0000,0.0045,0.001,0.072,0.000,1000
31,0.0,0.00,0.0000,0.0828,0.0393,0.081,2.551,1.687,2000
32,1.3,0.04,0.0724,0.0828,0.0402,0.083,2.612,1.689,2000
33,2.7,0.07,0.1415,0.0829,0.0412,0.085,2.676,1.691,2000
34,4.0,0.11,0.2072,0.0830,0.0423,0.087,2.744,1.693,2000
35,5.3,0.14,0.2695,0.0831,0.0434,0.089,2.816,1.694,2000
36,6.7,0.18,0.3284,0.0832,0.0445,0.092,2.891,1.696,2000
37,8.0,0.21,0.3839,0.0832,0.0458,0.094,2.970,1.697,2000
38,9.3,0.25,0.4361,0.0833,0.0470,0.097,3.051,1.698,2000
39,10.7,0.28,0.4850,0.0833,0.0483,0.100,3.136,1.698,2000
40,12.0,0.32,0.5308,0.0832,0.0496,0.102,3.219,1.695,2000
41,13.3,0.35,0.5734,0.0827,0.0507,0.104,3.293,1.686,2000
42,14.7,0.39,0.6131,0.0817,0.0516,0.106,3.347,1.666,2000
43,16.0,0.42,0.6495,0.0803,0.0522,0.107,3.387,1.637,2000
44,17.3,0.46,0.6825,0.0784,0.0525,0.108,3.409,1.598,2000
45,18.7,0.49,0.7123,0.0761,0.0526,0.108,3.413,1.551,2000
46,20.0,0.53,0.7389,0.0733,0.0523,0.108,3.396,1.494,2000
47,21.3,0.56,0.7621,0.0699,0.0517,0.106,3.352,1.426,2000
48,22.7,0.60,0.7822,0.0660,0.0504,0.104,3.273,1.345,2000
49,24.0,0.63,0.7994,0.0610,0.0483,0.100,3.138,1.244,2000
50,25.3,0.67,0.8129,0.0560,0.0460,0.095,2.986,1.141,2000
51,26.7,0.70,0.8232,0.0508,0.0434,0.089,2.817,1.035,2000
52,28.0,0.74,0.8305,0.0455,0.0405,0.083,2.629,0.928,2000
53,29.3,0.77,0.8355,0.0402,0.0372,0.077,2.416,0.819,2000
54,30.6,0.81,0.8375,0.0347,0.0336,0.069,2.178,0.708,2000
55,32.0,0.84,0.8362,0.0292,0.0295,0.061,1.911,0.595,2000
56,33.3,0.88,0.8287,0.0235,0.0249,0.051,1.618,0.479,2000
57,34.6,0.91,0.8062,0.0177,0.0201,0.041,1.305,0.361,2000
58,36.0,0.95,0.7504,0.0119,0.0151,0.031,0.977,0.243,2000
59,37.3,0.99,0.6031,0.0060,0.0098,0.020,0.635,0.122,2000
60,38.6,1.02,0.0001,0.0000,0.0044,0.009,0.284,0.000,2000
61,0.0,0.00,0.0000,0.0823,0.0336,0.233,4.900,3.774,3000
62,2.0,0.04,0.0833,0.0824,0.0348,0.242,5.076,3.778,3000
63,4.0,0.07,0.1609,0.0824,0.0360,0.250,5.261,3.781,3000
64,6.0,0.11,0.2329,0.0825,0.0374,0.260,5.458,3.785,3000
65,8.0,0.14,0.2995,0.0826,0.0388,0.270,5.665,3.789,3000
66,10.0,0.18,0.3610,0.0827,0.0403,0.280,5.881,3.792,3000
67,12.0,0.21,0.4175,0.0827,0.0418,0.291,6.107,3.795,3000
68,14.0,0.25,0.4693,0.0828,0.0434,0.302,6.342,3.798,3000
69,16.0,0.28,0.5168,0.0828,0.0451,0.313,6.584,3.799,3000
70,18.0,0.32,0.5603,0.0828,0.0468,0.325,6.828,3.797,3000
71,20.0,0.35,0.6003,0.0824,0.0483,0.336,7.050,3.780,3000
72,22.0,0.39,0.6370,0.0815,0.0495,0.344,7.231,3.740,3000
73,24.0,0.42,0.6706,0.0802,0.0505,0.351,7.369,3.678,3000
74,26.0,0.46,0.7010,0.0784,0.0511,0.355,7.465,3.595,3000
75,28.0,0.49,0.7279,0.0761,0.0515,0.358,7.520,3.493,3000
76,30.0,0.53,0.7529,0.0734,0.0514,0.357,7.510,3.367,3000
77,32.0,0.56,0.7759,0.0701,0.0509,0.354,7.427,3.217,3000
78,34.0,0.60,0.7968,0.0662,0.0497,0.345,7.254,3.037,3000
79,36.0,0.63,0.8161,0.0613,0.0476,0.330,6.943,2.812,3000
80,38.0,0.67,0.8325,0.0562,0.0451,0.314,6.587,2.578,3000
81,40.0,0.70,0.8462,0.0510,0.0424,0.295,6.189,2.339,3000
82,42.0,0.74,0.8575,0.0457,0.0394,0.274,5.746,2.096,3000
