,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.0947,0.0408,0.013,0.845,0.587,1000
2,0.6,0.03,0.0666,0.0946,0.0416,0.014,0.862,0.586,1000
3,1.2,0.06,0.1305,0.0944,0.0424,0.014,0.878,0.585,1000
4,1.7,0.09,0.1916,0.0941,0.0432,0.014,0.894,0.583,1000
5,2.3,0.12,0.2499,0.0937,0.0439,0.014,0.910,0.580,1000
6,2.9,0.15,0.3054,0.0930,0.0446,0.015,0.924,0.576,1000
7,3.5,0.18,0.3581,0.0920,0.0452,0.015,0.936,0.570,1000
8,4.1,0.21,0.4079,0.0906,0.0456,0.015,0.944,0.562,1000
9,4.7,0.23,0.4547,0.0889,0.0458,0.015,0.949,0.551,1000
10,5.2,0.26,0.4984,0.0868,0.0459,0.015,0.951,0.538,1000
11,5.8,0.29,0.5389,0.0843,0.0459,0.015,0.950,0.522,1000
12,6.4,0.32,0.5760,0.0815,0.0456,0.015,0.945,0.505,1000
13,7.0,0.35,0.6098,0.0785,0.0453,0.015,0.938,0.486,1000
14,7.6,0.38,0.6399,0.0752,0.0448,0.015,0.927,0.466,1000
15,8.2,0.41,0.6664,0.0717,0.0441,0.014,0.914,0.444,1000
16,8.7,0.44,0.6894,0.0678,0.0433,0.014,0.896,0.420,1000
17,9.3,0.47,0.7088,0.0636,0.0421,0.014,0.872,0.394,1000
18,9.9,0.50,0.7247,0.0593,0.0408,0.013,0.845,0.367,1000
19,10.5,0.53,0.7374,0.0549,0.0393,0.013,0.813,0.340,1000
20,11.1,0.56,0.7471,0.0504,0.0376,0.012,0.778,0.312,1000
21,11.7,0.59,0.7544,0.0458,0.0356,0.012,0.736,0.283,1000
22,12.2,0.62,0.7598,0.0410,0.0333,0.011,0.689,0.254,1000
23,12.8,0.64,0.7628,0.0362,0.0306,0.010,0.634,0.224,1000
24,13.4,0.67,0.7627,0.0313,0.0277,0.009,0.573,0.194,1000
25,14.0,0.70,0.7592,0.0263,0.0244,0.008,0.504,0.163,1000
26,14.6,0.73,0.7477,0.0212,0.0207,0.007,0.430,0.131,1000
27,15.2,0.76,0.7203,0.0160,0.0169,0.006,0.350,0.099,1000
28,15.7,0.79,0.6624,0.0107,0.0128,0.004,0.265,0.066,1000
29,16.3,0.82,0.5212,0.0053,0.0084,0.003,0.174,0.033,1000
