,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1200,0.0718,0.002,0.022,0.049,5000
2,1.1,0.05,0.0763,0.1202,0.0738,0.002,0.023,0.049,5000
3,2.1,0.09,0.1487,0.1204,0.0759,0.002,0.023,0.049,5000
4,3.2,0.14,0.2172,0.1207,0.0781,0.002,0.024,0.049,5000
5,4.2,0.19,0.2816,0.1209,0.0805,0.002,0.025,0.049,5000
6,5.3,0.23,0.3420,0.1212,0.0830,0.002,0.025,0.049,5000
7,6.3,0.28,0.3986,0.1215,0.0857,0.002,0.026,0.049,5000
8,7.4,0.33,0.4515,0.1215,0.0883,0.002,0.027,0.049,5000
9,8.4,0.37,0.5009,0.1214,0.0909,0.002,0.028,0.049,5000
10,9.5,0.42,0.5467,0.1211,0.0934,0.002,0.029,0.049,5000
11,10.5,0.47,0.5891,0.1204,0.0958,0.002,0.029,0.049,5000
12,11.6,0.52,0.6281,0.1193,0.0979,0.002,0.030,0.048,5000
13,12.6,0.56,0.6639,0.1177,0.0997,0.002,0.031,0.048,5000
14,13.7,0.61,0.6963,0.1157,0.1012,0.002,0.031,0.047,5000
15,14.8,0.66,0.7253,0.1130,0.1022,0.002,0.031,0.046,5000
16,15.8,0.70,0.7510,0.1098,0.1028,0.002,0.031,0.045,5000
17,16.9,0.75,0.7739,0.1053,0.1020,0.002,0.031,0.043,5000
18,17.9,0.80,0.7946,0.0984,0.0987,0.002,0.030,0.040,5000
19,19.0,0.84,0.8117,0.0912,0.0948,0.002,0.029,0.037,5000
20,20.0,0.89,0.8253,0.0851,0.0918,0.002,0.028,0.034,5000
21,21.1,0.94,0.8373,0.0778,0.0870,0.002,0.027,0.032,5000
22,22.1,0.98,0.8472,0.0702,0.0815,0.002,0.025,0.028,5000
23,23.2,1.03,0.8553,0.0624,0.0751,0.002,0.023,0.025,5000
24,24.2,1.08,0.8619,0.0542,0.0678,0.002,0.021,0.022,5000
25,25.3,1.12,0.8662,0.0458,0.0594,0.001,0.018,0.019,5000
26,26.3,1.17,0.8665,0.0370,0.0500,0.001,0.015,0.015,5000
27,27.4,1.22,0.8596,0.0279,0.0396,0.001,0.012,0.011,5000
