,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1754,0.1035,0.001,0.013,0.036,5000
2,0.7,0.04,0.0633,0.1745,0.1051,0.001,0.014,0.036,5000
3,1.4,0.08,0.1240,0.1735,0.1067,0.001,0.014,0.035,5000
4,2.2,0.11,0.1821,0.1722,0.1082,0.001,0.014,0.035,5000
5,2.9,0.15,0.2374,0.1708,0.1097,0.001,0.014,0.035,5000
6,3.6,0.19,0.2901,0.1691,0.1111,0.001,0.014,0.034,5000
7,4.3,0.23,0.3401,0.1671,0.1124,0.001,0.015,0.034,5000
8,5.1,0.27,0.3875,0.1648,0.1135,0.001,0.015,0.034,5000
9,5.8,0.30,0.4321,0.1621,0.1144,0.001,0.015,0.033,5000
10,6.5,0.34,0.4741,0.1590,0.1150,0.001,0.015,0.032,5000
11,7.2,0.38,0.5134,0.1553,0.1153,0.001,0.015,0.032,5000
12,7.9,0.42,0.5500,0.1511,0.1152,0.001,0.015,0.031,5000
13,8.7,0.46,0.5840,0.1464,0.1147,0.001,0.015,0.030,5000
14,9.4,0.50,0.6154,0.1409,0.1135,0.001,0.015,0.029,5000
15,10.1,0.53,0.6441,0.1346,0.1115,0.001,0.014,0.027,5000
16,10.8,0.57,0.6702,0.1272,0.1086,0.001,0.014,0.026,5000
17,11.6,0.61,0.6935,0.1195,0.1051,0.001,0.014,0.024,5000
18,12.3,0.65,0.7141,0.1116,0.1012,0.001,0.013,0.023,5000
19,13.0,0.69,0.7322,0.1034,0.0969,0.001,0.013,0.021,5000
20,13.7,0.72,0.7479,0.0952,0.0922,0.001,0.012,0.019,5000
21,14.4,0.76,0.7614,0.0870,0.0871,0.001,0.011,0.018,5000
22,15.2,0.80,0.7732,0.0797,0.0825,0.001,0.011,0.016,5000
23,15.9,0.84,0.7825,0.0708,0.0759,0.001,0.010,0.014,5000
24,16.6,0.88,0.7890,0.0616,0.0684,0.001,0.009,0.013,5000
25,17.3,0.91,0.7917,0.0520,0.0601,0.001,0.008,0.011,5000
26,18.0,0.95,0.7876,0.0422,0.0510,0.001,0.007,0.009,5000
27,18.8,0.99,0.7715,0.0320,0.0411,0.000,0.005,0.007,5000
28,19.5,1.03,0.7286,0.0216,0.0304,0.000,0.004,0.004,5000
