,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1214,0.0800,0.007,0.073,0.127,6000
2,1.6,0.05,0.0766,0.1217,0.0821,0.007,0.075,0.128,6000
3,3.2,0.10,0.1494,0.1220,0.0843,0.007,0.077,0.128,6000
4,4.8,0.15,0.2183,0.1223,0.0868,0.008,0.080,0.128,6000
5,6.5,0.21,0.2834,0.1227,0.0894,0.008,0.082,0.129,6000
6,8.1,0.26,0.3445,0.1230,0.0922,0.008,0.085,0.129,6000
7,9.7,0.31,0.4018,0.1234,0.0952,0.008,0.087,0.130,6000
8,11.3,0.36,0.4551,0.1239,0.0984,0.009,0.090,0.130,6000
9,12.9,0.41,0.5048,0.1243,0.1018,0.009,0.094,0.130,6000
10,14.5,0.46,0.5517,0.1247,0.1051,0.009,0.097,0.131,6000
11,16.1,0.52,0.5942,0.1250,0.1087,0.010,0.100,0.131,6000
12,17.8,0.57,0.6336,0.1251,0.1122,0.010,0.103,0.131,6000
13,19.4,0.62,0.6698,0.1248,0.1155,0.010,0.106,0.131,6000
14,21.0,0.67,0.7031,0.1239,0.1183,0.010,0.109,0.130,6000
15,22.6,0.72,0.7335,0.1218,0.1201,0.011,0.110,0.128,6000
16,24.2,0.77,0.7606,0.1187,0.1209,0.011,0.111,0.125,6000
17,25.8,0.83,0.7845,0.1146,0.1207,0.011,0.111,0.120,6000
18,27.4,0.88,0.8054,0.1093,0.1192,0.010,0.109,0.115,6000
19,29.1,0.93,0.8237,0.1022,0.1154,0.010,0.106,0.107,6000
20,30.7,0.98,0.8394,0.0940,0.1099,0.010,0.101,0.099,6000
21,32.3,1.03,0.8521,0.0856,0.1038,0.009,0.095,0.090,6000
22,33.9,1.08,0.8624,0.0771,0.0970,0.008,0.089,0.081,6000
23,35.5,1.14,0.8710,0.0684,0.0892,0.008,0.082,0.072,6000
24,37.1,1.19,0.8783,0.0594,0.0804,0.007,0.074,0.062,6000
25,38.7,1.24,0.8843,0.0501,0.0702,0.006,0.064,0.053,6000
26,40.4,1.29,0.8881,0.0405,0.0588,0.005,0.054,0.042,6000
27,42.0,1.34,0.8838,0.0306,0.0465,0.004,0.043,0.032,6000
28,43.6,1.39,0.8600,0.0205,0.0332,0.003,0.030,0.021,6000
29,45.2,1.45,0.7697,0.0103,0.0193,0.002,0.018,0.011,6000
30,46.8,1.50,-0.0023,0.0000,0.0070,0.001,0.006,0.000,6000
31,0.0,0.00,0.0000,0.1213,0.0796,0.011,0.099,0.173,7000
32,1.9,0.05,0.0766,0.1215,0.0817,0.011,0.102,0.174,7000
33,3.8,0.10,0.1493,0.1218,0.0839,0.012,0.105,0.174,7000
34,5.6,0.15,0.2181,0.1222,0.0864,0.012,0.108,0.174,7000
35,7.5,0.21,0.2830,0.1225,0.0891,0.012,0.111,0.175,7000
36,9.4,0.26,0.3440,0.1229,0.0919,0.013,0.115,0.176,7000
37,11.3,0.31,0.4010,0.1233,0.0949,0.013,0.119,0.176,7000
38,13.1,0.36,0.4542,0.1237,0.0981,0.014,0.123,0.177,7000
39,15.0,0.41,0.5036,0.1242,0.1015,0.014,0.127,0.177,7000
40,16.9,0.46,0.5494,0.1247,0.1051,0.015,0.131,0.178,7000
41,18.8,0.51,0.5919,0.1250,0.1087,0.015,0.136,0.179,7000
42,20.6,0.57,0.6313,0.1251,0.1122,0.016,0.140,0.179,7000
43,22.5,0.62,0.6676,0.1249,0.1155,0.016,0.144,0.178,7000
44,24.4,0.67,0.7009,0.1240,0.1183,0.016,0.148,0.177,7000
45,26.3,0.72,0.7315,0.1221,0.1202,0.017,0.150,0.174,7000
46,28.1,0.77,0.7587,0.1190,0.1210,0.017,0.151,0.170,7000
47,30.0,0.82,0.7828,0.1150,0.1209,0.017,0.151,0.164,7000
48,31.9,0.87,0.8039,0.1098,0.1194,0.017,0.149,0.157,7000
49,33.8,0.93,0.8224,0.1028,0.1157,0.016,0.145,0.147,7000
50,35.6,0.98,0.8383,0.0946,0.1102,0.015,0.138,0.135,7000
51,37.5,1.03,0.8512,0.0862,0.1042,0.014,0.130,0.123,7000
52,39.4,1.08,0.8617,0.0777,0.0974,0.014,0.122,0.111,7000
53,41.3,1.13,0.8703,0.0689,0.0896,0.012,0.112,0.098,7000
54,43.1,1.18,0.8776,0.0599,0.0808,0.011,0.101,0.086,7000
55,45.0,1.23,0.8834,0.0506,0.0707,0.010,0.088,0.072,7000
56,46.9,1.29,0.8870,0.0410,0.0594,0.008,0.074,0.059,7000
57,48.8,1.34,0.8819,0.0310,0.0471,0.007,0.059,0.044,7000
58,50.6,1.39,0.8559,0.0208,0.0338,0.005,0.042,0.030,7000
59,52.5,1.44,0.7604,0.0104,0.0198,0.003,0.025,0.015,7000
60,54.4,1.49,0.0014,0.0000,0.0068,0.001,0.009,0.000,7000
61,0.0,0.00,0.0000,0.1213,0.0798,0.017,0.130,0.226,8000
62,2.1,0.05,0.0760,0.1216,0.0820,0.017,0.134,0.227,8000
63,4.3,0.10,0.1483,0.1219,0.0842,0.017,0.138,0.227,8000
64,6.4,0.15,0.2169,0.1222,0.0866,0.018,0.141,0.228,8000
65,8.5,0.20,0.2813,0.1226,0.0893,0.019,0.146,0.229,8000
66,10.7,0.26,0.3420,0.1229,0.0921,0.019,0.150,0.229,8000
67,12.8,0.31,0.3989,0.1233,0.0951,0.020,0.155,0.230,8000
68,14.9,0.36,0.4519,0.1238,0.0982,0.020,0.160,0.231,8000
69,17.1,0.41,0.5013,0.1242,0.1016,0.021,0.166,0.232,8000
70,19.2,0.46,0.5472,0.1247,0.1051,0.022,0.172,0.233,8000
71,21.3,0.51,0.5896,0.1251,0.1087,0.023,0.177,0.233,8000
72,23.5,0.56,0.6291,0.1252,0.1122,0.023,0.183,0.234,8000
73,25.6,0.61,0.6654,0.1250,0.1155,0.024,0.189,0.233,8000
74,27.8,0.67,0.6988,0.1242,0.1184,0.025,0.193,0.232,8000
75,29.9,0.72,0.7294,0.1223,0.1203,0.025,0.196,0.228,8000
76,32.0,0.77,0.7569,0.1194,0.1212,0.025,0.198,0.223,8000
77,34.2,0.82,0.7811,0.1154,0.1211,0.025,0.198,0.215,8000
78,36.3,0.87,0.8024,0.1103,0.1197,0.025,0.195,0.206,8000
79,38.4,0.92,0.8211,0.1035,0.1162,0.024,0.190,0.193,8000
80,40.6,0.97,0.8373,0.0952,0.1107,0.023,0.181,0.178,8000
81,42.7,1.02,0.8504,0.0868,0.1046,0.022,0.171,0.162,8000
82,44.8,1.08,0.8609,0.0783,0.0978,0.020,0.160,0.146,8000
83,47.0,1.13,0.8696,0.0696,0.0901,0.019,0.147,0.130,8000
84,49.1,1.18,0.8769,0.0606,0.0814,0.017,0.133,0.113,8000
85,51.2,1.23,0.8826,0.0512,0.0714,0.015,0.117,0.096,8000
86,53.4,1.28,0.8859,0.0415,0.0601,0.012,0.098,0.078,8000
87,55.5,1.33,0.8800,0.0315,0.0477,0.010,0.078,0.059,8000
88,57.6,1.38,0.8521,0.0212,0.0344,0.007,0.056,0.040,8000
89,59.8,1.43,0.7520,0.0107,0.0203,0.004,0.033,0.020,8000
90,61.9,1.49,0.0084,0.0000,0.0069,0.001,0.011,0.000,8000
91,0.0,0.00,0.0000,0.1213,0.0801,0.024,0.165,0.287,9000
92,2.4,0.05,0.0756,0.1216,0.0821,0.024,0.170,0.287,9000
93,4.8,0.10,0.1475,0.1219,0.0844,0.025,0.174,0.288,9000
94,7.2,0.15,0.2156,0.1222,0.0868,0.026,0.179,0.289,9000
95,9.6,0.20,0.2799,0.1226,0.0894,0.026,0.185,0.289,9000
96,12.0,0.26,0.3404,0.1230,0.0922,0.027,0.191,0.290,9000
97,14.4,0.31,0.3971,0.1234,0.0951,0.028,0.197,0.291,9000
98,16.7,0.36,0.4501,0.1238,0.0983,0.029,0.203,0.292,9000
99,19.1,0.41,0.4994,0.1242,0.1016,0.030,0.210,0.293,9000
100,21.5,0.46,0.5452,0.1247,0.1051,0.031,0.217,0.294,9000
101,23.9,0.51,0.5876,0.1251,0.1087,0.032,0.225,0.295,9000
102,26.3,0.56,0.6270,0.1253,0.1122,0.033,0.232,0.296,9000
103,28.7,0.61,0.6634,0.1251,0.1155,0.034,0.239,0.295,9000
104,31.1,0.66,0.6969,0.1244,0.1184,0.035,0.245,0.294,9000
105,33.5,0.71,0.7276,0.1226,0.1204,0.036,0.249,0.289,9000
106,35.9,0.77,0.7552,0.1197,0.1213,0.036,0.251,0.283,9000
107,38.3,0.82,0.7796,0.1158,0.1213,0.036,0.251,0.273,9000
108,40.7,0.87,0.8010,0.1108,0.1200,0.035,0.248,0.262,9000
109,43.1,0.92,0.8199,0.1041,0.1167,0.034,0.241,0.246,9000
110,45.5,0.97,0.8363,0.0958,0.1112,0.033,0.230,0.226,9000
111,47.9,1.02,0.8495,0.0875,0.1051,0.031,0.217,0.207,9000
112,50.2,1.07,0.8602,0.0789,0.0983,0.029,0.203,0.186,9000
113,52.6,1.12,0.8690,0.0702,0.0907,0.027,0.187,0.166,9000
114,55.0,1.17,0.8763,0.0612,0.0819,0.024,0.169,0.144,9000
115,57.4,1.23,0.8819,0.0518,0.0719,0.021,0.149,0.122,9000
116,59.8,1.28,0.8847,0.0421,0.0607,0.018,0.125,0.099,9000
117,62.2,1.33,0.8780,0.0320,0.0483,0.014,0.100,0.075,9000
118,64.6,1.38,0.8476,0.0215,0.0349,0.010,0.072,0.051,9000
119,67.0,1.43,0.7406,0.0108,0.0208,0.006,0.043,0.025,9000
120,69.4,1.48,0.0058,0.0000,0.0071,0.002,0.015,0.000,9000
121,0.0,0.00,0.0000,0.1214,0.0803,0.033,0.205,0.354,10000
122,2.7,0.05,0.0752,0.1216,0.0824,0.033,0.210,0.355,10000
123,5.3,0.10,0.1468,0.1219,0.0846,0.034,0.216,0.355,10000
124,8.0,0.15,0.2146,0.1223,0.0870,0.035,0.222,0.356,10000
125,10.6,0.20,0.2787,0.1226,0.0896,0.036,0.229,0.357,10000
126,13.3,0.25,0.3390,0.1230,0.0923,0.037,0.236,0.358,10000
