,Velocity (m/s),J (Adv Ratio),Pe,Ct,Cp,PWR (W),Torque (N/m),Thrust (N),Frequency (Hz),Model
0,0.0,0.0,0.0,0.1272,0.0592,0.0,0.000112984833333333,0.013344666000000002,16.666666666666668,5x3
1,0.044704,0.03,0.0602,0.1262,0.0599,0.0,0.000112984833333333,0.013344666000000002,16.666666666666668,5x3
2,0.13411199999999998,0.06,0.1181,0.125,0.0604,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3
3,0.178816,0.09,0.1737,0.1238,0.061,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3
4,0.22352,0.11,0.227,0.1221,0.0614,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3
5,0.312928,0.14,0.2779,0.1204,0.0618,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3
6,0.357632,0.17,0.3264,0.1183,0.0621,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3
7,0.402336,0.2,0.3724,0.1161,0.0623,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3
8,0.491744,0.23,0.4158,0.1135,0.0623,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3
9,0.5364479999999999,0.26,0.4566,0.1106,0.0622,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3
10,0.625856,0.29,0.4947,0.1073,0.0619,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3
11,0.67056,0.31,0.53,0.1037,0.0614,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3
12,0.715264,0.34,0.5624,0.0995,0.0606,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3
13,0.804672,0.37,0.5918,0.0948,0.0594,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3
14,0.8493759999999999,0.4,0.6179,0.0897,0.058,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3
15,0.89408,0.43,0.641,0.0846,0.0565,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3
16,0.983488,0.46,0.661,0.0793,0.0548,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3
17,1.028192,0.49,0.678,0.0739,0.0529,0.0,0.000112984833333333,0.004448222000000001,16.666666666666668,5x3
18,1.0728959999999998,0.51,0.6921,0.0683,0.0507,0.0,0.000112984833333333,0.004448222000000001,16.666666666666668,5x3
19,1.162304,0.54,0.7032,0.0627,0.0483,0.0,0.000112984833333333,0.004448222000000001,16.666666666666668,5x3
20,1.207008,0.57,0.7113,0.0569,0.0457,0.0,0.000112984833333333,0.004448222000000001,16.666666666666668,5x3
21,1.251712,0.6,0.7162,0.0509,0.0426,0.0,0.000112984833333333,0.004448222000000001,16.666666666666668,5x3
22,1.34112,0.63,0.717,0.0448,0.0393,0.0,0.000112984833333333,0.004448222000000001,16.666666666666668,5x3
23,1.385824,0.66,0.7125,0.0387,0.0356,0.0,0.000112984833333333,0.004448222000000001,16.666666666666668,5x3
24,1.430528,0.69,0.7002,0.0323,0.0316,0.0,0.000112984833333333,0.004448222000000001,16.666666666666668,5x3
25,1.519936,0.71,0.6752,0.026,0.0274,0.0,0.0,0.004448222000000001,16.666666666666668,5x3
26,1.56464,0.74,0.6279,0.0195,0.0231,0.0,0.0,0.0,16.666666666666668,5x3
27,1.609344,0.77,0.5426,0.0131,0.0185,0.0,0.0,0.0,16.666666666666668,5x3
28,1.6987519999999998,0.8,0.3801,0.0066,0.0139,0.0,0.0,0.0,16.666666666666668,5x3
29,1.743456,0.83,0.0078,0.0001,0.0092,0.0,0.0,0.0,16.666666666666668,5x3
30,0.0,0.0,0.0,0.1273,0.0593,0.0,0.000451939333333332,0.04448222,33.333333333333336,5x3
31,0.13411199999999998,0.03,0.0601,0.1263,0.0599,0.0,0.000451939333333332,0.04448222,33.333333333333336,5x3
32,0.22352,0.06,0.1179,0.1251,0.0605,0.0,0.000451939333333332,0.04448222,33.333333333333336,5x3
33,0.357632,0.09,0.1735,0.1237,0.061,0.0,0.000451939333333332,0.04448222,33.333333333333336,5x3
34,0.491744,0.11,0.2267,0.1222,0.0614,0.0,0.000451939333333332,0.04448222,33.333333333333336,5x3
35,0.581152,0.14,0.2775,0.1204,0.0619,0.0,0.000451939333333332,0.04448222,33.333333333333336,5x3
