,Velocity (m/s),J (Adv Ratio),Pe,Ct,Cp,PWR (W),Torque (N/m),Thrust (N),Frequency (Hz),Model
0,0.0,0.0,0.0,0.1141,0.0504,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3E
1,0.044704,0.03,0.0621,0.1131,0.0509,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3E
2,0.13411199999999998,0.06,0.1218,0.1119,0.0513,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3E
3,0.178816,0.08,0.1789,0.1105,0.0517,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3E
4,0.22352,0.11,0.2335,0.1089,0.0521,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3E
5,0.312928,0.14,0.2855,0.1069,0.0523,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3E
6,0.357632,0.17,0.3348,0.1048,0.0524,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3E
7,0.402336,0.2,0.3813,0.1023,0.0524,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3E
8,0.491744,0.22,0.425,0.0995,0.0523,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3E
9,0.5364479999999999,0.25,0.4656,0.0966,0.0521,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3E
10,0.581152,0.28,0.5032,0.0934,0.0518,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3E
11,0.67056,0.31,0.5377,0.09,0.0514,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3E
12,0.715264,0.34,0.5691,0.0864,0.0509,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3E
13,0.759968,0.36,0.5974,0.0825,0.0501,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3E
14,0.8493759999999999,0.39,0.6226,0.0781,0.0491,0.0,0.000112984833333333,0.008896444000000002,16.666666666666668,5x3E
15,0.89408,0.42,0.6446,0.0737,0.0479,0.0,0.000112984833333333,0.004448222000000001,16.666666666666668,5x3E
16,0.9387840000000001,0.45,0.6636,0.0691,0.0465,0.0,0.000112984833333333,0.004448222000000001,16.666666666666668,5x3E
17,0.983488,0.47,0.6797,0.0644,0.045,0.0,0.000112984833333333,0.004448222000000001,16.666666666666668,5x3E
18,1.0728959999999998,0.5,0.6933,0.0596,0.0432,0.0,0.000112984833333333,0.004448222000000001,16.666666666666668,5x3E
19,1.1176,0.53,0.7047,0.0547,0.0412,0.0,0.000112984833333333,0.004448222000000001,16.666666666666668,5x3E
20,1.162304,0.56,0.7141,0.0496,0.0388,0.0,0.000112984833333333,0.004448222000000001,16.666666666666668,5x3E
21,1.251712,0.59,0.7209,0.0445,0.0362,0.0,0.000112984833333333,0.004448222000000001,16.666666666666668,5x3E
22,1.296416,0.61,0.7246,0.0392,0.0332,0.0,0.000112984833333333,0.004448222000000001,16.666666666666668,5x3E
23,1.34112,0.64,0.7263,0.0339,0.03,0.0,0.0,0.004448222000000001,16.666666666666668,5x3E
24,1.430528,0.67,0.7224,0.0286,0.0265,0.0,0.0,0.004448222000000001,16.666666666666668,5x3E
25,1.4752319999999999,0.7,0.7084,0.0232,0.0228,0.0,0.0,0.0,16.666666666666668,5x3E
26,1.519936,0.73,0.6767,0.0175,0.0187,0.0,0.0,0.0,16.666666666666668,5x3E
27,1.609344,0.75,0.6111,0.0116,0.0143,0.0,0.0,0.0,16.666666666666668,5x3E
28,1.654048,0.78,0.472,0.0061,0.0101,0.0,0.0,0.0,16.666666666666668,5x3E
29,1.6987519999999998,0.81,0.0046,0.0,0.0064,0.0,0.0,0.0,16.666666666666668,5x3E
30,0.0,0.0,0.0,0.1141,0.0503,0.0,0.000338954499999999,0.040033998,33.333333333333336,5x3E
31,0.13411199999999998,0.03,0.0619,0.1131,0.0509,0.0,0.000338954499999999,0.040033998,33.333333333333336,5x3E
32,0.22352,0.06,0.1213,0.112,0.0514,0.0,0.000338954499999999,0.040033998,33.333333333333336,5x3E
33,0.357632,0.08,0.1784,0.1105,0.0517,0.0,0.000338954499999999,0.040033998,33.333333333333336,5x3E
34,0.491744,0.11,0.2327,0.1089,0.0521,0.0,0.000338954499999999,0.040033998,33.333333333333336,5x3E
35,0.581152,0.14,0.2846,0.107,0.0523,0.0,0.000338954499999999,0.040033998,33.333333333333336,5x3E
36,0.715264,0.17,0.3338,0.1048,0.0524,0.0,0.000338954499999999,0.035585776000000006,33.333333333333336,5x3E
37,0.804672,0.19,0.3802,0.1024,0.0525,0.0,0.000338954499999999,0.035585776000000006,33.333333333333336,5x3E
