,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1022,0.0527,0.000,0.003,0.006,1000
2,0.2,0.04,0.0679,0.1022,0.0538,0.000,0.003,0.006,1000
3,0.4,0.07,0.1330,0.1023,0.0549,0.000,0.003,0.006,1000
4,0.7,0.11,0.1953,0.1023,0.0561,0.000,0.003,0.006,1000
5,0.9,0.14,0.2547,0.1023,0.0574,0.000,0.003,0.006,1000
6,1.1,0.18,0.3112,0.1023,0.0587,0.000,0.003,0.006,1000
7,1.3,0.21,0.3648,0.1021,0.0600,0.000,0.004,0.006,1000
8,1.5,0.25,0.4157,0.1019,0.0613,0.000,0.004,0.006,1000
9,1.8,0.29,0.4636,0.1016,0.0626,0.000,0.004,0.006,1000
10,2.0,0.32,0.5087,0.1010,0.0638,0.000,0.004,0.006,1000
11,2.2,0.36,0.5510,0.1001,0.0649,0.000,0.004,0.006,1000
12,2.4,0.39,0.5905,0.0988,0.0657,0.000,0.004,0.006,1000
13,2.6,0.43,0.6271,0.0969,0.0662,0.000,0.004,0.006,1000
14,2.9,0.46,0.6608,0.0943,0.0663,0.000,0.004,0.005,1000
15,3.1,0.50,0.6912,0.0910,0.0658,0.000,0.004,0.005,1000
16,3.3,0.54,0.7185,0.0866,0.0645,0.000,0.004,0.005,1000
17,3.5,0.57,0.7422,0.0811,0.0625,0.000,0.004,0.005,1000
18,3.7,0.61,0.7619,0.0755,0.0602,0.000,0.004,0.004,1000
19,4.0,0.64,0.7778,0.0699,0.0577,0.000,0.003,0.004,1000
20,4.2,0.68,0.7900,0.0641,0.0550,0.000,0.003,0.004,1000
21,4.4,0.71,0.7991,0.0582,0.0520,0.000,0.003,0.003,1000
22,4.6,0.75,0.8055,0.0522,0.0486,0.000,0.003,0.003,1000
23,4.8,0.79,0.8097,0.0460,0.0447,0.000,0.003,0.003,1000
24,5.1,0.82,0.8118,0.0397,0.0402,0.000,0.002,0.002,1000
25,5.3,0.86,0.8105,0.0332,0.0352,0.000,0.002,0.002,1000
26,5.5,0.89,0.8049,0.0267,0.0296,0.000,0.002,0.002,1000
27,5.7,0.93,0.7873,0.0201,0.0237,0.000,0.001,0.001,1000
28,5.9,0.96,0.7421,0.0135,0.0175,0.000,0.001,0.001,1000
29,6.2,1.00,0.5928,0.0068,0.0115,0.000,0.001,0.000,1000
30,6.4,1.04,-0.0008,0.0000,0.0059,0.000,0.000,0.000,1000
31,0.0,0.00,0.0000,0.1022,0.0527,0.000,0.012,0.023,2000
32,0.4,0.04,0.0678,0.1022,0.0538,0.000,0.013,0.023,2000
33,0.9,0.07,0.1327,0.1023,0.0550,0.000,0.013,0.023,2000
34,1.3,0.11,0.1949,0.1023,0.0562,0.000,0.013,0.023,2000
35,1.8,0.14,0.2543,0.1023,0.0574,0.000,0.014,0.023,2000
36,2.2,0.18,0.3107,0.1023,0.0587,0.000,0.014,0.023,2000
37,2.6,0.21,0.3643,0.1021,0.0600,0.000,0.014,0.023,2000
38,3.1,0.25,0.4151,0.1019,0.0613,0.000,0.014,0.023,2000
39,3.5,0.29,0.4629,0.1016,0.0626,0.000,0.015,0.023,2000
40,4.0,0.32,0.5081,0.1010,0.0638,0.000,0.015,0.023,2000
41,4.4,0.36,0.5503,0.1001,0.0649,0.000,0.015,0.023,2000
42,4.8,0.39,0.5898,0.0988,0.0657,0.000,0.015,0.022,2000
43,5.3,0.43,0.6264,0.0969,0.0662,0.000,0.016,0.022,2000
44,5.7,0.46,0.6601,0.0944,0.0663,0.000,0.016,0.021,2000
45,6.1,0.50,0.6905,0.0911,0.0659,0.000,0.015,0.021,2000
46,6.6,0.53,0.7179,0.0867,0.0646,0.000,0.015,0.020,2000
47,7.0,0.57,0.7417,0.0813,0.0626,0.000,0.015,0.018,2000
48,7.5,0.61,0.7614,0.0757,0.0603,0.000,0.014,0.017,2000
49,7.9,0.64,0.7774,0.0701,0.0578,0.000,0.014,0.016,2000
50,8.3,0.68,0.7897,0.0643,0.0552,0.000,0.013,0.015,2000
51,8.8,0.71,0.7989,0.0584,0.0521,0.000,0.012,0.013,2000
52,9.2,0.75,0.8053,0.0524,0.0487,0.000,0.011,0.012,2000
53,9.7,0.78,0.8096,0.0463,0.0448,0.000,0.011,0.011,2000
54,10.1,0.82,0.8118,0.0399,0.0403,0.000,0.009,0.009,2000
55,10.5,0.86,0.8107,0.0335,0.0354,0.000,0.008,0.008,2000
56,11.0,0.89,0.8052,0.0270,0.0298,0.000,0.007,0.006,2000
57,11.4,0.93,0.7881,0.0203,0.0239,0.000,0.006,0.005,2000
58,11.9,0.96,0.7429,0.0136,0.0177,0.000,0.004,0.003,2000
59,12.3,1.00,0.5896,0.0069,0.0116,0.000,0.003,0.002,2000
60,12.7,1.03,-0.0063,0.0000,0.0061,0.000,0.001,0.000,2000
61,0.0,0.00,0.0000,0.1021,0.0526,0.001,0.028,0.052,3000
62,0.7,0.04,0.0679,0.1022,0.0537,0.001,0.028,0.052,3000
63,1.3,0.07,0.1330,0.1023,0.0548,0.001,0.029,0.052,3000
64,2.0,0.11,0.1952,0.1023,0.0560,0.001,0.030,0.052,3000
65,2.6,0.14,0.2546,0.1023,0.0573,0.001,0.030,0.052,3000
66,3.3,0.18,0.3110,0.1022,0.0586,0.001,0.031,0.052,3000
67,3.9,0.21,0.3646,0.1021,0.0599,0.002,0.032,0.052,3000
68,4.6,0.25,0.4153,0.1019,0.0612,0.002,0.032,0.052,3000
69,5.3,0.29,0.4632,0.1015,0.0625,0.002,0.033,0.052,3000
70,5.9,0.32,0.5083,0.1010,0.0637,0.002,0.034,0.052,3000
71,6.6,0.36,0.5505,0.1000,0.0648,0.002,0.034,0.051,3000
72,7.2,0.39,0.5899,0.0987,0.0656,0.002,0.035,0.051,3000
73,7.9,0.43,0.6265,0.0969,0.0661,0.002,0.035,0.050,3000
74,8.6,0.46,0.6601,0.0943,0.0662,0.002,0.035,0.048,3000
75,9.2,0.50,0.6905,0.0910,0.0658,0.002,0.035,0.047,3000
76,9.9,0.53,0.7178,0.0867,0.0646,0.002,0.034,0.044,3000
77,10.5,0.57,0.7415,0.0813,0.0626,0.002,0.033,0.042,3000
78,11.2,0.61,0.7613,0.0758,0.0603,0.002,0.032,0.039,3000
79,11.8,0.64,0.7773,0.0701,0.0579,0.001,0.031,0.036,3000
80,12.5,0.68,0.7896,0.0644,0.0552,0.001,0.029,0.033,3000
81,13.2,0.71,0.7989,0.0585,0.0522,0.001,0.028,0.030,3000
82,13.8,0.75,0.8053,0.0525,0.0488,0.001,0.026,0.027,3000
83,14.5,0.78,0.8096,0.0463,0.0449,0.001,0.024,0.024,3000
84,15.1,0.82,0.8118,0.0400,0.0404,0.001,0.021,0.020,3000
85,15.8,0.86,0.8107,0.0336,0.0354,0.001,0.019,0.017,3000
86,16.5,0.89,0.8049,0.0269,0.0298,0.001,0.016,0.014,3000
87,17.1,0.93,0.7871,0.0202,0.0238,0.001,0.013,0.010,3000
88,17.8,0.96,0.7399,0.0135,0.0175,0.000,0.009,0.007,3000
89,18.4,1.00,0.5837,0.0068,0.0116,0.000,0.006,0.003,3000
90,19.1,1.03,-0.0015,0.0000,0.0061,0.000,0.003,0.000,3000
91,0.0,0.00,0.0000,0.1021,0.0526,0.003,0.050,0.093,4000
92,0.9,0.04,0.0678,0.1022,0.0537,0.003,0.051,0.093,4000
93,1.8,0.07,0.1327,0.1023,0.0549,0.003,0.052,0.093,4000
94,2.6,0.11,0.1949,0.1023,0.0561,0.003,0.053,0.093,4000
95,3.5,0.14,0.2542,0.1023,0.0573,0.003,0.054,0.093,4000
96,4.4,0.18,0.3106,0.1022,0.0586,0.004,0.055,0.093,4000
97,5.3,0.21,0.3641,0.1021,0.0599,0.004,0.056,0.093,4000
98,6.1,0.25,0.4148,0.1019,0.0613,0.004,0.058,0.093,4000
99,7.0,0.28,0.4626,0.1016,0.0626,0.004,0.059,0.092,4000
100,7.9,0.32,0.5077,0.1010,0.0638,0.004,0.060,0.092,4000
101,8.8,0.36,0.5499,0.1001,0.0648,0.004,0.061,0.091,4000
102,9.6,0.39,0.5894,0.0988,0.0657,0.004,0.062,0.090,4000
103,10.5,0.43,0.6259,0.0969,0.0662,0.004,0.062,0.088,4000
104,11.4,0.46,0.6595,0.0944,0.0663,0.004,0.062,0.086,4000
105,12.3,0.50,0.6900,0.0912,0.0659,0.004,0.062,0.083,4000
106,13.2,0.53,0.7174,0.0869,0.0647,0.004,0.061,0.079,4000
107,14.0,0.57,0.7412,0.0815,0.0627,0.004,0.059,0.074,4000
108,14.9,0.61,0.7610,0.0759,0.0604,0.004,0.057,0.069,4000
109,15.8,0.64,0.7771,0.0703,0.0580,0.003,0.055,0.064,4000
110,16.7,0.68,0.7895,0.0646,0.0553,0.003,0.052,0.059,4000
111,17.5,0.71,0.7988,0.0587,0.0524,0.003,0.049,0.053,4000
112,18.4,0.75,0.8053,0.0527,0.0490,0.003,0.046,0.048,4000
113,19.3,0.78,0.8096,0.0466,0.0451,0.003,0.042,0.042,4000
114,20.2,0.82,0.8119,0.0402,0.0406,0.002,0.038,0.037,4000
115,21.0,0.85,0.8108,0.0338,0.0356,0.002,0.034,0.031,4000
116,21.9,0.89,0.8053,0.0271,0.0300,0.002,0.028,0.025,4000
117,22.8,0.93,0.7879,0.0204,0.0240,0.001,0.023,0.019,4000
118,23.7,0.96,0.7418,0.0136,0.0177,0.001,0.017,0.012,4000
119,24.6,1.00,0.5878,0.0068,0.0116,0.001,0.011,0.006,4000
120,25.4,1.03,-0.0006,0.0000,0.0060,0.000,0.006,0.000,4000
121,0.0,0.00,0.0000,0.1022,0.0527,0.006,0.077,0.145,5000
122,1.1,0.04,0.0677,0.1022,0.0538,0.006,0.079,0.145,5000
123,2.2,0.07,0.1326,0.1023,0.0549,0.006,0.081,0.145,5000
124,3.3,0.11,0.1948,0.1023,0.0561,0.007,0.083,0.145,5000
125,4.4,0.14,0.2540,0.1023,0.0574,0.007,0.084,0.145,5000
126,5.5,0.18,0.3104,0.1023,0.0587,0.007,0.086,0.145,5000
127,6.6,0.21,0.3639,0.1022,0.0600,0.007,0.088,0.145,5000
128,7.7,0.25,0.4146,0.1020,0.0613,0.007,0.090,0.145,5000
129,8.8,0.28,0.4624,0.1016,0.0626,0.007,0.092,0.144,5000
130,9.9,0.32,0.5075,0.1011,0.0638,0.007,0.094,0.144,5000
131,11.0,0.36,0.5497,0.1002,0.0649,0.008,0.095,0.142,5000
132,12.1,0.39,0.5892,0.0989,0.0658,0.008,0.097,0.141,5000
133,13.2,0.43,0.6257,0.0970,0.0663,0.008,0.097,0.138,5000
134,14.3,0.46,0.6594,0.0945,0.0664,0.008,0.098,0.134,5000
135,15.3,0.50,0.6899,0.0913,0.0660,0.008,0.097,0.130,5000
136,16.4,0.53,0.7173,0.0870,0.0648,0.008,0.095,0.124,5000
137,17.5,0.57,0.7411,0.0816,0.0627,0.007,0.092,0.116,5000
138,18.6,0.61,0.7610,0.0760,0.0605,0.007,0.089,0.108,5000
139,19.7,0.64,0.7771,0.0704,0.0581,0.007,0.085,0.100,5000
140,20.8,0.68,0.7895,0.0646,0.0554,0.006,0.081,0.092,5000
141,21.9,0.71,0.7989,0.0588,0.0524,0.006,0.077,0.084,5000
142,23.0,0.75,0.8054,0.0528,0.0490,0.006,0.072,0.075,5000
143,24.1,0.78,0.8096,0.0466,0.0451,0.005,0.066,0.066,5000
144,25.2,0.82,0.8120,0.0403,0.0407,0.005,0.060,0.057,5000
145,26.3,0.85,0.8109,0.0338,0.0356,0.004,0.052,0.048,5000
146,27.4,0.89,0.8053,0.0272,0.0301,0.004,0.044,0.039,5000
147,28.5,0.93,0.7880,0.0204,0.0240,0.003,0.035,0.029,5000
148,29.6,0.96,0.7418,0.0136,0.0177,0.002,0.026,0.019,5000
149,30.7,1.00,0.5880,0.0068,0.0116,0.001,0.017,0.010,5000
150,31.8,1.03,0.0016,0.0000,0.0060,0.001,0.009,0.000,5000
151,0.0,0.00,0.0000,0.1022,0.0527,0.011,0.112,0.209,6000
