,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1088,0.0584,0.000,0.009,0.013,1000
2,0.3,0.04,0.0669,0.1087,0.0595,0.000,0.009,0.013,1000
3,0.5,0.07,0.1312,0.1086,0.0606,0.000,0.009,0.013,1000
4,0.8,0.11,0.1927,0.1084,0.0618,0.000,0.009,0.013,1000
5,1.1,0.15,0.2515,0.1082,0.0630,0.000,0.009,0.013,1000
6,1.4,0.18,0.3074,0.1080,0.0643,0.000,0.009,0.013,1000
7,1.6,0.22,0.3605,0.1076,0.0656,0.000,0.010,0.013,1000
8,1.9,0.26,0.4107,0.1071,0.0668,0.000,0.010,0.013,1000
9,2.2,0.29,0.4582,0.1065,0.0681,0.000,0.010,0.013,1000
10,2.4,0.33,0.5029,0.1056,0.0692,0.000,0.010,0.012,1000
11,2.7,0.37,0.5448,0.1045,0.0703,0.000,0.010,0.012,1000
12,3.0,0.40,0.5838,0.1032,0.0712,0.000,0.010,0.012,1000
13,3.2,0.44,0.6201,0.1014,0.0719,0.000,0.011,0.012,1000
14,3.5,0.48,0.6536,0.0993,0.0723,0.000,0.011,0.012,1000
15,3.8,0.51,0.6842,0.0966,0.0724,0.000,0.011,0.011,1000
16,4.1,0.55,0.7119,0.0931,0.0718,0.000,0.011,0.011,1000
17,4.3,0.59,0.7369,0.0872,0.0693,0.000,0.010,0.010,1000
18,4.6,0.62,0.7575,0.0812,0.0667,0.000,0.010,0.010,1000
19,4.9,0.66,0.7746,0.0750,0.0638,0.000,0.009,0.009,1000
20,5.1,0.70,0.7881,0.0688,0.0607,0.000,0.009,0.008,1000
21,5.4,0.73,0.7982,0.0625,0.0573,0.000,0.008,0.007,1000
22,5.7,0.77,0.8054,0.0560,0.0535,0.000,0.008,0.007,1000
23,5.9,0.81,0.8099,0.0494,0.0491,0.000,0.007,0.006,1000
24,6.2,0.84,0.8117,0.0426,0.0442,0.000,0.006,0.005,1000
25,6.5,0.88,0.8103,0.0358,0.0388,0.000,0.006,0.004,1000
26,6.8,0.92,0.8033,0.0288,0.0328,0.000,0.005,0.003,1000
27,7.0,0.95,0.7850,0.0217,0.0263,0.000,0.004,0.003,1000
28,7.3,0.99,0.7316,0.0145,0.0195,0.000,0.003,0.002,1000
29,7.6,1.03,0.5524,0.0072,0.0133,0.000,0.002,0.001,1000
30,7.8,1.06,-0.0225,-0.0002,0.0075,0.000,0.001,0.000,1000
31,0.0,0.00,0.0000,0.1088,0.0584,0.001,0.034,0.051,2000
32,0.5,0.04,0.0667,0.1087,0.0595,0.001,0.035,0.051,2000
33,1.1,0.07,0.1308,0.1086,0.0606,0.001,0.035,0.051,2000
34,1.6,0.11,0.1922,0.1085,0.0618,0.001,0.036,0.051,2000
35,2.2,0.15,0.2507,0.1083,0.0631,0.001,0.037,0.051,2000
36,2.7,0.18,0.3065,0.1080,0.0643,0.001,0.038,0.051,2000
37,3.2,0.22,0.3595,0.1076,0.0656,0.001,0.038,0.051,2000
38,3.8,0.26,0.4097,0.1072,0.0668,0.001,0.039,0.051,2000
39,4.3,0.29,0.4571,0.1065,0.0681,0.001,0.040,0.050,2000
40,4.9,0.33,0.5017,0.1057,0.0692,0.001,0.041,0.050,2000
41,5.4,0.37,0.5435,0.1046,0.0703,0.001,0.041,0.049,2000
42,5.9,0.40,0.5826,0.1032,0.0712,0.001,0.042,0.049,2000
43,6.5,0.44,0.6188,0.1015,0.0719,0.001,0.042,0.048,2000
44,7.0,0.47,0.6523,0.0994,0.0723,0.001,0.042,0.047,2000
45,7.6,0.51,0.6829,0.0968,0.0725,0.001,0.042,0.046,2000
46,8.1,0.55,0.7108,0.0934,0.0719,0.001,0.042,0.044,2000
47,8.6,0.58,0.7359,0.0875,0.0695,0.001,0.041,0.041,2000
48,9.2,0.62,0.7566,0.0815,0.0669,0.001,0.039,0.038,2000
49,9.7,0.66,0.7739,0.0754,0.0640,0.001,0.037,0.036,2000
50,10.2,0.69,0.7875,0.0692,0.0610,0.001,0.036,0.033,2000
51,10.8,0.73,0.7978,0.0629,0.0576,0.001,0.034,0.030,2000
52,11.3,0.77,0.8051,0.0564,0.0537,0.001,0.031,0.027,2000
53,11.9,0.80,0.8098,0.0498,0.0494,0.001,0.029,0.024,2000
54,12.4,0.84,0.8117,0.0431,0.0446,0.001,0.026,0.020,2000
55,12.9,0.88,0.8104,0.0362,0.0391,0.001,0.023,0.017,2000
56,13.5,0.91,0.8034,0.0291,0.0331,0.001,0.019,0.014,2000
57,14.0,0.95,0.7853,0.0219,0.0265,0.000,0.016,0.010,2000
58,14.6,0.99,0.7312,0.0147,0.0198,0.000,0.012,0.007,2000
59,15.1,1.02,0.5538,0.0074,0.0137,0.000,0.008,0.003,2000
60,15.6,1.06,-0.0003,0.0000,0.0078,0.000,0.005,0.000,2000
61,0.0,0.00,0.0000,0.1088,0.0583,0.004,0.077,0.115,3000
62,0.8,0.04,0.0668,0.1087,0.0594,0.004,0.078,0.115,3000
63,1.6,0.07,0.1309,0.1086,0.0606,0.004,0.080,0.115,3000
64,2.4,0.11,0.1922,0.1084,0.0618,0.004,0.081,0.115,3000
65,3.2,0.15,0.2508,0.1082,0.0630,0.004,0.083,0.115,3000
66,4.0,0.18,0.3066,0.1080,0.0643,0.004,0.085,0.115,3000
