,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.0876,0.0362,0.000,0.003,0.007,1000
2,0.2,0.03,0.0630,0.0868,0.0366,0.000,0.003,0.007,1000
3,0.4,0.05,0.1235,0.0858,0.0369,0.000,0.003,0.007,1000
4,0.5,0.08,0.1813,0.0844,0.0371,0.000,0.003,0.006,1000
5,0.7,0.11,0.2364,0.0828,0.0372,0.000,0.003,0.006,1000
6,0.9,0.13,0.2887,0.0808,0.0372,0.000,0.003,0.006,1000
7,1.1,0.16,0.3380,0.0786,0.0371,0.000,0.003,0.006,1000
8,1.2,0.19,0.3844,0.0761,0.0369,0.000,0.003,0.006,1000
9,1.4,0.21,0.4276,0.0735,0.0366,0.000,0.003,0.006,1000
10,1.6,0.24,0.4675,0.0708,0.0362,0.000,0.003,0.005,1000
11,1.8,0.27,0.5041,0.0680,0.0359,0.000,0.003,0.005,1000
12,1.9,0.29,0.5372,0.0651,0.0354,0.000,0.003,0.005,1000
13,2.1,0.32,0.5669,0.0621,0.0350,0.000,0.003,0.005,1000
14,2.3,0.35,0.5931,0.0591,0.0344,0.000,0.003,0.005,1000
15,2.5,0.37,0.6162,0.0560,0.0338,0.000,0.003,0.004,1000
16,2.6,0.40,0.6361,0.0528,0.0331,0.000,0.003,0.004,1000
17,2.8,0.43,0.6531,0.0495,0.0322,0.000,0.003,0.004,1000
18,3.0,0.45,0.6673,0.0461,0.0312,0.000,0.003,0.004,1000
19,3.2,0.48,0.6787,0.0427,0.0301,0.000,0.003,0.003,1000
20,3.3,0.51,0.6885,0.0392,0.0287,0.000,0.002,0.003,1000
21,3.5,0.53,0.6959,0.0356,0.0272,0.000,0.002,0.003,1000
22,3.7,0.56,0.7008,0.0319,0.0254,0.000,0.002,0.002,1000
23,3.9,0.58,0.7023,0.0281,0.0234,0.000,0.002,0.002,1000
24,4.1,0.61,0.7007,0.0243,0.0212,0.000,0.002,0.002,1000
25,4.2,0.64,0.6933,0.0204,0.0188,0.000,0.002,0.002,1000
26,4.4,0.66,0.6774,0.0167,0.0164,0.000,0.001,0.001,1000
27,4.6,0.69,0.6392,0.0125,0.0135,0.000,0.001,0.001,1000
28,4.8,0.72,0.5699,0.0084,0.0106,0.000,0.001,0.001,1000
29,4.9,0.74,0.4310,0.0044,0.0076,0.000,0.001,0.000,1000
30,5.1,0.77,0.0453,0.0003,0.0048,0.000,0.000,0.000,1000
31,0.0,0.00,0.0000,0.0877,0.0363,0.000,0.012,0.027,2000
32,0.4,0.03,0.0629,0.0869,0.0367,0.000,0.012,0.027,2000
33,0.7,0.05,0.1232,0.0858,0.0370,0.000,0.013,0.026,2000
34,1.1,0.08,0.1810,0.0845,0.0372,0.000,0.013,0.026,2000
35,1.4,0.11,0.2360,0.0828,0.0373,0.000,0.013,0.025,2000
36,1.8,0.13,0.2882,0.0809,0.0373,0.000,0.013,0.025,2000
37,2.1,0.16,0.3375,0.0787,0.0371,0.000,0.013,0.024,2000
38,2.5,0.19,0.3838,0.0762,0.0369,0.000,0.013,0.023,2000
39,2.8,0.21,0.4270,0.0736,0.0366,0.000,0.012,0.023,2000
40,3.2,0.24,0.4669,0.0709,0.0363,0.000,0.012,0.022,2000
41,3.5,0.27,0.5035,0.0681,0.0359,0.000,0.012,0.021,2000
42,3.9,0.29,0.5366,0.0652,0.0355,0.000,0.012,0.020,2000
43,4.2,0.32,0.5663,0.0622,0.0350,0.000,0.012,0.019,2000
44,4.6,0.35,0.5926,0.0592,0.0345,0.000,0.012,0.018,2000
45,4.9,0.37,0.6157,0.0561,0.0339,0.000,0.012,0.017,2000
46,5.3,0.40,0.6357,0.0529,0.0331,0.000,0.011,0.016,2000
47,5.6,0.42,0.6527,0.0496,0.0323,0.000,0.011,0.015,2000
48,6.0,0.45,0.6670,0.0463,0.0313,0.000,0.011,0.014,2000
49,6.3,0.48,0.6784,0.0428,0.0302,0.000,0.010,0.013,2000
50,6.7,0.50,0.6882,0.0393,0.0288,0.000,0.010,0.012,2000
51,7.0,0.53,0.6957,0.0357,0.0272,0.000,0.009,0.011,2000
52,7.4,0.56,0.7007,0.0320,0.0255,0.000,0.009,0.010,2000
53,7.7,0.58,0.7024,0.0283,0.0235,0.000,0.008,0.009,2000
54,8.1,0.61,0.7007,0.0244,0.0213,0.000,0.007,0.007,2000
55,8.4,0.64,0.6933,0.0205,0.0188,0.000,0.006,0.006,2000
56,8.8,0.66,0.6749,0.0165,0.0162,0.000,0.006,0.005,2000
57,9.1,0.69,0.6384,0.0125,0.0135,0.000,0.005,0.004,2000
58,9.5,0.72,0.5684,0.0084,0.0106,0.000,0.004,0.003,2000
59,9.9,0.74,0.4183,0.0042,0.0075,0.000,0.003,0.001,2000
60,10.2,0.77,-0.0027,0.0000,0.0046,0.000,0.002,0.000,2000
61,0.0,0.00,0.0000,0.0877,0.0362,0.001,0.028,0.060,3000
62,0.5,0.03,0.0630,0.0869,0.0366,0.001,0.028,0.060,3000
63,1.1,0.05,0.1234,0.0858,0.0369,0.001,0.028,0.059,3000
64,1.6,0.08,0.1812,0.0845,0.0371,0.001,0.028,0.058,3000
65,2.1,0.11,0.2363,0.0828,0.0372,0.001,0.029,0.057,3000
66,2.6,0.13,0.2885,0.0809,0.0372,0.001,0.029,0.056,3000
67,3.2,0.16,0.3378,0.0787,0.0371,0.001,0.028,0.054,3000
68,3.7,0.19,0.3841,0.0762,0.0369,0.001,0.028,0.052,3000
69,4.2,0.21,0.4273,0.0736,0.0366,0.001,0.028,0.051,3000
70,4.8,0.24,0.4672,0.0709,0.0362,0.001,0.028,0.049,3000
71,5.3,0.27,0.5038,0.0681,0.0359,0.001,0.028,0.047,3000
72,5.8,0.29,0.5369,0.0652,0.0355,0.001,0.027,0.045,3000
73,6.3,0.32,0.5666,0.0622,0.0350,0.001,0.027,0.043,3000
74,6.9,0.35,0.5929,0.0592,0.0345,0.001,0.026,0.041,3000
75,7.4,0.37,0.6159,0.0561,0.0338,0.001,0.026,0.039,3000
76,7.9,0.40,0.6359,0.0529,0.0331,0.001,0.025,0.036,3000
77,8.4,0.42,0.6530,0.0496,0.0323,0.001,0.025,0.034,3000
78,9.0,0.45,0.6672,0.0463,0.0313,0.001,0.024,0.032,3000
79,9.5,0.48,0.6787,0.0429,0.0302,0.001,0.023,0.030,3000
80,10.0,0.50,0.6886,0.0394,0.0289,0.001,0.022,0.027,3000
81,10.6,0.53,0.6961,0.0358,0.0273,0.001,0.021,0.025,3000
82,11.1,0.56,0.7012,0.0322,0.0256,0.001,0.020,0.022,3000
83,11.6,0.58,0.7029,0.0284,0.0236,0.001,0.018,0.020,3000
84,12.1,0.61,0.7012,0.0245,0.0213,0.001,0.016,0.017,3000
85,12.7,0.64,0.6939,0.0206,0.0189,0.001,0.014,0.014,3000
86,13.2,0.66,0.6753,0.0166,0.0163,0.001,0.012,0.011,3000
87,13.7,0.69,0.6389,0.0125,0.0135,0.000,0.010,0.009,3000
88,14.3,0.72,0.5692,0.0084,0.0106,0.000,0.008,0.006,3000
89,14.8,0.74,0.4191,0.0042,0.0075,0.000,0.006,0.003,3000
90,15.3,0.77,-0.0018,0.0000,0.0047,0.000,0.004,0.000,3000
91,0.0,0.00,0.0000,0.0878,0.0363,0.003,0.049,0.107,4000
92,0.7,0.03,0.0629,0.0870,0.0367,0.003,0.050,0.106,4000
93,1.4,0.05,0.1233,0.0859,0.0370,0.003,0.050,0.105,4000
94,2.1,0.08,0.1810,0.0845,0.0372,0.003,0.051,0.103,4000
95,2.8,0.11,0.2361,0.0829,0.0373,0.003,0.051,0.101,4000
96,3.5,0.13,0.2883,0.0810,0.0373,0.003,0.051,0.099,4000
97,4.2,0.16,0.3376,0.0788,0.0371,0.003,0.051,0.096,4000
98,4.9,0.19,0.3839,0.0763,0.0369,0.003,0.050,0.093,4000
99,5.6,0.21,0.4271,0.0737,0.0366,0.003,0.050,0.090,4000
100,6.3,0.24,0.4670,0.0709,0.0363,0.003,0.049,0.087,4000
101,7.0,0.27,0.5036,0.0682,0.0359,0.003,0.049,0.083,4000
