,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.0862,0.0452,0.000,0.012,0.016,1000
2,0.3,0.04,0.0714,0.0863,0.0461,0.000,0.012,0.016,1000
3,0.6,0.08,0.1399,0.0864,0.0472,0.000,0.012,0.016,1000
4,0.9,0.11,0.2052,0.0865,0.0483,0.000,0.013,0.016,1000
5,1.3,0.15,0.2672,0.0865,0.0495,0.000,0.013,0.016,1000
6,1.6,0.19,0.3261,0.0865,0.0507,0.000,0.013,0.016,1000
7,1.9,0.23,0.3818,0.0865,0.0519,0.000,0.014,0.016,1000
8,2.2,0.27,0.4342,0.0865,0.0532,0.000,0.014,0.016,1000
9,2.5,0.31,0.4834,0.0863,0.0546,0.000,0.014,0.016,1000
10,2.8,0.34,0.5296,0.0861,0.0559,0.000,0.015,0.016,1000
11,3.2,0.38,0.5725,0.0858,0.0572,0.000,0.015,0.016,1000
12,3.5,0.42,0.6125,0.0852,0.0585,0.000,0.015,0.016,1000
13,3.8,0.46,0.6493,0.0844,0.0596,0.000,0.015,0.016,1000
14,4.1,0.50,0.6832,0.0833,0.0605,0.000,0.016,0.016,1000
15,4.4,0.53,0.7140,0.0818,0.0613,0.000,0.016,0.015,1000
16,4.7,0.57,0.7417,0.0798,0.0616,0.000,0.016,0.015,1000
17,5.1,0.61,0.7665,0.0770,0.0614,0.000,0.016,0.014,1000
18,5.4,0.65,0.7882,0.0726,0.0598,0.000,0.016,0.014,1000
19,5.7,0.69,0.8064,0.0671,0.0572,0.000,0.015,0.013,1000
20,6.0,0.73,0.8202,0.0614,0.0544,0.000,0.014,0.011,1000
21,6.3,0.76,0.8303,0.0557,0.0513,0.000,0.013,0.010,1000
22,6.6,0.80,0.8370,0.0500,0.0479,0.000,0.012,0.009,1000
23,7.0,0.84,0.8407,0.0441,0.0440,0.000,0.011,0.008,1000
24,7.3,0.88,0.8416,0.0380,0.0397,0.000,0.010,0.007,1000
25,7.6,0.92,0.8395,0.0319,0.0348,0.000,0.009,0.006,1000
26,7.9,0.95,0.8327,0.0256,0.0293,0.000,0.008,0.005,1000
27,8.2,0.99,0.8163,0.0193,0.0234,0.000,0.006,0.004,1000
28,8.5,1.03,0.7606,0.0129,0.0174,0.000,0.005,0.002,1000
29,8.9,1.07,0.5868,0.0065,0.0118,0.000,0.003,0.001,1000
30,9.2,1.11,-0.0085,0.0000,0.0063,0.000,0.002,0.000,1000
31,0.0,0.00,0.0000,0.0862,0.0452,0.001,0.047,0.064,2000
32,0.6,0.04,0.0713,0.0863,0.0462,0.002,0.048,0.064,2000
33,1.3,0.08,0.1395,0.0864,0.0472,0.002,0.049,0.065,2000
34,1.9,0.11,0.2046,0.0865,0.0483,0.002,0.050,0.065,2000
35,2.5,0.15,0.2666,0.0865,0.0495,0.002,0.051,0.065,2000
36,3.2,0.19,0.3254,0.0865,0.0507,0.002,0.053,0.065,2000
37,3.8,0.23,0.3809,0.0865,0.0519,0.002,0.054,0.065,2000
38,4.4,0.27,0.4333,0.0865,0.0532,0.002,0.055,0.065,2000
39,5.1,0.30,0.4825,0.0864,0.0546,0.002,0.057,0.065,2000
40,5.7,0.34,0.5285,0.0862,0.0559,0.002,0.058,0.064,2000
41,6.3,0.38,0.5715,0.0858,0.0572,0.002,0.060,0.064,2000
42,6.9,0.42,0.6114,0.0853,0.0585,0.002,0.061,0.064,2000
43,7.6,0.46,0.6484,0.0845,0.0596,0.002,0.062,0.063,2000
44,8.2,0.50,0.6822,0.0834,0.0606,0.002,0.063,0.062,2000
45,8.8,0.53,0.7131,0.0819,0.0613,0.002,0.064,0.061,2000
46,9.5,0.57,0.7409,0.0800,0.0617,0.002,0.064,0.060,2000
47,10.1,0.61,0.7657,0.0772,0.0615,0.002,0.064,0.058,2000
48,10.7,0.65,0.7875,0.0729,0.0600,0.002,0.062,0.054,2000
49,11.4,0.69,0.8057,0.0674,0.0574,0.002,0.060,0.050,2000
50,12.0,0.72,0.8197,0.0617,0.0545,0.002,0.057,0.046,2000
51,12.6,0.76,0.8301,0.0561,0.0515,0.002,0.054,0.042,2000
52,13.3,0.80,0.8369,0.0503,0.0481,0.002,0.050,0.038,2000
53,13.9,0.84,0.8407,0.0444,0.0443,0.001,0.046,0.033,2000
54,14.5,0.88,0.8417,0.0384,0.0399,0.001,0.042,0.029,2000
55,15.2,0.91,0.8396,0.0322,0.0351,0.001,0.036,0.024,2000
56,15.8,0.95,0.8331,0.0259,0.0296,0.001,0.031,0.019,2000
57,16.4,0.99,0.8163,0.0195,0.0237,0.001,0.025,0.015,2000
58,17.1,1.03,0.7582,0.0131,0.0177,0.001,0.018,0.010,2000
59,17.7,1.07,0.5803,0.0066,0.0121,0.000,0.013,0.005,2000
60,18.3,1.11,-0.0018,0.0000,0.0066,0.000,0.007,0.000,2000
61,0.0,0.00,0.0000,0.0863,0.0452,0.005,0.106,0.145,3000
62,0.9,0.04,0.0712,0.0863,0.0462,0.005,0.108,0.145,3000
63,1.9,0.08,0.1395,0.0864,0.0472,0.005,0.110,0.145,3000
64,2.8,0.11,0.2046,0.0865,0.0483,0.005,0.113,0.145,3000
65,3.8,0.15,0.2665,0.0865,0.0495,0.006,0.116,0.145,3000
66,4.7,0.19,0.3253,0.0865,0.0507,0.006,0.119,0.145,3000
67,5.7,0.23,0.3808,0.0865,0.0519,0.006,0.122,0.145,3000
68,6.6,0.27,0.4331,0.0865,0.0532,0.006,0.125,0.145,3000
69,7.6,0.30,0.4822,0.0863,0.0546,0.006,0.128,0.145,3000
70,8.5,0.34,0.5282,0.0861,0.0559,0.006,0.131,0.145,3000
71,9.5,0.38,0.5711,0.0858,0.0572,0.006,0.134,0.144,3000
72,10.4,0.42,0.6110,0.0853,0.0585,0.007,0.137,0.143,3000
73,11.4,0.46,0.6479,0.0845,0.0596,0.007,0.140,0.142,3000
74,12.3,0.50,0.6817,0.0834,0.0606,0.007,0.142,0.140,3000
75,13.3,0.53,0.7125,0.0819,0.0613,0.007,0.143,0.138,3000
76,14.2,0.57,0.7403,0.0800,0.0617,0.007,0.144,0.134,3000
77,15.1,0.61,0.7651,0.0773,0.0616,0.007,0.144,0.130,3000
78,16.1,0.65,0.7870,0.0730,0.0600,0.007,0.140,0.123,3000
79,17.0,0.69,0.8053,0.0675,0.0574,0.006,0.134,0.113,3000
80,18.0,0.72,0.8194,0.0619,0.0547,0.006,0.128,0.104,3000
81,18.9,0.76,0.8298,0.0562,0.0516,0.006,0.121,0.094,3000
82,19.9,0.80,0.8367,0.0504,0.0482,0.005,0.113,0.085,3000
83,20.8,0.84,0.8405,0.0445,0.0444,0.005,0.104,0.075,3000
84,21.8,0.88,0.8416,0.0385,0.0401,0.004,0.094,0.065,3000
85,22.7,0.91,0.8397,0.0323,0.0352,0.004,0.082,0.054,3000
86,23.7,0.95,0.8335,0.0261,0.0298,0.003,0.070,0.044,3000
87,24.6,0.99,0.8173,0.0197,0.0238,0.003,0.056,0.033,3000
88,25.6,1.03,0.7606,0.0132,0.0179,0.002,0.042,0.022,3000
89,26.5,1.07,0.5865,0.0067,0.0122,0.001,0.029,0.011,3000
90,27.5,1.10,0.0213,0.0001,0.0067,0.001,0.016,0.000,3000
91,0.0,0.00,0.0000,0.0863,0.0453,0.012,0.188,0.258,4000
92,1.3,0.04,0.0711,0.0864,0.0462,0.012,0.192,0.258,4000
93,2.5,0.08,0.1393,0.0864,0.0473,0.012,0.197,0.258,4000
94,3.8,0.11,0.2043,0.0865,0.0484,0.013,0.201,0.258,4000
95,5.0,0.15,0.2662,0.0865,0.0495,0.013,0.206,0.259,4000
96,6.3,0.19,0.3249,0.0866,0.0507,0.013,0.211,0.259,4000
97,7.6,0.23,0.3804,0.0865,0.0520,0.014,0.216,0.259,4000
98,8.8,0.27,0.4327,0.0865,0.0533,0.014,0.222,0.258,4000
99,10.1,0.30,0.4818,0.0864,0.0546,0.014,0.227,0.258,4000
100,11.4,0.34,0.5278,0.0862,0.0560,0.015,0.233,0.258,4000
101,12.6,0.38,0.5707,0.0859,0.0573,0.015,0.238,0.257,4000
102,13.9,0.42,0.6106,0.0853,0.0585,0.015,0.244,0.255,4000
103,15.1,0.46,0.6475,0.0846,0.0597,0.016,0.248,0.253,4000
104,16.4,0.50,0.6814,0.0835,0.0607,0.016,0.252,0.249,4000
105,17.7,0.53,0.7123,0.0820,0.0614,0.016,0.255,0.245,4000
106,18.9,0.57,0.7401,0.0801,0.0618,0.016,0.257,0.239,4000
107,20.2,0.61,0.7649,0.0774,0.0617,0.016,0.257,0.231,4000
108,21.5,0.65,0.7868,0.0731,0.0602,0.016,0.250,0.218,4000
109,22.7,0.69,0.8052,0.0676,0.0576,0.015,0.240,0.202,4000
110,24.0,0.72,0.8194,0.0620,0.0548,0.014,0.228,0.185,4000
111,25.2,0.76,0.8299,0.0563,0.0517,0.014,0.215,0.168,4000
112,26.5,0.80,0.8368,0.0505,0.0483,0.013,0.201,0.151,4000
113,27.8,0.84,0.8407,0.0446,0.0445,0.012,0.185,0.133,4000
114,29.0,0.88,0.8417,0.0385,0.0401,0.011,0.167,0.115,4000
115,30.3,0.91,0.8398,0.0324,0.0353,0.009,0.147,0.097,4000
116,31.6,0.95,0.8336,0.0261,0.0298,0.008,0.124,0.078,4000
117,32.8,0.99,0.8165,0.0196,0.0238,0.006,0.099,0.059,4000
118,34.1,1.03,0.7609,0.0132,0.0179,0.005,0.074,0.040,4000
119,35.3,1.07,0.5870,0.0067,0.0122,0.003,0.051,0.020,4000
120,36.6,1.10,0.0213,0.0001,0.0067,0.002,0.028,0.000,4000
121,0.0,0.00,0.0000,0.0863,0.0454,0.023,0.295,0.403,5000
122,1.6,0.04,0.0710,0.0864,0.0463,0.024,0.301,0.403,5000
123,3.2,0.08,0.1390,0.0864,0.0474,0.024,0.308,0.404,5000
124,4.7,0.11,0.2040,0.0865,0.0485,0.025,0.315,0.404,5000
125,6.3,0.15,0.2657,0.0866,0.0496,0.026,0.323,0.404,5000
126,7.9,0.19,0.3244,0.0866,0.0508,0.026,0.330,0.404,5000
127,9.5,0.23,0.3798,0.0866,0.0521,0.027,0.339,0.404,5000
128,11.0,0.27,0.4321,0.0865,0.0534,0.028,0.347,0.404,5000
129,12.6,0.30,0.4812,0.0864,0.0547,0.028,0.356,0.403,5000
130,14.2,0.34,0.5272,0.0862,0.0561,0.029,0.364,0.403,5000
131,15.8,0.38,0.5701,0.0859,0.0574,0.030,0.373,0.401,5000
132,17.4,0.42,0.6101,0.0854,0.0586,0.030,0.381,0.399,5000
133,18.9,0.46,0.6470,0.0846,0.0598,0.031,0.389,0.395,5000
134,20.5,0.50,0.6809,0.0836,0.0608,0.031,0.395,0.390,5000
135,22.1,0.53,0.7118,0.0821,0.0615,0.032,0.400,0.383,5000
136,23.7,0.57,0.7397,0.0802,0.0619,0.032,0.403,0.374,5000
137,25.2,0.61,0.7646,0.0776,0.0618,0.032,0.402,0.362,5000
138,26.8,0.65,0.7866,0.0733,0.0603,0.031,0.392,0.342,5000
139,28.4,0.69,0.8051,0.0678,0.0577,0.030,0.375,0.317,5000
140,30.0,0.72,0.8193,0.0622,0.0549,0.028,0.357,0.290,5000
141,31.6,0.76,0.8299,0.0565,0.0518,0.027,0.337,0.264,5000
142,33.1,0.80,0.8369,0.0507,0.0484,0.025,0.315,0.237,5000
143,34.7,0.84,0.8408,0.0448,0.0446,0.023,0.290,0.209,5000
144,36.3,0.88,0.8419,0.0387,0.0403,0.021,0.262,0.181,5000
145,37.9,0.91,0.8400,0.0325,0.0354,0.018,0.230,0.152,5000
146,39.4,0.95,0.8336,0.0262,0.0299,0.015,0.194,0.122,5000
147,41.0,0.99,0.8178,0.0198,0.0240,0.012,0.156,0.092,5000
148,42.6,1.03,0.7617,0.0133,0.0180,0.009,0.117,0.062,5000
149,44.2,1.07,0.5789,0.0066,0.0122,0.006,0.079,0.031,5000
150,45.8,1.10,0.0227,0.0001,0.0067,0.003,0.044,0.001,5000
151,0.0,0.00,0.0000,0.0863,0.0455,0.041,0.426,0.580,6000
152,1.9,0.04,0.0708,0.0864,0.0464,0.041,0.435,0.581,6000
153,3.8,0.08,0.1387,0.0865,0.0475,0.042,0.444,0.581,6000
154,5.7,0.11,0.2035,0.0865,0.0486,0.043,0.455,0.582,6000
155,7.6,0.15,0.2652,0.0866,0.0497,0.044,0.466,0.582,6000
156,9.5,0.19,0.3237,0.0866,0.0509,0.045,0.477,0.582,6000
157,11.4,0.23,0.3791,0.0866,0.0522,0.047,0.489,0.582,6000
158,13.2,0.27,0.4313,0.0866,0.0535,0.048,0.501,0.582,6000
159,15.1,0.30,0.4804,0.0865,0.0548,0.049,0.513,0.581,6000
160,17.0,0.34,0.5264,0.0863,0.0562,0.050,0.526,0.580,6000
161,18.9,0.38,0.5693,0.0860,0.0575,0.051,0.538,0.578,6000
162,20.8,0.42,0.6093,0.0855,0.0588,0.052,0.550,0.575,6000
163,22.7,0.46,0.6463,0.0848,0.0599,0.053,0.561,0.570,6000
164,24.6,0.49,0.6802,0.0837,0.0609,0.054,0.570,0.563,6000
165,26.5,0.53,0.7113,0.0823,0.0617,0.055,0.577,0.553,6000
166,28.4,0.57,0.7393,0.0804,0.0621,0.055,0.581,0.541,6000
167,30.3,0.61,0.7642,0.0778,0.0620,0.055,0.580,0.523,6000
168,32.2,0.65,0.7863,0.0736,0.0606,0.054,0.567,0.495,6000
169,34.1,0.69,0.8049,0.0681,0.0580,0.052,0.543,0.458,6000
170,36.0,0.72,0.8193,0.0624,0.0551,0.049,0.516,0.420,6000
171,37.9,0.76,0.8299,0.0567,0.0521,0.046,0.487,0.381,6000
172,39.7,0.80,0.8370,0.0509,0.0486,0.043,0.455,0.342,6000
173,41.6,0.84,0.8409,0.0450,0.0448,0.040,0.419,0.302,6000
174,43.5,0.88,0.8420,0.0389,0.0404,0.036,0.378,0.261,6000
175,45.4,0.91,0.8402,0.0327,0.0355,0.032,0.333,0.220,6000
176,47.3,0.95,0.8340,0.0263,0.0301,0.027,0.281,0.177,6000
177,49.2,0.99,0.8176,0.0199,0.0240,0.021,0.225,0.134,6000
178,51.1,1.03,0.7593,0.0133,0.0180,0.016,0.169,0.089,6000
179,53.0,1.07,0.5808,0.0067,0.0123,0.011,0.115,0.045,6000
180,54.9,1.10,-0.0009,0.0000,0.0067,0.006,0.063,0.000,6000
181,0.0,0.00,0.0000,0.0863,0.0456,0.065,0.581,0.790,7000
182,2.2,0.04,0.0706,0.0864,0.0466,0.066,0.594,0.791,7000
183,4.4,0.08,0.1383,0.0865,0.0476,0.067,0.607,0.791,7000
184,6.6,0.11,0.2030,0.0866,0.0487,0.069,0.621,0.792,7000
185,8.8,0.15,0.2646,0.0866,0.0499,0.071,0.635,0.793,7000
186,11.0,0.19,0.3230,0.0867,0.0511,0.072,0.651,0.793,7000
187,13.2,0.23,0.3784,0.0867,0.0523,0.074,0.667,0.793,7000
188,15.5,0.27,0.4306,0.0867,0.0536,0.076,0.683,0.793,7000
189,17.7,0.30,0.4796,0.0866,0.0550,0.078,0.700,0.792,7000
190,19.9,0.34,0.5256,0.0864,0.0563,0.080,0.717,0.791,7000
191,22.1,0.38,0.5686,0.0861,0.0576,0.082,0.734,0.788,7000
192,24.3,0.42,0.6087,0.0857,0.0589,0.083,0.751,0.784,7000
193,26.5,0.46,0.6457,0.0849,0.0601,0.085,0.766,0.777,7000
194,28.7,0.49,0.6797,0.0839,0.0611,0.086,0.779,0.768,7000
195,30.9,0.53,0.7109,0.0825,0.0619,0.088,0.788,0.755,7000
196,33.1,0.57,0.7390,0.0807,0.0623,0.088,0.794,0.738,7000
197,35.3,0.61,0.7641,0.0781,0.0622,0.088,0.793,0.715,7000
198,37.5,0.65,0.7862,0.0739,0.0608,0.086,0.775,0.676,7000
199,39.7,0.69,0.8050,0.0684,0.0582,0.082,0.742,0.626,7000
200,41.9,0.72,0.8194,0.0628,0.0554,0.078,0.706,0.575,7000
201,44.2,0.76,0.8302,0.0570,0.0523,0.074,0.667,0.522,7000
202,46.4,0.80,0.8373,0.0512,0.0489,0.069,0.623,0.468,7000
203,48.6,0.84,0.8413,0.0452,0.0450,0.064,0.573,0.414,7000
204,50.8,0.88,0.8424,0.0391,0.0406,0.057,0.517,0.357,7000
205,53.0,0.91,0.8405,0.0328,0.0357,0.050,0.455,0.300,7000
206,55.2,0.95,0.8340,0.0264,0.0302,0.043,0.384,0.242,7000
207,57.4,0.99,0.8172,0.0200,0.0242,0.034,0.308,0.183,7000
208,59.6,1.03,0.7585,0.0134,0.0181,0.026,0.231,0.122,7000
209,61.8,1.07,0.5811,0.0067,0.0123,0.017,0.157,0.061,7000
210,64.0,1.10,-0.0012,0.0000,0.0067,0.010,0.086,0.000,7000
211,0.0,0.00,0.0000,0.0863,0.0458,0.097,0.762,1.032,8000
212,2.5,0.04,0.0704,0.0864,0.0467,0.099,0.778,1.033,8000
213,5.0,0.08,0.1379,0.0865,0.0478,0.101,0.795,1.034,8000
214,7.6,0.11,0.2024,0.0866,0.0489,0.103,0.813,1.035,8000
215,10.1,0.15,0.2639,0.0867,0.0500,0.106,0.832,1.036,8000
216,12.6,0.19,0.3222,0.0867,0.0512,0.108,0.852,1.036,8000
217,15.1,0.23,0.3775,0.0867,0.0525,0.111,0.873,1.037,8000
218,17.7,0.27,0.4296,0.0867,0.0538,0.114,0.895,1.036,8000
219,20.2,0.30,0.4787,0.0866,0.0551,0.116,0.917,1.035,8000
220,22.7,0.34,0.5247,0.0865,0.0565,0.119,0.940,1.033,8000
221,25.2,0.38,0.5677,0.0862,0.0578,0.122,0.962,1.030,8000
222,27.8,0.42,0.6077,0.0858,0.0591,0.125,0.983,1.025,8000
223,30.3,0.46,0.6448,0.0851,0.0603,0.127,1.003,1.017,8000
224,32.8,0.49,0.6790,0.0841,0.0613,0.129,1.020,1.005,8000
225,35.3,0.53,0.7102,0.0827,0.0621,0.131,1.033,0.989,8000
226,37.8,0.57,0.7384,0.0809,0.0626,0.132,1.041,0.967,8000
227,40.4,0.61,0.7636,0.0784,0.0625,0.132,1.040,0.937,8000
228,42.9,0.65,0.7859,0.0742,0.0611,0.129,1.017,0.887,8000
