,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1414,0.0642,0.011,0.171,0.295,4000
2,0.8,0.03,0.0581,0.1394,0.0647,0.011,0.172,0.291,4000
3,1.6,0.05,0.1138,0.1373,0.0650,0.011,0.173,0.287,4000
4,2.5,0.08,0.1670,0.1348,0.0653,0.011,0.174,0.281,4000
5,3.3,0.11,0.2177,0.1323,0.0655,0.011,0.174,0.276,4000
6,4.1,0.13,0.2658,0.1296,0.0657,0.011,0.175,0.271,4000
7,4.9,0.16,0.3114,0.1267,0.0658,0.011,0.175,0.264,4000
8,5.7,0.19,0.3544,0.1235,0.0658,0.011,0.175,0.258,4000
9,6.5,0.22,0.3946,0.1201,0.0656,0.011,0.174,0.251,4000
10,7.4,0.24,0.4320,0.1163,0.0653,0.011,0.174,0.243,4000
11,8.2,0.27,0.4666,0.1123,0.0649,0.011,0.172,0.234,4000
12,9.0,0.30,0.4987,0.1080,0.0642,0.011,0.171,0.225,4000
13,9.8,0.32,0.5281,0.1037,0.0635,0.011,0.169,0.216,4000
14,10.6,0.35,0.5547,0.0993,0.0628,0.011,0.167,0.207,4000
15,11.4,0.38,0.5789,0.0947,0.0618,0.010,0.164,0.198,4000
16,12.3,0.40,0.6007,0.0900,0.0606,0.010,0.161,0.188,4000
17,13.1,0.43,0.6201,0.0850,0.0591,0.010,0.157,0.177,4000
18,13.9,0.46,0.6371,0.0796,0.0573,0.010,0.152,0.166,4000
19,14.7,0.49,0.6518,0.0741,0.0552,0.009,0.147,0.155,4000
20,15.5,0.51,0.6648,0.0685,0.0528,0.009,0.140,0.143,4000
21,16.3,0.54,0.6750,0.0625,0.0500,0.008,0.133,0.131,4000
22,17.2,0.57,0.6822,0.0563,0.0467,0.008,0.124,0.118,4000
23,18.0,0.59,0.6849,0.0499,0.0432,0.007,0.115,0.104,4000
24,18.8,0.62,0.6815,0.0431,0.0393,0.007,0.104,0.090,4000
25,19.6,0.65,0.6704,0.0362,0.0349,0.006,0.093,0.076,4000
26,20.4,0.67,0.6448,0.0292,0.0306,0.005,0.081,0.061,4000
27,21.2,0.70,0.5952,0.0221,0.0260,0.004,0.069,0.046,4000
28,22.1,0.73,0.5037,0.0147,0.0213,0.004,0.057,0.031,4000
29,22.9,0.75,0.3361,0.0074,0.0165,0.003,0.044,0.015,4000
30,23.7,0.78,-0.0058,-0.0001,0.0117,0.002,0.031,0.000,4000
31,0.0,0.00,0.0000,0.1415,0.0643,0.021,0.267,0.462,5000
32,1.0,0.03,0.0566,0.1395,0.0646,0.021,0.268,0.455,5000
33,2.0,0.05,0.1109,0.1373,0.0649,0.021,0.270,0.448,5000
34,3.0,0.08,0.1629,0.1349,0.0652,0.021,0.271,0.440,5000
35,4.0,0.10,0.2126,0.1324,0.0653,0.022,0.271,0.432,5000
36,5.0,0.13,0.2598,0.1296,0.0654,0.022,0.272,0.423,5000
37,6.0,0.16,0.3047,0.1267,0.0654,0.022,0.272,0.413,5000
38,7.0,0.18,0.3470,0.1235,0.0653,0.022,0.271,0.403,5000
39,7.9,0.21,0.3868,0.1201,0.0651,0.021,0.271,0.392,5000
40,8.9,0.24,0.4239,0.1163,0.0648,0.021,0.269,0.379,5000
41,9.9,0.26,0.4583,0.1124,0.0643,0.021,0.267,0.366,5000
42,10.9,0.29,0.4903,0.1081,0.0636,0.021,0.264,0.353,5000
43,11.9,0.31,0.5196,0.1038,0.0629,0.021,0.261,0.339,5000
44,12.9,0.34,0.5463,0.0993,0.0620,0.020,0.258,0.324,5000
45,13.9,0.37,0.5706,0.0947,0.0610,0.020,0.253,0.309,5000
46,14.9,0.39,0.5924,0.0900,0.0598,0.020,0.248,0.294,5000
47,15.9,0.42,0.6120,0.0851,0.0584,0.019,0.243,0.278,5000
48,16.9,0.45,0.6292,0.0798,0.0566,0.019,0.235,0.260,5000
49,17.9,0.47,0.6442,0.0743,0.0544,0.018,0.226,0.242,5000
50,18.9,0.50,0.6574,0.0686,0.0520,0.017,0.216,0.224,5000
51,19.9,0.52,0.6682,0.0627,0.0492,0.016,0.205,0.205,5000
52,20.9,0.55,0.6761,0.0565,0.0460,0.015,0.191,0.184,5000
53,21.9,0.58,0.6796,0.0500,0.0425,0.014,0.176,0.163,5000
54,22.9,0.60,0.6765,0.0431,0.0385,0.013,0.160,0.141,5000
55,23.8,0.63,0.6663,0.0362,0.0342,0.011,0.142,0.118,5000
56,24.8,0.66,0.6412,0.0293,0.0299,0.010,0.124,0.095,5000
57,25.8,0.68,0.5920,0.0221,0.0255,0.008,0.106,0.072,5000
58,26.8,0.71,0.5008,0.0148,0.0210,0.007,0.087,0.048,5000
59,27.8,0.73,0.3340,0.0075,0.0164,0.005,0.068,0.024,5000
