,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1202,0.0504,0.008,0.178,0.281,3000
2,0.7,0.03,0.0615,0.1192,0.0510,0.009,0.180,0.278,3000
3,1.4,0.05,0.1204,0.1181,0.0516,0.009,0.182,0.276,3000
4,2.1,0.08,0.1766,0.1167,0.0521,0.009,0.184,0.272,3000
5,2.8,0.11,0.2303,0.1149,0.0525,0.009,0.185,0.268,3000
6,3.6,0.13,0.2814,0.1127,0.0527,0.009,0.186,0.263,3000
7,4.3,0.16,0.3300,0.1101,0.0527,0.009,0.186,0.257,3000
8,5.0,0.18,0.3756,0.1071,0.0525,0.009,0.185,0.250,3000
9,5.7,0.21,0.4182,0.1037,0.0522,0.009,0.184,0.242,3000
10,6.4,0.24,0.4578,0.1000,0.0517,0.009,0.183,0.233,3000
11,7.1,0.26,0.4945,0.0961,0.0511,0.009,0.181,0.224,3000
12,7.8,0.29,0.5280,0.0922,0.0505,0.008,0.178,0.215,3000
13,8.5,0.32,0.5585,0.0881,0.0498,0.008,0.176,0.206,3000
14,9.2,0.34,0.5857,0.0839,0.0490,0.008,0.173,0.196,3000
15,9.9,0.37,0.6099,0.0797,0.0481,0.008,0.170,0.186,3000
16,10.7,0.39,0.6314,0.0757,0.0473,0.008,0.167,0.177,3000
17,11.4,0.42,0.6503,0.0714,0.0462,0.008,0.163,0.167,3000
18,12.1,0.45,0.6663,0.0667,0.0448,0.008,0.158,0.156,3000
19,12.8,0.47,0.6796,0.0619,0.0432,0.007,0.152,0.145,3000
20,13.5,0.50,0.6902,0.0569,0.0412,0.007,0.146,0.133,3000
21,14.2,0.53,0.6980,0.0518,0.0391,0.007,0.138,0.121,3000
22,14.9,0.55,0.7024,0.0465,0.0366,0.006,0.129,0.109,3000
23,15.6,0.58,0.7026,0.0411,0.0338,0.006,0.119,0.096,3000
24,16.3,0.61,0.6974,0.0355,0.0308,0.005,0.109,0.083,3000
25,17.0,0.63,0.6837,0.0298,0.0275,0.005,0.097,0.070,3000
26,17.8,0.66,0.6566,0.0240,0.0240,0.004,0.085,0.056,3000
27,18.5,0.68,0.6078,0.0181,0.0204,0.003,0.072,0.042,3000
28,19.2,0.71,0.5196,0.0121,0.0165,0.003,0.058,0.028,3000
29,19.9,0.74,0.3494,0.0061,0.0128,0.002,0.045,0.014,3000
30,20.6,0.76,-0.0011,0.0000,0.0095,0.002,0.034,0.000,3000
31,0.0,0.00,0.0000,0.1203,0.0504,0.020,0.316,0.500,4000
32,0.9,0.03,0.0608,0.1193,0.0510,0.020,0.320,0.495,4000
33,1.9,0.05,0.1191,0.1182,0.0516,0.021,0.324,0.491,4000
34,2.8,0.08,0.1747,0.1168,0.0521,0.021,0.327,0.485,4000
35,3.7,0.10,0.2279,0.1151,0.0525,0.021,0.330,0.478,4000
36,4.7,0.13,0.2785,0.1129,0.0527,0.021,0.331,0.469,4000
37,5.6,0.16,0.3266,0.1103,0.0527,0.021,0.331,0.458,4000
38,6.5,0.18,0.3719,0.1074,0.0525,0.021,0.330,0.446,4000
39,7.5,0.21,0.4142,0.1041,0.0523,0.021,0.328,0.432,4000
40,8.4,0.23,0.4537,0.1005,0.0518,0.021,0.325,0.417,4000
41,9.4,0.26,0.4902,0.0967,0.0513,0.020,0.322,0.402,4000
42,10.3,0.29,0.5237,0.0929,0.0507,0.020,0.318,0.386,4000
43,11.2,0.31,0.5543,0.0889,0.0500,0.020,0.314,0.369,4000
44,12.2,0.34,0.5817,0.0848,0.0492,0.020,0.309,0.352,4000
45,13.1,0.36,0.6062,0.0805,0.0483,0.019,0.303,0.334,4000
46,14.0,0.39,0.6278,0.0762,0.0473,0.019,0.297,0.316,4000
47,15.0,0.42,0.6467,0.0717,0.0461,0.018,0.289,0.298,4000
48,15.9,0.44,0.6629,0.0670,0.0447,0.018,0.280,0.278,4000
