,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.0971,0.0459,0.000,0.018,0.025,1000
2,0.3,0.03,0.0686,0.0970,0.0469,0.000,0.018,0.025,1000
3,0.6,0.07,0.1343,0.0970,0.0479,0.000,0.019,0.025,1000
4,0.9,0.10,0.1970,0.0969,0.0489,0.000,0.019,0.025,1000
5,1.2,0.13,0.2566,0.0968,0.0500,0.000,0.020,0.025,1000
6,1.5,0.17,0.3133,0.0967,0.0512,0.000,0.020,0.025,1000
7,1.8,0.20,0.3669,0.0965,0.0523,0.000,0.021,0.025,1000
8,2.1,0.23,0.4174,0.0963,0.0535,0.000,0.021,0.025,1000
9,2.4,0.27,0.4650,0.0959,0.0547,0.000,0.021,0.025,1000
10,2.7,0.30,0.5097,0.0954,0.0558,0.000,0.022,0.025,1000
11,3.0,0.33,0.5516,0.0945,0.0568,0.000,0.022,0.025,1000
12,3.3,0.36,0.5907,0.0932,0.0575,0.000,0.023,0.024,1000
13,3.6,0.40,0.6269,0.0912,0.0579,0.000,0.023,0.024,1000
14,3.9,0.43,0.6601,0.0886,0.0578,0.000,0.023,0.023,1000
15,4.2,0.46,0.6902,0.0852,0.0573,0.000,0.022,0.022,1000
16,4.5,0.50,0.7171,0.0803,0.0557,0.000,0.022,0.021,1000
17,4.8,0.53,0.7398,0.0753,0.0540,0.000,0.021,0.020,1000
18,5.1,0.56,0.7587,0.0701,0.0521,0.000,0.020,0.018,1000
19,5.4,0.60,0.7737,0.0649,0.0500,0.000,0.020,0.017,1000
20,5.7,0.63,0.7852,0.0595,0.0478,0.000,0.019,0.015,1000
21,6.0,0.66,0.7935,0.0541,0.0452,0.000,0.018,0.014,1000
22,6.3,0.70,0.7989,0.0485,0.0423,0.000,0.017,0.013,1000
23,6.6,0.73,0.8017,0.0429,0.0390,0.000,0.015,0.011,1000
24,6.9,0.76,0.8022,0.0371,0.0352,0.000,0.014,0.010,1000
25,7.2,0.80,0.7988,0.0311,0.0310,0.000,0.012,0.008,1000
26,7.5,0.83,0.7889,0.0251,0.0263,0.000,0.010,0.007,1000
27,7.8,0.86,0.7641,0.0189,0.0213,0.000,0.008,0.005,1000
28,8.1,0.89,0.6906,0.0127,0.0165,0.000,0.006,0.003,1000
29,8.3,0.93,0.5077,0.0064,0.0117,0.000,0.005,0.002,1000
30,8.6,0.96,-0.0003,0.0000,0.0071,0.000,0.003,0.000,1000
31,0.0,0.00,0.0000,0.0971,0.0460,0.002,0.072,0.101,2000
32,0.6,0.03,0.0685,0.0971,0.0469,0.002,0.074,0.101,2000
33,1.2,0.07,0.1341,0.0970,0.0479,0.002,0.075,0.101,2000
34,1.8,0.10,0.1968,0.0970,0.0490,0.002,0.077,0.101,2000
35,2.4,0.13,0.2564,0.0969,0.0501,0.002,0.079,0.101,2000
36,3.0,0.17,0.3130,0.0967,0.0512,0.003,0.080,0.100,2000
37,3.6,0.20,0.3666,0.0965,0.0524,0.003,0.082,0.100,2000
38,4.2,0.23,0.4171,0.0963,0.0535,0.003,0.084,0.100,2000
39,4.8,0.27,0.4647,0.0959,0.0547,0.003,0.086,0.100,2000
40,5.4,0.30,0.5094,0.0954,0.0559,0.003,0.088,0.099,2000
41,6.0,0.33,0.5512,0.0946,0.0569,0.003,0.089,0.098,2000
42,6.6,0.36,0.5903,0.0932,0.0576,0.003,0.090,0.097,2000
43,7.2,0.40,0.6266,0.0913,0.0579,0.003,0.091,0.095,2000
44,7.7,0.43,0.6598,0.0887,0.0579,0.003,0.091,0.092,2000
45,8.3,0.46,0.6899,0.0853,0.0574,0.003,0.090,0.089,2000
46,8.9,0.50,0.7169,0.0804,0.0558,0.003,0.088,0.083,2000
47,9.5,0.53,0.7396,0.0754,0.0540,0.003,0.085,0.078,2000
48,10.1,0.56,0.7586,0.0702,0.0521,0.003,0.082,0.073,2000
49,10.7,0.60,0.7736,0.0650,0.0501,0.002,0.079,0.067,2000
50,11.3,0.63,0.7852,0.0596,0.0478,0.002,0.075,0.062,2000
51,11.9,0.66,0.7935,0.0542,0.0453,0.002,0.071,0.056,2000
52,12.5,0.70,0.7989,0.0486,0.0424,0.002,0.066,0.050,2000
53,13.1,0.73,0.8017,0.0430,0.0391,0.002,0.061,0.045,2000
54,13.7,0.76,0.8023,0.0371,0.0353,0.002,0.055,0.039,2000
55,14.3,0.80,0.7988,0.0312,0.0310,0.002,0.049,0.032,2000
56,14.9,0.83,0.7888,0.0251,0.0263,0.001,0.041,0.026,2000
57,15.5,0.86,0.7633,0.0189,0.0214,0.001,0.034,0.020,2000
58,16.1,0.89,0.6880,0.0127,0.0165,0.001,0.026,0.013,2000
59,16.7,0.93,0.5039,0.0064,0.0118,0.001,0.018,0.007,2000
60,17.3,0.96,0.0001,0.0000,0.0071,0.000,0.011,0.000,2000
61,0.0,0.00,0.0000,0.0971,0.0459,0.008,0.162,0.227,3000
62,0.9,0.03,0.0686,0.0971,0.0469,0.008,0.166,0.227,3000
63,1.8,0.07,0.1343,0.0970,0.0479,0.008,0.169,0.227,3000
64,2.7,0.10,0.1970,0.0970,0.0489,0.008,0.173,0.226,3000
65,3.6,0.13,0.2567,0.0969,0.0500,0.008,0.177,0.226,3000
66,4.5,0.17,0.3133,0.0967,0.0512,0.009,0.181,0.226,3000
67,5.4,0.20,0.3669,0.0965,0.0523,0.009,0.185,0.225,3000
68,6.3,0.23,0.4175,0.0963,0.0535,0.009,0.189,0.225,3000
69,7.2,0.27,0.4650,0.0959,0.0547,0.009,0.193,0.224,3000
70,8.1,0.30,0.5097,0.0954,0.0558,0.009,0.197,0.223,3000
71,8.9,0.33,0.5515,0.0946,0.0568,0.010,0.201,0.221,3000
72,9.8,0.36,0.5906,0.0932,0.0575,0.010,0.203,0.218,3000
73,10.7,0.40,0.6268,0.0913,0.0579,0.010,0.204,0.213,3000
74,11.6,0.43,0.6600,0.0887,0.0579,0.010,0.204,0.207,3000
75,12.5,0.46,0.6901,0.0853,0.0574,0.010,0.203,0.199,3000
76,13.4,0.50,0.7170,0.0804,0.0558,0.009,0.197,0.188,3000
77,14.3,0.53,0.7397,0.0754,0.0541,0.009,0.191,0.176,3000
78,15.2,0.56,0.7587,0.0702,0.0522,0.009,0.184,0.164,3000
79,16.1,0.60,0.7737,0.0650,0.0501,0.008,0.177,0.152,3000
80,17.0,0.63,0.7853,0.0597,0.0479,0.008,0.169,0.139,3000
81,17.9,0.66,0.7936,0.0542,0.0453,0.008,0.160,0.127,3000
82,18.8,0.70,0.7990,0.0487,0.0424,0.007,0.150,0.114,3000
83,19.7,0.73,0.8018,0.0430,0.0391,0.007,0.138,0.100,3000
84,20.6,0.76,0.8023,0.0371,0.0353,0.006,0.125,0.087,3000
85,21.5,0.80,0.7989,0.0312,0.0310,0.005,0.110,0.073,3000
86,22.4,0.83,0.7889,0.0251,0.0264,0.004,0.093,0.059,3000
87,23.3,0.86,0.7631,0.0189,0.0213,0.004,0.075,0.044,3000
88,24.2,0.89,0.6874,0.0127,0.0165,0.003,0.058,0.030,3000
89,25.0,0.93,0.5026,0.0064,0.0117,0.002,0.041,0.015,3000
90,25.9,0.96,-0.0001,0.0000,0.0071,0.001,0.025,0.000,3000
91,0.0,0.00,0.0000,0.0971,0.0460,0.018,0.289,0.403,4000
92,1.2,0.03,0.0686,0.0971,0.0470,0.019,0.295,0.403,4000
93,2.4,0.07,0.1342,0.0970,0.0480,0.019,0.301,0.403,4000
94,3.6,0.10,0.1969,0.0970,0.0490,0.020,0.308,0.403,4000
95,4.8,0.13,0.2565,0.0969,0.0501,0.020,0.315,0.402,4000
