,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1194,0.0678,0.000,0.020,0.025,1000
2,0.3,0.04,0.0686,0.1196,0.0693,0.000,0.021,0.025,1000
3,0.7,0.08,0.1344,0.1197,0.0708,0.000,0.021,0.025,1000
4,1.0,0.12,0.1973,0.1198,0.0724,0.000,0.022,0.025,1000
5,1.4,0.16,0.2572,0.1198,0.0741,0.000,0.022,0.025,1000
6,1.7,0.20,0.3142,0.1198,0.0758,0.000,0.023,0.025,1000
7,2.0,0.24,0.3681,0.1197,0.0776,0.000,0.023,0.025,1000
8,2.4,0.28,0.4190,0.1195,0.0794,0.000,0.024,0.025,1000
9,2.7,0.32,0.4670,0.1192,0.0812,0.000,0.024,0.025,1000
10,3.0,0.36,0.5119,0.1186,0.0829,0.000,0.025,0.025,1000
11,3.4,0.40,0.5540,0.1178,0.0845,0.000,0.025,0.025,1000
12,3.7,0.44,0.5931,0.1165,0.0859,0.000,0.026,0.024,1000
13,4.1,0.48,0.6294,0.1148,0.0870,0.000,0.026,0.024,1000
14,4.4,0.52,0.6629,0.1123,0.0876,0.000,0.026,0.023,1000
15,4.7,0.56,0.6934,0.1090,0.0875,0.000,0.026,0.023,1000
16,5.1,0.60,0.7209,0.1050,0.0869,0.000,0.026,0.022,1000
17,5.4,0.64,0.7453,0.1001,0.0855,0.000,0.026,0.021,1000
18,5.8,0.68,0.7666,0.0943,0.0832,0.000,0.025,0.020,1000
19,6.1,0.72,0.7848,0.0874,0.0797,0.000,0.024,0.018,1000
20,6.4,0.76,0.7998,0.0802,0.0758,0.000,0.023,0.017,1000
21,6.8,0.80,0.8116,0.0729,0.0714,0.000,0.021,0.015,1000
22,7.1,0.84,0.8208,0.0654,0.0666,0.000,0.020,0.014,1000
23,7.5,0.87,0.8275,0.0578,0.0611,0.000,0.018,0.012,1000
24,7.8,0.91,0.8321,0.0500,0.0550,0.000,0.016,0.010,1000
25,8.1,0.95,0.8339,0.0420,0.0481,0.000,0.014,0.009,1000
26,8.5,0.99,0.8314,0.0339,0.0405,0.000,0.012,0.007,1000
27,8.8,1.03,0.8187,0.0256,0.0323,0.000,0.010,0.005,1000
28,9.1,1.07,0.7775,0.0172,0.0238,0.000,0.007,0.004,1000
29,9.5,1.11,0.6449,0.0087,0.0150,0.000,0.005,0.002,1000
30,9.8,1.15,0.0004,0.0000,0.0064,0.000,0.002,0.000,1000
31,0.0,0.00,0.0000,0.1194,0.0679,0.003,0.081,0.100,2000
32,0.7,0.04,0.0686,0.1196,0.0693,0.003,0.083,0.100,2000
33,1.4,0.08,0.1344,0.1197,0.0708,0.003,0.085,0.100,2000
34,2.0,0.12,0.1972,0.1198,0.0724,0.003,0.087,0.100,2000
35,2.7,0.16,0.2571,0.1198,0.0741,0.003,0.089,0.100,2000
36,3.4,0.20,0.3140,0.1198,0.0759,0.003,0.091,0.100,2000
37,4.1,0.24,0.3679,0.1197,0.0776,0.003,0.093,0.100,2000
38,4.7,0.28,0.4189,0.1196,0.0794,0.003,0.095,0.100,2000
39,5.4,0.32,0.4668,0.1192,0.0812,0.003,0.097,0.100,2000
40,6.1,0.36,0.5117,0.1186,0.0830,0.003,0.099,0.099,2000
41,6.8,0.40,0.5538,0.1178,0.0846,0.003,0.101,0.098,2000
42,7.5,0.44,0.5929,0.1166,0.0860,0.003,0.103,0.097,2000
43,8.1,0.48,0.6292,0.1148,0.0870,0.003,0.104,0.096,2000
44,8.8,0.52,0.6627,0.1123,0.0876,0.003,0.105,0.094,2000
45,9.5,0.56,0.6933,0.1091,0.0876,0.003,0.105,0.091,2000
46,10.2,0.60,0.7208,0.1051,0.0869,0.003,0.104,0.088,2000
47,10.8,0.64,0.7452,0.1002,0.0855,0.003,0.102,0.084,2000
48,11.5,0.68,0.7665,0.0944,0.0832,0.003,0.100,0.079,2000
49,12.2,0.72,0.7848,0.0875,0.0798,0.003,0.096,0.073,2000
50,12.9,0.76,0.7997,0.0803,0.0759,0.003,0.091,0.067,2000
51,13.6,0.80,0.8116,0.0730,0.0715,0.003,0.086,0.061,2000
52,14.2,0.83,0.8208,0.0655,0.0666,0.003,0.080,0.055,2000
53,14.9,0.87,0.8275,0.0579,0.0612,0.002,0.073,0.048,2000
54,15.6,0.91,0.8321,0.0501,0.0550,0.002,0.066,0.042,2000
55,16.3,0.95,0.8339,0.0421,0.0482,0.002,0.058,0.035,2000
56,16.9,0.99,0.8314,0.0339,0.0406,0.002,0.049,0.028,2000
57,17.6,1.03,0.8187,0.0256,0.0324,0.001,0.039,0.021,2000
58,18.3,1.07,0.7770,0.0172,0.0237,0.001,0.028,0.014,2000
59,19.0,1.11,0.6420,0.0087,0.0150,0.001,0.018,0.007,2000
60,19.7,1.15,-0.0096,-0.0001,0.0064,0.000,0.008,0.000,2000
61,0.0,0.00,0.0000,0.1194,0.0678,0.009,0.183,0.225,3000
62,1.0,0.04,0.0687,0.1196,0.0692,0.009,0.187,0.225,3000
63,2.0,0.08,0.1345,0.1197,0.0708,0.009,0.191,0.225,3000
64,3.1,0.12,0.1974,0.1198,0.0724,0.009,0.195,0.225,3000
65,4.1,0.16,0.2574,0.1198,0.0741,0.009,0.200,0.225,3000
66,5.1,0.20,0.3143,0.1198,0.0758,0.010,0.204,0.225,3000
67,6.1,0.24,0.3683,0.1197,0.0776,0.010,0.209,0.225,3000
68,7.1,0.28,0.4192,0.1195,0.0794,0.010,0.214,0.225,3000
69,8.1,0.32,0.4671,0.1192,0.0812,0.010,0.219,0.224,3000
70,9.2,0.36,0.5120,0.1186,0.0829,0.011,0.223,0.223,3000
71,10.2,0.40,0.5541,0.1178,0.0846,0.011,0.228,0.222,3000
72,11.2,0.44,0.5931,0.1166,0.0860,0.011,0.232,0.219,3000
73,12.2,0.48,0.6294,0.1148,0.0871,0.011,0.235,0.216,3000
74,13.2,0.52,0.6629,0.1124,0.0876,0.011,0.236,0.211,3000
75,14.2,0.56,0.6934,0.1091,0.0876,0.011,0.236,0.205,3000
76,15.3,0.60,0.7209,0.1051,0.0870,0.011,0.234,0.198,3000
77,16.3,0.64,0.7453,0.1003,0.0856,0.011,0.231,0.189,3000
78,17.3,0.68,0.7666,0.0945,0.0833,0.011,0.225,0.178,3000
79,18.3,0.72,0.7849,0.0876,0.0799,0.010,0.215,0.165,3000
80,19.3,0.76,0.7998,0.0804,0.0760,0.010,0.205,0.151,3000
81,20.3,0.80,0.8117,0.0731,0.0716,0.009,0.193,0.137,3000
82,21.4,0.84,0.8209,0.0656,0.0667,0.009,0.180,0.123,3000
83,22.4,0.88,0.8276,0.0579,0.0612,0.008,0.165,0.109,3000
84,23.4,0.91,0.8322,0.0501,0.0551,0.007,0.148,0.094,3000
85,24.4,0.95,0.8340,0.0421,0.0482,0.006,0.130,0.079,3000
86,25.4,0.99,0.8314,0.0339,0.0405,0.005,0.109,0.064,3000
87,26.4,1.03,0.8187,0.0256,0.0323,0.004,0.087,0.048,3000
88,27.5,1.07,0.7770,0.0172,0.0237,0.003,0.064,0.032,3000
89,28.5,1.11,0.6415,0.0086,0.0150,0.002,0.040,0.016,3000
90,29.5,1.15,0.0002,0.0000,0.0064,0.001,0.017,0.000,3000
91,0.0,0.00,0.0000,0.1194,0.0679,0.021,0.325,0.399,4000
92,1.4,0.04,0.0686,0.1196,0.0693,0.021,0.332,0.400,4000
93,2.7,0.08,0.1343,0.1197,0.0708,0.022,0.339,0.400,4000
94,4.1,0.12,0.1971,0.1198,0.0724,0.022,0.347,0.401,4000
95,5.4,0.16,0.2570,0.1198,0.0741,0.023,0.355,0.401,4000
96,6.8,0.20,0.3138,0.1198,0.0759,0.023,0.363,0.401,4000
97,8.1,0.24,0.3677,0.1198,0.0777,0.024,0.372,0.401,4000
98,9.5,0.28,0.4186,0.1196,0.0795,0.024,0.381,0.400,4000
99,10.8,0.32,0.4665,0.1193,0.0813,0.025,0.389,0.399,4000
100,12.2,0.36,0.5114,0.1187,0.0830,0.025,0.398,0.397,4000
101,13.5,0.40,0.5534,0.1179,0.0847,0.026,0.406,0.394,4000
102,14.9,0.44,0.5925,0.1167,0.0861,0.026,0.412,0.390,4000
103,16.3,0.48,0.6288,0.1150,0.0872,0.027,0.418,0.384,4000
104,17.6,0.52,0.6623,0.1125,0.0878,0.027,0.420,0.376,4000
105,19.0,0.56,0.6928,0.1093,0.0878,0.027,0.421,0.366,4000
106,20.3,0.60,0.7204,0.1053,0.0872,0.027,0.418,0.352,4000
107,21.7,0.64,0.7448,0.1005,0.0858,0.026,0.411,0.336,4000
108,23.0,0.68,0.7662,0.0947,0.0835,0.025,0.400,0.317,4000
109,24.4,0.72,0.7846,0.0879,0.0802,0.024,0.384,0.294,4000
110,25.7,0.76,0.7996,0.0807,0.0762,0.023,0.365,0.270,4000
111,27.1,0.79,0.8116,0.0733,0.0718,0.022,0.344,0.245,4000
112,28.5,0.83,0.8208,0.0658,0.0669,0.020,0.321,0.220,4000
113,29.8,0.87,0.8276,0.0582,0.0615,0.019,0.294,0.195,4000
114,31.2,0.91,0.8322,0.0503,0.0553,0.017,0.265,0.168,4000
115,32.5,0.95,0.8341,0.0423,0.0484,0.015,0.232,0.142,4000
116,33.9,0.99,0.8316,0.0341,0.0408,0.012,0.195,0.114,4000
117,35.2,1.03,0.8192,0.0258,0.0325,0.010,0.156,0.086,4000
118,36.6,1.07,0.7780,0.0173,0.0238,0.007,0.114,0.058,4000
119,37.9,1.11,0.6431,0.0087,0.0150,0.005,0.072,0.029,4000
